geo,time,st_int_rcpt_xp_zs
cri,2016,20.26035
cri,2017,19.36278
cri,2018,18.96087
cri,2019,19.24918
cri,2020,7.39662
cym,2016,19.07839
cym,2017,21.75649
cym,2018,23.01074
cym,2019,23.35353
cyp,1995,43.81017
cyp,1996,40.50686
cyp,1997,40.65914
cyp,1998,41.17073
cyp,1999,42.751
cyp,2000,42.5783
cyp,2001,41.4467
cyp,2002,40.46611
cyp,2003,36.9234
cyp,2004,34.44695
cyp,2005,32.85826
cyp,2006,31.4609
cyp,2007,30.21232
cyp,2008,23.0722
cyp,2009,19.47688
cyp,2010,16.51587
cyp,2011,17.6334
cyp,2012,18.88417
cyp,2013,19.97394
cyp,2014,19.15158
cyp,2015,18.16424
cyp,2016,19.41579
cyp,2017,19.25829
cyp,2018,18.0152
cyp,2019,16.67445
cyp,2020,3.54104
cze,2002,9.07931
cze,2003,8.7041
cze,2004,7.17162
cze,2005,6.83869
cze,2006,6.61603
cze,2007,6.1943
cze,2008,6.14825
cze,2009,6.712
cze,2010,5.88777
cze,2011,5.48454
cze,2012,5.16163
cze,2013,4.8404
cze,2014,4.43446
cze,2015,4.4676
cze,2016,4.5341
cze,2017,4.44194
cze,2018,4.32096
cze,2019,4.27082
cze,2020,2.22391
deu,1995,4.22695
deu,1996,4.20174
deu,1997,4.36972
deu,1998,4.35795
deu,1999,4.28525
deu,2000,4.16277
deu,2001,3.90364
deu,2002,3.94102
deu,2003,3.66724
deu,2004,3.62309
deu,2005,3.74397
deu,2006,3.66717
deu,2007,3.3209
deu,2008,3.25056
deu,2009,3.65002
deu,2010,3.40295
deu,2011,3.171
deu,2012,3.16834
deu,2013,3.26425
deu,2014,3.3108
deu,2015,3.21658
deu,2016,3.26819
deu,2017,3.20127
deu,2018,3.15948
deu,2019,3.2193
dji,1995,2.7716
dji,1996,2.41747
dji,1997,2.15202
dji,1998,4.47115
dji,1999,3.79917
dji,2000,4.19166
dji,2001,4.02836
dji,2002,3.90345
dji,2003,2.7273
dji,2004,2.71208
dji,2005,2.46642
dji,2006,3.19607
dji,2007,2.21829
dji,2008,2.13288
dji,2009,4.00594
dji,2010,4.27682
dji,2011,4.57503
dji,2012,4.48145
dji,2013,0.67547
dji,2014,0.69244
dji,2015,0.87645
dji,2016,1.23936
dji,2017,0.87301
dji,2018,1.24916
dma,1995,39.08458
dma,1996,36.11162
dma,1997,34.99676
dma,1998,31.00188
dma,1999,32.52397
dma,2000,33.21544
dma,2001,37.93861
dma,2002,37.34748
dma,2003,43.91494
dma,2004,46.7511
dma,2005,44.06392
dma,2006,49.8509
dma,2007,50.05267
dma,2008,48.48989
dma,2009,52.0449
dma,2010,54.00294
dma,2011,55.51028
dma,2012,47.42115
dma,2013,48.3353
dma,2014,77.09978
dma,2015,75.30961
dma,2016,73.42867
dma,2017,74.01065
dma,2018,70.90357
dnk,1995,5.62181
dnk,1996,5.08651
dnk,1997,5.07833
dnk,1998,5.12679
dnk,1999,5.30041
dnk,2000,4.9739
dnk,2001,5.29492
dnk,2002,5.83278
dnk,2003,5.47867
dnk,2004,5.07568
dnk,2005,4.22177
dnk,2006,3.86797
dnk,2007,3.62424
dnk,2008,3.26416
dnk,2009,3.69773
dnk,2010,3.5057
dnk,2011,3.43608
dnk,2012,3.43302
dnk,2013,3.44411
dnk,2014,3.94928
dnk,2015,3.98486
dnk,2016,4.47972
dnk,2017,4.63966
dnk,2018,4.50916
dom,1995,42.17903
dom,1996,44.01334
dom,1997,45.202
dom,1998,45.02959
dom,1999,48.18833
dom,2000,48.45979
dom,2001,50.32193
dom,2002,48.44377
dom,2003,48.80865
dom,2004,45.54999
dom,2005,46.43244
dom,2006,45.74705
dom,2007,42.84479
dom,2008,44.94164
dom,2009,50.726
dom,2010,33.91875
dom,2011,30.95676
dom,2012,31.09018
dom,2013,31.92033
dom,2014,33.21025
dom,2015,36.01121
dom,2016,37.02724
dom,2017,37.82765
dom,2018,37.70753
dza,2005,0.97664
dza,2006,0.68582
dza,2007,0.5274
dza,2008,0.58005
dza,2009,0.75037
dza,2010,0.53476
dza,2011,0.39274
dza,2012,0.39235
dza,2013,0.47529
dza,2014,0.49696
dza,2015,0.91544
dza,2016,0.75122
dza,2017,0.45381
dza,2018,0.44269
dza,2019,0.36315
dza,2020,0.20078
ecu,1995,6.0622
ecu,1996,5.87979
ecu,1997,5.54037
ecu,1998,6.59412
ecu,1999,7.05332
ecu,2000,7.63631
ecu,2001,7.70657
ecu,2002,7.31079
ecu,2003,5.56846
ecu,2004,5.16606
ecu,2005,4.25094
ecu,2006,3.46171
ecu,2007,3.8954
ecu,2008,3.56419
ecu,2009,4.27976
ecu,2010,4.0083
ecu,2011,3.44146
ecu,2012,3.93965
ecu,2013,4.52799
ecu,2014,5.13773
ecu,2015,7.26211
ecu,2016,8.60674
ecu,2017,8.95761
ecu,2018,8.97028
ecu,2019,8.75959
ecu,2020,3.16695
egy,1995,22.27753
egy,1996,25.50178
egy,1997,27.14489
egy,1998,23.45344
egy,1999,29.60584
egy,2000,27.61504
egy,2001,25.63608
egy,2002,25.14311
egy,2003,23.4493
egy,2004,23.86466
egy,2005,23.46024
egy,2006,22.17279
egy,2007,23.26006
egy,2008,22.10336
egy,2009,26.35561
egy,2010,27.91863
egy,2011,19.83508
egy,2012,22.26895
egy,2013,15.06188
egy,2014,16.91674
egy,2015,18.35803
egy,2016,9.83217
egy,2017,20.14241
egy,2018,24.61085
egy,2019,26.63547
egy,2020,12.1541
eri,1995,43.13097
eri,1996,34.03514
eri,1997,41.97609
eri,1998,30.95243
eri,1999,41.03442
eri,2000,36.84045
esp,1995,20.4383
esp,1996,20.19488
esp,1997,18.98988
esp,1998,19.77194
est,1995,20.42148
est,1996,22.18419
est,1997,19.27404
est,1998,19.27937
est,1999,21.78004
est,2000,18.75275
est,2001,16.80845
est,2002,17.15708
est,2003,15.57415
est,2004,14.95142
est,2005,13.35624
est,2006,12.59506
est,2007,10.04574
est,2008,10.11534
est,2013,9.52122
est,2014,10.45298
est,2015,10.68172
est,2016,10.30867
est,2017,10.39033
est,2018,10.25115
est,2019,10.04995
est,2020,3.95828
eth,1995,23.06014
eth,1996,21.39296
eth,1997,16.03677
eth,1998,15.96823
eth,1999,18.70399
eth,2000,20.65975
eth,2001,22.34318
eth,2002,24.53077
eth,2003,26.70638
eth,2004,27.20098
eth,2005,27.62397
eth,2006,29.06539
eth,2007,29.81533
eth,2008,33.87419
eth,2009,32.62462
eth,2010,30.8771
eth,2011,34.26197
eth,2012,33.02792
eth,2013,36.557
eth,2014,32.99564
eth,2015,37.93783
eth,2016,36.2031
eth,2017,37.73804
eth,2018,46.53523
eth,2019,46.5065
eth,2020,29.58027
fin,1995,5.05179
fin,1996,5.11577
fin,1997,5.00993
fin,1998,4.92681
fin,1999,4.68275
fin,2000,3.85562
fin,2001,4.00619
fin,2002,4.10402
fin,2003,4.23449
fin,2004,3.95341
fin,2005,3.72898
fin,2006,3.75214
fin,2007,3.80724
fin,2008,3.79075
fin,2009,4.44272
fin,2010,4.69179
fin,2011,5.2358
fin,2012,5.34713
fin,2013,5.59635
fin,2014,5.39647
fin,2015,4.83113
fin,2016,4.79465
fin,2017,5.42268
fin,2018,5.43535
fin,2019,5.55078
fin,2020,1.80538
fji,1995,34.04875
fji,1996,29.11056
fji,1997,32.07059
fji,1998,33.14937
fji,1999,34.34189
fji,2000,30.05278
fji,2001,34.5375
fji,2002,39.12696
fji,2003,38.43449
fji,2004,41.93402
fji,2005,44.82597
fji,2006,44.35408
fji,2007,43.81407
fji,2008,47.20898
fji,2009,48.45961
fji,2010,45.6525
fji,2011,42.5499
fji,2012,40.73811
fji,2013,40.62894
fji,2014,42.89854
fji,2015,47.94311
fji,2016,49.86173
fji,2017,50.38286
fji,2018,51.49683
fji,2019,51.01656
fji,2020,19.16701
fra,1995,8.62794
fra,1996,8.7822
fra,1999,11.04995
fra,2000,9.91855
fra,2001,9.65447
fra,2002,9.81908
fra,2003,9.59122
fra,2004,9.4831
fra,2005,8.79188
fra,2006,8.3953
fra,2007,8.62092
fra,2008,8.22298
fra,2009,8.85557
fra,2010,7.91961
fra,2011,8.02867
fra,2012,8.04452
fra,2013,7.89572
fra,2014,7.8971
fra,2015,8.54497
fra,2016,8.14436
fra,2017,8.11276
fra,2018,7.91959
fra,2019,7.92072
fra,2020,4.73375
gab,1995,3.19355
gab,1996,2.5518
gab,1997,3.1552
gab,1998,5.17323
gab,1999,5.15263
gab,2000,2.83429
gab,2001,1.65552
gab,2002,2.92429
gab,2003,2.51171
gab,2004,1.75211
gab,2005,0.23204
gab,2007,0.37064
gab,2008,0.28672
gab,2009,0.39595
gab,2010,0.95287
gab,2011,0.24245
gab,2012,0.39314
gab,2013,0.63549
gab,2014,0.51566
gab,2015,0.53247
gbr,1995,8.56126
gbr,1996,8.29405
gbr,1997,7.95529
gbr,1998,8.23743
geo,1997,13.05483
geo,1998,34.42574
geo,1999,23.97511
geo,2000,12.64365
geo,2001,15.70457
geo,2002,14.51309
geo,2003,13.73801
geo,2004,12.856
geo,2005,13.33766
geo,2006,14.4406
geo,2007,13.91237
geo,2008,13.80369
geo,2009,16.87079
geo,2010,18.26927
geo,2011,20.39348
geo,2012,25.99203
geo,2013,26.71613
geo,2014,28.01667
geo,2015,33.54529
geo,2016,37.47329
geo,2017,39.29877
geo,2018,39.54312
geo,2019,37.20363
geo,2020,9.88758
gha,1995,1.89657
gha,1996,1.85314
gha,1997,2.11511
gha,1998,12.00774
gha,1999,13.14034
gha,2000,14.62759
gha,2001,15.59131
gha,2002,14.9022
gha,2003,13.81334
gha,2004,14.52986
gha,2005,22.18137
gha,2006,17.80989
