geo,time,sh_dth_2024
cmr,2000,5796
cmr,2001,6034
cmr,2002,6275
cmr,2003,6516
cmr,2004,6754
cmr,2005,6975
cmr,2006,7163
cmr,2007,7331
cmr,2008,7472
cmr,2009,7605
cmr,2010,7718
cmr,2011,7819
cmr,2012,7917
cmr,2013,8009
cmr,2014,8100
cmr,2015,8216
cmr,2016,8303
cmr,2017,8382
cmr,2018,8485
cmr,2019,8586
cmr,2020,8712
cod,1990,16439
cod,1991,16858
cod,1992,17246
cod,1993,17643
cod,1994,18030
cod,1995,18414
cod,1996,22422
cod,1997,18830
cod,1998,19040
cod,1999,19271
cod,2000,19511
cod,2001,19761
cod,2002,20079
cod,2003,20448
cod,2004,20864
cod,2005,21274
cod,2006,21687
cod,2007,22171
cod,2008,22737
cod,2009,23355
cod,2010,24005
cod,2011,24631
cod,2012,25283
cod,2013,25909
cod,2014,26492
cod,2015,27116
cod,2016,27854
cod,2017,28587
cod,2018,29183
cod,2019,29933
cod,2020,30724
cog,1990,1461
cog,1991,1462
cog,1992,1468
cog,1993,1468
cog,1994,1470
cog,1995,1473
cog,1996,1477
cog,1997,1475
cog,1998,1463
cog,1999,1444
cog,2000,1412
cog,2001,1380
cog,2002,1342
cog,2003,1304
cog,2004,1270
cog,2005,1238
cog,2006,1213
cog,2007,1191
cog,2008,1166
cog,2009,1139
cog,2010,1113
cog,2011,1079
cog,2012,1042
cog,2013,1016
cog,2014,1000
cog,2015,1001
cog,2016,1009
cog,2017,1019
cog,2018,1035
cog,2019,1284
cog,2020,1074
col,1990,11038
col,1991,10473
col,1992,9912
col,1993,9387
col,1994,8950
col,1995,8629
col,1996,8457
col,1997,8520
col,1998,8785
col,1999,9185
col,2000,9603
col,2001,9823
col,2002,9606
col,2003,9026
col,2004,8316
col,2005,7660
col,2006,7167
col,2007,6899
col,2008,6794
col,2009,6730
col,2010,6632
col,2011,6504
col,2012,6346
col,2013,6187
col,2014,6058
col,2015,5977
col,2016,5965
col,2017,5983
col,2018,6003
col,2019,5991
col,2020,5932
com,1990,85
com,1991,85
com,1992,85
com,1993,85
com,1994,86
com,1995,86
com,1996,87
com,1997,87
com,1998,87
com,1999,88
com,2000,89
com,2001,90
com,2002,91
com,2003,92
com,2004,92
com,2005,93
com,2006,93
com,2007,93
com,2008,93
com,2009,92
com,2010,92
com,2011,92
com,2012,91
com,2013,91
com,2014,91
com,2015,92
com,2016,93
com,2017,93
com,2018,93
com,2019,93
com,2020,94
cpv,1990,39
cpv,1991,40
cpv,1992,42
cpv,1993,44
cpv,1994,45
cpv,1995,61
cpv,1996,47
cpv,1997,47
cpv,1998,47
cpv,1999,46
cpv,2000,46
cpv,2001,46
cpv,2002,47
cpv,2003,47
cpv,2004,48
