geo,time,nv_fsm_totl_cn
kir,2011,5786869
kir,2012,5930169.39
kir,2013,5380595
kir,2014,5672925
kir,2015,7041455
kir,2016,6893773.09
kir,2017,8380575.68
kir,2018,9113227.08
kir,2019,8129191.95
kna,1977,1180000
kna,1978,1400000
kna,1979,1660000
kna,1980,2080000
kna,1981,1900000
kna,1982,2940000
kna,1983,3400000
kna,1984,4250000
kna,1985,3820000
kna,1986,6270000
kna,1987,6160000
kna,1988,8000000
kna,1989,10680000
kna,1990,9840000
kna,1991,10440000
kna,1992,9840000
kna,1993,12300000
kna,1994,15140000
kna,1995,19020000
kna,1996,20340000
kna,1997,21670000
kna,1998,22060000
kna,1999,22280000
kna,2000,65450000
kna,2001,74260000
kna,2002,65380000
kna,2003,55140000
kna,2004,72910000
kna,2005,90220000
kna,2006,96700000
kna,2007,100250000
kna,2008,92660000
kna,2009,90150000
kna,2010,62960000
kna,2011,63550000
kna,2012,85860000
kna,2013,122170000
kna,2014,125100000
kna,2015,112810000
kna,2016,26668600
kna,2017,24842600
kna,2018,27780500
kna,2019,31951600
kna,2020,28356600
kwt,1995,165000000
kwt,1996,197500000
kwt,1997,302100000
kwt,1998,385500000
kwt,1999,442200000
kwt,2000,475600000
kwt,2001,489300000
kwt,2002,558200000
kwt,2003,612900000
kwt,2004,724200000
kwt,2005,1052100000
kwt,2006,1340500000
kwt,2007,1696900000
kwt,2008,1782000000
kwt,2009,1722700000
kwt,2010,1764700000
kwt,2011,1748800000
kwt,2012,1783200000
kwt,2013,1956600000
kwt,2014,2009600000
kwt,2015,2245800000
kwt,2016,2319600000
kwt,2017,2521222000
kwt,2018,2742868300
kwt,2019,2768590600
kwt,2020,2866804909.86139
lao,1989,-21906036033
lao,1990,-12103200194
lao,1991,-32131877200
lao,1992,-68157175400
lao,1993,-34690306300
lao,1994,-33527139500
lao,1995,-61646592900
lao,1996,-75472432400
lao,1997,-664491815200
lao,1998,-34903543400
lao,1999,203052297500
lao,2000,939133205700
lao,2001,1191694366500
lao,2002,98266634600
lao,2003,50563567900
lao,2004,109391816500
lao,2005,-156424886000
lao,2006,1167738562000
lao,2007,619095182900
lao,2008,-407772403000
lao,2009,-342584155800
lao,2010,-1350209673000
lao,2011,-3023210842200
lao,2013,100
lao,2014,100
lao,2015,100
lso,2007,150182500
lso,2008,210961400
lso,2009,178863300
lso,2010,159807500
lso,2011,155080300
lso,2012,172446100
lso,2013,208226800
lso,2014,209281400
lso,2015,257251700
lso,2016,300702800
lso,2017,299332600
lso,2018,287522000
lso,2019,273611000
mda,1995,143643000
mda,1996,369391000
mda,1997,335973000
mda,1998,435726000
mda,1999,693148000
mda,2000,379546000
mda,2001,432932000
mda,2002,462691000
mda,2003,647040000
mda,2004,729810000
mda,2005,756864000
mda,2006,1116493000
mda,2007,1215771000
mda,2008,1309119000
mda,2009,984763000
mdg,2007,253517635787.91296
mdg,2008,409927608023.21002
mdg,2009,393672154365.94293
mdg,2010,441615388440.30603
mdg,2011,530397978281.23694
mdg,2012,597585669640.31299
mdg,2013,634116478296.88098
mdg,2014,676400261851.85205
mdg,2015,664150224949.60095
mdg,2016,817791207367.47583
mdg,2017,887695929981.64001
mdg,2018,775443438397.28003
mdg,2019,949847941502.16687
mdg,2020,1053188782616.29004
mex,1980,49367500
mex,1981,67520750
mex,1982,88521750
mex,1983,149538500
mex,1984,364172750
mex,1985,567311250
mex,1986,1051343250
mex,1987,2591624000
mex,1988,5874515000
mex,1989,3285072000
mex,1990,7750334250
mex,1991,11188115800
mex,1992,23595664300
mhl,1997,1390500
mhl,1998,1346900
mhl,1999,1444600
mhl,2000,3257300
mhl,2001,3364800
mhl,2002,3535900
mhl,2003,3218100
mhl,2004,4292300
mhl,2005,4574500
mhl,2006,5180200
mhl,2007,5775200
mhl,2008,5471800
mhl,2009,4913600
mhl,2010,4689600
mhl,2011,4560200
mhl,2012,4529400
mhl,2013,5121500
mhl,2014,5500500
mhl,2015,5819900
mhl,2016,6168700
mhl,2017,8188200
mhl,2018,9439400
mhl,2019,9424000
mhl,2020,8000000
mus,1987,354000000
mus,1988,479000000
mus,1989,623000000
mus,1990,600000000
mus,1991,899968500
mus,1992,1306905500
mus,1993,1423889800
mus,1994,1897989600
mus,1995,2057339100
mus,1996,2148121300
mus,1997,2606023400
mus,1998,3496241000
mys,1987,3261000000
mys,1988,3467000000
mys,1989,5597000000
mys,1990,6220000000
mys,1991,6884000000
mys,1992,7707000000
mys,1993,9253000000
mys,1994,10618000000
mys,1995,12529000000
mys,1996,16057000000
mys,1997,19858000000
mys,1998,22760000000
mys,1999,22052000000
mys,2000,17308000000
mys,2001,17594000000
mys,2002,17324000000
mys,2003,17374000000
mys,2004,17531000000
nam,2000,403884242.42595
nam,2001,455364853.00099
nam,2002,488117645.39357
nam,2003,546329783.70802
nam,2004,468800313.45312
nam,2005,517118795.76289
nam,2006,644028341.20392
nam,2007,648649226.31524
nam,2008,763773000
nam,2009,794515600
nam,2010,1011309600
nam,2011,1099925100
nam,2012,1315442300
ncl,1998,12939974505.9928
ncl,1999,12307546603.8952
ncl,2000,14713860511.5853
ncl,2001,15301072486.4002
ncl,2002,14422342045.8797
ncl,2003,15001903287.2363
ncl,2004,15876026708.4429
ncl,2005,16506137449.0988
ncl,2006,17740000000
ncl,2007,18914689157.9187
ncl,2008,18857000000
ncl,2009,20128000000
ncl,2010,23191000000
ncl,2011,23627000000
ncl,2012,23619000000
ncl,2013,21532000000
ncl,2014,25124000000
ncl,2015,25459000000
ncl,2016,25867000000
ncl,2017,26057000000
nld_curacao,2000,96373200
nld_curacao,2001,99432500
nld_curacao,2002,87751000
nld_curacao,2003,85776000
nld_curacao,2004,90905000
nld_curacao,2005,96794000
nld_curacao,2006,105590000
nld_curacao,2007,108067000
nld_curacao,2008,125433000
nld_curacao,2009,131757000
nld_curacao,2010,144095100
nld_curacao,2011,148617576.13374
nld_curacao,2012,152630692.65334
nld_curacao,2013,159148084.42453
nld_curacao,2014,143884897.36383
nld_curacao,2015,135398717.01781
nld_curacao,2016,116222348.95037
nld_curacao,2017,112600000
nld_curacao,2018,115290700
nld_curacao,2019,126462368.83
nld_curacao,2020,117518823.64397
npl,2001,12026000000
npl,2002,13655000000
npl,2003,13221000000
npl,2004,17294000000
npl,2005,18094000000
npl,2006,19212000000
npl,2007,21505000000
npl,2008,24185000000
npl,2009,29361985500
npl,2010,35156285900
omn,1998,136411100
omn,1999,153279100
omn,2000,151707400
omn,2001,163080200
omn,2002,187469700
omn,2003,186974500
omn,2004,188369700
omn,2005,213587300
omn,2006,240102200
omn,2007,293643900
omn,2008,360815500
omn,2009,425134000
omn,2010,468400000
omn,2011,533500000
omn,2012,589000000
omn,2013,591100000
omn,2014,629300000
omn,2015,693200000
omn,2016,741100000
omn,2017,768600000
omn,2018,783900000
omn,2019,825100000
omn,2020,813700000
