geo,time,sl_emp_vuln_zs
cri,2004,23.12
cri,2005,21.14
cri,2006,21.61
cri,2007,19.73
cri,2008,19.63
cri,2009,20.12
cri,2010,21.35
cri,2011,18.79
cri,2012,19.89
cri,2013,22.24
cri,2014,21.02
cri,2015,21.14
cri,2016,19.7
cri,2017,20.23
cri,2018,21.04
cri,2019,23.29
cub,1991,5.46
cub,1992,5.65
cub,1993,5.93
cub,1994,6.04
cub,1995,6.18
cub,1996,5.93
cub,1997,6.75
cub,1998,7.69
cub,1999,8.84
cub,2000,9.25
cub,2001,10.2
cub,2002,10.24
cub,2003,11.07
cub,2004,11.29
cub,2005,11.01
cub,2006,9.95
cub,2007,9.38
cub,2008,9.57
cub,2009,9.18
cub,2010,9.31
cub,2011,14.61
cub,2012,16.17
cub,2013,17.08
cub,2014,18.26
cub,2015,19.13
cub,2016,20.31
cub,2017,21.37
cub,2018,21.71
cub,2019,22.14
cyp,1991,19.86
cyp,1992,19.64
cyp,1993,19.57
cyp,1994,19.4
cyp,1995,19.15
cyp,1996,19.08
cyp,1997,18.94
cyp,1998,18.68
cyp,1999,18.37
cyp,2000,18.09
cyp,2001,17.16
cyp,2002,17.39
cyp,2003,17.95
cyp,2004,17.24
cyp,2005,15.83
cyp,2006,15.15
cyp,2007,14.25
cyp,2008,14.41
cyp,2009,14.62
cyp,2010,13.82
cyp,2011,13.42
cyp,2012,12.5
cyp,2013,13.52
cyp,2014,14.18
cyp,2015,12.62
cyp,2016,12.48
cyp,2017,11.1
cyp,2018,11.11
cyp,2019,11.71
cze,1991,7.75
cze,1992,7.82
cze,1993,7.86
cze,1994,7.9
cze,1995,7.93
cze,1996,8.03
cze,1997,8.14
cze,1998,9.31
cze,1999,10.31
cze,2000,10.83
cze,2001,11.16
cze,2002,11.84
cze,2003,13.2
cze,2004,12.91
cze,2005,12.3
cze,2006,12.08
cze,2007,12.44
cze,2008,12.55
cze,2009,13.05
cze,2010,14.08
cze,2011,14.44
cze,2012,15.03
cze,2013,14.5
cze,2014,14.53
cze,2015,13.81
cze,2016,14.02
cze,2017,13.98
cze,2018,13.82
cze,2019,13.77
deu,1991,5.17
deu,1992,5.27
deu,1993,5.38
deu,1994,5.37
deu,1995,5.6
deu,1996,5.59
deu,1997,5.83
deu,1998,5.89
deu,1999,5.69
deu,2000,5.84
deu,2001,6.12
deu,2002,6.13
deu,2003,6.37
deu,2004,6.9
deu,2005,7.45
deu,2006,7.26
deu,2007,7.15
deu,2008,6.89
deu,2009,6.76
deu,2010,6.71
deu,2011,6.89
deu,2012,6.82
deu,2013,6.48
deu,2014,6.32
deu,2015,6.13
deu,2016,5.99
deu,2017,5.84
deu,2018,5.65
deu,2019,5.35
dji,1991,36.35
dji,1992,36.74
dji,1993,37.29
dji,1994,37.71
dji,1995,38.2
dji,1996,38.82
dji,1997,39.42
dji,1998,40.03
dji,1999,40.42
dji,2000,40.88
dji,2001,41.21
dji,2002,41.32
dji,2003,41.35
dji,2004,41.3
dji,2005,41.17
dji,2006,40.89
dji,2007,40.51
dji,2008,40.06
dji,2009,39.79
dji,2010,39.39
dji,2011,38.73
dji,2012,38.22
dji,2013,37.68
dji,2014,37.05
dji,2015,36.38
dji,2016,35.7
dji,2017,35.16
dji,2018,34.36
dji,2019,33.61
dnk,1991,6.49
dnk,1992,6.6
dnk,1993,6.47
dnk,1994,5.76
dnk,1995,5.28
dnk,1996,5.42
dnk,1997,5.58
dnk,1998,5.46
dnk,1999,5.13
dnk,2000,4.92
dnk,2001,4.83
dnk,2002,4.73
dnk,2003,5.09
dnk,2004,5.32
dnk,2005,5.18
dnk,2006,5.06
dnk,2007,5.17
dnk,2008,5.18
dnk,2009,5.61
dnk,2010,5.43
dnk,2011,5.38
dnk,2012,5.61
dnk,2013,5.52
dnk,2014,5.35
dnk,2015,5.19
dnk,2016,5.23
dnk,2017,5.15
dnk,2018,4.92
dnk,2019,4.94
dom,1991,38.62
dom,1992,40.82
dom,1993,38.55
dom,1994,36.54
dom,1995,38.1
dom,1996,38.36
dom,1997,38.62
dom,1998,38.93
dom,1999,39.41
dom,2000,39.88
dom,2001,41
dom,2002,42.07
dom,2003,41.77
dom,2004,39.11
dom,2005,41.49
dom,2006,41.37
dom,2007,40.78
dom,2008,42.61
dom,2009,42.49
dom,2010,43.44
dom,2011,43.14
dom,2012,42.35
dom,2013,40.73
dom,2014,41.17
dom,2015,41.18
dom,2016,39.69
dom,2017,40.55
dom,2018,40.09
dom,2019,38.56
dza,1991,31.21
dza,1992,31.28
dza,1993,31.47
dza,1994,31.65
dza,1995,31.67
dza,1996,31.64
dza,1997,31.69
