geo,time,en_atm_co2e_pc
khm,1996,0.14659
khm,1997,0.15046
khm,1998,0.16723
khm,1999,0.16069
khm,2000,0.16125
khm,2001,0.17331
khm,2002,0.17487
khm,2003,0.18513
khm,2004,0.18215
khm,2005,0.19889
khm,2006,0.21888
khm,2007,0.26316
khm,2008,0.28378
khm,2009,0.33561
khm,2010,0.34376
khm,2011,0.35691
khm,2012,0.3667
khm,2013,0.37135
khm,2014,0.43406
khm,2015,0.55278
khm,2016,0.62792
khm,2017,0.71021
khm,2018,0.68678
kir,1990,0.27627
kir,1991,0.2714
kir,1992,0.2675
kir,1993,0.39624
kir,1994,0.3913
kir,1995,0.38602
kir,1996,0.38021
kir,1997,0.37412
kir,1998,0.36784
kir,1999,0.36158
kir,2000,0.47391
kir,2001,0.34947
kir,2002,0.45815
kir,2003,0.56281
kir,2004,0.5525
kir,2005,0.75824
kir,2006,0.74199
kir,2007,0.62156
kir,2008,0.60753
kir,2009,0.59448
kir,2010,0.48577
kir,2011,0.4774
kir,2012,0.56413
kir,2013,0.55614
kir,2014,0.54851
kir,2015,0.5409
kir,2016,0.71093
kir,2017,0.70081
kir,2018,0.6906
kna,1990,2.73224
kna,1991,2.72405
kna,1992,3.68632
kna,1993,3.40293
kna,1994,3.60421
kna,1995,3.56489
kna,1996,3.53174
kna,1997,3.73335
kna,1998,4.16426
kna,1999,4.12636
kna,2000,4.31005
kna,2001,4.70831
kna,2002,5.0921
kna,2003,5.02743
kna,2004,5.18101
kna,2005,4.69564
kna,2006,4.85919
kna,2007,5.23352
kna,2008,5.18909
kna,2009,14.40359
kna,2010,4.89686
kna,2011,5.25869
kna,2012,7.0167
kna,2013,4.57002
kna,2014,4.5297
kna,2015,4.68713
kna,2016,4.84224
kna,2017,4.61219
kna,2018,4.95824
kor,1990,5.81419
kor,1991,6.3295
kor,1992,6.77083
kor,1993,7.39072
kor,1994,7.91259
kor,1995,8.52261
kor,1996,8.9815
kor,1997,9.36771
kor,1998,7.90014
kor,1999,8.60078
kor,2000,9.69386
kor,2001,9.93283
kor,2002,9.69551
kor,2003,9.70114
kor,2004,10.08475
kor,2005,9.96336
kor,2006,10.05279
kor,2007,10.3012
kor,2008,10.46159
kor,2009,10.6553
kor,2010,11.58854
kor,2011,11.96096
kor,2012,11.93151
kor,2013,11.85114
kor,2014,11.54756
kor,2015,11.88887
kor,2016,12.00325
kor,2017,12.17536
kor,2018,12.2297
kwt,1990,13.95948
kwt,1991,17.59959
kwt,1995,21.0473
kwt,1996,20.24762
kwt,1997,19.90929
kwt,1998,21.78447
kwt,1999,22.40677
kwt,2000,23.06463
kwt,2001,24.16234
kwt,2002,24.98373
kwt,2003,25.73526
kwt,2004,27.03479
kwt,2005,29.62299
kwt,2006,29.35128
kwt,2007,27.45179
kwt,2008,27.45095
kwt,2009,26.60011
kwt,2010,26.15409
kwt,2011,25.61825
kwt,2012,24.96079
kwt,2013,24.17775
kwt,2014,22.64464
kwt,2015,22.95346
kwt,2016,22.71497
kwt,2017,22.11976
kwt,2018,21.62272
lao,1990,0.11976
lao,1991,0.12559
lao,1992,0.1311
lao,1993,0.13204
lao,1994,0.13303
lao,1995,0.13824
lao,1996,0.15148
lao,1997,0.15643
lao,1998,0.15939
lao,1999,0.16236
lao,2000,0.16906
lao,2001,0.18486
lao,2002,0.20207
lao,2003,0.20622
lao,2004,0.2137
lao,2005,0.21907
lao,2006,0.28053
lao,2007,0.291
lao,2008,0.33903
lao,2009,0.4131
lao,2010,0.46086
lao,2011,0.47892
lao,2012,0.50741
lao,2013,0.59774
lao,2014,0.66569
lao,2015,1.28465
lao,2016,2.2437
lao,2017,2.66215
lao,2018,2.66091
lbn,1990,2.00497
lbn,1991,2.40956
lbn,1992,2.28209
lbn,1993,3.18225
lbn,1994,3.31143
lbn,1995,3.76944
lbn,1996,3.91064
lbn,1997,4.409
lbn,1998,4.3996
lbn,1999,4.54405
lbn,2000,4.07778
lbn,2001,4.23202
lbn,2002,4.02658
lbn,2003,3.9673
lbn,2004,3.91301
lbn,2005,3.67757
lbn,2006,3.40984
lbn,2007,3.15689
lbn,2008,3.91626
lbn,2009,4.55431
lbn,2010,4.21557
lbn,2011,4.07149
lbn,2012,4.24009
lbn,2013,3.93031
lbn,2014,3.98336
lbn,2015,4.14072
lbn,2016,4.14192
lbn,2017,4.29365
lbn,2018,4.03971
lbr,1990,0.21677
lbr,1991,0.18136
lbr,1992,0.19984
lbr,1993,0.21248
lbr,1994,0.21143
lbr,1995,0.20541
lbr,1996,0.19903
lbr,1997,0.19345
lbr,1998,0.19464
lbr,1999,0.14816
lbr,2000,0.15096
lbr,2001,0.15234
lbr,2002,0.14877
lbr,2003,0.15599
lbr,2004,0.17859
lbr,2005,0.2082
lbr,2006,0.20726
lbr,2007,0.18487
lbr,2008,0.14967
lbr,2009,0.14384
lbr,2010,0.1876
lbr,2011,0.21158
lbr,2012,0.22971
lbr,2013,0.2142
lbr,2014,0.27985
lbr,2015,0.28174
lbr,2016,0.3074
lbr,2017,0.26796
lbr,2018,0.27392
lby,1990,8.13449
lby,1991,7.33235
lby,1992,6.51487
lby,1993,6.48562
lby,1994,7.39669
lby,1995,7.57558
lby,1996,7.8234
lby,1997,7.60843
lby,1998,7.67784
lby,1999,7.21391
lby,2000,7.44136
lby,2001,7.61126
lby,2002,7.8827
lby,2003,7.87824
lby,2004,7.9665
lby,2005,8.47271
lby,2006,8.38645
lby,2007,7.74756
lby,2008,8.49517
lby,2009,8.77243
lby,2010,9.23412
lby,2011,6.0905
lby,2012,8.32041
lby,2013,8.70047
lby,2014,9.38378
lby,2015,8.38849
lby,2016,7.88335
lby,2017,8.63279
lby,2018,8.82525
lca,1990,1.23171
lca,1991,1.28571
lca,1992,1.90465
lca,1993,1.81308
lca,1994,1.92997
lca,1995,2.1107
lca,1996,2.15
lca,1997,2.12033
lca,1998,2.35259
lca,1999,2.38728
lca,2000,2.29684
lca,2001,2.65514
lca,2002,2.38406
lca,2003,2.67863
lca,2004,2.59546
lca,2005,2.32547
lca,2006,2.47917
lca,2007,1.90881
lca,2008,1.88223
lca,2009,6.09675
lca,2010,2.29764
lca,2011,2.16477
lca,2012,2.94361
lca,2013,1.80277
lca,2014,2.01899
lca,2015,2.12135
lca,2016,1.94414
lca,2017,2.04471
lca,2018,2.14415
lie,1990,6.94686
lie,1991,7.20016
lie,1992,7.10612
lie,1993,7.00303
lie,1994,6.5757
lie,1995,6.47585
lie,1996,6.69771
lie,1997,6.91172
lie,1998,7.11942
lie,1999,7.01969
lie,2000,6.6297
lie,2001,6.26062
lie,2002,6.49255
lie,2003,6.73066
lie,2004,6.67751
lie,2005,6.62481
lie,2006,6.57613
lie,2007,5.67908
lie,2008,6.2026
lie,2009,5.87857
lie,2010,5.27836
lie,2011,4.95881
lie,2012,5.18913
lie,2013,5.14348
lie,2014,4.29888
lie,2015,4.27065
lie,2016,3.98353
lie,2017,4.23224
lie,2018,3.69218
lka,1990,0.22164
lka,1991,0.22697
lka,1992,0.29599
lka,1993,0.28396
lka,1994,0.31888
lka,1995,0.31903
lka,1996,0.45516
lka,1997,0.45152
lka,1998,0.46379
lka,1999,0.50902
