geo,time,er_fsh_aqua_mt
chn,2018,66135060
civ,1984,21
civ,1985,60
civ,1986,213
civ,1987,229
civ,1988,170
civ,1989,168
civ,1990,100
civ,1991,253
civ,1992,306
civ,1993,351
civ,1994,117
civ,1995,386
civ,1996,1128
civ,1997,450
civ,1998,862
civ,1999,1000
civ,2000,1197
civ,2001,1025
civ,2002,806
civ,2003,866
civ,2004,866
civ,2005,866
civ,2006,866
civ,2007,1290
civ,2008,1290
civ,2009,1340
civ,2010,1700
civ,2011,3394
civ,2012,3720
civ,2013,3720
civ,2014,3750
civ,2015,4000
civ,2016,4392
civ,2017,4500
civ,2018,4500
cmr,1977,5
cmr,1978,11
cmr,1979,22
cmr,1980,40
cmr,1981,57
cmr,1982,89
cmr,1983,120
cmr,1984,282
cmr,1985,130
cmr,1986,124
cmr,1987,137
cmr,1988,167
cmr,1989,138
cmr,1990,106
cmr,1991,74
cmr,1992,57
cmr,1993,50
cmr,1994,50
cmr,1995,57
cmr,1996,58
cmr,1997,67
cmr,1998,67
cmr,1999,67
cmr,2000,50
cmr,2001,150
cmr,2002,330
cmr,2003,385
cmr,2004,395
cmr,2005,402
cmr,2006,435
cmr,2007,546
cmr,2008,546
cmr,2009,546
cmr,2010,570
cmr,2011,571
cmr,2012,840
cmr,2013,1195
cmr,2014,1575
cmr,2015,1955
cmr,2016,2315
cmr,2017,2315
cmr,2018,2340
cod,1970,0
cod,1971,0
cod,1972,0
cod,1973,0
cod,1974,0
cod,1975,0
cod,1976,0
cod,1977,0
cod,1978,0
cod,1979,0
cod,1980,0
cod,1981,0
cod,1982,0
cod,1983,0
cod,1984,81
cod,1985,180
cod,1986,689
cod,1987,723
cod,1988,759
cod,1989,760
cod,1990,700
cod,1991,700
cod,1992,730
cod,1993,700
cod,1994,650
cod,1995,600
cod,1996,600
cod,1997,1000
cod,1998,1833
cod,1999,1993
cod,2000,2076
cod,2001,2744
cod,2002,2965
cod,2003,2965
cod,2004,2965
cod,2005,2965
cod,2006,2970
cod,2007,2970
cod,2008,2970
cod,2009,2970
cod,2010,2970
cod,2011,2970
cod,2012,2869
cod,2013,2869
cod,2014,2871
cod,2015,2956.5
cod,2016,3161
cod,2017,3200
cod,2018,3200
cog,1970,0
cog,1971,0
cog,1972,0
cog,1973,0
cog,1974,0
cog,1975,0
cog,1976,0
cog,1977,0
cog,1978,0
cog,1979,0
cog,1980,0
cog,1981,0
cog,1982,0
cog,1983,48
cog,1984,47
cog,1985,61
cog,1986,91
cog,1987,121
cog,1988,177
cog,1989,243
cog,1990,240
cog,1991,243
cog,1992,191
cog,1993,234
cog,1994,121
cog,1995,139
cog,1996,106
cog,1997,99
cog,1998,140
cog,1999,190
cog,2000,66
cog,2001,64
cog,2002,68
cog,2003,69
cog,2004,72
cog,2005,80
cog,2006,21
cog,2007,25
