geo,time,dt_dod_dimf_cd
dji,2002,22079964.4
dji,2003,22185532.1
dji,2004,22996972.1
dji,2005,20385678.1
dji,2006,19815956.8
dji,2007,17943738.8
dji,2008,19242593.2
dji,2009,39542067.5
dji,2010,35485589.9
dji,2011,39663918.5
dji,2012,57508690.8
dji,2013,57623938.7
dji,2014,52878485.8
dji,2015,49096434.4
dji,2016,45796005.7
dji,2017,43954479
dji,2018,36733586.9
dji,2019,31639049.4
dji,2020,72343244.8
dma,1983,11520000
dma,1984,10450000
dma,1985,10080000
dma,1986,9570000
dma,1987,11671315.8
dma,1988,8846631.8
dma,1989,6564229.2
dma,1990,5686372
dma,1991,4754749.5
dma,1992,3828000
dma,1993,3079521.4
dma,1994,2490504
dma,1995,1703517.6
dma,1996,842644.6
dma,1997,250960.5
dma,1998,36608.8
dma,1999,813074.9
dma,2000,771843.9
dma,2001,744486.9
dma,2002,3592395.6
dma,2003,8801994.7
dma,2004,10155753.5
dma,2005,12398059.6
dma,2006,14885135.4
dma,2007,13085102.1
dma,2008,15911605.2
dma,2009,31908271.5
dma,2010,30239547
dma,2011,27318113.9
dma,2012,26559033.4
dma,2013,23849498
dma,2014,20938130.2
dma,2015,26503483.1
dma,2016,24206037.6
dma,2017,24416781.4
dma,2018,22362537.6
dma,2019,20760360.5
dma,2020,35838200.2
dom,1970,6550000
dom,1971,11671275
dom,1972,4071375
dom,1973,0
dom,1974,0
dom,1975,0
dom,1976,24979345
dom,1977,44336915
dom,1978,47551835
dom,1979,124263738.9
dom,1980,48500000
dom,1981,23000000
dom,1982,70700000
dom,1983,246200000
dom,1984,221220000
dom,1985,297040000
dom,1986,304360000
dom,1987,283577366.1
dom,1988,217679086.3
dom,1989,122541477.5
dom,1990,71753279.8
dom,1991,89217352.9
dom,1992,122978625
dom,1993,186089902.3
dom,1994,189598012.7
dom,1995,159730784.2
dom,1996,95556757.8
dom,1997,28513699.4
dom,1998,55898792.3
dom,1999,97839373.5
dom,2000,92877939.4
dom,2001,89585998.1
dom,2002,69926911.2
dom,2003,177045895.7
dom,2004,253024154.2
dom,2005,445624947
dom,2006,506927137.2
dom,2007,597503586.8
dom,2008,540901236.8
dom,2009,1093881075.3
dom,2010,1461025210.5
dom,2011,1622535035.5
dom,2012,1513262479.4
dom,2013,1316945149.5
dom,2014,802885729.9
dom,2015,403128425.4
dom,2016,280731424
dom,2017,297396255.4
