geo,time,sh_hiv_incd_tl_p3
est,1997,0.01
est,1998,0.01
est,1999,0.01
est,2000,0.23
est,2001,0.85
est,2002,0.71
est,2003,0.59
est,2004,0.49
est,2005,0.42
est,2006,0.36
est,2007,0.32
est,2008,0.28
est,2009,0.26
est,2010,0.24
est,2011,0.22
est,2012,0.21
est,2013,0.2
est,2014,0.19
est,2015,0.18
est,2016,0.17
est,2017,0.17
est,2018,0.17
est,2019,0.16
est,2020,0.16
eth,1990,2.68
eth,1991,2.95
eth,1992,3.03
eth,1993,2.91
eth,1994,2.64
eth,1995,2.31
eth,1996,1.98
eth,1997,1.74
eth,1998,1.49
eth,1999,1.34
eth,2000,1.2
eth,2001,1.03
eth,2002,0.9
eth,2003,0.8
eth,2004,0.71
eth,2005,0.66
eth,2006,0.58
eth,2007,0.52
eth,2008,0.45
eth,2009,0.41
eth,2010,0.36
eth,2011,0.32
eth,2012,0.28
eth,2013,0.24
eth,2014,0.22
eth,2015,0.2
eth,2016,0.19
eth,2017,0.17
eth,2018,0.15
eth,2019,0.13
eth,2020,0.12
fji,1990,0.01
fji,1991,0.01
fji,1992,0.01
fji,1993,0.02
fji,1994,0.02
fji,1995,0.02
fji,1996,0.02
fji,1997,0.02
fji,1998,0.02
fji,1999,0.03
fji,2000,0.03
fji,2001,0.03
fji,2002,0.04
fji,2003,0.04
fji,2004,0.05
fji,2005,0.05
fji,2006,0.06
fji,2007,0.06
fji,2008,0.07
fji,2009,0.08
fji,2010,0.08
fji,2011,0.09
fji,2012,0.09
fji,2013,0.1
fji,2014,0.11
fji,2015,0.12
fji,2016,0.13
fji,2017,0.14
fji,2018,0.14
fji,2019,0.16
fji,2020,0.16
gab,1990,1.84
gab,1991,2.39
gab,1992,2.99
gab,1993,3.6
gab,1994,4.24
gab,1995,4.8
gab,1996,5.09
gab,1997,4.93
gab,1998,4.74
gab,1999,4.28
gab,2000,3.84
gab,2001,3.39
gab,2002,3.11
gab,2003,2.75
gab,2004,2.53
gab,2005,2.43
gab,2006,2.16
gab,2007,1.99
gab,2008,1.87
gab,2009,1.87
gab,2010,1.64
gab,2011,1.51
gab,2012,1.36
gab,2013,1.2
gab,2014,1.08
gab,2015,0.96
gab,2016,0.78
gab,2017,0.69
gab,2018,0.59
gab,2019,0.52
gab,2020,0.48
geo,1990,0.01
geo,1991,0.01
geo,1992,0.01
geo,1993,0.01
geo,1994,0.01
geo,1995,0.01
geo,1996,0.01
geo,1997,0.01
geo,1998,0.01
geo,1999,0.01
geo,2000,0.01
geo,2001,0.02
geo,2002,0.03
geo,2003,0.05
geo,2004,0.06
geo,2005,0.08
geo,2006,0.09
geo,2007,0.1
geo,2008,0.11
geo,2009,0.12
geo,2010,0.13
geo,2011,0.14
geo,2012,0.15
geo,2013,0.15
geo,2014,0.15
geo,2015,0.16
geo,2016,0.16
geo,2017,0.16
geo,2018,0.16
geo,2019,0.17
geo,2020,0.17
gha,1990,1.92
gha,1991,2.13
gha,1992,2.27
gha,1993,2.32
gha,1994,2.22
gha,1995,2.19
gha,1996,2.08
gha,1997,1.96
gha,1998,1.83
gha,1999,1.74
gha,2000,1.61
gha,2001,1.55
gha,2002,1.49
gha,2003,1.4
gha,2004,1.34
gha,2005,1.26
gha,2006,1.23
gha,2007,1.15
gha,2008,1.1
gha,2009,1.05
gha,2010,1.02
gha,2011,0.96
gha,2012,0.9
gha,2013,0.89
gha,2014,0.86
gha,2015,0.84
gha,2016,0.82
gha,2017,0.78
gha,2018,0.76
gha,2019,0.72
gha,2020,0.63
gin,1990,0.77
gin,1991,0.9
gin,1992,1.02
gin,1993,1.12
gin,1994,1.19
gin,1995,1.25
gin,1996,1.27
gin,1997,1.31
gin,1998,1.28
gin,1999,1.25
gin,2000,1.24
gin,2001,1.18
gin,2002,1.12
gin,2003,1.07
gin,2004,1.04
gin,2005,1
gin,2006,0.98
gin,2007,0.93
gin,2008,0.91
gin,2009,0.86
gin,2010,0.82
gin,2011,0.75
gin,2012,0.71
gin,2013,0.62
gin,2014,0.65
gin,2015,0.65
gin,2016,0.61
gin,2017,0.59
gin,2018,0.54
gin,2019,0.49
gin,2020,0.42
gmb,1990,0.27
gmb,1991,0.39
gmb,1992,0.53
gmb,1993,0.73
gmb,1994,0.92
gmb,1995,1.15
gmb,1996,1.32
gmb,1997,1.51
gmb,1998,1.67
gmb,1999,1.77
gmb,2000,1.74
gmb,2001,1.74
gmb,2002,1.68
gmb,2003,1.61
gmb,2004,1.54
gmb,2005,1.49
gmb,2006,1.44
gmb,2007,1.42
gmb,2008,1.41
gmb,2009,1.31
gmb,2010,1.25
gmb,2011,1.16
gmb,2012,1.07
gmb,2013,1.08
gmb,2014,1.07
