geo,time,dt_nfl_wfpg_cd
mdg,1996,1120000.00477
mdg,1997,2470000.02861
mdg,1998,2230000.01907
mdg,1999,1259999.99046
mdg,2000,2700000.04768
mdg,2001,4469999.79019
mdg,2002,4190000.05722
mdg,2003,4670000.07629
mdg,2004,2380000.11444
mdg,2005,3740000.00954
mdg,2006,2900000.09537
mdg,2007,4599999.90463
mdg,2008,2740000.00954
mdg,2009,5239999.77112
mdg,2010,3490000.00954
mdg,2011,4510000.22888
mdg,2012,4711369.9913
mdg,2013,5750411.03363
mdg,2014,3600549.93629
mdg,2015,670830.01137
mdg,2016,3534512.043
mdg,2017,2521960.02007
mdg,2018,6787248.61145
mdg,2019,10539719.5816
mdv,1975,379999.99523
mdv,1976,50000.00075
mdv,1979,9999.99978
mdv,2005,2670000.07629
mdv,2006,79999.99821
mex,1969,1480000.01907
mex,1970,5230000.01907
mex,1971,4320000.17166
mex,1972,6469999.79019
mex,1973,7269999.98093
mex,1974,1700000.04768
mex,1975,5869999.88556
mex,1976,4820000.17166
mex,1977,7670000.07629
mex,1978,4739999.77112
mex,1979,11130000.11444
mex,1980,3069999.93324
mex,1981,1080000.04292
mex,1982,2190000.05722
mex,1983,1450000.04768
mex,1984,2740000.00954
mex,1985,8119999.88556
mex,1986,4389999.86649
mex,1987,5960000.03815
mex,1988,16110000.61035
mex,1989,6349999.90463
mex,1990,10170000.07629
mex,1991,5250000
mex,1992,4340000.15259
mex,1993,9859999.65668
mex,1994,8439999.58038
mex,1995,7119999.88556
mkd,2001,230000.00417
mkd,2002,-29999.99933
mkd,2003,90000.00358
mli,1969,189999.99762
mli,1970,839999.97377
mli,1971,409999.99642
mli,1972,-1210000.03815
mli,1973,1470000.02861
mli,1974,1610000.01431
mli,1975,3920000.07629
mli,1976,1870000.00477
mli,1977,1450000.04768
mli,1978,5519999.98093
mli,1979,5900000.09537
mli,1980,4449999.80927
mli,1981,12640000.34332
mli,1982,6349999.90463
mli,1983,13220000.26703
mli,1984,17000000
mli,1985,12920000.07629
mli,1986,16180000.30518
mli,1987,6519999.98093
mli,1988,20809999.46594
mli,1989,2339999.91417
mli,1990,8460000.03815
mli,1991,3890000.1049
mli,1992,4769999.98093
mli,1993,3160000.08583
mli,1994,1769999.98093
mli,1995,4210000.03815
mli,1996,1259999.99046
mli,1997,5289999.96185
mli,1998,2559999.94278
mli,1999,2049999.95232
mli,2000,1970000.02861
mli,2001,3220000.02861
mli,2002,4679999.82834
mli,2003,3829999.92371
mli,2004,3039999.96185
mli,2005,5670000.07629
mli,2006,2500000
mli,2007,2430000.06676
mli,2008,1350000.02384
mli,2009,1169999.95708
mli,2010,540000.02146
mli,2011,810000.00238
mli,2012,9786026.95465
mli,2013,11632607.46002
mli,2014,16320209.50317
mli,2015,4724987.03003
mli,2016,711955.1301
mli,2017,2299160.00366
mli,2018,12888456.3446
mli,2019,5225009.91821
mlt,1969,159999.99642
mlt,1970,500000
mlt,1971,449999.98808
mlt,1972,-439999.99762
mmr,1975,1529999.97139
mmr,1979,3990000.00954
mmr,1980,140000.0006
mmr,1983,50000.00075
mmr,1990,9999.99978
mmr,1991,9999.99978
mmr,1995,1250000
mmr,2001,349999.99404
mmr,2002,759999.99046
mmr,2003,1070000.05245
mmr,2004,1320000.05245
mmr,2005,1129999.99523
mmr,2006,1120000.00477
mmr,2007,1789999.96185
mmr,2008,1289999.96185
mmr,2009,1970000.02861
mmr,2010,1740000.00954
mmr,2011,2769999.98093
mmr,2012,457590.63959
mmr,2013,704414.01005
mmr,2015,594923.01941
mmr,2016,1210860.01396
mmr,2017,160740.00299
mmr,2018,5971769.80972
mmr,2019,9186960.22034
mng,1991,2460000.03815
mng,1993,1580000.04292
mng,1994,699999.98808
mng,1995,-19999.99955
moz,1975,3720000.02861
moz,1976,3160000.08583
moz,1977,2119999.88556
moz,1978,9520000.45776
moz,1979,8270000.45776
moz,1980,9750000
moz,1981,4880000.11444
moz,1982,10600000.38147
moz,1983,12489999.77112
moz,1984,19610000.61035
moz,1985,12060000.41962
moz,1986,9489999.77112
moz,1987,12109999.65668
moz,1988,18540000.91553
moz,1989,24139999.38965
moz,1990,33880001.06812
moz,1991,35689998.62671
moz,1992,100569999.69482
moz,1993,58819999.69482
moz,1994,47700000.76294
moz,1995,15989999.77112
moz,1997,3670000.07629
moz,1998,3150000.09537
moz,1999,2230000.01907
moz,2000,3369999.88556
moz,2001,2339999.91417
moz,2002,5730000.01907
moz,2003,8770000.45776
moz,2004,5210000.03815
moz,2005,6380000.11444
moz,2006,8470000.26703
moz,2007,8399999.61853
moz,2008,10050000.19073
moz,2009,9439999.58038
moz,2010,1879999.99523
moz,2011,5610000.13351
moz,2012,4775046.34857
moz,2013,3089777.23122
moz,2014,2956089.97345
moz,2015,4858726.9783
moz,2016,5289480.20935
moz,2017,2828840.01732
moz,2018,576223.07539
moz,2019,10820940.0177
mrt,1969,59999.99866
mrt,1970,189999.99762
mrt,1971,689999.99762
mrt,1972,79999.99821
mrt,1973,2509999.99046
mrt,1974,2990000.00954
mrt,1975,2039999.96185
mrt,1976,2470000.02861
mrt,1977,1679999.94755
mrt,1978,1690000.05722
mrt,1979,3329999.92371
mrt,1980,6079999.92371
mrt,1981,4239999.77112
mrt,1982,2839999.91417
mrt,1983,7300000.19073
mrt,1984,8390000.34332
mrt,1985,8760000.22888
mrt,1986,2779999.97139
mrt,1987,2710000.03815
mrt,1988,4010000.22888
mrt,1989,4480000.01907
mrt,1990,6059999.94278
mrt,1991,11529999.73297
mrt,1992,5440000.05722
mrt,1993,21129999.16077
mrt,1994,7260000.22888
mrt,1995,7250000
mrt,1996,3990000.00954
mrt,1997,3200000.04768
mrt,1998,2029999.97139
mrt,1999,920000.01669
mrt,2000,2190000.05722
mrt,2001,2990000.00954
mrt,2002,4989999.77112
mrt,2003,8590000.15259
mrt,2004,1669999.95708
mrt,2005,6400000.09537
mrt,2006,4699999.80927
mrt,2007,7820000.17166
mrt,2008,6559999.94278
mrt,2009,4869999.88556
mrt,2010,3369999.88556
mrt,2011,4869999.88556
mrt,2012,8575708.38928
mrt,2013,6075818.06183
mrt,2014,3345340.0135
mrt,2015,1968703.03154
mrt,2016,5219216.82358
mrt,2017,3957639.93263
mrt,2018,9594225.88348
mrt,2019,786159.99222
mus,1969,109999.9994
mus,1970,219999.99881
mus,1971,1720000.02861
mus,1972,1090000.03338
mus,1973,3079999.92371
mus,1974,2869999.88556
mus,1975,3599999.90463
mus,1976,800000.01192
mus,1977,2000000
mus,1978,540000.02146
mus,1979,800000.01192
mus,1980,4769999.98093
mus,1981,1879999.99523
mus,1982,2000000
