geo,time,ic_bus_nreg
prt,2015,34120
prt,2016,33651
prt,2017,37571
prt,2018,43114
prt,2019,46880
prt,2020,36076
pry,2019,1018
pry,2020,226
qat,2006,3697
qat,2007,4190
qat,2008,4365
qat,2009,4033
qat,2010,5068
qat,2011,6067
qat,2012,5784
qat,2013,5986
qat,2014,7196
qat,2015,5619
qat,2016,11535
qat,2017,14082
qat,2018,14824
rou,2006,92979
rou,2007,102745
rou,2008,100646
rou,2009,56690
rou,2010,51859
rou,2011,65842
rou,2012,61542
rou,2013,60292
rou,2014,56381
rou,2015,64417
rou,2016,73889
rou,2017,98405
rou,2018,94244
rou,2019,94869
rou,2020,78419
rus,2006,419318
rus,2007,403914
rus,2008,415693
rus,2009,257170
rus,2010,258327
rus,2011,157281
rus,2012,397952
rus,2013,398782
rus,2014,427388
rus,2015,456046
rus,2016,433464
rus,2017,390299
rus,2018,317475
rus,2019,281834
rus,2020,214895
rwa,2006,247
rwa,2007,314
rwa,2008,430
rwa,2009,1310
rwa,2010,3641
rwa,2011,6039
rwa,2012,8511
rwa,2013,9291
rwa,2014,9998
rwa,2015,9887
rwa,2016,10099
rwa,2017,10005
rwa,2018,10547
rwa,2019,12552
rwa,2020,16105
sau,2006,3246
sau,2007,4021
sau,2008,4808
sau,2009,5158
sau,2010,5762
sau,2011,6645
sau,2012,8461
sau,2013,8942
sau,2014,9995
sau,2015,11046
sau,2016,10598
sau,2017,10903
sau,2018,12116
sau,2019,17367
sau,2020,15920
sen,2006,1054
sen,2007,3050
sen,2008,1701
sen,2009,2242
sen,2010,1745
sen,2011,1815
sen,2012,1945
sen,2013,2116
sen,2014,2359
sen,2015,3258
sen,2016,3420
sen,2017,3715
sen,2018,4004
sen,2019,4285
sen,2020,4284
sgp,2006,19575
sgp,2007,23850
sgp,2008,23544
sgp,2009,24234
sgp,2010,27483
sgp,2011,29781
sgp,2012,31531
sgp,2013,34766
sgp,2014,38306
sgp,2015,34076
sgp,2016,35020
sgp,2017,37172
sgp,2018,43050
sgp,2019,43762
