geo,time,sh_xpd_ghed_ch_zs
cog,2005,25.15717
cog,2006,32.47792
cog,2007,30.83691
cog,2008,49.09125
cog,2009,28.83499
cog,2010,44.73592
cog,2011,37.169
cog,2012,42.88275
cog,2013,48.19468
cog,2014,47.99257
cog,2015,45.54233
cog,2016,43.15655
cog,2017,38.36984
cog,2018,35.32498
cog,2019,37.59399
col,2000,74.53344
col,2001,75.05119
col,2002,76.18763
col,2003,77.37963
col,2004,73.53197
col,2005,71.82037
col,2006,72.08507
col,2007,70.65232
col,2008,69.36096
col,2009,72.05204
col,2010,72.22514
col,2011,73.49957
col,2012,69.86178
col,2013,69.85744
col,2014,70.40434
col,2015,70.83104
col,2016,70.32949
col,2017,71.04095
col,2018,71.61446
col,2019,71.88447
com,2000,11.86053
com,2001,7.9252
com,2002,14.24275
com,2003,12.7958
com,2004,12.00652
com,2005,11.28513
com,2006,11.15947
com,2007,10.41313
com,2008,8.54953
com,2009,7.59054
com,2010,7.22071
com,2011,18.04415
com,2012,15.3713
com,2013,12.95128
com,2014,10.60641
com,2015,10.1312
com,2016,12.33709
com,2017,12.82912
com,2018,15.61545
com,2019,16.06904
cpv,2000,71.29877
cpv,2001,73.01193
cpv,2002,72.79753
cpv,2003,73.35093
cpv,2004,71.35683
cpv,2005,69.10211
cpv,2006,66.25391
cpv,2007,71.06494
cpv,2008,68.44343
cpv,2009,71.5402
cpv,2010,63.25499
cpv,2011,66.54674
cpv,2012,59.89725
cpv,2013,57.76818
cpv,2014,57.13072
cpv,2015,65.85605
cpv,2016,63.5572
cpv,2017,62.16227
cpv,2018,60.93719
cpv,2019,65.76321
cri,2000,64.923
cri,2001,65.55663
cri,2002,66.86169
cri,2003,66.37475
cri,2004,66.01708
cri,2005,63.95665
cri,2006,66.10926
cri,2007,66.21093
cri,2008,67.81955
cri,2009,70.9427
cri,2010,72.315
cri,2011,70.19308
cri,2012,70.68046
cri,2013,71.00036
cri,2014,71.0215
cri,2015,72.70618
cri,2016,73.32389
cri,2017,73.50927
cri,2018,72.39395
cri,2019,72.53588
cub,2000,83.69688
cub,2001,81.21708
cub,2002,80.50539
cub,2003,79.5319
cub,2004,80.04375
cub,2005,84.86508
cub,2006,85.59684
cub,2007,90.10674
cub,2008,90.96945
cub,2009,91.80177
cub,2010,90.77865
cub,2011,88.98712
cub,2012,86.70361
cub,2013,87.6078
cub,2014,90.25089
cub,2015,90.33051
cub,2016,89.60745
cub,2017,89.44213
cub,2018,88.90524
cub,2019,89.28464
cyp,2000,41.07524
cyp,2001,41.83109
