geo,time,eg_elc_rnwx_kh
cod,2003,0
cod,2004,0
cod,2005,0
cod,2006,0
cod,2007,0
cod,2008,0
cod,2009,0
cod,2010,0
cod,2011,0
cod,2012,17000000
cod,2013,18000000
cod,2014,9000000
cod,2015,10000000
cog,1971,0
cog,1972,0
cog,1973,0
cog,1974,0
cog,1975,0
cog,1976,0
cog,1977,0
cog,1978,0
cog,1979,0
cog,1980,0
cog,1981,0
cog,1982,0
cog,1983,0
cog,1984,0
cog,1985,0
cog,1986,0
cog,1987,0
cog,1988,0
cog,1989,0
cog,1990,0
cog,1991,0
cog,1992,0
cog,1993,0
cog,1994,0
cog,1995,0
cog,1996,0
cog,1997,0
cog,1998,0
cog,1999,0
cog,2000,0
cog,2001,0
cog,2002,0
cog,2003,0
cog,2004,0
cog,2005,0
cog,2006,0
cog,2007,0
cog,2008,0
cog,2009,0
cog,2010,0
cog,2011,0
cog,2012,0
cog,2013,0
cog,2014,0
cog,2015,0
col,1971,0
col,1972,0
col,1973,0
col,1974,0
col,1975,189000000
col,1976,202000000
col,1977,192000000
col,1978,206000000
col,1979,216000000
col,1980,227000000
col,1981,212000000
col,1982,231000000
col,1983,234000000
col,1984,255000000
col,1985,267000000
col,1986,266000000
col,1987,268000000
col,1988,274000000
col,1989,274000000
col,1990,274000000
col,1991,269000000
col,1992,340000000
col,1993,389000000
col,1994,444000000
col,1995,477000000
col,1996,496000000
col,1997,483000000
col,1998,532000000
col,1999,457000000
col,2000,496000000
col,2001,496000000
col,2002,491000000
col,2003,495000000
col,2004,519000000
col,2005,552000000
col,2006,593000000
col,2007,581000000
col,2008,591000000
col,2009,599000000
col,2010,2456000000
col,2011,2040000000
col,2012,2008000000
col,2013,2106000000
col,2014,2196000000
col,2015,2262000000
cri,1971,10000000
cri,1972,7000000
cri,1973,7000000
cri,1974,7000000
cri,1975,8000000
cri,1976,8000000
cri,1977,10000000
cri,1978,8000000
cri,1979,9000000
cri,1980,10000000
cri,1981,10000000
cri,1982,10000000
cri,1983,10000000
cri,1984,10000000
cri,1985,10000000
cri,1986,10000000
cri,1987,10000000
cri,1988,10000000
cri,1989,0
cri,1990,0
cri,1991,10000000
cri,1992,485000000
cri,1993,485000000
cri,1994,485000000
cri,1995,485000000
cri,1996,544000000
cri,1997,632000000
cri,1998,685000000
cri,1999,909000000
cri,2000,1176000000
cri,2001,1187000000
cri,2002,1433000000
cri,2003,1274000000
cri,2004,1486000000
cri,2005,1423000000
cri,2006,1563000000
cri,2007,1559000000
cri,2008,1411000000
cri,2009,1635000000
cri,2010,1680000000
cri,2011,1834000000
cri,2012,2111000000
cri,2013,2188000000
cri,2014,2457000000
cri,2015,2637000000
cub,1971,817000000
cub,1972,645000000
cub,1973,719000000
cub,1974,736000000
cub,1975,756000000
cub,1976,773000000
cub,1977,836000000
cub,1978,956000000
cub,1979,958000000
cub,1980,954000000
cub,1981,975000000
cub,1982,1046000000
cub,1983,1085000000
cub,1984,1125000000
cub,1985,1131000000
cub,1986,1185000000
cub,1987,1205000000
cub,1988,1317000000
cub,1989,1280000000
cub,1990,1449000000
cub,1991,1264000000
cub,1992,1337000000
cub,1993,887000000
cub,1994,897000000
cub,1995,690000000
cub,1996,922000000
cub,1997,870000000
cub,1998,779000000
cub,1999,881000000
cub,2000,944000000
cub,2001,930000000
cub,2002,939000000
cub,2003,720000000
cub,2004,789000000
cub,2005,420000000
cub,2006,406000000
cub,2007,416000000
cub,2008,564000000
cub,2009,545000000
cub,2010,467000000
cub,2011,474000000
cub,2012,573000000
cub,2013,706000000
cub,2014,674000000
cub,2015,753000000
cyp,1971,0
cyp,1972,0
cyp,1973,0
cyp,1974,0
cyp,1975,0
cyp,1976,0
cyp,1977,0
cyp,1978,0
cyp,1979,0
cyp,1980,0
cyp,1981,0
cyp,1982,0
cyp,1983,0
cyp,1984,0
cyp,1985,0
cyp,1986,0
cyp,1987,0
cyp,1988,0
cyp,1989,0
cyp,1990,0
cyp,1991,0
cyp,1992,0
cyp,1993,0
cyp,1994,0
cyp,1995,0
cyp,1996,0
cyp,1997,0
cyp,1998,0
cyp,1999,0
cyp,2000,0
cyp,2001,0
cyp,2002,0
cyp,2003,0
cyp,2004,0
cyp,2005,1000000
cyp,2006,1000000
cyp,2007,3000000
cyp,2008,15000000
cyp,2009,31000000
cyp,2010,73000000
cyp,2011,178000000
cyp,2012,257000000
cyp,2013,327000000
cyp,2014,317000000
cyp,2015,398000000
cze,1971,0
cze,1972,0
cze,1973,0
cze,1974,0
cze,1975,0
cze,1976,0
cze,1977,0
cze,1978,0
cze,1979,0
cze,1980,0
cze,1981,0
cze,1982,0
cze,1983,0
cze,1984,0
cze,1985,0
cze,1986,0
cze,1987,0
cze,1988,0
cze,1989,0
cze,1990,0
cze,1991,0
cze,1992,0
cze,1993,161000000
cze,1994,321000000
cze,1995,405000000
cze,1996,292000000
cze,1997,494000000
cze,1998,587000000
cze,1999,677000000
cze,2000,526000000
cze,2001,523000000
cze,2002,506000000
cze,2003,496000000
cze,2004,722000000
cze,2005,752000000
cze,2006,970000000
cze,2007,1321000000
cze,2008,1707000000
cze,2009,2225000000
cze,2010,3113000000
cze,2011,5285000000
cze,2012,5936000000
cze,2013,6575000000
cze,2014,7263000000
cze,2015,7627000000
deu,1960,0
deu,1961,0
deu,1962,0
deu,1963,0
deu,1964,0
deu,1965,0
deu,1966,0
deu,1967,0
deu,1968,0
deu,1969,0
deu,1970,2544000000
deu,1971,2768000000
deu,1972,2817000000
deu,1973,2912000000
deu,1974,1046000000
deu,1975,1103000000
deu,1976,1251000000
deu,1977,1221000000
deu,1978,1265000000
deu,1979,1322000000
deu,1980,2852000000
deu,1981,2934000000
deu,1982,2645000000
deu,1983,2469000000
deu,1984,2645000000
deu,1985,2832000000
deu,1986,2600000000
deu,1987,2307000000
deu,1988,2376000000
deu,1989,2540000000
deu,1990,1667000000
deu,1991,2088000000
deu,1992,2338000000
deu,1993,2642000000
deu,1994,3503000000
deu,1995,4152000000
deu,1996,4594000000
deu,1997,5705000000
deu,1998,7686000000
deu,1999,9070000000
deu,2000,13743000000
deu,2001,15162000000
deu,2002,21353000000
deu,2003,27869000000
deu,2004,36538000000
deu,2005,42867000000
deu,2006,51630000000
deu,2007,67151000000
deu,2008,72806000000
deu,2009,75827000000
deu,2010,83856000000
deu,2011,106102000000
deu,2012,121703000000
deu,2013,129368000000
deu,2014,142926000000
deu,2015,168389000000
dnk,1960,0
dnk,1961,0
dnk,1962,0
dnk,1963,0
dnk,1964,0
dnk,1965,0
dnk,1966,0
dnk,1967,0
dnk,1968,0
dnk,1969,0
dnk,1970,0
dnk,1971,0
dnk,1972,0
dnk,1973,0
dnk,1974,0
dnk,1975,0
dnk,1976,0
dnk,1977,0
dnk,1978,3000000
dnk,1979,6000000
dnk,1980,11000000
dnk,1981,11000000
dnk,1982,19000000
dnk,1983,60000000
dnk,1984,66000000
dnk,1985,87000000
dnk,1986,177000000
dnk,1987,235000000
dnk,1988,372000000
dnk,1989,554000000
dnk,1990,797000000
dnk,1991,1032000000
dnk,1992,1324000000
dnk,1993,1579000000
dnk,1994,1710000000
dnk,1995,1821000000
dnk,1996,2060000000
