geo,time,gc_nld_totl_cn
cri,1990,-13200000000
cri,1991,-8570000000
cri,1992,8840000000
cri,1993,-2050000000
cri,1994,-73460000000
cri,1995,-44840000000
cri,1996,-69560000000
cri,1997,-54820000000
cri,1998,-43680000000
cri,1999,-63790000000
cri,2000,-64620000000
cri,2001,-65390000000
cri,2002,-206443000000
cri,2003,-111600000000
cri,2004,-108030200000
cri,2005,-75826300000
cri,2006,131976702016.96001
cri,2007,236008505120.95999
cri,2008,-123177485263.3
cri,2009,-565957399449.15796
cri,2010,-826521139880.22205
cri,2011,-725031532415.08496
cri,2012,-920182385015.72998
cri,2013,-1107465000000
cri,2014,-1588072209625.12012
cyp,1972,-2460386.07558
cyp,1973,-16829724.19756
cyp,1974,-30840256.01684
cyp,1975,-30225159.49794
cyp,1976,-36939963.16255
cyp,1977,-16590519.99576
cyp,1978,-49088119.41074
cyp,1979,-61988060.29313
cyp,1980,-80235923.68703
cyp,1981,-100141130.47906
cyp,1982,-95322874.41438
cyp,1983,-170381735.73403
cyp,1984,-106257923.63918
cyp,1985,-103267871.11678
cyp,1986,-70531067.50001
cyp,1987,-149946862.49517
cyp,1988,-142514446.22519
cyp,1989,-100158216.49347
cyp,1990,-367483861.30331
cyp,1991,-479644092.88317
cyp,1992,-386050729.41492
cyp,1993,-181435668.73214
cyp,1994,-139631022.29216
cyp,1995,-80645988.03296
cyp,1996,-379822100.41792
cyp,1997,-665158541.12774
cyp,1998,-554612027.87071
cyp,1999,-633891134.75056
cyp,2000,-381018121.42689
cyp,2001,-375379736.67035
cyp,2002,-798600313.69922
cyp,2003,-1261973024.60044
cyp,2004,-840461049.01294
cyp,2005,-526932684.52041
cyp,2006,-261928600.96297
cyp,2007,978345185.332
cyp,2008,295929769.64635
cyp,2009,-1005000000
cyp,2010,-904100000
cyp,2011,-1108600000
cyp,2012,-1119800000
cyp,2013,-1032300000
cyp,2014,-1544200000
cyp,2015,-167000000
cyp,2016,45900000
cyp,2017,359100000
cyp,2018,-941100000
cyp,2019,307900000
cze,1993,1711000000
cze,1994,-15582000000
cze,1995,-228639000000
cze,1996,-97022000000
cze,1997,-52540000000
cze,1998,-99875000000
cze,1999,-73131000000
cze,2000,-72236000000
cze,2001,-137414000000
cze,2002,-160881000000
cze,2003,-181872000000
cze,2004,-71900000000
cze,2005,-96638000000
cze,2006,-64502000000
cze,2007,-35753000000
cze,2008,-71720000000
cze,2009,-189251000000
cze,2010,-150596000000
cze,2011,-98429000000
cze,2012,-157257000000
cze,2013,-65324000000
cze,2014,-97871000000
cze,2015,-55768000000
cze,2016,-15535000000
cze,2017,34808000000
cze,2018,25827000000
cze,2019,-21890000000
deu,1972,4356206827.79219
deu,1973,8313605988.25078
deu,1974,-1605456506.9567
deu,1975,-15875612911.1418
deu,1976,-14116768839.8282
deu,1977,-11918213750.6841
deu,1978,-11882423319.0001
deu,1979,-11570535271.4709
deu,1980,-11100146740.7703
deu,1981,-15308078923.0146
deu,1982,-12935684594.2647
deu,1983,-13324266423.9735
deu,1984,-11161501766.5139
deu,1985,-5174273837.70618
deu,1986,-4601626930.76556
deu,1987,-9331076831.83051
deu,1988,-15103562170.5361
deu,1989,1840650772.30688
deu,1990,-7510877734.77258
deu,1991,-37826000000
deu,1992,-27046000000
deu,1993,-31927000000
deu,1994,-19922000000
deu,1995,-149150000000
deu,1996,-41413000000
deu,1997,-30061000000
deu,1998,-35032000000
deu,1999,-24467000000
deu,2000,-23677000000
deu,2001,-29779000000
deu,2002,-42651000000
deu,2003,-36029000000
deu,2004,-41314000000
deu,2005,-50287000000
deu,2006,-27888000000
deu,2007,-4151000000
deu,2008,-7536000000
deu,2009,-53370000000
deu,2010,-83673000000
deu,2011,-12127000000
deu,2012,4658000000
deu,2013,4378000000
deu,2014,18878000000
deu,2015,20758000000
deu,2016,22451000000
deu,2017,19018000000
deu,2018,36802000000
deu,2019,31353000000
dnk,1972,4788000000
dnk,1973,6966000000
dnk,1974,2390000000
dnk,1975,-3364000000
dnk,1976,566000000
dnk,1977,-1741000000
dnk,1978,284000000
dnk,1979,-1820000000
dnk,1980,-8479000000
dnk,1981,-22681000000
dnk,1982,-35885000000
dnk,1983,-32929000000
dnk,1984,-20202000000
dnk,1985,-2430000000
dnk,1986,30525000000
dnk,1987,28805000000
dnk,1988,18342000000
dnk,1989,9079000000
dnk,1990,-3566000000
dnk,1991,-10967000000
dnk,1992,-12034000000
dnk,1993,-17777000000
dnk,1994,-21827000000
dnk,1995,-39396000000
dnk,1996,-19918000000
dnk,1997,-7488000000
dnk,1998,30000000
dnk,1999,11188000000
dnk,2000,26586000000
dnk,2001,18522000000
dnk,2002,7385000000
dnk,2003,-1479000000
dnk,2004,26869000000
dnk,2005,84143000000
dnk,2006,90939000000
dnk,2007,87541000000
dnk,2008,60588000000
dnk,2009,-38913000000
dnk,2010,-47064000000
dnk,2011,-40029000000
dnk,2012,-66879000000
dnk,2013,-28040000000
dnk,2014,19108000000
dnk,2015,-31547000000
dnk,2016,-9589000000
dnk,2017,34820000000
dnk,2018,15775000000
dnk,2019,83613000000
dom,1972,2100000
dom,1973,-15200000
dom,1974,-34900000
dom,1975,63000000
dom,1976,-10300000
dom,1978,-50100000
dom,1979,-229100000
dom,1980,-166400000
dom,1981,-179600000
dom,1982,-250900000
dom,1983,-205000000
dom,1984,-103300000
dom,1985,-241700000
dom,1986,87300000
dom,1987,-133200000
dom,1988,-553700000
dom,1989,18700000
dom,1990,355200000
dom,1991,294800000
dom,1992,3619100000
dom,1993,147100000
dom,1994,-937000000
dom,1995,1265000000
dom,1996,-494400000
dom,1997,907600000
dom,1998,1501100000
dom,1999,-1269100000
dom,2000,3247800000
dom,2001,1128848946.508
dom,2002,-716251389.07669
dom,2003,7168611983.5257
dom,2004,-12615101150.025
dom,2005,-5093711287.04129
dom,2006,-9700596817.27332
dom,2007,4118421294.74182
dom,2008,-60308336271.257
dom,2009,-60157598282.7561
dom,2010,-55291116160.78
dom,2011,-55787123347.052
dom,2012,-147310220128.42999
dom,2013,-81561378753.606
dom,2014,-76057184626.461
dom,2015,8182218859.84216
dom,2016,-90315013069.40448
dom,2017,-102715932133.27901
dom,2018,-91694949480.18947
dom,2019,-91027474702.98659
egy,1975,-623000000
egy,1976,-1245000000
egy,1977,-463000000
egy,1978,-331000000
egy,1979,-904000000
egy,1981,189000000
egy,1982,-1878000000
egy,1983,-118000000
egy,1984,-1015000000
egy,1985,-1045000000
egy,1986,-1670000000
egy,1987,-240000000
egy,1988,-2084000000
egy,1989,-289000000
egy,1990,-1875000000
egy,1991,2751000000
egy,1992,-1634000000
egy,1993,6569000000
egy,1994,5257000000
egy,1995,7021000000
egy,1996,-3213000000
egy,1997,-4329000000
egy,2002,-25558000000
egy,2003,-24283000000
egy,2004,-27228000000
egy,2005,-34727100000
egy,2006,-44279800000
egy,2007,-33947700000
egy,2008,-56960880000
egy,2009,-68399200000
egy,2010,-93317400000
egy,2011,-138240600000
egy,2012,-167557000000
egy,2013,-235073000000
egy,2014,-234890400000
egy,2015,-262171000000
esp,1972,44474895.7244
esp,1973,114793311.9373
esp,1974,34858702.05426
esp,1975,52288053.08139
esp,1976,-63106270.96029
esp,1977,-109985215.10221
esp,1978,-543915954.46731
esp,1979,-1390742009.54407
esp,1980,-2270022718.25764
esp,1981,-3117449785.4386
esp,1982,-5925979349.22407
esp,1983,-6617143269.26544
esp,1984,-7732020722.89737
esp,1985,-10389095236.3781
esp,1986,-8061375356.09962
esp,1987,-6670633346.5556
esp,1988,-6376137415.4075
esp,1989,-4669864051.06195
esp,1990,-8522351640.16199
esp,1991,-10648131453.3671
esp,1992,-13485509598.1635
esp,1993,-26083324318.1516
esp,1994,-26189703460.6276
esp,2017,-38095000000
esp,2018,-33096000000
esp,2019,-32281000000
est,1991,238137.94113
est,1995,32000000
est,1996,4400000
est,1997,95900000
est,1998,-30900000
est,1999,-164700000
est,2000,14100000
est,2001,46600000
est,2002,75300000
est,2003,184300000
est,2004,300900000
est,2005,166200000
est,2006,416200000
est,2007,520200000
est,2008,-336300000
est,2009,-243900000
est,2010,-5000000
est,2011,156800000
est,2012,-22100000
est,2013,136300000
est,2014,144200000
est,2015,-21500000
est,2016,-116200000
est,2017,-112800000
est,2018,-189200000
est,2019,47800000
eth,1990,-1661600000
eth,1991,-1636900000
eth,1992,-1393700000
eth,1993,-1414700000
eth,1994,-2078800000
eth,1995,-1485800000
eth,1996,-887100000
eth,1997,-635600000
eth,1998,-1641800000
eth,1999,-2430400000
eth,2001,-2880500000
eth,2002,-5002696478
eth,2003,-4084100000
eth,2004,-2900900000
eth,2005,-4803200000
eth,2006,-5583800000
eth,2007,-4779579920
eth,2008,-4807949960
eth,2009,-7511500000
eth,2010,-10549699000
eth,2011,-6952735000
eth,2012,5075018458.80901
eth,2013,-13373458370.0005
eth,2014,-28314092151.91
eth,2015,-40540371474.65
eth,2016,-57573584707.9
eth,2017,-84645177379.92
eth,2018,-88952759168.57001
eth,2019,-73986509757.32001
fin,1972,264391420.3975
fin,1973,545433445.51468
fin,1974,376068203.56794
fin,1975,30273826.76307
fin,1976,547619888.55869
fin,1977,328302832.45288
fin,1978,-35992216.26277
fin,1979,-316529677.60056
fin,1980,-151032757.96243
fin,1981,111340407.31752
fin,1982,-437120420.87352
