geo,time,ic_reg_cost_pc_fe_zs
fin,2019,0.7
fji,2003,30.2
fji,2004,28.9
fji,2005,28.4
fji,2006,25.8
fji,2007,25.3
fji,2008,25.2
fji,2009,25.3
fji,2010,23.8
fji,2011,25.1
fji,2012,24
fji,2013,23.1
fji,2014,22.5
fji,2015,21.3
fji,2016,17.9
fji,2017,16.9
fji,2018,15.9
fji,2019,14.5
fra,2003,1.4
fra,2004,1.1
fra,2005,1.2
fra,2006,1.1
fra,2007,1.1
fra,2008,1
fra,2009,0.9
fra,2010,0.9
fra,2011,0.9
fra,2012,0.9
fra,2013,0.9
fra,2014,0.9
fra,2015,0.8
fra,2016,0.7
fra,2017,0.7
fra,2018,0.7
fra,2019,0.7
fsm,2003,26.5
fsm,2004,134.1
fsm,2005,127.6
fsm,2006,135.9
fsm,2007,137
fsm,2008,137.5
fsm,2009,135.7
fsm,2010,137.8
fsm,2011,139
fsm,2012,139.8
fsm,2013,141
fsm,2014,141.2
fsm,2015,141.1
fsm,2016,140.4
fsm,2017,141.7
fsm,2018,141.7
fsm,2019,141.4
gab,2005,27.8
gab,2006,24.2
gab,2007,25.6
gab,2008,20.3
gab,2009,17.8
gab,2010,21.9
gab,2011,17.3
gab,2012,14.5
gab,2013,12.5
gab,2014,12.9
gab,2015,15.1
gab,2016,14.3
gab,2017,7.2
gab,2018,6.1
gab,2019,13.3
gbr,2003,1
gbr,2004,0.9
gbr,2005,0.7
gbr,2006,0.7
gbr,2007,0.8
gbr,2008,0.8
gbr,2009,0.7
gbr,2010,0.7
gbr,2011,0.7
gbr,2012,0.7
gbr,2013,0.3
gbr,2014,0.3
gbr,2015,0.1
gbr,2016,0.1
gbr,2017,0
gbr,2018,0
gbr,2019,0
geo,2003,22.7
geo,2004,13.7
geo,2005,13.7
geo,2006,10.9
geo,2007,9.5
geo,2008,4
geo,2009,3.7
geo,2010,5
geo,2011,4.7
geo,2012,4.1
geo,2013,3.8
geo,2014,3.7
geo,2015,3.4
geo,2016,2.6
geo,2017,2.5
geo,2018,2.2
geo,2019,2.1
gha,2003,80.5
gha,2004,62
gha,2005,55.8
gha,2006,47.2
gha,2007,38.9
gha,2008,30.6
gha,2009,24.8
gha,2010,30
gha,2011,26.4
gha,2012,26.7
gha,2013,23.3
gha,2014,19.2
gha,2015,19.4
gha,2016,19.7
gha,2017,17.5
gha,2018,15.5
gha,2019,12.3
gin,2003,232.4
gin,2004,207.9
gin,2005,178.6
gin,2006,181.2
gin,2007,138.2
gin,2008,135.5
gin,2009,139
gin,2010,147.7
gin,2011,118
gin,2012,95.3
gin,2013,83
gin,2014,77.7
gin,2015,74.1
gin,2016,72.8
gin,2017,62.6
gin,2018,38.2
gin,2019,33.8
gmb,2005,317.1
gmb,2006,292.1
gmb,2007,279
gmb,2008,254.9
gmb,2009,215.1
gmb,2010,199.6
gmb,2011,206.1
gmb,2012,158.7
gmb,2013,174.3
gmb,2014,131.2
gmb,2015,141.6
gmb,2016,125.2
gmb,2017,128.2
gmb,2018,120.9
gmb,2019,49.5
gnb,2005,505.6
gnb,2006,472.1
gnb,2007,461.9
gnb,2008,465.7
gnb,2009,183.6
gnb,2010,183.3
gnb,2011,102
gnb,2012,86.4
gnb,2013,93.1
gnb,2014,102.6
gnb,2015,118.4
gnb,2016,105.6
gnb,2017,99.9
gnb,2018,91
gnb,2019,88.8
gnq,2005,98.6
gnq,2006,98.6
gnq,2007,101.4
gnq,2008,99.3
gnq,2009,98.4
gnq,2010,100.9
gnq,2011,99.1
gnq,2012,98.2
gnq,2013,98.6
gnq,2014,99
gnq,2015,99.4
gnq,2016,102.7
gnq,2017,103.4
gnq,2018,101.2
gnq,2019,59.1
grc,2003,32.7
grc,2004,32.5
grc,2005,22
grc,2006,21.7
grc,2007,21.1
grc,2008,22.5
grc,2009,20.2
grc,2010,20.7
grc,2011,20.1
grc,2012,20.5
grc,2013,12.1
grc,2014,2.2
grc,2015,2.3
grc,2016,2.3
grc,2017,1.6
grc,2018,1.6
grc,2019,1.5
grd,2005,38.7
grd,2006,37.3
grd,2007,31.7
grd,2008,30.2
grd,2009,24.6
grd,2010,25.2
grd,2011,25.1
grd,2012,19.1
grd,2013,19.7
grd,2014,18.4
grd,2015,17.3
grd,2016,15.8
grd,2017,15.3
grd,2018,14
grd,2019,14.4
gtm,2003,65.6
gtm,2004,62.8
gtm,2005,58.4
gtm,2006,52.1
gtm,2007,49.9
gtm,2008,53.4
gtm,2009,47.8
gtm,2010,49.1
gtm,2011,52.5
gtm,2012,48.1
gtm,2013,46.4
gtm,2014,26
gtm,2015,25.1
gtm,2016,24.1
gtm,2017,22.9
gtm,2018,18.1
gtm,2019,17.3
guy,2004,106.4
guy,2005,96.5
guy,2006,95.5
guy,2007,83.1
guy,2008,65
guy,2009,16.9
guy,2010,17
guy,2011,13.3
guy,2012,13.9
guy,2013,12.4
guy,2014,11.5
guy,2015,10.9
guy,2016,10.7
guy,2017,9.8
guy,2018,9.4
guy,2019,9.4
hkg,2003,2.4
hkg,2004,3.4
hkg,2005,3.4
hkg,2006,3.3
hkg,2007,3.1
hkg,2008,2
hkg,2009,1.8
hkg,2010,2
hkg,2011,1.9
hkg,2012,1.9
hkg,2013,0.8
hkg,2014,1.4
hkg,2015,1.2
hkg,2016,0.6
hkg,2017,1.1
hkg,2018,1.1
hkg,2019,0.5
hnd,2003,71.5
hnd,2004,66.8
hnd,2005,64.1
hnd,2006,59
hnd,2007,58
hnd,2008,50.9
hnd,2009,45.6
hnd,2010,46.2
hnd,2011,45.9
hnd,2012,44.8
hnd,2013,44.4
hnd,2014,43.7
hnd,2015,40.4
hnd,2016,39.5
hnd,2017,39.7
hnd,2018,39.1
hnd,2019,28.1
hrv,2003,16.3
hrv,2004,13.7
hrv,2005,12.7
hrv,2006,11.5
hrv,2007,10.1
hrv,2008,10.1
hrv,2009,8.1
hrv,2010,8.4
hrv,2011,8.4
hrv,2012,7.1
hrv,2013,9.1
hrv,2014,3.6
hrv,2015,3.4
hrv,2016,7.4
hrv,2017,7.2
hrv,2018,6.6
hrv,2019,6.2
hti,2003,415.4
hti,2004,358.5
hti,2005,308.1
hti,2006,252.4
hti,2007,262.8
hti,2008,266
hti,2009,204
hti,2010,250.9
hti,2011,314.2
hti,2012,286.6
hti,2013,264.8
hti,2014,246.7
hti,2015,235.3
hti,2016,219.3
hti,2017,200.2
hti,2018,200.3
hti,2019,179.7
hun,2003,40.4
hun,2004,22.9
hun,2005,22.4
hun,2006,20.9
hun,2007,17.7
hun,2008,8.4
hun,2009,8
hun,2010,8.2
hun,2011,7.6
hun,2012,8.9
hun,2013,8.8
hun,2014,8.5
hun,2015,7.5
hun,2016,7.1
hun,2017,5.4
hun,2018,4.9
hun,2019,4.5
idn,2013,22
idn,2014,21.2
idn,2015,20
idn,2016,19.4
idn,2017,11
idn,2018,6.1
idn,2019,5.7
ind,2013,41.5
ind,2014,16.4
ind,2015,14.5
ind,2016,14
ind,2017,15
ind,2018,14.4
ind,2019,7.2
irl,2003,10.4
irl,2004,10.3
irl,2005,5.3
irl,2006,0.3
irl,2007,0.3
irl,2008,0.3
irl,2009,0.3
irl,2010,0.4
irl,2011,0.4
irl,2012,0.3
irl,2013,0.3
irl,2014,0.3
irl,2015,0.2
irl,2016,0.2
irl,2017,0.2
irl,2018,0.1
irl,2019,0.1
irn,2003,6.5
irn,2004,7.3
irn,2005,6.3
irn,2006,5.4
irn,2007,5.3
irn,2008,4.6
irn,2009,3.9
irn,2010,4.2
irn,2011,3.9
irn,2012,3.4
irn,2013,3.3
irn,2014,3.2
irn,2015,2.8
irn,2016,1.2
irn,2017,1.4
irn,2018,1.2
irn,2019,1.1
irq,2004,30.3
irq,2005,30.3
irq,2006,54.8
irq,2007,68.5
irq,2008,126.9
irq,2009,64.6
irq,2010,92.5
irq,2011,102.3
irq,2012,70.5
irq,2013,36.7
irq,2014,35.9
irq,2015,37.4
irq,2016,51.9
irq,2017,43.3
irq,2018,38.8
irq,2019,34.2
isl,2004,3
isl,2005,2.8
isl,2006,3
isl,2007,2.7
isl,2008,2.6
isl,2009,3
isl,2010,2.3
isl,2011,3.3
isl,2012,3
isl,2013,2.7
isl,2014,2.4
isl,2015,2.2
isl,2016,2
isl,2017,1.8
isl,2018,1.7
isl,2019,1.9
isr,2003,5.5
isr,2004,5.5
isr,2005,5.3
isr,2006,5.1
isr,2007,4.4
isr,2008,4.4
isr,2009,4.2
