geo,time,tx_mnf_tech_zs_un
dnk,1997,51.32007
dnk,1998,51.72697
dnk,1999,53.10093
dnk,2000,52.68571
dnk,2001,54.36558
dnk,2002,55.37749
dnk,2003,54.22137
dnk,2004,54.55978
dnk,2005,54.08403
dnk,2006,53.37177
dnk,2007,53.17655
dnk,2008,52.83827
dnk,2009,53.36636
dnk,2010,52.09708
dnk,2011,52.52246
dnk,2012,52.06559
dnk,2013,53.08886
dnk,2014,54.04665
dnk,2015,55.2522
dnk,2016,59.42737
dnk,2017,57.78362
dnk,2018,57.68827
dnk,2019,60.63712
dza,1990,4.75605
dza,1991,4.75605
dza,1992,4.75605
dza,1993,2.24367
dza,1994,2.95942
dza,1995,4.47787
dza,1996,5.49487
dza,1997,2.2859
dza,1998,2.77965
dza,1999,3.7668
dza,2000,2.21649
dza,2001,3.24646
dza,2002,3.7056
dza,2003,2.1589
dza,2004,2.14288
dza,2005,1.75114
dza,2006,1.27699
dza,2007,0.90882
dza,2008,0.74903
dza,2009,0.66054
dza,2010,0.45805
dza,2011,0.52556
dza,2012,0.54627
dza,2013,0.82835
dza,2014,1.92366
dza,2015,4.46341
dza,2016,6.05115
dza,2017,3.94875
dza,2018,3.94875
dza,2019,3.94875
ecu,1990,6.28277
ecu,1991,7.98712
ecu,1992,11.52819
ecu,1993,21.6328
ecu,1994,21.92481
ecu,1995,19.49864
ecu,1996,15.85838
ecu,1997,19.62224
ecu,1998,19.08819
ecu,1999,14.49949
ecu,2000,15.92537
ecu,2001,20.46412
ecu,2002,17.06842
ecu,2003,22.24492
ecu,2004,15.77649
ecu,2005,18.61946
ecu,2006,24.90718
ecu,2007,18.8391
ecu,2008,19.87122
ecu,2009,19.13182
ecu,2010,23.03837
ecu,2011,19.06329
ecu,2012,21.04109
ecu,2013,15.78116
ecu,2014,17.10884
ecu,2015,17.94635
ecu,2016,15.4136
ecu,2017,11.8013
ecu,2018,11.84627
ecu,2019,10.09101
egy,1990,10.64911
