geo,time,ny_adj_svnx_cd
kaz,2010,6864814171.89367
kaz,2011,14301031231.5066
kaz,2012,13635961864.0255
kaz,2013,17263732476.3322
kaz,2014,19338943446.3104
kaz,2015,16449532450.3957
kaz,2016,6228893390.66512
kaz,2017,9147022065.34582
kaz,2018,6097420476.5201
kaz,2019,8501738975.09948
ken,1975,108254210.32997
ken,1976,297354935.15088
ken,1977,748545029.50248
ken,1978,557261776.40716
ken,1979,382033148.45862
ken,1980,615644203.3565
ken,1981,763149829.2772
ken,1982,496811778.82125
ken,1983,734183843.37123
ken,1984,625759282.23284
ken,1985,1040450275.40675
ken,1986,1097739004.14345
ken,1987,1005273166.01427
ken,1988,1177629072.05221
ken,1989,627432811.85572
ken,1990,1001370129.05576
ken,1991,928340474.56395
ken,1992,462757357.51035
ken,1993,1495525011.36298
ken,1994,1652918061.63313
ken,1995,1043889696.66054
ken,1996,512693957.78902
ken,1997,580742762.45062
ken,1998,636386748.26597
ken,1999,685610039.63802
ken,2000,-52142597.85853
ken,2001,-401290340.40265
ken,2002,-527126891.37858
ken,2003,-494601036.05503
ken,2004,8251906.80185
ken,2005,487232635.909
ken,2006,1659039304.14142
ken,2007,2135858763.23181
ken,2008,1915815925.31479
ken,2009,1417709068.74967
ken,2010,1383368903.64508
ken,2011,1415343172.34696
ken,2012,1492566200.75032
ken,2013,243506540.65244
ken,2014,-256446716.58411
ken,2015,360021306.34008
ken,2016,1098449539.23296
ken,2017,-2111550614.79236
ken,2018,-2630731806.93517
ken,2019,-3801180764.3181
kgz,1997,-15513600.87567
kgz,1998,-415633603.7756
kgz,1999,-195481002.45477
kgz,2000,-62242855.72799
kgz,2001,19717265.87798
kgz,2002,-3784192.67809
kgz,2003,-90772719.95706
kgz,2004,29320098.62292
kgz,2005,53986775.80802
kgz,2006,24912673.47151
kgz,2007,480670900.76723
kgz,2008,151789517.30396
kgz,2009,655844121.14748
kgz,2010,217961791.51667
kgz,2011,249984627.31758
kgz,2012,106261309.39108
kgz,2013,-523736829.06463
kgz,2014,-565339221.15209
kgz,2015,-573568098.82916
kgz,2016,479036424.1101
kgz,2017,670752803.73875
kgz,2018,950672164.52008
kgz,2019,624183844.77193
khm,1995,-47678255.59939
khm,1996,-109101993.78474
khm,1997,24471243.02345
khm,1998,-46660094.53627
khm,1999,197008585.43844
khm,2000,268287199.35293
khm,2001,371154986.98638
khm,2002,309633451.28083
khm,2003,312773902.9149
khm,2004,264053359.0573
khm,2005,432281105.64698
khm,2006,926276080.71556
khm,2007,1042540034.2665
khm,2008,984613878.78317
khm,2009,1085013456.12489
khm,2010,967702652.73719
khm,2011,976996504.66303
khm,2012,1462026082.17785
khm,2013,1995092107.47056
khm,2014,2046957863.8538
khm,2015,2047672096.68396
khm,2016,2094009827.7659
khm,2017,2847343156.6818
khm,2018,3668503702.8123
khm,2019,4487136007.12859
kir,1980,11404253.9523
kir,1981,10147762.83896
kir,1982,21856025.74115
kir,1983,28053422.45257
