geo,time,ag_lnd_crel_ha
eth,1995,6532410
eth,1996,7736657
eth,1997,7504650
eth,1998,6319880
eth,1999,7463030
eth,2000,7184230
eth,2001,8001604
eth,2002,6648807
eth,2003,8486199
eth,2004,8722142
eth,2005,9365022
eth,2006,8105902
eth,2007,8502791
eth,2008,9167845
eth,2009,9233024
eth,2010,9690734
eth,2011,9589012
eth,2012,9601039
eth,2013,9838052
eth,2014,10152014
eth,2015,9974316
eth,2016,10219444
eth,2017,10342628
eth,2018,10520859
fin,1961,1029808
fin,1962,1059191
fin,1963,1056400
fin,1964,1124700
fin,1965,1131000
fin,1966,1131900
fin,1967,1180800
fin,1968,1191900
fin,1969,1156900
fin,1970,1196900
fin,1971,1212100
fin,1972,1228000
fin,1973,1247500
fin,1974,1306300
fin,1975,1310900
fin,1976,1360200
fin,1977,1192300
fin,1978,1232700
fin,1979,1235500
fin,1980,1170900
fin,1981,1164900
fin,1982,1169500
fin,1983,1219000
fin,1984,1192000
fin,1985,1254000
fin,1986,1196700
fin,1987,1136700
fin,1988,1214400
fin,1989,1193800
fin,1990,1212600
fin,1991,1024300
fin,1992,914500
fin,1993,926200
fin,1994,947700
fin,1995,977700
fin,1996,1079400
fin,1997,1117700
fin,1998,1157000
fin,1999,1134000
fin,2000,1172700
fin,2001,1160200
fin,2002,1195100
fin,2003,1192900
fin,2004,1127100
fin,2005,1185800
fin,2006,1150600
fin,2007,1131500
fin,2008,1193900
fin,2009,1133100
fin,2010,954200
fin,2011,1042500
fin,2012,1036300
fin,2013,1102000
fin,2014,1119000
fin,2015,1019800
fin,2016,998100
fin,2017,864500
fin,2018,907300
fji,1961,13060
fji,1962,12857
fji,1963,12263
fji,1964,10319
fji,1965,8287
fji,1966,8571
fji,1967,9819
fji,1968,10898
fji,1969,10813
fji,1970,11548
fji,1971,9376
fji,1972,9295
fji,1973,8454
fji,1974,9207
fji,1975,10395
fji,1976,9456
fji,1977,9572
fji,1978,9224
fji,1979,9871
fji,1980,9813
fji,1981,8919
fji,1982,10074
fji,1983,9731
fji,1984,11321
fji,1985,12165
fji,1986,12031
fji,1987,12655
fji,1988,14129
fji,1989,13761
fji,1990,13057
fji,1991,12765
fji,1992,10902
fji,1993,10039
fji,1994,8512
fji,1995,7458
fji,1996,9247
fji,1997,8376
fji,1998,8515
fji,1999,6673
fji,2000,5828
fji,2001,6361
fji,2002,5679
fji,2003,7076
fji,2004,6133
fji,2005,6789
fji,2006,6000
fji,2007,5733
fji,2008,5397
fji,2009,4307
fji,2010,3001
fji,2011,2886
fji,2012,2005
fji,2013,2570
fji,2014,2232
fji,2015,2475
fji,2016,3180
fji,2017,3355
fji,2018,2759
fra,1961,9140300
fra,1962,9408120
fra,1963,9159745
fra,1964,9226542
fra,1965,9377274
fra,1966,9194306
fra,1967,9303635
fra,1968,9307842
fra,1969,9375548
fra,1970,9318100
fra,1971,9544110
fra,1972,9710900
fra,1973,9768200
fra,1974,9827100
fra,1975,9666100
fra,1976,9512100
fra,1977,9704305
fra,1978,9816421
fra,1979,9802300
fra,1980,9893542
fra,1981,9714700
fra,1982,9719100
fra,1983,9373400
fra,1984,9728400
fra,1985,9696400
fra,1986,9501600
fra,1987,9277452
fra,1988,9221092
fra,1989,9444447
fra,1990,9060354
fra,1991,9219799
fra,1992,9324538
fra,1993,8510030
fra,1994,8129016
fra,1995,8252948
fra,1996,8789940
fra,1997,9147848
fra,1998,9163034
fra,1999,8851319
fra,2000,9089764
fra,2001,8961009
fra,2002,9352047
fra,2003,8995422
fra,2004,9395474
fra,2005,9218409
fra,2006,9090572
fra,2007,9137030
fra,2008,9709048
fra,2009,9493933
