geo,time,nv_srv_totl_kd
irn,2015,215211888764.90897
irn,2016,222904865686.48096
irn,2017,232701099813.255
irn,2018,231356675132.46701
irn,2019,230986342257.51901
irn,2020,230922605420.58301
irq,1968,7292714919.0465
irq,1969,7547272494.84219
irq,1970,8064820232.3555
irq,1971,8332366969.55989
irq,1972,8772420602.8087
irq,1973,9116552435.21823
irq,1974,12264679867.5772
irq,1975,15283596452.6453
irq,1976,17096401032.593
irq,1977,18534683881.1902
irq,1978,22901027344.8781
irq,1979,30645866390.0819
irq,1980,36066941309.6853
irq,1981,39278467043.2981
irq,1982,37272246136.103
irq,1983,31411170647.1353
irq,1984,32097123895.3371
irq,1985,30273291148.0248
irq,1986,35197954934.3933
irq,1987,34782657929.5053
irq,1988,36280704802.0349
irq,1989,36909181884.2883
irq,1990,31931090787.5309
irq,1991,15907702952.2801
irq,1992,21586674721.2242
irq,1993,29815143287.27909
irq,1994,28482215829.6481
irq,1995,24811363189.0441
irq,1996,30368149286.1324
irq,1997,28883839749.2135
irq,1998,31735501687.64009
irq,1999,38545312040.0695
irq,2000,42179768882.5352
irq,2001,43246657277.0778
irq,2002,42383559120.9631
irq,2003,28604371362.7056
irq,2004,53094806089.4271
irq,2005,55463717236.5547
irq,2006,58780995077.137
irq,2007,58443000642.65289
irq,2008,61799097225.6055
irq,2009,63881096958.2542
irq,2010,68909732877.3302
irq,2011,73848889302.0434
irq,2012,83834417910.32961
irq,2013,91068953644.91949
irq,2014,87841987532.1295
irq,2015,85471157808.99939
irq,2016,84983238197.7189
irq,2017,89221703501.42529
irq,2018,98552458302.20551
irq,2019,98257725304.34901
irq,2020,82676959422.23059
isl,1995,5137572926.98384
isl,1996,5457208015.14813
isl,1997,5750560129.18975
isl,1998,6406933505.10865
isl,1999,6843206151.22779
isl,2000,7223785885.49721
isl,2001,7518679365.44831
isl,2002,7555189069.47186
isl,2003,7887293852.1894
isl,2004,8310873977.13464
isl,2005,8709934683.73156
isl,2006,9037206982.81141
isl,2007,10040730247.8137
isl,2008,10414779854.4747
isl,2009,9993439199.60549
isl,2010,9745699023.94279
isl,2011,9941000488.80963
isl,2012,10142103670.5755
isl,2013,10492984842.4
isl,2014,10802586380.2382
isl,2015,11275138186.8866
isl,2016,12080227466.9655
isl,2017,12707688870.9181
isl,2018,13343137693.8845
isl,2019,13624188618.6612
isl,2020,12699001384.4075
isr,1995,84431995368.9808
isr,1996,88539419235.88188
isr,1997,91712897731.6582
isr,1998,96602360790.70369
isr,1999,101943260752.112
isr,2000,111025359975.987
isr,2001,113854012006.34599
isr,2002,115555929591.355
isr,2003,118473985763.90401
isr,2004,125676779297.629
isr,2005,130203323528.151
isr,2006,139038790617.89801
isr,2007,147587576004.45999
isr,2008,155180664894.30099
isr,2009,158085664937.181
isr,2010,163017053128.082
isr,2011,173967805154.15302
isr,2012,181186666009.17599
isr,2013,190456873633.20599
isr,2014,199273461858.41101
isr,2015,205648318940.01096
isr,2016,215256103168.81799
isr,2017,225475364607.00696
isr,2018,231775611851.979
isr,2019,241508045366.83701
isr,2020,236490191930.01999
ita,1990,939865906529.81995
ita,1991,954675588066.26074
ita,1992,966135696785.44702
ita,1993,972760420733.30591
ita,1994,989786897930.08704
ita,1995,1014594728539.77002
ita,1996,1031873394688.05005
ita,1997,1055930186036.43994
ita,1998,1077383949192.15002
ita,1999,1097101879430.46997
ita,2000,1144842554844.72998
ita,2001,1173910461163.62988
ita,2002,1177549885347.45996
ita,2003,1184077815390.73999
ita,2004,1196895795913.55005
ita,2005,1208917368083.47998
ita,2006,1228863081318.23999
ita,2007,1247705273031.98999
ita,2008,1247005503251.87012
ita,2009,1221431453025.55005
ita,2010,1236743174721.33008
ita,2011,1248014938079.76001
ita,2012,1223587014669.44995
ita,2013,1209521054047.26001
ita,2014,1219400267776.67993
ita,2015,1230022411337.65991
ita,2016,1242144838229.34009
ita,2017,1258890272482.37988
ita,2018,1266479895410.69995
ita,2019,1272925277694.91992
