geo,time,fi_res_xgld_cd
som,1981,30711888.63854
som,1982,6505268.44209
som,1983,9166434.59181
som,1984,1049010.47849
som,1985,2500000
som,1986,12800000
som,1987,7300000
som,1988,15300000
som,1989,15400000
srb,2006,11647736290.9874
srb,2007,13892608025.1323
srb,2008,11122854350.4144
srb,2009,14769209158.6519
srb,2010,12714642389.8259
srb,2011,14877188594.9094
srb,2012,13584827520.8867
srb,2013,14802872149.0996
srb,2014,11371865035.0611
srb,2015,10727087162.9245
srb,2016,10059613704.3868
srb,2017,11099323877.6327
srb,2018,12032947477.7995
srb,2019,13496363418.2204
srb,2020,14419194291.4959
srb,2021,16431439704.8676
ssd,2012,1282090260.28818
ssd,2013,947810456.61582
ssd,2014,416808670.07584
ssd,2015,229880518.36633
ssd,2016,68159818.64002
ssd,2017,33820210.95582
ssd,2018,36396368.19986
ssd,2019,378281747.00786
ssd,2020,183614816.68196
stp,1995,5137290.88415
stp,1996,5030364.66516
stp,1997,12426781.34654
stp,1998,9682286.74057
stp,1999,10877242.64325
stp,2000,11639663.81479
stp,2001,15481933.62215
stp,2002,17352535.25777
stp,2003,25470020.00198
stp,2004,19503428.32342
stp,2005,26702730.97694
stp,2006,34181487.46769
stp,2007,39331621.05176
stp,2008,61292170.21804
stp,2009,66659123.44841
stp,2010,48170349.0658
stp,2011,52125217.78631
stp,2012,51587491.13673
stp,2013,63787766.58416
stp,2014,63523954.97911
stp,2015,72864704.98674
stp,2016,63203006.41647
stp,2017,58950229.50028
stp,2018,43683545.11754
stp,2019,47148376.73579
stp,2020,75287733.67698
sur,1960,5043000
sur,1961,3961000
sur,1962,6011000
sur,1963,8099000
sur,1964,12694000
sur,1965,17403000
sur,1966,17247000
sur,1967,8363000
sur,1968,9101000
sur,1969,23761000
sur,1970,27828000
sur,1971,33094000
sur,1972,37591000
sur,1973,56436000
sur,1974,67547000
sur,1975,91406000
sur,1976,110218000
sur,1977,94025000
sur,1978,132423280.05705
sur,1979,169526391.23405
sur,1980,189250601.22016
sur,1981,207088678.25435
sur,1982,175756837.96239
sur,1983,59148223.53024
sur,1984,24869668.2493
sur,1985,23419797.89104
sur,1986,20890495.07663
sur,1987,15097000
sur,1988,12560000
sur,1989,9246000
sur,1990,21068000
sur,1991,1100000
sur,1992,17300000
sur,1993,17702747.11694
sur,1994,39702589.76968
sur,1995,132922044.57076
sur,1996,96316436.40212
sur,1997,109111000.1727
sur,1998,106137859.57773
sur,1999,38458398.88223
sur,2000,62989566.05352
sur,2001,119252339.52817
sur,2002,106161284.04246
sur,2003,105763373.65761
sur,2004,129398726.84466
sur,2005,125776538.08993
sur,2006,215515802.85918
sur,2007,370083171.9833
sur,2008,561929086.58718
sur,2009,596597837.81444
sur,2010,601731467.11028
sur,2011,708359441.30313
sur,2012,885111896.94258
sur,2013,738413670.15361
sur,2014,573285710.82304
sur,2015,284664246.43937
sur,2016,351978924.05296
sur,2017,385461409.3701
sur,2018,524017424.44583
sur,2019,566576008.97514
sur,2020,495997605.08232
sur,2021,906664252.21691
svk,1993,415648883.85119
svk,1994,1691176198.64439
svk,1995,3363865975.84759
svk,1996,3418860093.29453
svk,1997,3230327663.96097
svk,1998,2868781072.63294
svk,1999,3370676199.54131
svk,2000,4022288177.41435
svk,2001,4140963636.27224
svk,2002,8808653509.20125
svk,2003,11678082561.6938
svk,2004,14417463832.3249
svk,2005,14900686359.0887
svk,2006,12646602119.1005
svk,2007,18032075399.3287
svk,2008,17854189342.7208
svk,2009,692222039.12466
svk,2010,719312869.47611
svk,2011,853303582.87202
svk,2012,818406757.96748
svk,2013,921917324.50638
svk,2014,1391837837.79851
svk,2015,1811889439.91285
svk,2016,1712217489.86374
svk,2017,2299745040.50759
svk,2018,3923296004.833
svk,2019,5616833088.19532
svk,2020,7416683102.21729
svk,2021,7754851828.63927
svn,1991,112140000
svn,1992,715544000
svn,1993,787798266.27984
svn,1994,1498977216.67496
svn,1995,1820790282.34888
svn,1996,2297355722.37113
svn,1997,3314665665.66642
svn,1998,3638514949.76873
svn,1999,3168003683.67163
svn,2000,3196010292.97185
svn,2001,4329992399.10722
svn,2002,6980233611.22205
svn,2003,8496911364.65471
svn,2004,8793393657.34231
svn,2005,8076369247.58111
svn,2006,7036134748.44035
svn,2007,979802723.5383
svn,2008,868063932.54998
svn,2009,966149102.59062
svn,2010,926930249.23257
svn,2011,830731174.49799
svn,2012,782187167.04235
svn,2013,799296291.79094
svn,2014,893356870.65301
svn,2015,748093889.02524
svn,2016,625178376.08308
svn,2017,757545337.68343
svn,2018,802364242.00726
svn,2019,860080218.95744
svn,2020,1118218495.57558
svn,2021,2081336891.84422
swe,1960,332530000
swe,1961,550540000
swe,1962,620540000
swe,1963,576520000
swe,1964,775540000
swe,1965,769560000
swe,1966,824320000
swe,1967,637520000
swe,1968,590390000
swe,1969,469990000
swe,1970,561230000
swe,1971,892599913.32675
swe,1972,1357853754.10005
swe,1973,2284237348.73664
swe,1974,1487021548.85159
swe,1975,2838601812.45651
swe,1976,2255454241.72306
swe,1977,3414831204.02778
swe,1978,4123747127.84954
swe,1979,3513927204.83978
swe,1980,3418479377.1771
swe,1981,3601128547.68039
swe,1982,3512530451.74625
swe,1983,4033809297.36775
swe,1984,3845017752.01778
swe,1985,5793463532.51318
swe,1986,6550567110.68707
swe,1987,8174299039.56646
swe,1988,8491930831.23629
swe,1989,9559363287.51281
swe,1990,17987938925.3247
swe,1991,18331454948.576
swe,1992,22624447495.4281
swe,1993,19049956868.58829
swe,1994,23253734408.4624
swe,1995,24051274524.0275
swe,1996,19107165592.0349
swe,1997,10825179291.1575
swe,1998,14098242618.7845
swe,1999,15019035111.6058
swe,2000,14862616840.8654
swe,2001,13976873854.4908
swe,2002,17127447181.1646
swe,2003,19681149707.041
swe,2004,22157717796.8418
swe,2005,22090103214.4184
swe,2006,24777762719.7179
swe,2007,27044352788.822
swe,2008,25896400628.738
swe,2009,42859612977.9692
swe,2010,42564953184.4839
swe,2011,44025410140.1237
swe,2012,45519227181.3504
swe,2013,60494628781.6605
swe,2014,57704375110.1092
swe,2015,53813900259.2702
swe,2016,54729780243.4316
swe,2017,56951028193.5854
swe,2018,55385715100.5195
swe,2019,49353663819.88969
swe,2020,50616518459.2008
swe,2021,54696321356.5423
swz,1974,13472680.83836
swz,1975,45611556.74465
swz,1976,73385784.64688
swz,1977,94706225.16336
swz,1978,113608512.21358
swz,1979,113704927.48937
swz,1980,158744508.59342
swz,1981,96362337.46755
swz,1982,76124506.20002
swz,1983,92498850.44581
swz,1984,80100442.47046
swz,1985,83418804.92091
swz,1986,96446656.51413
swz,1987,127160624.21087
swz,1988,140008662.78209
swz,1989,180614472.88879
swz,1990,216466813.10552
swz,1991,171931836.67339
swz,1992,309055045.58142
swz,1993,264288572.76561
swz,1994,296970645.34024
swz,1995,298195460.69139
swz,1996,253999529.96123
swz,1997,294839207.1262
swz,1998,358611455.47475
swz,1999,375930168.65429
swz,2000,351794140.71926
swz,2001,271776570.2336
swz,2002,275844476.90986
swz,2003,277512201.61347
swz,2004,323561615.64686
swz,2005,243897157.25352
swz,2006,372529356.20265
swz,2007,774192962.82877
swz,2008,751935734.69935
swz,2009,958869319.48923
swz,2010,756344144.77559
swz,2011,600507428.7675
swz,2012,740960093.30333
swz,2013,762540937.77633
swz,2014,690755431.11801
swz,2015,547997264.06454
swz,2016,564314115.62759
swz,2017,563119751.25345
swz,2018,440685903.01384
swz,2019,440314152.60338
swz,2020,545564174.12374
swz,2021,572281510.89864
syc,1973,4270000
syc,1974,5040000
syc,1975,6340000
syc,1976,6490000
syc,1977,11511471.26005
syc,1978,9260279.58015
syc,1979,12147892.92783
syc,1980,18439443.92087
syc,1981,13800012.33875
syc,1982,13071864.47295
syc,1983,9972347.79883
syc,1984,5399604.1914
syc,1985,8500984.18278
syc,1986,7748927.86809
syc,1987,13712559.83203
syc,1988,8707284.7896
syc,1989,12114849.84361
syc,1990,16638359.43435
syc,1991,27650738.789
syc,1992,31257754.17658
syc,1993,35650570.82787
syc,1994,30154867.74219
syc,1995,27095250.02676
syc,1996,21760021.45429
syc,1997,26323862.58149
syc,1998,21589896.36941
syc,1999,30345524.73198
syc,2000,43752074.04686
syc,2001,37133887.91981
syc,2002,69794569.434
syc,2003,67387801.99967
syc,2004,34591085.96578
syc,2005,56244154.29637
syc,2006,112923278.38174
syc,2007,40768609.39932
syc,2008,63833877.5195
syc,2009,190546677.64174
syc,2010,255584702.55367
syc,2011,279115073.98724
syc,2012,308093541.24807
syc,2013,425902438.87312
syc,2014,465010215.59244
syc,2015,536145674.40741
syc,2016,523503786.87859
syc,2017,545203276.38712
syc,2018,549521831.72802
syc,2019,580545515.11504
syc,2020,559681941.83223
syc,2021,702557512.14522
syr,1960,9000000
syr,1961,2000000
syr,1962,14000000
syr,1963,3000000
syr,1964,14000000
syr,1965,26000000
syr,1966,34000000
syr,1967,55000000
syr,1968,39080000
syr,1969,31000000
syr,1970,27000000
syr,1971,58000000
syr,1972,105299440.86021
syr,1973,378674889.93266
syr,1974,466100886.44167
syr,1975,701904310.3848
syr,1976,293388493.24673
syr,1977,483737719.26502
syr,1978,381803746.85089
syr,1979,580834332.33106
syr,1980,336528964.64751
syr,1981,291420769.6364
syr,1982,198082854.41528
syr,1983,52181803.91476
syr,1984,268185308.62407
syr,1985,83053602.81195
syr,1986,144244639.34045
syr,1987,223028373.22135
syr,1988,193026913.91584
syr,1989,126026283.2812
syr,1990,126085359.43435
syr,1991,126143043.09889
syr,1992,126013750.05156
syr,1993,126027471.16939
syr,1994,126007935.73167
syr,1995,126014004.17405
syr,1996,126022561.51572
syr,1997,126017772.3328
syr,1998,126075203.98753
syr,1999,126077977.9053
syr,2000,126018209.43983
syr,2001,126413407.54742
syr,2002,126040264.99826
syr,2003,126063849.16808
syr,2004,182815435.96019
syr,2005,17346850269.9883
syr,2006,16467362431.0078
syr,2007,17012957923.8149
syr,2008,17061890083.9648
syr,2009,17397709790.1589
syr,2010,19465342296.8694
tcd,1960,12240000
tcd,1961,7690000
tcd,1962,10300000
tcd,1963,11260000
tcd,1964,14893000
tcd,1965,13623000
tcd,1966,7373000
tcd,1967,983000
tcd,1968,-2246152.08321
tcd,1969,-4810495.80883
tcd,1970,2308557.60921
tcd,1971,11224223.1798
tcd,1972,10074968.89722
tcd,1973,1470530.61297
tcd,1974,15267029.23657
tcd,1975,3058688.10897
tcd,1976,23274483.26886
tcd,1977,18783396.11801
tcd,1978,11790275.93677
tcd,1979,11266750.98184
tcd,1980,5052588.80349
tcd,1981,7314716.04185
tcd,1982,12405334.63416
tcd,1983,27999468.40659
tcd,1984,44162152.54578
tcd,1985,33460313.64353
tcd,1986,15909633.25957
tcd,1987,52107686.73605
tcd,1988,63082745.20038
tcd,1989,111732931.94145
tcd,1990,127780629.90209
tcd,1991,119790667.93794
tcd,1992,80482289.07562
