geo,time,sp_pop_totl_fe_zs
mar,2007,50.665
mar,2008,50.69144
mar,2009,50.70322
mar,2010,50.69527
mar,2011,50.66527
mar,2012,50.61731
mar,2013,50.56045
mar,2014,50.5066
mar,2015,50.46379
mar,2016,50.43459
mar,2017,50.41605
mar,2018,50.40385
mar,2019,50.39159
mar,2020,50.37494
mda,1960,53.21653
mda,1961,53.20494
mda,1962,53.1958
mda,1963,53.19007
mda,1964,53.1898
mda,1965,53.19528
mda,1966,53.20784
mda,1967,53.22508
mda,1968,53.24068
mda,1969,53.24675
mda,1970,53.23788
mda,1971,53.21281
mda,1972,53.17373
mda,1973,53.1243
mda,1974,53.06916
mda,1975,53.01197
mda,1976,52.95286
mda,1977,52.89169
mda,1978,52.83045
mda,1979,52.7719
mda,1980,52.71773
mda,1981,52.66966
mda,1982,52.62727
mda,1983,52.5889
mda,1984,52.55198
mda,1985,52.51475
mda,1986,52.47656
mda,1987,52.43819
mda,1988,52.40136
mda,1989,52.36753
mda,1990,52.33798
mda,1991,52.31329
mda,1992,52.2924
mda,1993,52.27403
mda,1994,52.25613
mda,1995,52.23711
mda,1996,52.216
mda,1997,52.19314
mda,1998,52.17065
mda,1999,52.15142
mda,2000,52.13756
mda,2001,52.13103
mda,2002,52.13035
mda,2003,52.13039
mda,2004,52.12432
mda,2005,52.10747
mda,2006,52.07758
mda,2007,52.03704
mda,2008,51.99218
mda,2009,51.95178
mda,2010,51.92264
mda,2011,51.90685
mda,2012,51.90269
mda,2013,51.9088
mda,2014,51.92295
mda,2015,51.9428
mda,2016,51.96843
mda,2017,52.00002
mda,2018,52.03556
mda,2019,52.07212
mda,2020,52.10782
mdg,1960,49.15441
mdg,1961,49.20211
mdg,1962,49.24827
mdg,1963,49.29274
mdg,1964,49.33536
mdg,1965,49.37613
mdg,1966,49.4151
mdg,1967,49.45234
mdg,1968,49.48826
mdg,1969,49.52339
mdg,1970,49.55792
mdg,1971,49.5919
mdg,1972,49.62532
mdg,1973,49.658
mdg,1974,49.68964
mdg,1975,49.72016
mdg,1976,49.74961
mdg,1977,49.77796
mdg,1978,49.80527
mdg,1979,49.83159
mdg,1980,49.85688
mdg,1981,49.88115
mdg,1982,49.90449
mdg,1983,49.92702
mdg,1984,49.94893
mdg,1985,49.9702
mdg,1986,49.99096
mdg,1987,50.01098
mdg,1988,50.03077
mdg,1989,50.05059
mdg,1990,50.07064
mdg,1991,50.09075
mdg,1992,50.11065
mdg,1993,50.12973
mdg,1994,50.14727
mdg,1995,50.16277
mdg,1996,50.17621
mdg,1997,50.18768
mdg,1998,50.19696
mdg,1999,50.20402
mdg,2000,50.20878
mdg,2001,50.21129
mdg,2002,50.21178
mdg,2003,50.21077
mdg,2004,50.20885
mdg,2005,50.20651
mdg,2006,50.20395
mdg,2007,50.20108
mdg,2008,50.19752
mdg,2009,50.19284
mdg,2010,50.18686
mdg,2011,50.17955
mdg,2012,50.17125
mdg,2013,50.16244
mdg,2014,50.15372
mdg,2015,50.14545
mdg,2016,50.13777
mdg,2017,50.13064
mdg,2018,50.12397
mdg,2019,50.11763
mdg,2020,50.11155
mdv,1960,45.54538
mdv,1961,45.72502
mdv,1962,45.88312
mdv,1963,46.06213
mdv,1964,46.29206
mdv,1965,46.58748
mdv,1966,46.97562
mdv,1967,47.42513
mdv,1968,47.85928
mdv,1969,48.17911
mdv,1970,48.32135
mdv,1971,48.27037
mdv,1972,48.07008
mdv,1973,47.80814
mdv,1974,47.58141
mdv,1975,47.43875
mdv,1976,47.40864
mdv,1977,47.45445
mdv,1978,47.55199
mdv,1979,47.64542
mdv,1980,47.71815
mdv,1981,47.76311
mdv,1982,47.79304
mdv,1983,47.82162
mdv,1984,47.87693
mdv,1985,47.9656
mdv,1986,48.09184
mdv,1987,48.2406
mdv,1988,48.40433
mdv,1989,48.57184
mdv,1990,48.737
mdv,1991,48.89246
mdv,1992,49.03564
mdv,1993,49.16528
mdv,1994,49.28434
mdv,1995,49.38736
mdv,1996,49.47989
mdv,1997,49.55313
mdv,1998,49.58297
mdv,1999,49.54154
mdv,2000,49.4123
mdv,2001,49.17624
mdv,2002,48.84545
mdv,2003,48.4672
mdv,2004,48.09792
mdv,2005,47.76411
mdv,2006,47.48556
mdv,2007,47.22948
mdv,2008,46.90725
mdv,2009,46.40441
mdv,2010,45.67003
mdv,2011,44.74353
mdv,2012,43.70228
mdv,2013,42.59105
mdv,2014,41.45714
mdv,2015,40.34763
mdv,2016,39.23555
mdv,2017,38.1599
mdv,2018,37.26498
mdv,2019,36.70486
mdv,2020,36.55849
mex,1960,50.10397
mex,1961,50.1008
mex,1962,50.09799
mex,1963,50.09525
mex,1964,50.09226
mex,1965,50.08887
mex,1966,50.08495
mex,1967,50.08076
mex,1968,50.0771
mex,1969,50.07491
mex,1970,50.0747
mex,1971,50.07799
mex,1972,50.08452
mex,1973,50.09128
mex,1974,50.09454
mex,1975,50.09273
mex,1976,50.08312
mex,1977,50.06876
mex,1978,50.05998
mex,1979,50.06959
mex,1980,50.10458
mex,1981,50.16876
mex,1982,50.25529
mex,1983,50.34829
mex,1984,50.42748
mex,1985,50.48049
mex,1986,50.5025
mex,1987,50.50095
mex,1988,50.4905
mex,1989,50.49066
mex,1990,50.51365
mex,1991,50.56344
mex,1992,50.633
mex,1993,50.71039
mex,1994,50.7795
mex,1995,50.82996
mex,1996,50.85827
mex,1997,50.86968
mex,1998,50.87322
mex,1999,50.88128
mex,2000,50.90181
mex,2001,50.93753
mex,2002,50.98392
mex,2003,51.03306
mex,2004,51.07402
mex,2005,51.09971
mex,2006,51.10801
mex,2007,51.10266
mex,2008,51.08954
mex,2009,51.0768
mex,2010,51.06991
mex,2011,51.07032
mex,2012,51.0759
mex,2013,51.08419
mex,2014,51.09155
mex,2015,51.0955
mex,2016,51.09567
mex,2017,51.09328
mex,2018,51.08928
mex,2019,51.08514
mex,2020,51.08187
mkd,1960,49.39207
mkd,1961,49.3853
mkd,1962,49.38095
mkd,1963,49.37668
mkd,1964,49.37
mkd,1965,49.35888
mkd,1966,49.34266
mkd,1967,49.32232
mkd,1968,49.30056
mkd,1969,49.28092
mkd,1970,49.26543
mkd,1971,49.25471
mkd,1972,49.24827
mkd,1973,49.24607
mkd,1974,49.24675
mkd,1975,49.25103
mkd,1976,49.25801
mkd,1977,49.26794
mkd,1978,49.28199
mkd,1979,49.30063
mkd,1980,49.32473
mkd,1981,49.35461
mkd,1982,49.38921
mkd,1983,49.42738
mkd,1984,49.46766
mkd,1985,49.50826
mkd,1986,49.54914
mkd,1987,49.59007
mkd,1988,49.62982
mkd,1989,49.66725
mkd,1990,49.70028
mkd,1991,49.72934
mkd,1992,49.75403
mkd,1993,49.77596
mkd,1994,49.79601
mkd,1995,49.81528
mkd,1996,49.83355
mkd,1997,49.85017
mkd,1998,49.86695
mkd,1999,49.88488
mkd,2000,49.90513
mkd,2001,49.92829
mkd,2002,49.95378
mkd,2003,49.97955
mkd,2004,50.0016
mkd,2005,50.0181
mkd,2006,50.02821
mkd,2007,50.03307
mkd,2008,50.03282
mkd,2009,50.02861
mkd,2010,50.02142
mkd,2011,50.01124
mkd,2012,49.99814
mkd,2013,49.98442
mkd,2014,49.9729
mkd,2015,49.96477
mkd,2016,49.96131
mkd,2017,49.9622
mkd,2018,49.96647
mkd,2019,49.97235
mkd,2020,49.97883
mli,1960,49.44915
mli,1961,49.50595
mli,1962,49.56436
mli,1963,49.62309
mli,1964,49.67998
mli,1965,49.7338
mli,1966,49.78436
mli,1967,49.83183
mli,1968,49.87552
mli,1969,49.91409
mli,1970,49.947
mli,1971,49.97376
mli,1972,49.99528
