geo,time,en_atm_co2e_gf_kt
bhr,1967,113.677
bhr,1968,517.047
bhr,1969,594.054
bhr,1970,671.061
bhr,1971,979.089
bhr,1972,2170.864
bhr,1973,3076.613
bhr,1974,3795.345
bhr,1975,3993.363
bhr,1976,4184.047
bhr,1977,4543.413
bhr,1978,4990.787
bhr,1979,5397.824
bhr,1980,5599.509
bhr,1981,5650.847
bhr,1982,6215.565
bhr,1983,6563.93
bhr,1984,6813.286
bhr,1985,8247.083
bhr,1986,9383.853
bhr,1987,8995.151
bhr,1988,9603.873
bhr,1989,10010.91
bhr,1990,10461.951
bhr,1991,9944.904
bhr,1992,9944.904
bhr,1993,12519.138
bhr,1994,12262.448
bhr,1995,13054.52
bhr,1996,13465.224
bhr,1997,14502.985
bhr,1998,15287.723
bhr,1999,15841.44
bhr,2000,16156.802
bhr,2001,11958.087
bhr,2002,12592.478
bhr,2003,12984.847
bhr,2004,13505.561
bhr,2005,14304.967
bhr,2006,15559.081
bhr,2007,20883.565
bhr,2008,22988.423
bhr,2009,24194.866
bhr,2010,24554.232
bhr,2011,24304.876
bhr,2012,24414.886
bhr,2013,26200.715
bhr,2014,28375.246
bhr,2015,28261.569
bhr,2016,27194.472
bhs,1960,0
bhs,1961,0
bhs,1962,0
bhs,1963,0
bhs,1964,0
bhs,1965,0
bhs,1966,0
bhs,1967,0
bhs,1968,0
bhs,1969,0
bhs,1970,0
bhs,1971,0
bhs,1972,0
bhs,1973,0
bhs,1974,0
bhs,1975,0
bhs,1976,0
bhs,1977,0
bhs,1978,0
bhs,1979,0
bhs,1980,0
bhs,1981,0
bhs,1982,0
bhs,1983,0
bhs,1984,0
bhs,1985,0
bhs,1986,0
bhs,1987,0
bhs,1988,0
bhs,1989,0
bhs,1990,0
bhs,1991,0
bhs,1992,0
bhs,1993,0
bhs,1994,0
bhs,1995,0
bhs,1996,0
bhs,1997,0
bhs,1998,0
bhs,1999,0
bhs,2000,0
bhs,2001,0
bhs,2002,0
bhs,2003,0
bhs,2004,0
bhs,2005,0
bhs,2006,0
bhs,2007,0
bhs,2008,0
bhs,2009,0
bhs,2010,0
bhs,2011,0
bhs,2012,0
bhs,2013,0
bhs,2014,0
bhs,2015,0
bhs,2016,0
bih,1992,788.405
bih,1993,267.691
bih,1994,322.696
bih,1995,282.359
bih,1996,473.043
bih,1997,282.359
bih,1998,322.696
bih,1999,330.03
bih,2000,458.375
bih,2001,300.694
bih,2002,282.359
bih,2003,370.367
bih,2004,583.053
bih,2005,693.063
bih,2006,729.733
bih,2007,770.07
bih,2008,762.736
bih,2009,436.373
bih,2010,458.375
bih,2011,520.714
bih,2012,480.377
bih,2013,374.034
bih,2014,348.365
bih,2015,407.037
bih,2016,421.705
blr,1992,33941.752
blr,1993,32284.268
blr,1994,27880.201
blr,1995,26318.059
blr,1996,27737.188
blr,1997,31558.202
blr,1998,30953.147
blr,1999,31994.575
blr,2000,32658.302
blr,2001,33102.009
blr,2002,33703.397
blr,2003,35078.522
blr,2004,38045.125
blr,2005,38804.194
blr,2006,39511.925
blr,2007,39742.946
blr,2008,40524.017
blr,2009,33652.059
blr,2010,41569.112
blr,2011,39357.911
blr,2012,38701.518
blr,2013,39071.885
blr,2014,38738.188
blr,2015,36266.63
blr,2016,36042.943
blz,1960,0
blz,1961,0
blz,1962,0
blz,1963,0
blz,1964,0
blz,1965,0
blz,1966,0
blz,1967,0
blz,1968,0
blz,1969,0
blz,1970,0
blz,1971,0
blz,1972,0
blz,1973,0
blz,1974,0
blz,1975,0
blz,1976,0
blz,1977,0
blz,1978,0
blz,1979,0
blz,1980,0
blz,1981,0
blz,1982,0
blz,1983,0
blz,1984,0
blz,1985,0
blz,1986,0
blz,1987,0
blz,1988,0
blz,1989,0
blz,1990,0
blz,1991,0
blz,1992,0
blz,1993,0
blz,1994,0
blz,1995,0
blz,1996,0
blz,1997,0
blz,1998,0
blz,1999,0
blz,2000,0
blz,2001,0
blz,2002,0
blz,2003,0
blz,2004,0
blz,2005,0
blz,2006,0
blz,2007,0
blz,2008,0
blz,2009,0
blz,2010,11.001
blz,2011,11.001
blz,2012,7.334
blz,2013,7.334
blz,2014,3.667
blz,2015,3.667
blz,2016,3.667
bmu,1960,0
bmu,1961,0
bmu,1962,0
bmu,1963,0
bmu,1964,0
bmu,1965,0
bmu,1966,0
bmu,1967,0
bmu,1968,0
bmu,1969,0
bmu,1970,0
bmu,1971,0
bmu,1972,0
bmu,1973,0
bmu,1974,0
bmu,1975,0
bmu,1976,0
bmu,1977,0
bmu,1978,0
bmu,1979,0
bmu,1980,0
bmu,1981,0
bmu,1982,0
bmu,1983,0
bmu,1984,0
bmu,1985,0
bmu,1986,0
bmu,1987,0
bmu,1988,0
bmu,1989,0
bmu,1990,0
bmu,1991,0
bmu,1992,0
bmu,1993,0
bmu,1994,0
bmu,1995,0
bmu,1996,0
bmu,1997,0
bmu,1998,0
bmu,1999,0
bmu,2000,0
bmu,2001,0
bmu,2002,0
bmu,2003,0
bmu,2004,0
bmu,2005,0
bmu,2006,0
bmu,2007,0
bmu,2008,0
bmu,2009,0
bmu,2010,0
bmu,2011,0
bmu,2012,0
bmu,2013,0
bmu,2014,0
bmu,2015,0
bmu,2016,0
bol,1960,11.001
bol,1961,84.341
bol,1962,80.674
bol,1963,84.341
bol,1964,91.675
bol,1965,106.343
bol,1966,132.012
bol,1967,139.346
bol,1968,128.345
bol,1969,190.684
bol,1970,62.339
bol,1971,69.673
bol,1972,99.009
bol,1973,117.344
bol,1974,286.026
bol,1975,249.356
bol,1976,304.361
bol,1977,337.364
bol,1978,645.392
bol,1979,678.395
bol,1980,667.394
bol,1981,674.728
bol,1982,667.394
bol,1983,605.055
bol,1984,465.709
bol,1985,421.705
bol,1986,462.042
bol,1987,605.055
bol,1988,594.054
bol,1989,865.412
bol,1990,1437.464
bol,1991,1507.137
bol,1992,1822.499
bol,1993,1881.171
bol,1994,2207.534
bol,1995,2453.223
bol,1996,2794.254
bol,1997,3369.973
bol,1998,2882.262
bol,1999,3105.949
bol,2000,5364.821
bol,2001,2702.579
bol,2002,4506.743
bol,2003,4070.37
bol,2004,3989.696
bol,2005,4514.077
bol,2006,7451.344
bol,2007,4140.043
bol,2008,4770.767
bol,2009,5031.124
bol,2010,5727.854
bol,2011,6127.557
bol,2012,6772.949
bol,2013,7051.641
bol,2014,7656.696
bol,2015,7869.382
bol,2016,8668.788
bra,1960,113.677
bra,1961,113.677
bra,1962,110.01
bra,1963,165.015
bra,1964,161.348
bra,1965,194.351
bra,1966,245.689
bra,1967,256.69
bra,1968,231.021
bra,1969,234.688
bra,1970,154.014
bra,1971,249.356
bra,1972,275.025
bra,1973,377.701
bra,1974,693.063
bra,1975,781.071
bra,1976,916.75
bra,1977,1133.103
bra,1978,1485.135
bra,1979,1631.815
bra,1980,1884.838
bra,1981,1686.82
bra,1982,2383.55
bra,1983,3380.974
bra,1984,4173.046
bra,1985,4998.121
bra,1986,5991.878
bra,1987,6644.604
bra,1988,6846.289
bra,1989,7311.998
bra,1990,7425.675
bra,1991,7264.327
bra,1992,7803.376
bra,1993,8522.108
bra,1994,8841.137
bra,1995,9486.529
bra,1996,10630.633
bra,1997,11800.406
bra,1998,12383.459
bra,1999,13923.599
bra,2000,18023.305
bra,2001,22900.415
bra,2002,28349.577
bra,2003,29211.322
bra,2004,36097.948
bra,2005,38279.813
bra,2006,40072.976
bra,2007,40579.022
bra,2008,48569.415
bra,2009,39156.226
bra,2010,52702.124
bra,2011,50523.926
bra,2012,59874.776
bra,2013,71136.133
bra,2014,78096.099
bra,2015,77241.688
bra,2016,66116.01
brb,1960,3.667
brb,1961,7.334
brb,1962,7.334
brb,1963,7.334
brb,1964,7.334
brb,1965,7.334
brb,1966,7.334
brb,1967,7.334
brb,1968,7.334
brb,1969,7.334
brb,1970,7.334
brb,1971,7.334
brb,1972,3.667
brb,1973,7.334
brb,1974,3.667
brb,1975,3.667
brb,1976,7.334
brb,1977,7.334
brb,1978,18.335
brb,1979,22.002
brb,1980,25.669
brb,1981,14.668
brb,1982,18.335
brb,1983,22.002
brb,1984,36.67
brb,1985,47.671
brb,1986,51.338
brb,1987,44.004
brb,1988,51.338
brb,1989,55.005
brb,1990,51.338
brb,1991,44.004
brb,1992,36.67
brb,1993,36.67
brb,1994,36.67
brb,1995,33.003
brb,1996,29.336
brb,1997,36.67
brb,1998,33.003
brb,1999,44.004
brb,2000,36.67
brb,2001,29.336
brb,2002,29.336
brb,2003,29.336
brb,2004,29.336
brb,2005,29.336
brb,2006,36.67
brb,2007,36.67
brb,2008,33.003
brb,2009,33.003
brb,2010,29.336
brb,2011,33.003
brb,2012,36.67
brb,2013,44.004
brb,2014,25.669
brb,2015,33.003
brb,2016,33.003
brn,1960,304.361
brn,1961,275.025
brn,1962,293.36
brn,1963,300.694
brn,1964,267.691
brn,1965,326.363
brn,1966,289.693
brn,1967,293.36
brn,1968,286.026
brn,1969,322.696
brn,1970,388.702
brn,1971,363.033
brn,1972,737.067
brn,1973,861.745
brn,1974,1367.791
brn,1975,1518.138
brn,1976,1023.093
brn,1977,1789.496
brn,1978,3604.661
brn,1979,3476.316
brn,1980,2904.264
brn,1981,1184.441
brn,1982,1177.107
