geo,time,se_sec_cuat_up_zs
nld,2015,69.57044
nld,2016,69.9872
nld,2018,71.10496
nld,2020,72.95935
nld_curacao,2020,51.00974
nor,1970,28.1
nor,1975,32.3
nor,1980,38.17047
nor,1990,66.01643
nor,2004,70.61496
nor,2005,71.2689
nor,2006,73.2487
nor,2007,73.76884
nor,2008,74.92724
nor,2009,74.89191
nor,2010,75.41419
nor,2011,75.99202
nor,2014,77.00606
nor,2015,77.48572
nor,2016,77.8364
nor,2017,78.22414
nor,2019,78.74844
npl,1971,0.54227
npl,2001,16.94186
npl,2011,16.58394
nzl,1991,46.87997
nzl,2001,71.18921
nzl,2006,72.77233
nzl,2011,67.99292
nzl,2012,68.75534
nzl,2014,69.49483
nzl,2015,69.66254
nzl,2016,70.02867
nzl,2020,75.11359
omn,2003,28.95032
omn,2008,41.46747
omn,2010,41.20039
omn,2015,50.36949
omn,2020,62.22548
pak,1972,7
pak,1981,1.89251
pak,2005,6.75867
pak,2006,23.34605
pak,2008,22.58324
pak,2009,23.29962
pak,2010,23.87872
pak,2011,24.15409
pak,2012,25.64952
pak,2013,26.07061
pak,2014,27.71789
pak,2016,27.71789
pak,2017,27.25329
pak,2018,8.95104
pak,2019,11.56755
pan,1970,12.6
pan,1980,19.76108
pan,1990,30.84342
pan,2000,33.67726
pan,2010,43.0041
pan,2019,54.31219
per,1972,11.60001
per,1981,21.64692
per,2004,46.77561
per,2005,44.03978
per,2006,44.05081
per,2007,46.70496
per,2008,46.86591
per,2009,47.00259
per,2010,52.93904
per,2011,53.52188
per,2012,55.99181
per,2013,55.80984
per,2014,55.93197
per,2015,56.0154
per,2018,58.03918
phl,1970,18.00716
phl,2000,35.70847
phl,2004,51.09818
phl,2010,55.97347
phl,2013,58.45674
phl,2019,30.45574
plw,2013,88.0483
pol,2002,71.89014
pol,2008,78.83979
pol,2009,79.90865
pol,2010,80.81998
pol,2011,81.54959
pol,2012,82.09385
pol,2013,82.84863
pol,2014,83.48578
pol,2016,84.86032
pol,2020,87.77778
pri,1970,27.04536
pri,1980,46.36883
pri,1990,64.54038
pri,2000,74.43605
pri,2005,77.50275
pri,2006,76.78393
pri,2007,77.31276
pri,2008,77.70969
pri,2011,69.78234
pri,2012,69.93214
pri,2017,80.01564
prt,1970,1.64108
prt,1981,3.47295
prt,1991,7.66813
prt,1998,14.54878
prt,1999,15.25654
prt,2000,15.67507
prt,2001,16.4254
prt,2002,16.74171
prt,2003,18.44426
prt,2004,20.33035
prt,2005,21.3363
prt,2006,22.40993
prt,2007,22.29382
prt,2008,22.79752
prt,2009,24.05503
prt,2010,25.59531
prt,2011,27.87613
prt,2012,30.02282
prt,2013,31.86906
prt,2014,34.20759
prt,2015,35.42893
prt,2016,36.77096
prt,2017,37.62352
prt,2018,37.08358
prt,2019,40.67877
prt,2020,43.45131
pry,1972,6.55362
pry,1982,10.36068
pry,1992,17.57184
pry,2003,24.07877
pry,2005,29.61668
pry,2006,27.35122
pry,2007,26.41563
pry,2008,28.61777
pry,2009,27.14442
pry,2012,32.1416
pry,2013,36.02876
pry,2014,36.5642
pry,2015,38.79034
pry,2016,36.63817
pry,2018,39.38157
pry,2019,42.23773
pry,2020,42.391
pse,2004,30.76329
pse,2006,31.21935
pse,2007,32.05209
pse,2008,32.75967
pse,2009,35.01154
pse,2010,34.95087
pse,2011,36.35605
pse,2012,38.02421
pse,2013,38.50715
pse,2014,37.95655
pse,2015,39.02187
pse,2016,39.63561
pse,2017,40.62084
pse,2018,42.60169
pse,2020,45.90417
pyf,2007,49.56885
qat,1986,26.6
qat,2004,40.97153
qat,2007,49.30328
qat,2008,50.82884
qat,2009,43.39208
qat,2010,39.91619
qat,2011,41.11023
qat,2012,41.34369
qat,2013,46.0669
qat,2014,43.96334
qat,2016,41.01255
qat,2017,41.3008
rou,1992,6.93041
rou,2002,52.6526
rou,2007,64.27207
rou,2008,64.71768
rou,2009,64.22727
rou,2010,64.03176
rou,2011,64.86162
rou,2012,65.83821
rou,2013,66.45926
rou,2014,62.9813
rou,2015,64.66319
rou,2016,66.42304
rou,2017,67.44502
rou,2019,69.18216
rus,2002,89.20947
rus,2010,84.98791
rwa,2012,8.4163
rwa,2014,8.45808
rwa,2018,9.85904
sau,2000,30.0666
sau,2004,34.1683
sau,2013,48.89058
sau,2017,53.87999
sau,2020,62.28877
sdn,1983,2.8
sen,2006,4.92511
sen,2011,5.61641
sen,2013,8.23461
sen,2017,10.86295
sgp,1980,8.4
sgp,1990,12.83509
sgp,1995,21.31434
sgp,2005,59.38451
sgp,2006,58.74782
sgp,2007,59.64626
sgp,2008,63.17277
sgp,2009,63.17813
sgp,2010,65.52106
sgp,2011,66.56931
sgp,2012,67.70484
sgp,2013,68.78067
sgp,2014,69.54629
sgp,2015,70.91709
sgp,2016,70.69323
sgp,2017,71.39946
sgp,2018,73.52379
sgp,2019,74.48337
sle,2004,12.12974
slv,1992,6.44245
slv,2006,20.87981
slv,2007,21.55644
slv,2008,24.80105
slv,2009,25.0721
slv,2010,26.69205
slv,2011,25.31797
slv,2012,26.57479
slv,2013,26.98736
slv,2016,30.33802
slv,2017,29.61693
slv,2019,33.58029
smr,2018,53.93795
srb,2008,62.54542
srb,2009,62.99123
srb,2010,63.66581
srb,2011,66.59641
srb,2013,66.56281
srb,2014,68.57246
srb,2015,70.89628
srb,2016,71.40995
srb,2017,71.63609
srb,2019,73.63638
ssd,2008,14.47331
stp,1981,1.52525
stp,2012,38.85888
sur,2004,8.69516
sur,2012,24.71605
svk,2001,41.75398
svk,2011,84.84931
svk,2012,85.37905
svk,2013,85.96088
svk,2014,85.31762
svk,2015,86.68583
svk,2016,87.32021
svk,2017,87.07162
svk,2018,87.77772
svk,2019,87.7003
svn,2004,74.0511
svn,2005,73.62079
svn,2006,75.03429
svn,2007,73.21063
svn,2008,75.80002
svn,2009,77.31821
svn,2010,77.67381
svn,2011,78.4461
svn,2012,79.15782
svn,2013,79.77965
svn,2014,80.09109
svn,2015,81.45003
svn,2016,81.86884
svn,2017,82.56063
svn,2019,82.94297
swe,1970,35.37909
swe,1974,42.65175
swe,1979,51.10238
swe,1986,52.87773
swe,1987,54.1736
swe,1988,55.56887
swe,1989,56.89197
swe,1990,58.78475
swe,1991,60.03083
swe,1992,62.71665
swe,1993,64.50604
swe,1994,65.70173
swe,1995,67.03554
swe,2004,78.24978
swe,2005,79.04018
swe,2006,79.74209
swe,2007,80.39607
swe,2008,76.27388
swe,2009,76.95708
swe,2010,77.61638
swe,2011,78.32148
swe,2012,79.00488
swe,2013,73.91673
swe,2014,74.47037
swe,2015,75.03375
swe,2016,75.55888
swe,2017,76.14595
swe,2019,77.25511
swz,1976,3.95745
swz,1986,9.65403
syc,1971,8.4793
syc,2002,46.03647
syr,2002,10.43196
syr,2007,21.85247
syr,2008,21.35331
syr,2009,21.89957
tcd,2004,5.51998
