geo,time,bx_gsr_gnfs_cd
slb,1992,137768518.83474
slb,1993,171501171.1561
slb,1994,192109134.27334
slb,1995,210105992.54235
slb,1996,214644723.95978
slb,1997,226799362.37902
slb,1998,196899725.7033
slb,1999,220869927.6754
slb,2000,121518649.0548
slb,2001,91650318.12177
slb,2002,49434014.35303
slb,2003,91885452.92906
slb,2004,116441766.21175
slb,2005,146181050.99109
slb,2006,162573092.71498
slb,2007,218654297.66055
slb,2008,259398115.47526
slb,2009,224089132.67932
slb,2010,315659452.74093
slb,2011,537144326.23368
slb,2012,618804286.00707
slb,2013,573510019.50987
slb,2014,567771569.85266
slb,2015,525935948.70453
slb,2016,554859849.11223
slb,2017,593886704.21284
slb,2018,680656697.37565
slb,2019,591292572.86901
slb,2020,428833631.08462
sle,1977,161012243.22291
sle,1978,211261552.53942
sle,1979,242863451.2258
sle,1980,275481660.90531
sle,1981,203088871.10292
sle,1982,147822174.8889
sle,1983,141831921.63165
sle,1984,173708639.64317
sle,1985,159830001.49681
sle,1986,152527943.26085
sle,1987,182847776.42081
sle,1988,156458355.22556
sle,1989,177823265.40979
sle,1990,209659119.04696
sle,1991,217136504.58646
sle,1992,197418184.49996
sle,1993,176774134.61746
sle,1994,216175585.52547
sle,1995,128306896.81427
sle,1996,109632602.30306
sle,1997,47603395.88327
sle,1998,50693775.58969
sle,1999,28631494.93264
sle,2000,55045037.93989
sle,2001,81119282.02955
sle,2002,98175532.97227
sle,2003,176853711.03845
sle,2004,207618015.49256
sle,2005,261782195.37477
sle,2006,302518301.00236
sle,2007,330517631.97504
sle,2008,330459176.95321
sle,2009,368309506.31671
sle,2010,416867388.26543
sle,2011,538263541.69462
sle,2012,1231345982.11802
sle,2013,1757362041.31289
sle,2014,1503257499.10526
sle,2015,781558030.52527
sle,2016,788175639.69453
sle,2017,843859581.21599
sle,2018,963947584.94462
sle,2019,1059973684.81786
sle,2020,700970959.83881
slv,1976,860760000
slv,1977,1086480000
slv,1978,922600000
slv,1979,1265320000
slv,1980,1214160000
slv,1981,922720000
slv,1982,816960000
slv,1983,893800000
slv,1984,891320000
slv,1985,902880000
slv,1986,1018991581.0517
slv,1987,907740000
slv,1988,938640000
slv,1989,908520000
slv,1990,973112679.48406
slv,1991,897692307.69231
slv,1992,975261636.59922
slv,1993,1147370346.28905
slv,1994,1316683373.90806
slv,1995,1566950644.90029
slv,1996,1650828098.22959
slv,1997,2148979300.49964
slv,1998,2201142204.45461
slv,1999,2220000000
slv,2000,2508900000
slv,2001,2434600000
slv,2002,2520500000
slv,2003,2721791937.15393
slv,2004,2832350173.14003
slv,2005,3342130000
slv,2006,3770670000
slv,2007,4349260000
slv,2008,4809750000
slv,2009,4215791532.91539
slv,2010,4971117953.24486
slv,2011,5878555805.88227
slv,2012,6110251638.58143
slv,2013,6536788799.30548
slv,2014,6620205985.33667
slv,2015,6914058467.91829
slv,2016,6871196858.10316
slv,2017,7224712453.27385
slv,2018,7564979852.29191
slv,2019,7981805462.63367
slv,2020,6290372786.10911
srb,2007,11145008069.4607
srb,2008,14122475936.9399
srb,2009,11245368081.2403
srb,2010,12594343925.5027
srb,2011,15516886143.1996
srb,2012,14724275241.4231
srb,2013,18523003943.4443
srb,2014,19180565658.61209
srb,2015,17442839305.82
srb,2016,19235496823.8707
srb,2017,21858742467.3403
srb,2018,24966953882.88169
srb,2019,26127205134.0066
srb,2020,25499689164.13
ssd,2014,3786902659.05178
ssd,2015,2519330000
ssd,2016,1646810000
ssd,2017,2374922000
ssd,2018,3094570000
ssd,2019,3641120000
ssd,2020,2344430000
stp,1974,17853612.09328
stp,1975,7675256.7704
stp,1976,8741594.82176
stp,1977,23488618.35896
stp,1978,24117288.66454
stp,1979,29282289.64614
stp,1980,19961808.40942
stp,1981,9513153.51699
