geo,time,sh_mmr_risk
geo,2007,1600
geo,2008,1400
geo,2009,1300
geo,2010,1700
geo,2011,1600
geo,2012,1700
geo,2013,1600
geo,2014,1700
geo,2015,1800
geo,2016,1900
geo,2017,1900
gha,2000,43
gha,2001,47
gha,2002,52
gha,2003,55
gha,2004,58
gha,2005,61
gha,2006,64
gha,2007,66
gha,2008,68
gha,2009,69
gha,2010,70
gha,2011,70
gha,2012,71
gha,2013,73
gha,2014,75
gha,2015,77
gha,2016,79
gha,2017,82
gin,2000,16
gin,2001,16
gin,2002,16
gin,2003,16
gin,2004,17
gin,2005,19
gin,2006,21
gin,2007,23
gin,2008,24
gin,2009,24
gin,2010,25
gin,2011,25
gin,2012,25
gin,2013,26
gin,2014,25
gin,2015,28
gin,2016,32
gin,2017,35
gmb,2000,17
gmb,2001,18
gmb,2002,19
gmb,2003,20
gmb,2004,21
gmb,2005,23
gmb,2006,24
gmb,2007,25
gmb,2008,26
gmb,2009,27
gmb,2010,27
gmb,2011,27
gmb,2012,28
gmb,2013,28
gmb,2014,29
gmb,2015,30
gmb,2016,30
gmb,2017,31
gnb,2000,14
gnb,2001,15
gnb,2002,15
gnb,2003,16
gnb,2004,17
gnb,2005,19
gnb,2006,20
gnb,2007,22
gnb,2008,23
gnb,2009,24
gnb,2010,25
gnb,2011,26
gnb,2012,26
gnb,2013,27
gnb,2014,28
gnb,2015,29
gnb,2016,31
gnb,2017,32
gnq,2000,38
gnq,2001,41
gnq,2002,44
gnq,2003,47
gnq,2004,48
gnq,2005,50
gnq,2006,53
gnq,2007,55
gnq,2008,56
gnq,2009,58
gnq,2010,59
gnq,2011,60
gnq,2012,61
gnq,2013,63
gnq,2014,65
gnq,2015,65
gnq,2016,65
gnq,2017,67
grc,2000,22900
grc,2001,24700
grc,2002,24500
grc,2003,25500
grc,2004,24100
grc,2005,23900
grc,2006,26300
grc,2007,22700
grc,2008,24000
grc,2009,22600
grc,2010,22700
grc,2011,22600
grc,2012,22900
grc,2013,24700
grc,2014,24900
grc,2015,24400
grc,2016,25400
grc,2017,26900
grd,2000,1000
grd,2001,1100
grd,2002,1200
grd,2003,1200
grd,2004,1100
grd,2005,1300
grd,2006,1400
grd,2007,1400
grd,2008,1400
grd,2009,1400
grd,2010,1400
grd,2011,1500
grd,2012,1500
grd,2013,1600
grd,2014,1700
grd,2015,1700
grd,2016,1700
grd,2017,1700
gtm,2000,120
gtm,2001,140
gtm,2002,140
gtm,2003,160
gtm,2004,160
gtm,2005,160
gtm,2006,170
gtm,2007,180
gtm,2008,200
gtm,2009,200
gtm,2010,210
gtm,2011,230
gtm,2012,240
gtm,2013,250
gtm,2014,270
gtm,2015,290
gtm,2016,310
gtm,2017,330
guy,2000,130
guy,2001,140
guy,2002,140
guy,2003,140
guy,2004,150
guy,2005,150
guy,2006,150
guy,2007,170
guy,2008,190
guy,2009,200
guy,2010,210
guy,2011,210
guy,2012,200
guy,2013,210
guy,2014,210
guy,2015,220
guy,2016,220
guy,2017,220
hnd,2000,250
hnd,2001,260
hnd,2002,280
hnd,2003,300
hnd,2004,310
hnd,2005,320
hnd,2006,340
hnd,2007,350
hnd,2008,370
hnd,2009,390
hnd,2010,410
hnd,2011,430
hnd,2012,460
hnd,2013,480
hnd,2014,510
hnd,2015,530
hnd,2016,550
hnd,2017,560
hrv,2000,6500
hrv,2001,7200
hrv,2002,7100
hrv,2003,7200
hrv,2004,7100
hrv,2005,7500
hrv,2006,7600
hrv,2007,7400
hrv,2008,7100
hrv,2009,7400
hrv,2010,7400
hrv,2011,7400
hrv,2012,8100
hrv,2013,7900
hrv,2014,8500
hrv,2015,8600
hrv,2016,10200
hrv,2017,9100
hti,2000,54
hti,2001,55
hti,2002,56
hti,2003,56
hti,2004,50
hti,2005,57
hti,2006,57
hti,2007,57
hti,2008,57
hti,2009,58
hti,2010,66
hti,2011,58
hti,2012,59
hti,2013,61
hti,2014,62
hti,2015,64
hti,2016,65
hti,2017,67
hun,2000,4700
hun,2001,5000
hun,2002,4900
hun,2003,5000
hun,2004,5200
hun,2005,5100
hun,2006,5300
hun,2007,5000
hun,2008,5400
hun,2009,5500
hun,2010,5800
hun,2011,5700
hun,2012,6000
hun,2013,6000
hun,2014,6000
hun,2015,6000
hun,2016,6100
hun,2017,6200
idn,2000,140
idn,2001,140
idn,2002,140
idn,2003,140
idn,2004,140
idn,2005,150
idn,2006,150
idn,2007,160
idn,2008,160
idn,2009,160
idn,2010,170
idn,2011,180
idn,2012,190
idn,2013,190
idn,2014,200
idn,2015,220
idn,2016,230
idn,2017,240
ind,2000,76
ind,2001,81
ind,2002,87
ind,2003,93
ind,2004,100
ind,2005,110
ind,2006,120
ind,2007,130
ind,2008,140
ind,2009,150
ind,2010,170
ind,2011,190
ind,2012,200
ind,2013,220
ind,2014,240
ind,2015,260
ind,2016,270
ind,2017,290
irl,2000,7400
irl,2001,7800
irl,2002,8100
irl,2003,8800
irl,2004,7900
irl,2005,7400
irl,2006,7400
irl,2007,7600
irl,2008,6800
irl,2009,6600
irl,2010,7900
irl,2011,6900
irl,2012,7400
irl,2013,8300
irl,2014,8700
irl,2015,8400
irl,2016,8800
irl,2017,11300
irn,2000,920
irn,2001,1000
irn,2002,1200
irn,2003,1200
irn,2004,1400
irn,2005,1400
irn,2006,1500
irn,2007,1600
irn,2008,1700
irn,2009,1900
irn,2010,2200
irn,2011,2400
irn,2012,2600
irn,2013,2600
irn,2014,2600
irn,2015,2600
irn,2016,2600
irn,2017,2600
irq,2000,240
irq,2001,260
irq,2002,270
irq,2003,150
irq,2004,170
irq,2005,160
irq,2006,130
irq,2007,150
irq,2008,230
irq,2009,270
irq,2010,290
irq,2011,310
irq,2012,330
irq,2013,300
irq,2014,250
irq,2015,290
irq,2016,310
irq,2017,320
isl,2000,8400
isl,2001,7900
isl,2002,7800
isl,2003,8000
isl,2004,8500
isl,2005,9300
isl,2006,9400
isl,2007,9400
isl,2008,9900
isl,2009,9100
isl,2010,10400
isl,2011,10800
isl,2012,12300
isl,2013,11400
isl,2014,10400
isl,2015,13100
isl,2016,12300
isl,2017,14400
isr,2000,4900
isr,2001,4900
isr,2002,4800
isr,2003,5500
isr,2004,5900
isr,2005,6000
isr,2006,6300
isr,2007,7100
isr,2008,7600
isr,2009,7700
isr,2010,8200
isr,2011,8300
isr,2012,8600
isr,2013,9000
isr,2014,8500
isr,2015,9400
isr,2016,9200
isr,2017,10800
ita,2000,20300
ita,2001,21600
ita,2002,22700
ita,2003,23400
ita,2004,25600
ita,2005,26400
ita,2006,28200
ita,2007,29000
ita,2008,30700
ita,2009,31100
ita,2010,32900
ita,2011,34300
ita,2012,36200
ita,2013,38300
ita,2014,41700
ita,2015,44200
ita,2016,45900
ita,2017,51300
jam,2000,460
jam,2001,470
jam,2002,480
jam,2003,490
jam,2004,500
jam,2005,500
jam,2006,520
jam,2007,530
jam,2008,540
jam,2009,550
jam,2010,560
jam,2011,570
jam,2012,570
jam,2013,580
jam,2014,600
jam,2015,600
jam,2016,600
jam,2017,600
jor,2000,320
jor,2001,330
jor,2002,340
jor,2003,360
jor,2004,370
jor,2005,370
jor,2006,400
jor,2007,420
jor,2008,440
jor,2009,460
jor,2010,470
jor,2011,500
jor,2012,530
jor,2013,570
jor,2014,610
jor,2015,650
jor,2016,690
jor,2017,730
jpn,2000,8300
jpn,2001,8800
jpn,2002,9400
jpn,2003,9700
jpn,2004,10000
jpn,2005,10200
jpn,2006,10700
jpn,2007,11200
jpn,2008,11300
jpn,2009,11700
jpn,2010,12200
jpn,2011,11800
jpn,2012,13400
jpn,2013,14000
jpn,2014,14600
jpn,2015,15100
jpn,2016,16400
jpn,2017,16700
kaz,2000,840
kaz,2001,880
kaz,2002,950
kaz,2003,970
kaz,2004,1000
kaz,2005,1000
kaz,2006,1000
kaz,2007,1100
kaz,2008,1300
kaz,2009,1500
kaz,2010,1700
kaz,2011,1900
kaz,2012,2100
kaz,2013,2400
kaz,2014,2700
kaz,2015,2900
kaz,2016,3200
kaz,2017,3500
ken,2000,28
ken,2001,29
ken,2002,29
ken,2003,30
ken,2004,32
ken,2005,34
ken,2006,36
ken,2007,38
ken,2008,41
ken,2009,45
ken,2010,50
ken,2011,55
ken,2012,60
ken,2013,64
ken,2014,67
ken,2015,70
ken,2016,73
ken,2017,76
kgz,2000,450
kgz,2001,480
kgz,2002,450
kgz,2003,460
kgz,2004,480
kgz,2005,450
kgz,2006,420
kgz,2007,410
kgz,2008,410
kgz,2009,390
kgz,2010,380
kgz,2011,370
kgz,2012,380
kgz,2013,400
kgz,2014,400
kgz,2015,420
kgz,2016,450
kgz,2017,480
khm,2000,57
khm,2001,63
khm,2002,69
khm,2003,75
khm,2004,81
khm,2005,88
khm,2006,95
khm,2007,100
khm,2008,110
khm,2009,120
khm,2010,130
khm,2011,140
khm,2012,150
khm,2013,160
khm,2014,180
khm,2015,190
khm,2016,200
khm,2017,220
kir,2000,180
kir,2001,190
kir,2002,200
kir,2003,210
