geo,time,eg_elc_hyro_zs
chl,1977,71.28682
chl,1978,69.99035
chl,1979,66.8942
chl,1980,66.98153
chl,1981,68.04141
chl,1982,75.09056
chl,1983,76.14861
chl,1984,73.90531
chl,1985,78.84615
chl,1986,80.23603
chl,1987,82.00422
chl,1988,74.2418
chl,1989,59.19376
chl,1990,48.59569
chl,1991,65.79831
chl,1992,74.90051
chl,1993,74.37404
chl,1994,67.19943
chl,1995,65.70093
chl,1996,54.79777
chl,1997,56.90002
chl,1998,44.90129
chl,1999,35.39984
chl,2000,46.19991
chl,2001,49.3828
chl,2002,50.98349
chl,2003,46.28329
chl,2004,42.92103
chl,2005,50.45919
chl,2006,52.65546
chl,2007,39.53238
chl,2008,40.52157
chl,2009,41.65871
chl,2010,35.93507
chl,2011,31.97084
chl,2012,28.89994
chl,2013,27.01293
chl,2014,32.2765
chl,2015,31.67788
chn,1971,21.57311
chn,1972,22.12749
chn,1973,22.52666
chn,1974,25.21122
chn,1975,22.69518
chn,1976,22.09731
chn,1977,21.0344
chn,1978,17.38439
chn,1979,17.76911
chn,1980,19.36267
chn,1981,21.19507
chn,1982,22.70508
chn,1983,24.57318
chn,1984,22.99478
chn,1985,22.49142
chn,1986,21.02863
chn,1987,20.11181
chn,1988,20.01981
chn,1989,20.24418
chn,1990,20.39699
chn,1991,18.46006
chn,1992,17.56731
chn,1993,18.1082
chn,1994,18.03403
chn,1995,18.90806
chn,1996,17.40039
chn,1997,17.25373
chn,1998,17.81585
chn,1999,16.43702
chn,2000,16.40538
chn,2001,18.73339
chn,2002,17.40904
chn,2003,14.84654
chn,2004,16.04464
chn,2005,15.87772
chn,2006,15.20562
chn,2007,14.78656
chn,2008,16.87787
chn,2009,16.57146
chn,2010,16.94897
chn,2011,14.62413
chn,2012,17.30873
chn,2013,16.73135
chn,2014,18.55249
chn,2015,19.06981
civ,1971,23.63946
civ,1972,32.65896
civ,1973,21.10553
civ,1974,32.4356
civ,1975,39.81289
civ,1976,30.85202
civ,1977,17.86002
civ,1978,11.81047
civ,1979,40.13194
civ,1980,77.30132
civ,1981,91.63136
civ,1982,88.75193
civ,1983,50.3872
civ,1984,24.93316
civ,1985,76.12108
civ,1986,64.21279
civ,1987,48.41233
civ,1988,53.6997
civ,1989,72.42163
civ,1990,66.66667
civ,1991,69.01486
civ,1992,56.64865
civ,1993,50.22852
civ,1994,49.72469
civ,1995,60.53614
civ,1996,54.69613
civ,1997,46.61374
civ,1998,34.2367
civ,1999,36.41271
civ,2000,36.75
civ,2001,36.84749
civ,2002,32.65961
civ,2003,36.01337
civ,2004,31.72414
civ,2005,25.29484
civ,2006,26.70203
civ,2007,31.91263
civ,2008,32.72414
civ,2009,36.29705
civ,2010,27.1249
civ,2011,29.08674
civ,2012,25.49886
civ,2013,20.99346
civ,2014,23.08713
civ,2015,15.52061
cmr,1971,97.30233
cmr,1972,96.23318
cmr,1973,95.52773
cmr,1974,95.42903
cmr,1975,95.22059
cmr,1976,94.72097
cmr,1977,94.23077
cmr,1978,94.16604
cmr,1979,94.30425
cmr,1980,93.94357
cmr,1981,94.81404
cmr,1982,94.87896
cmr,1983,96.5342
cmr,1984,98.2852
cmr,1985,97.82876
cmr,1986,98.10331
cmr,1987,97.72727
cmr,1988,98.05566
cmr,1989,98.41153
cmr,1990,98.47979
cmr,1991,98.56089
cmr,1992,98.72123
cmr,1993,98.94068
cmr,1994,98.82353
cmr,1995,98.85099
cmr,1996,98.86246
cmr,1997,98.8491
cmr,1998,98.35859
cmr,1999,98.75592
cmr,2000,98.90805
cmr,2001,98.10788
cmr,2002,96.42424
cmr,2003,95.76547
cmr,2004,95.37713
cmr,2005,94.20579
cmr,2006,76.22405
cmr,2007,73.37402
cmr,2008,74.49393
cmr,2009,69.44492
cmr,2010,72.21563
cmr,2011,74.2611
cmr,2012,74.01058
cmr,2013,74.10163
cmr,2014,74.15475
cmr,2015,74.9926
cod,1971,96.95346
cod,1972,96.70793
cod,1973,97.921
cod,1974,97.66906
cod,1975,97.52632
cod,1976,98.04305
cod,1977,98.18841
cod,1978,98.03922
cod,1979,96.03194
cod,1980,95.45557
cod,1981,95.90522
cod,1982,96.42189
cod,1983,96.99004
cod,1984,97.10445
cod,1985,97.21524
cod,1986,97.2808
cod,1987,97.23613
cod,1988,97.32938
cod,1989,99.68286
cod,1990,99.55752
cod,1991,99.58341
cod,1992,99.68714
cod,1993,99.69342
cod,1994,99.66114
cod,1995,99.7086
cod,1996,99.70535
cod,1997,99.62324
cod,1998,99.59814
cod,1999,99.54768
cod,2000,99.94985
cod,2001,99.91614
cod,2002,99.86885
cod,2003,99.88612
cod,2004,99.88677
cod,2005,99.90507
cod,2006,99.39016
cod,2007,98.89622
cod,2008,98.71506
cod,2009,98.90502
cod,2010,98.91208
cod,2011,98.88593
