geo,time,sl_fam_work_zs
bwa,1999,1.21
bwa,2000,1.31
bwa,2001,1.62
bwa,2002,1.92
bwa,2003,2.45
bwa,2004,2.79
bwa,2005,2.78
bwa,2006,3.06
bwa,2007,3.5
bwa,2008,4.6
bwa,2009,5.43
bwa,2010,4.44
bwa,2011,3.67
bwa,2012,4.15
bwa,2013,3.48
bwa,2014,3.06
bwa,2015,3.25
bwa,2016,2.83
bwa,2017,2.86
bwa,2018,2.69
bwa,2019,2.6
caf,1991,50.47
caf,1992,50.44
caf,1993,49.86
caf,1994,49.9
caf,1995,49.7
caf,1996,50.86
caf,1997,51.53
caf,1998,51.31
caf,1999,51.36
caf,2000,50.73
caf,2001,50.28
caf,2002,49.96
caf,2003,49.59
caf,2004,48.69
caf,2005,47.92
caf,2006,46.32
caf,2007,44.98
caf,2008,43.09
caf,2009,42.27
caf,2010,41.71
caf,2011,41.15
caf,2012,40.97
caf,2013,38
caf,2014,38
caf,2015,38.06
caf,2016,37.68
caf,2017,36.81
caf,2018,36.23
caf,2019,35.27
can,1991,0.5
can,1992,0.52
can,1993,0.57
can,1994,0.44
can,1995,0.43
can,1996,0.41
can,1997,0.47
can,1998,0.42
can,1999,0.31
can,2000,0.28
can,2001,0.22
can,2002,0.21
can,2003,0.22
can,2004,0.19
can,2005,0.16
can,2006,0.17
can,2007,0.15
can,2008,0.15
can,2009,0.13
can,2010,0.11
can,2011,0.12
can,2012,0.11
can,2013,0.12
can,2014,0.13
can,2015,0.12
can,2016,0.13
can,2017,0.13
can,2018,0.13
can,2019,0.11
chanisl,1991,2.69
chanisl,1992,2.65
chanisl,1993,2.59
chanisl,1994,2.53
chanisl,1995,2.46
chanisl,1996,2.39
chanisl,1997,2.31
chanisl,1998,2.23
chanisl,1999,2.15
chanisl,2000,2.04
chanisl,2001,1.98
chanisl,2002,1.92
chanisl,2003,1.86
chanisl,2004,1.8
chanisl,2005,1.73
chanisl,2006,1.64
chanisl,2007,1.56
chanisl,2008,1.51
chanisl,2009,1.48
chanisl,2010,1.43
chanisl,2011,1.37
chanisl,2012,1.32
chanisl,2013,1.27
chanisl,2014,1.22
chanisl,2015,1.17
chanisl,2016,1.12
chanisl,2017,1.08
chanisl,2018,1.05
chanisl,2019,1.01
che,1991,3.51
che,1992,3.45
che,1993,3.38
che,1994,3.29
che,1995,3.21
che,1996,3.11
che,1997,2.94
che,1998,2.85
che,1999,2.82
che,2000,2.52
che,2001,2.58
che,2002,2.57
che,2003,2.36
che,2004,2.04
che,2005,2.04
che,2006,2.21
che,2007,2.36
che,2008,1.96
che,2009,2.19
che,2010,2.02
che,2011,2.14
che,2012,2.07
che,2013,2.15
che,2014,2.05
che,2015,1.97
