geo,time,eg_fec_rnew_zs
col,2017,32.529
col,2018,30.7182
com,1990,49.83857
com,1991,50.71266
com,1992,50.24473
com,1993,49.95205
com,1994,59.9592
com,1995,59.5435
com,1996,60.80219
com,1997,59.78108
com,1998,49.96135
com,1999,49.5941
com,2000,48.9561
com,2001,48.685
com,2002,49.8177
com,2003,43.2965
com,2004,42.5595
com,2005,45.1521
com,2006,41.6352
com,2007,55.8025
com,2008,54.8093
com,2009,49.075
com,2010,46.618
com,2011,50.1734
com,2012,67.643
com,2013,62.3263
com,2014,65.8305
com,2015,64.1656
com,2016,60.4996
com,2017,56.4244
com,2018,55.0059
cpv,1990,36.63404
cpv,1991,38.08534
cpv,1992,37.96103
cpv,1993,39.48195
cpv,1994,40.41189
cpv,1995,39.07865
cpv,1996,36.16141
cpv,1997,36.57976
cpv,1998,35.25364
cpv,1999,31.17121
cpv,2000,38.5196
cpv,2001,37.1764
cpv,2002,36.7927
cpv,2003,34.0896
cpv,2004,32.126
cpv,2005,24.4513
cpv,2006,22.5829
cpv,2007,21.8292
cpv,2008,23.8111
cpv,2009,22.0836
cpv,2010,21.2208
cpv,2011,20.7804
cpv,2012,24.2597
cpv,2013,25.9407
cpv,2014,26.1146
cpv,2015,26.349
cpv,2016,24.6246
cpv,2017,22.8764
cpv,2018,22.9988
cri,1990,45.38078
cri,1991,44.68947
cri,1992,35.02787
cri,1993,36.25917
cri,1994,35.80152
cri,1995,34.97357
cri,1996,36.65422
cri,1997,33.56391
cri,1998,28.89051
cri,1999,29.8905
cri,2000,32.9465
cri,2001,32.1076
cri,2002,32.5382
cri,2003,33.3045
cri,2004,39.1584
cri,2005,41.7294
cri,2006,42.3958
cri,2007,41.1854
cri,2008,40.6984
cri,2009,40.7164
cri,2010,40.3856
cri,2011,38.0176
cri,2012,38.0648
cri,2013,37.7997
cri,2014,37.6165
cri,2015,38.3263
cri,2016,36.8058
cri,2017,36.2042
cri,2018,35.7048
cub,1990,42.8902
cub,1991,47.17418
cub,1992,51.31064
cub,1993,46.86792
cub,1994,45.77703
cub,1995,41.25463
cub,1996,41.42907
cub,1997,36.81812
cub,1998,34.82275
cub,1999,33.71908
cub,2000,34.4348
cub,2001,34.0547
cub,2002,34.815
cub,2003,33.5757
cub,2004,33.7798
cub,2005,26.3228
cub,2006,21.9722
cub,2007,18.5948
cub,2008,18.7316
cub,2009,17.8609
cub,2010,14.6028
cub,2011,17.8329
cub,2012,18.6109
cub,2013,18.1703
cub,2014,22.4211
cub,2015,20.0917
cub,2016,14.0478
cub,2017,18.9502
cub,2018,20.8513
cym,1990,0
cym,1991,0
cym,1992,0
cym,1993,0
cym,1994,0
cym,1995,0
cym,1996,0
cym,1997,0
cym,1998,0
cym,1999,0
cym,2000,0
cym,2001,0
cym,2002,0
cym,2003,0
cym,2004,0
cym,2005,0
cym,2006,0
cym,2007,0
cym,2008,0
cym,2009,0.0147
cym,2010,0.0125
cym,2011,0.0163
cym,2012,0.0086
cym,2013,0.0101
cym,2014,0.0102
cym,2015,0.0098
cym,2016,0.0097
cym,2017,0.0093
cym,2018,0.0087
cyp,1990,0.49593
cyp,1991,0.36581
cyp,1992,0.3471
cyp,1993,0.33486
cyp,1994,0.72319
cyp,1995,3.3543
cyp,1996,3.35707
cyp,1997,3.29407
cyp,1998,3.26217
cyp,1999,3.22664
cyp,2000,3.0973
cyp,2001,3.0481
cyp,2002,3.1771
cyp,2003,3.2578
cyp,2004,3.3091
cyp,2005,3.3651
cyp,2006,3.5167
cyp,2007,4.3569
cyp,2008,5.4985
cyp,2009,6.3438
cyp,2010,6.5807
cyp,2011,7.701
cyp,2012,8.7296
cyp,2013,9.8598
cyp,2014,9.6269
cyp,2015,10.5435
cyp,2016,10.4072
cyp,2017,11.0762
cyp,2018,12.1436
cze,1990,3.57151
cze,1991,3.97518
cze,1992,5.90012
cze,1993,5.81744
cze,1994,5.90776
cze,1995,5.30288
cze,1996,5.24157
cze,1997,5.64848
cze,1998,5.96694
cze,1999,6.47715
cze,2000,5.9416
cze,2001,6.2872
cze,2002,7.276
cze,2003,6.7243
cze,2004,7.1341
cze,2005,7.5349
cze,2006,7.8813
cze,2007,8.3221
cze,2008,8.9931
cze,2009,10.251
cze,2010,10.9522
cze,2011,12.1572
cze,2012,12.8043
cze,2013,13.9562
cze,2014,14.8608
cze,2015,14.8455
cze,2016,14.7813
cze,2017,14.4654
cze,2018,14.7253
deu,1990,2.09803
deu,1991,1.98863
deu,1992,2.06262
deu,1993,2.11093
deu,1994,2.2662
deu,1995,2.31975
deu,1996,2.25217
deu,1997,2.82442
deu,1998,3.04512
deu,1999,3.26371
deu,2000,3.7005
deu,2001,3.8997
deu,2002,4.4126
deu,2003,5.4355
deu,2004,6.3443
deu,2005,7.2789
deu,2006,8.5944
deu,2007,10.4651
deu,2008,10.2463
deu,2009,10.717
deu,2010,11.606
deu,2011,12.5438
deu,2012,13.6419
deu,2013,13.6277
deu,2014,14.0247
deu,2015,14.5503
deu,2016,14.2414
deu,2017,15.2159
deu,2018,15.7956
