geo,time,gc_xpn_othr_cn
fin,2012,3643545660.00283
fin,2013,3820473503.6642
fin,2014,3853705129.81375
fin,2015,3912883396.87067
fin,2016,3862490952.98002
fin,2017,3866741401.11853
fin,2018,3928802944.20356
fin,2019,3984636831.00582
fji,1990,0
fji,1991,0
fji,1992,0
fji,1993,0
fji,1994,23720000
fji,2004,95130000
fji,2005,103500000
fji,2006,116009877
fji,2010,157425042.42
fji,2011,111960883.3
fji,2012,112180708.51
fji,2013,119870575.1
fji,2014,104583309.68
fji,2015,110984774.77
fji,2016,258122580.5
fji,2017,178619175.89
fji,2018,251791150.64
fji,2019,197188391.42
fra,1990,4329552089.54245
fra,1991,5000327765.38706
fra,1992,6555307741.20865
fra,1993,6768736365.34102
fra,1994,6021736180.87771
fra,1995,20985311335.4095
fra,1996,21488706682.22869
fra,1997,22130316015.1127
fra,1998,22407572109.6571
fra,1999,22797040136.9793
fra,2000,22964810372.141
fra,2001,23512871555.125
fra,2002,23686860283.8217
fra,2003,24392727799.0915
fra,2004,25214689254.9752
fra,2005,26198585366.72449
fra,2006,27041514803.2169
fra,2007,27997934953.8426
fra,2008,28772999148.585
fra,2009,29218474355.063
fra,2010,30197623434.5941
fra,2011,31283758767.4379
fra,2012,32230494552.8206
fra,2013,32529251291.8353
fra,2014,32826244809.8633
fra,2015,33074640487.1636
fra,2016,33474326906.1226
fra,2017,34099919783.0505
fra,2018,34682867424.1002
fra,2019,35307758025.2505
fsm,2008,5523376.15228
fsm,2009,5738668.49575
fsm,2010,5595605.9585
fsm,2011,7407437.2774
fsm,2012,12522072.1824
fsm,2013,17047320.79539
fsm,2014,13423891.85105
fsm,2015,13941145.85105
fsm,2016,13632826.02224
fsm,2017,14851993.02599
fsm,2018,18095490.72437
fsm,2019,18946487.88437
gab,2012,39835297809.5
gab,2013,28393414447.6957
gab,2014,41038000000
gab,2015,17373000000
gab,2016,20932431702
gab,2017,17749134105
gab,2018,23012628919
gab,2019,18638094978
gbr,1990,10902000000
gbr,1991,6903000000
gbr,1992,6238000000
gbr,1993,7124000000
gbr,1994,6348000000
gbr,1995,25302464170.8938
gbr,1996,23713961651.9174
gbr,1997,26679792176.6151
gbr,1998,27334246020.4954
gbr,1999,30959757817.2334
gbr,2000,34114361901.45729
gbr,2001,38176781953.8827
gbr,2002,42932271652.1286
gbr,2003,47150567069.8063
gbr,2004,46259140158.60889
gbr,2005,51686348768.08369
gbr,2006,53280191986.9088
gbr,2007,56855668580.6708
gbr,2008,85310440865.86481
gbr,2009,75690508150.9334
gbr,2010,67886678045.0741
gbr,2011,61005552368.0382
gbr,2012,70897351327.8898
gbr,2013,60147148884.982
gbr,2014,61617362335.7039
gbr,2015,63774245345.9848
gbr,2016,65142584115.2734
gbr,2017,68441642436.7494
gbr,2018,71265831588.41499
gbr,2019,70494749230.6671
geo,1995,0
geo,1996,0
geo,1997,0
geo,1998,0
geo,1999,0
geo,2000,0
geo,2001,0
geo,2002,0
geo,2003,0
geo,2004,16200000
geo,2005,66800000
geo,2006,200000000
geo,2007,348200000
geo,2008,506100000
geo,2009,672900000
geo,2010,613700000
geo,2011,685000000
geo,2012,1033500000
geo,2013,970200000
geo,2014,1296700000
geo,2015,1227700000
geo,2016,1461400000
geo,2017,1565300000
geo,2018,1230900000
geo,2019,1507100000
geo,2020,1661000000
gha,2001,0
gha,2002,0
gha,2003,0
gha,2004,1209660
gha,2005,4547210
gha,2006,0
gha,2007,0
gha,2008,758627344
gha,2009,0
gha,2010,0
gha,2011,0
gha,2012,4738177055.84623
gha,2013,2968533355.43
gha,2014,0
gha,2015,0
gha,2016,2641130591.795
gha,2017,3558726251
gha,2018,2675182669
gha,2019,2628054780.10227
gin,1990,912000000
gin,1991,766000000
gin,1992,598000000
gmb,1990,40500000
gnb,2017,541693000
gnb,2019,835757000
gnq,2006,0
gnq,2007,0
gnq,2008,0
gnq,2009,0
gnq,2010,0
gnq,2011,0
gnq,2012,0
gnq,2013,0
gnq,2014,0
gnq,2015,280857688350.47699
gnq,2016,174550674488
gnq,2017,201808672288.20001
gnq,2018,172977293098.39999
gnq,2019,162635276199.09601
grc,1995,2252532843.65935
grc,1996,2452829964.37712
grc,1997,2617111998.57301
grc,1998,2892839204.49518
grc,1999,3155678301.89554
grc,2000,3445440835.65848
grc,2001,3626289746.99917
grc,2002,3957509258.44627
grc,2003,4411880320.84713
grc,2004,4826360590.1839
grc,2005,5152822952.80632
grc,2006,5327080860.7191
grc,2007,5633940306.37012
grc,2008,6109484219.12845
grc,2009,6609321826.35322
grc,2010,6079462293.86973
grc,2011,6176288066.83265
grc,2012,5692428829.64281
grc,2013,5822387275.34882
grc,2014,5677372516.03941
grc,2015,5271290798.38182
grc,2016,5471267276.26386
grc,2017,5552027554.96335
grc,2018,5498423771.18581
grc,2019,5379525638.38597
gtm,1990,109420000
gtm,1991,103640000
gtm,1992,837340000
gtm,1993,807770000
gtm,1994,479070000
gtm,1995,357120000
gtm,1996,93400000
gtm,1997,31230000
gtm,1998,139430000
gtm,1999,8080000
gtm,2000,3485750000
gtm,2001,3955840000
gtm,2002,726620000
gtm,2003,4091970000
gtm,2004,3666820000
gtm,2005,7336780000
gtm,2006,5235000000
gtm,2007,5297100000
gtm,2008,3388000000
gtm,2009,4648135846.21001
gtm,2010,5265895686.57001
gtm,2011,5103169498.61
gtm,2012,4907048165.74
gtm,2013,5032824895
gtm,2014,3235802536.76
gtm,2015,2755534425.61
gtm,2016,3425058188.04
gtm,2017,3449733730.45
gtm,2018,4438177785.51
gtm,2019,5118198037.01
hnd,2003,3250400000
hnd,2004,4564030000
hnd,2005,4889400000
hnd,2006,6688390000
hnd,2007,8147840000
hnd,2008,10585900000
hnd,2009,12336200000
hnd,2010,13641300000
hnd,2011,16140839078
hnd,2012,18381094058
hnd,2013,19782570725
hnd,2014,26662008358.02
hnd,2015,26613757451.9733
hrv,1991,300000
hrv,1992,5210000
hrv,1993,58300000
hrv,1994,204760000
hrv,1995,3300916000
hrv,1996,3126729000
hrv,1997,3127482000
hrv,1998,3071192000
hrv,1999,3071595000
hrv,2000,3102026000
hrv,2001,3011980000
hrv,2002,2754491000
hrv,2003,3101522000
hrv,2004,3397793000
hrv,2005,3726056000
hrv,2006,4039263000
hrv,2007,4630231000
hrv,2008,4966495000
hrv,2009,5503021000
hrv,2010,5762150000
hrv,2011,5404420000
hrv,2012,4696538000
hrv,2013,4806209000
hrv,2014,5675186000
hrv,2015,4950917000
hrv,2016,4654376000
hrv,2017,4723688000
hrv,2018,4619698000
hrv,2019,4864293000
hun,1990,12600000000
hun,1991,32800000000
hun,1992,46500000000
hun,1993,71300000000
hun,1994,104400000000
hun,1995,396824989605.25
hun,1996,379408703421.39801
hun,1997,482568742682.70599
hun,1998,751113744493.04492
hun,1999,675261006858.604
hun,2000,759790187125.84302
hun,2001,879245569047.15601
hun,2002,1215681975146.32007
hun,2003,915630870280.70398
hun,2004,892120699724.86096
hun,2005,902396536700.07007
hun,2006,1094670619910.27002
hun,2007,1233393636174.07007
hun,2008,1131832332382.97998
hun,2009,1100788197286.01001
hun,2010,1118388324800.45996
hun,2011,1628837703916.88989
hun,2012,1292543114622.72998
hun,2013,1488592441790.41992
hun,2014,1724288308844.58008
