geo,time,dt_nfl_mida_cd
eth,1971,3669000
eth,1972,4483000
eth,1973,8563000
eth,1974,9250000
eth,1975,18613000
eth,1976,35717000
eth,1977,32988000
eth,1978,33670000
eth,1979,46689000
eth,1980,27761000
eth,1981,26983000
eth,1982,26925000
eth,1983,41182000
eth,1984,39406000
eth,1985,47863000
eth,1986,35241000
eth,1987,82574000
eth,1988,71327000
eth,1989,65882000
eth,1990,69334000
eth,1991,53400000
eth,1992,106012000
eth,1993,222451000
eth,1994,140163000
eth,1995,71296000
eth,1996,127477000
eth,1997,49746000
eth,1998,51425000
eth,1999,136816000
eth,2000,115558000
eth,2001,433111000
eth,2002,459500000
eth,2003,195480000
eth,2004,189180000
eth,2005,161794000
eth,2006,178808000
eth,2007,132349000
eth,2008,156520000
eth,2009,549163000
eth,2010,384749000
eth,2011,421634000
eth,2012,589215000
eth,2013,845636000
eth,2014,854166000
eth,2015,684685000
eth,2016,1177098000
eth,2017,932771000
eth,2018,1493855000
eth,2019,1074559000
eth,2020,1208790000
fji,2020,57826000
geo,1994,971000
geo,1995,85059000
geo,1996,76337000
geo,1997,64250000
geo,1998,52902000
geo,1999,78839000
geo,2000,18103000
geo,2001,63109000
geo,2002,61333000
geo,2003,43462000
geo,2004,64381000
geo,2005,52092000
geo,2006,72344000
geo,2007,65396000
geo,2008,110225000
geo,2009,155161000
geo,2010,52878000
geo,2011,36645000
geo,2012,73403000
