geo,time,sh_sta_smss_ru_zs
prk,2005,23.75136
prk,2006,23.75136
prk,2007,23.83937
prk,2008,22.03084
prk,2009,20.20857
prk,2010,18.37257
prk,2011,16.52284
prk,2012,14.65937
prk,2013,12.78217
prk,2014,10.89124
prk,2015,8.98658
prk,2016,7.06819
prk,2017,5.13606
prk,2018,3.1902
prk,2019,1.22791
prk,2020,1.22791
pry,2000,36.9005
pry,2001,38.65282
pry,2002,40.37644
pry,2003,42.09758
pry,2004,43.81623
pry,2005,45.53239
pry,2006,47.24606
pry,2007,48.95724
pry,2008,50.66593
pry,2009,52.37214
pry,2010,54.07585
pry,2011,55.77708
pry,2012,57.47582
pry,2013,59.17207
pry,2014,60.86583
pry,2015,62.55711
pry,2016,64.24589
pry,2017,65.92341
pry,2018,67.49212
pry,2019,69.10819
pry,2020,70.72425
pse,2000,13.99259
pse,2001,13.97529
pse,2002,13.95799
pse,2003,13.94069
pse,2004,14.01715
pse,2005,14.32278
pse,2006,16.38838
pse,2007,18.47998
pse,2008,20.5976
pse,2009,22.74122
pse,2010,24.91086
pse,2011,27.10651
pse,2012,29.32816
pse,2013,31.57583
pse,2014,33.84951
pse,2015,36.1492
pse,2016,38.4749
pse,2017,40.82661
pse,2018,43.20433
pse,2019,45.60806
pse,2020,48.0378
rus,2000,41.15586
rus,2001,41.6984
rus,2002,42.24275
rus,2003,42.78889
rus,2004,43.33684
rus,2005,43.88658
rus,2006,44.43812
rus,2007,44.99146
rus,2008,45.5466
rus,2009,46.10354
rus,2010,46.66228
rus,2011,47.22281
rus,2012,47.78515
rus,2013,48.34928
rus,2014,48.91521
rus,2015,49.48294
rus,2016,50.05247
rus,2017,50.6238
rus,2018,51.19693
rus,2019,51.68438
rus,2020,52.17183
rwa,2000,31.32653
rwa,2001,32.54556
rwa,2002,33.76074
rwa,2003,34.97208
rwa,2004,36.17957
rwa,2005,37.38321
rwa,2006,38.58301
rwa,2007,39.77896
rwa,2008,40.97107
rwa,2009,42.15933
rwa,2010,43.34374
rwa,2011,44.52431
rwa,2012,45.70103
rwa,2013,46.8739
rwa,2014,48.04293
rwa,2015,49.20811
rwa,2016,50.36944
rwa,2017,51.52693
rwa,2018,52.68057
rwa,2019,53.83036
rwa,2020,53.83036
sen,2000,12.87273
sen,2001,13.34873
sen,2002,13.87383
sen,2003,14.40232
sen,2004,14.93418
sen,2005,15.46943
sen,2006,16.00806
sen,2007,16.55007
sen,2008,17.09546
sen,2009,17.64423
sen,2010,18.19638
sen,2011,18.75192
sen,2012,19.31083
sen,2013,19.87313
sen,2014,20.43881
sen,2015,21.00787
sen,2016,21.58031
sen,2017,22.15613
sen,2018,22.73534
sen,2019,23.31792
sen,2020,23.90389
sle,2000,4.30802
sle,2001,4.52078
sle,2002,4.73354
sle,2003,4.94629
sle,2004,5.20496
sle,2005,5.46325
sle,2006,5.72318
sle,2007,5.98679
sle,2008,6.25408
sle,2009,6.52504
sle,2010,6.79969
sle,2011,7.07801
sle,2012,7.36001
sle,2013,7.64568
sle,2014,7.93503
sle,2015,8.22807
sle,2016,8.52477
sle,2017,8.82516
sle,2018,9.12922
sle,2019,9.43696
sle,2020,9.74838
som,2000,6.42293
som,2001,6.90624
som,2002,7.38955
som,2003,7.87286
som,2004,8.35617
som,2005,9.04816
som,2006,9.72981
som,2007,10.40377
som,2008,11.08938
som,2009,11.79499
som,2010,12.52062
som,2011,13.26626
som,2012,14.03192
som,2013,14.81759
