geo,time,se_prm_oenr_zs
cyp,2006,1.7518
cyp,2007,1.73401
cyp,2008,1.73419
cyp,2009,2.28343
cyp,2010,1.82462
cyp,2011,2.12062
cyp,2012,2.16318
cyp,2013,2.36919
cyp,2014,2.13443
cyp,2015,1.79086
cyp,2016,1.6703
cyp,2017,1.69704
cze,1999,13.27388
cze,2007,13.45339
cze,2008,12.61864
cze,2009,12.12502
cze,2010,12.19535
cze,2011,11.90118
cze,2012,11.18696
cze,2013,10.91865
cze,2014,10.68931
cze,2015,10.29121
cze,2016,10.36963
cze,2017,10.48648
deu,2001,18.38582
deu,2002,17.39373
deu,2003,16.72297
deu,2004,16.11854
deu,2005,15.53935
deu,2006,15.1599
deu,2007,15.21754
deu,2008,15.00387
deu,2009,14.76856
deu,2010,13.63482
deu,2011,13.52219
deu,2012,13.02409
deu,2013,12.7196
deu,2014,12.50321
deu,2015,12.17593
deu,2016,11.88683
deu,2017,11.82699
dji,1985,21.3154
dji,1986,21.0138
dji,1987,20.47465
dji,1988,20.12897
dji,1989,18.69406
dji,1990,18.2134
dji,1991,16.80754
dji,1992,16.32131
dji,1993,15.195
dji,1994,16.70353
dji,1995,16.00902
dji,1996,15.7469
dji,1997,17.3054
dji,1999,17.22522
dji,2000,16.15302
dji,2001,17.97745
dji,2002,18.2735
dji,2004,16.97493
dji,2005,12.31368
dji,2006,13.7464
dji,2007,13.12404
dji,2008,17.31714
dji,2009,17.31718
dji,2011,11.74252
dji,2014,13.06301
dji,2015,13.30791
dji,2016,15.9226
dji,2017,13.77615
dji,2018,11.90556
dji,2019,11.28513
dma,1975,16.40736
dma,1976,15.81032
dma,1977,16.32897
dma,1979,18.29504
dma,1980,16.85789
dma,1981,16.77354
dma,1982,17.6113
dma,1999,6.68383
dma,2000,4.31459
dma,2001,4.08574
dma,2002,3.53241
dma,2003,3.66157
dma,2004,2.86669
dma,2005,2.90223
dma,2006,2.54713
dma,2007,3.41317
dma,2008,2.74824
dma,2009,3.29243
dma,2011,4.07963
dma,2012,5.40275
dma,2014,5.09422
dma,2015,4.79098
dma,2016,6.66394
dnk,1993,0.98192
dnk,1994,0.973
dnk,1995,1.33941
dnk,1996,1.64751
dnk,1998,1.71175
dnk,1999,1.66454
dnk,2000,1.69809
dnk,2001,0
dnk,2002,0
dnk,2004,2.45185
dnk,2005,2.64499
dnk,2006,2.87042
dnk,2007,2.8988
dnk,2008,3.23051
dnk,2009,3.23568
dnk,2010,3.33239
dnk,2011,2.94749
dnk,2012,3.00673
dnk,2013,2.83388
dnk,2014,2.86085
dnk,2015,2.73149
dnk,2016,2.65756
dnk,2017,2.40179
dom,1972,22.51962
dom,1999,22.66931
dom,2000,24.01862
dom,2002,21.75992
dom,2003,21.24188
dom,2004,21.33155
dom,2005,20.65362
dom,2006,17.98534
dom,2007,19.28927
dom,2008,20.57341
dom,2009,11.28246
dom,2010,14.21989
dom,2011,14.43987
dom,2012,14.36321
dom,2013,15.31266
dom,2014,15.58122
dom,2015,14.53714
dom,2016,13.87557
dom,2017,12.51087
dom,2018,11.10799
dza,1973,17.6917
dza,1974,16.58527
dza,1975,15.55898
dza,1976,15.94012
dza,1977,15.86356
dza,1978,15.60432
dza,1979,15.24237
dza,1980,13.91989
dza,1981,12.82732
dza,1982,12.12377
dza,1983,11.4073
dza,1984,10.0245
dza,1985,9.05024
dza,1986,6.50538
dza,1987,6.05785
dza,1988,6.12644
dza,1989,5.85956
dza,1990,6.11323
dza,1991,5.93736
dza,1992,6.24687
dza,1993,6.71555
dza,1994,7.13496
dza,1995,7.16921
dza,1996,8.54234
dza,1997,9.78321
dza,1999,11.15864
dza,2000,12.46409
dza,2001,12.24385
dza,2002,11.84074
dza,2003,11.95159
dza,2004,12.06763
dza,2005,12.23451
dza,2006,12.62192
dza,2007,11.64692
dza,2008,10.27519
dza,2009,10.83598
dza,2010,10.78314
dza,2011,9.26718
dza,2012,8.32556
dza,2013,8.02078
dza,2014,7.16842
dza,2015,6.73233
dza,2016,6.7546
dza,2017,6.87842
dza,2018,6.56563
ecu,1971,16.93049
ecu,1973,18.13643
ecu,1974,19.84065
ecu,1975,20.21795
ecu,1976,21.07318
ecu,1977,20.0692
ecu,1978,19.44555
ecu,1979,20.41816
ecu,1980,20.77961
ecu,1994,14.03596
ecu,1995,13.26239
ecu,1996,12.45713
ecu,1997,12.50691
ecu,1998,12.09908
ecu,1999,12.09908
ecu,2000,11.7311
ecu,2001,11.04621
ecu,2002,10.44423
ecu,2003,10.26177
ecu,2005,10.07407
ecu,2006,9.63124
ecu,2007,9.35813
ecu,2008,9.67323
ecu,2009,6.51668
ecu,2010,5.98724
ecu,2011,6.10125
ecu,2012,6.48752
ecu,2013,6.31878
ecu,2014,6.68525
ecu,2015,4.91799
ecu,2016,4.15972
ecu,2017,3.27094
ecu,2018,3.04679
egy,1971,5.23622
egy,1972,5.93865
egy,1973,6.74592
egy,1994,5.50075
egy,1997,7.00777
egy,1999,6.85438
egy,2000,6.47079
egy,2001,6.06455
egy,2002,6.11278
egy,2003,5.5183
egy,2004,4.82772
egy,2005,6.535
egy,2006,9.05471
egy,2007,5.69135
egy,2009,7.34084
egy,2010,5.51419
egy,2011,4.34644
egy,2012,4.22229
egy,2014,3.46084
egy,2016,2.91456
egy,2017,2.66329
egy,2018,2.54933
eri,1992,35.81693
eri,1994,44.39374
eri,1995,45.16356
eri,1996,44.40418
eri,1997,42.62951
eri,1999,34.95074
eri,2000,31.97462
eri,2001,27.82173
eri,2002,26.17462
eri,2003,25.60681
eri,2004,24.50526
eri,2005,22.56273
eri,2006,21.20254
eri,2007,19.12191
eri,2008,19.07819
eri,2009,18.17385
eri,2010,15.71948
eri,2011,13.4761
eri,2012,11.66749
eri,2013,30.10661
eri,2014,20.58357
eri,2015,21.33133
eri,2017,24.34663
