geo,time,ne_con_prvt_kd_zg
can,1999,3.93571
can,2000,4.06399
can,2001,2.40483
can,2002,3.99841
can,2003,2.74411
can,2004,3.06106
can,2005,3.92746
can,2006,4.19781
can,2007,4.41284
can,2008,2.99116
can,2009,0.08489
can,2010,3.58576
can,2011,2.2778
can,2012,1.89595
can,2013,2.62772
can,2014,2.57817
can,2015,2.32104
can,2016,2.1041
can,2017,3.67986
can,2018,2.53394
can,2019,1.65593
can,2020,-6.25589
che,1971,4.76101
che,1972,5.4375
che,1973,2.76061
che,1974,-0.4862
che,1975,-2.92315
che,1976,1.06628
che,1977,3.03005
che,1978,2.22004
che,1979,1.27424
che,1980,2.62721
che,1981,0.96301
che,1982,0.25211
che,1983,1.25845
che,1984,1.61964
che,1985,2.13572
che,1986,2.80151
che,1987,2.9935
che,1988,2.13446
che,1989,2.52775
che,1990,1.57711
che,1991,1.82048
che,1992,0.469
che,1993,-0.37153
che,1994,1.21944
che,1995,0.88262
che,1996,1.49454
che,1997,2.04458
che,1998,2.34161
che,1999,2.14285
che,2000,2.25252
che,2001,2.37039
che,2002,0.38797
che,2003,0.47078
che,2004,1.86283
che,2005,1.31787
che,2006,1.52115
che,2007,2.129
che,2008,1.51264
che,2009,1.55612
che,2010,1.87449
che,2011,1.40079
che,2012,2.18607
che,2013,2.26283
che,2014,0.97773
che,2015,2.46548
che,2016,1.62993
che,2017,1.16219
che,2018,0.6623
che,2019,1.3593
che,2020,-3.68553
chl,1961,5.74066
chl,1962,4.08454
chl,1963,4.21432
chl,1964,-0.60781
chl,1965,-0.09716
chl,1966,11.28528
chl,1967,3.38611
chl,1968,3.82016
chl,1969,5.26389
chl,1970,-0.58419
chl,1971,13.1593
chl,1972,7.71654
chl,1973,-6.5724
chl,1974,-18.27268
chl,1975,-11.42172
chl,1976,0.25314
chl,1977,16.0093
chl,1978,7.52815
chl,1979,6.48973
chl,1980,6.92208
chl,1981,13.38882
chl,1982,-14.75066
chl,1983,-5.7323
chl,1984,0.62807
chl,1985,-0.98129
chl,1986,5.11843
chl,1987,7.22811
chl,1988,7.0291
chl,1989,10.14575
chl,1990,2.19185
chl,1991,8.87021
chl,1992,13.7901
chl,1993,7.42813
chl,1994,8.17634
chl,1995,9.81666
chl,1996,9.43161
chl,1997,7.61004
chl,1998,4.85986
chl,1999,-0.99435
chl,2000,4.13685
chl,2001,2.04972
chl,2002,2.14093
chl,2003,4.52115
chl,2004,8.27843
chl,2005,7.70558
chl,2006,7.45883
chl,2007,7.07473
chl,2008,4.15334
chl,2009,-0.86232
chl,2010,10.69715
chl,2011,8.20008
chl,2012,6.05068
chl,2013,4.57603
chl,2014,2.67122
chl,2015,2.12309
chl,2016,2.7064
chl,2017,3.40963
chl,2018,3.82553
chl,2019,1.00739
chl,2020,-7.49783
chn,1996,11.57698
chn,1997,5.94352
chn,1998,6.76588
chn,1999,9.33773
chn,2000,11.59031
chn,2001,6.98493
chn,2002,9.12718
chn,2003,6.15899
chn,2004,8.08647
chn,2005,11.02462
chn,2006,10.2171
chn,2007,13.77616
chn,2008,8.78306
chn,2009,9.99144
chn,2010,11.5987
chn,2011,15.04693
chn,2012,9.20528
chn,2013,8.863
chn,2014,9.19451
chn,2015,8.70314
chn,2016,8.93699
chn,2017,9.53507
chn,2018,8.3214
chn,2019,6.43247
chn,2020,-2.5031
civ,2009,3.77053
civ,2010,4.61353
civ,2011,-4.23131
civ,2012,9.61501
civ,2013,4.22222
civ,2014,10.22038
civ,2015,13.73129
civ,2016,11.13722
civ,2017,7.27002
cmr,1961,1.35359
cmr,1962,3.12158
cmr,1963,2.82417
cmr,1964,2.78004
cmr,1965,-0.57279
cmr,1966,2.71905
cmr,1967,-13.48228
cmr,1968,10.93871
cmr,1969,1.71832
cmr,1970,1.27868
cmr,1971,9.24013
cmr,1972,-1.55533
cmr,1973,-0.57151
cmr,1974,9.34661
cmr,1975,17.04293
cmr,1976,-7.23975
cmr,1977,19.72229
cmr,1978,11.11358
cmr,1979,7.50996
cmr,1980,-14.25543
cmr,1981,18.58333
cmr,1982,14.00647
cmr,1983,-0.74091
cmr,1984,0.6155
cmr,1985,5.82095
cmr,1986,24.09383
cmr,1987,4.57769
cmr,1988,-11.79673
cmr,1989,-13.33688
cmr,1990,-2.12421
cmr,1991,-2.41365
cmr,1992,-9.85911
cmr,1993,16.06934
cmr,1994,4.42119
cmr,1995,0.60781
cmr,1996,5.45452
cmr,1997,7.79523
cmr,1998,6.33329
cmr,1999,6.06595
cmr,2000,7.20728
cmr,2001,5.14001
cmr,2002,3.94195
cmr,2003,6.86255
cmr,2004,5.85237
cmr,2005,5.42616
cmr,2006,2.60141
cmr,2007,2.11754
cmr,2008,5.32226
cmr,2009,4.58312
cmr,2010,1.61273
cmr,2011,3.32457
cmr,2012,5.16632
cmr,2013,5.74405
cmr,2014,5.69177
cmr,2015,6.44065
cmr,2016,2.40026
cmr,2017,4.70204
cmr,2018,5.12271
