geo,time,en_atm_noxe_eg_kt_ce
gmb,2014,50
gmb,2015,50
gmb,2016,50
gmb,2017,50
gmb,2018,50
gnb,1990,30
gnb,1991,30
gnb,1992,30
gnb,1993,30
gnb,1994,30
gnb,1995,30
gnb,1996,30
gnb,1997,30
gnb,1998,30
gnb,1999,30
gnb,2000,30
gnb,2001,30
gnb,2002,30
gnb,2003,30
gnb,2004,30
gnb,2005,30
gnb,2006,30
gnb,2007,30
gnb,2008,30
gnb,2009,30
gnb,2010,40
gnb,2011,40
gnb,2012,40
gnb,2013,40
gnb,2014,40
gnb,2015,40
gnb,2016,40
gnb,2017,40
gnb,2018,40
gnq,1990,10
gnq,1991,10
gnq,1992,10
gnq,1993,10
gnq,1994,10
gnq,1995,10
gnq,1996,10
gnq,1997,10
gnq,1998,10
gnq,1999,10
gnq,2000,10
gnq,2001,10
gnq,2002,10
gnq,2003,10
gnq,2004,10
gnq,2005,10
gnq,2006,10
gnq,2007,10
gnq,2008,10
gnq,2009,20
gnq,2010,20
gnq,2011,20
gnq,2012,20
gnq,2013,20
gnq,2014,20
gnq,2015,20
gnq,2016,20
gnq,2017,20
gnq,2018,20
grc,1990,800
grc,1991,830
grc,1992,830
grc,1993,850
grc,1994,880
grc,1995,870
grc,1996,880
grc,1997,920
grc,1998,1000
grc,1999,1010
grc,2000,900
grc,2001,940
grc,2002,960
grc,2003,990
grc,2004,960
grc,2005,990
grc,2006,1020
grc,2007,980
grc,2008,970
grc,2009,850
grc,2010,760
grc,2011,690
grc,2012,480
grc,2013,450
grc,2014,470
grc,2015,480
grc,2016,460
grc,2017,460
grc,2018,460
grd,1990,0
grd,1991,0
grd,1992,0
grd,1993,0
grd,1994,0
grd,1995,0
grd,1996,0
grd,1997,0
grd,1998,0
grd,1999,0
grd,2000,0
grd,2001,0
grd,2002,0
grd,2003,0
grd,2004,0
grd,2005,0
grd,2006,0
grd,2007,0
grd,2008,0
grd,2009,0
grd,2010,0
grd,2011,0
grd,2012,0
grd,2013,0
grd,2014,0
grd,2015,0
grd,2016,0
grd,2017,0
grd,2018,0
gtm,1990,300
gtm,1991,320
gtm,1992,330
gtm,1993,340
gtm,1994,360
gtm,1995,370
gtm,1996,400
gtm,1997,430
gtm,1998,450
gtm,1999,480
gtm,2000,510
gtm,2001,520
gtm,2002,540
gtm,2003,560
gtm,2004,580
gtm,2005,590
gtm,2006,610
gtm,2007,620
gtm,2008,630
gtm,2009,640
gtm,2010,660
gtm,2011,680
gtm,2012,700
gtm,2013,730
gtm,2014,750
gtm,2015,780
gtm,2016,780
gtm,2017,770
gtm,2018,770
guy,1990,20
guy,1991,20
guy,1992,20
guy,1993,20
guy,1994,20
guy,1995,20
guy,1996,20
guy,1997,30
guy,1998,30
guy,1999,30
guy,2000,30
guy,2001,30
guy,2002,30
guy,2003,30
guy,2004,30
guy,2005,30
guy,2006,30
guy,2007,30
