geo,time,sl_tlf_cact_ma_zs
cmr,2009,83.558
cmr,2010,82.087
cmr,2011,82.057
cmr,2012,82.017
cmr,2013,81.964
cmr,2014,81.892
cmr,2015,81.795
cmr,2016,81.702
cmr,2017,81.582
cmr,2018,81.437
cmr,2019,81.271
cmr,2020,80.497
cmr,2021,80.747
cod,1990,73.237
cod,1991,73.368
cod,1992,73.471
cod,1993,73.548
cod,1994,73.577
cod,1995,73.528
cod,1996,73.646
cod,1997,73.696
cod,1998,73.687
cod,1999,73.651
cod,2000,73.617
cod,2001,73.7
cod,2002,73.757
cod,2003,73.798
cod,2004,73.824
cod,2005,73.836
cod,2006,73.268
cod,2007,72.693
cod,2008,72.11
cod,2009,71.52
cod,2010,70.922
cod,2011,70.316
cod,2012,69.703
cod,2013,69.737
cod,2014,69.736
cod,2015,69.698
cod,2016,69.698
cod,2017,69.645
cod,2018,69.546
cod,2019,69.408
cod,2020,68.843
cod,2021,69.065
cog,1990,71.582
cog,1991,71.347
cog,1992,71.08
cog,1993,70.797
cog,1994,70.524
cog,1995,70.273
cog,1996,70.056
cog,1997,69.857
cog,1998,69.677
cog,1999,69.508
cog,2000,69.349
cog,2001,69.283
cog,2002,69.206
cog,2003,69.131
cog,2004,69.076
cog,2005,69.051
cog,2006,68.994
cog,2007,68.959
cog,2008,68.938
cog,2009,68.907
cog,2010,68.849
cog,2011,69.042
cog,2012,69.179
cog,2013,69.265
cog,2014,69.31
cog,2015,69.316
cog,2016,69.244
cog,2017,69.125
cog,2018,68.961
cog,2019,68.755
cog,2020,67.294
cog,2021,67.605
col,1990,83.247
col,1991,83.215
col,1992,83.278
col,1993,83.393
col,1994,83.511
col,1995,83.583
col,1996,83.529
col,1997,83.507
col,1998,83.344
col,1999,82.962
col,2000,82.918
col,2001,82.794
col,2002,81.76
col,2003,82.042
col,2004,80.852
col,2005,80.438
col,2006,79.765
col,2007,78.299
col,2008,78.476
col,2009,80.584
col,2010,81.038
col,2011,81.608
col,2012,81.938
col,2013,81.318
col,2014,81.466
col,2015,81.555
col,2016,81.017
col,2017,80.777
col,2018,80.492
col,2019,79.671
col,2020,75.89
col,2021,77.998
com,1990,53.508
com,1991,53.518
com,1992,53.479
com,1993,53.391
com,1994,53.25
com,1995,53.055
com,1996,52.85
com,1997,52.611
com,1998,52.335
com,1999,52.026
com,2000,51.686
com,2001,51.399
com,2002,51.083
com,2003,50.751
com,2004,50.424
com,2005,51.009
com,2006,51.594
com,2007,52.179
com,2008,52.764
com,2009,53.349
com,2010,53.934
com,2011,54.519
com,2012,55.104
com,2013,55.688
com,2014,56.273
com,2015,56.064
com,2016,55.896
com,2017,55.689
com,2018,55.45
