geo,time,se_ter_enrr_ma
png,1995,3.80345
png,1996,3.7147
png,1998,2.27382
png,1999,2.24996
pol,1971,13.80225
pol,1972,13.33359
pol,1973,13.21194
pol,1974,13.83057
pol,1975,14.13503
pol,1976,14.94607
pol,1977,15.32978
pol,1978,15.44548
pol,1979,15.46789
pol,1980,15.26058
pol,1981,15.10084
pol,1982,14.65367
pol,1983,14.35236
pol,1984,14.56916
pol,1985,14.63813
pol,1986,15.06972
pol,1987,15.26354
pol,1988,15.6914
pol,1989,17.02012
pol,1990,16.38861
pol,1991,18.49551
pol,1992,18.05421
pol,1993,20.50591
pol,1994,23.17455
pol,1995,25.93516
pol,1996,28.91631
pol,1997,32.50962
pol,1998,33.18456
pol,1999,37.90898
pol,2000,41.37306
pol,2001,45.07364
pol,2002,47.75218
pol,2003,49.17841
pol,2004,50.77383
pol,2005,52.91755
pol,2006,54.50444
pol,2007,56.04762
pol,2008,58.24785
pol,2009,59.50923
pol,2010,59.59029
pol,2011,58.44945
pol,2012,57.8331
pol,2013,56.22113
pol,2014,54.17811
pol,2015,53.50412
pol,2016,53.66004
pol,2017,54.37163
pol,2018,54.81766
pol,2019,55.05741
pri,2007,57.35848
pri,2008,63.32849
pri,2009,66.04798
pri,2010,72.42759
pri,2011,73.36442
pri,2012,75.11728
pri,2013,75.58318
pri,2014,77.14044
pri,2015,78.37047
pri,2016,79.81597
prk,2009,40.79617
prk,2015,36.02838
prk,2018,35.22
prt,1971,8.34635
prt,1972,8.43954
prt,1973,8.25956
prt,1974,8.58101
prt,1975,9.98419
prt,1976,11.77453
prt,1977,14.36595
prt,1978,12.70487
prt,1979,12.34208
prt,1980,11.88326
prt,1981,11.88981
prt,1982,11.7244
prt,1983,12.01106
prt,1984,11.13019
prt,1985,12.98376
prt,1986,11.85044
prt,1987,15.68336
prt,1991,20.44662
prt,1992,18.41515
prt,1993,26.18716
prt,1994,28.54505
prt,1995,31.13266
prt,1996,33.30466
prt,1998,37.88213
prt,1999,39.08479
prt,2000,41.04287
prt,2001,42.87541
prt,2002,44.73811
prt,2003,46.7581
prt,2004,47.96815
prt,2005,48.18195
prt,2006,48.65383
prt,2007,52.25023
prt,2008,56.29714
prt,2009,57.47411
prt,2010,60.23138
prt,2011,62.60261
prt,2012,62.87736
prt,2013,61.46675
prt,2014,60.73619
prt,2015,57.89735
prt,2016,59.78944
prt,2017,60.13022
prt,2018,61.287
prt,2019,62.76652
pry,1970,4.29836
pry,1993,11.3812
pry,1996,8.36232
pry,1999,11.01775
pry,2000,13.41698
pry,2001,14.96227
pry,2002,21.75643
pry,2003,20.84594
pry,2004,21.34802
pry,2005,23.96954
pry,2007,24.35779
pry,2008,28.80717
pry,2009,29.98553
pry,2010,28.64209
pse,1996,18.12116
pse,1997,20.68627
pse,1998,22.53451
pse,1999,24.71555
pse,2000,25.1275
pse,2001,27.0992
pse,2002,28.90684
pse,2003,32.25078
pse,2004,36.74903
pse,2005,40.54808
pse,2006,40.02626
pse,2007,42.5665
pse,2008,43.48715
pse,2009,40.46238
pse,2010,41.06538
pse,2011,41.95059
pse,2012,40.31682
pse,2013,36.83604
pse,2014,35.21862
pse,2015,35.32794
pse,2016,34.05058
pse,2017,33.51358
pse,2018,34.5223
pse,2019,32.93424
pse,2020,32.72084
qat,1971,0
qat,1976,2.60597
qat,1977,2.86335
qat,1980,4.98619
qat,1981,5.77834
qat,1982,7.43192
qat,1983,9.29654
qat,1984,8.86063
qat,1985,9.96101
qat,1986,11.01369
qat,1987,9.63689
qat,1988,9.08841
qat,1989,9.72857
qat,1990,9.82928
qat,1991,10.13216
qat,1992,8.20062
qat,1993,8.5626
qat,1994,8.55827
qat,1995,8.981
qat,1996,9.93832
qat,1997,10.66417
qat,1998,11.66593
qat,1999,12.42236
qat,2001,9.69883
qat,2002,7.89976
qat,2003,6.97012
qat,2004,8.16013
qat,2005,8.94656
qat,2006,9.01826
qat,2007,5.87557
qat,2008,5.0273
qat,2009,4.34907
qat,2010,4.46534
qat,2011,5.17225
qat,2012,4.92961
qat,2013,5.59739
qat,2014,6.18541
qat,2015,6.37502
qat,2016,6.45823
qat,2017,6.67459
qat,2018,7.01345
qat,2019,7.32206
qat,2020,8.0447
rou,1971,10.24515
rou,1972,9.64018
rou,1973,9.39773
rou,1974,8.48839
rou,1975,8.94604
rou,1976,9.33054
rou,1977,9.92591
rou,1978,10.41303
rou,1979,11.36702
rou,1980,11.85202
rou,1981,12.51397
rou,1982,13.24488
rou,1983,13.60031
rou,1984,13.55307
rou,1985,12.94547
rou,1986,11.75811
rou,1987,10.37818
rou,1988,9.36987
rou,1989,8.68253
rou,1990,8.50927
rou,1991,9.9475
rou,1992,11.43279
rou,1993,12.58525
rou,1994,13.59577
rou,1995,13.8264
rou,1996,17.13839
rou,1997,18.16127
rou,1998,18.36831
rou,1999,20.37421
rou,2000,22.52621
rou,2001,26.11153
rou,2002,29.28351
rou,2003,34.04551
rou,2004,37.28074
rou,2005,41.08596
rou,2006,45.68051
rou,2007,49.94582
rou,2008,56.02014
rou,2009,58.40464
rou,2010,54.20947
rou,2011,49.69031
rou,2012,43.9676
rou,2013,41.71592
rou,2014,41.99325
rou,2015,41.65711
rou,2016,42.75127
rou,2017,43.78587
rou,2018,45.07366
rou,2019,45.12182
rus,1971,41.11403
rus,1981,40.03361
rus,1986,45.26338
rus,1991,47.21452
rus,1992,44.83488
rus,1993,41.59132
rus,2001,53.61402
rus,2002,57.001
rus,2003,61.44234
rus,2004,59.75769
rus,2005,61.31091
rus,2006,61.61989
rus,2007,62.82889
rus,2008,63.59798
rus,2009,64.22569
rus,2011,65.38711
rus,2012,66.9652
rus,2013,69.76568
rus,2014,71.48328
rus,2015,72.68645
rus,2016,73.87737
rus,2017,75.03015
rus,2018,77.75325
rus,2019,79.84824
rwa,1971,0.29594
rwa,1973,0.35411
rwa,1974,0.31879
rwa,1975,0.43977
rwa,1977,0.46451
rwa,1978,0.45584
rwa,1980,0.49662
rwa,1981,0.48761
rwa,1984,0.61165
rwa,1985,0.65681
rwa,1986,0.68827
rwa,1987,0.66256
rwa,1988,0.69488
rwa,1989,0.76026
rwa,1990,0.96986
rwa,2001,2.33465
rwa,2002,2.7278
rwa,2003,3.20568
rwa,2004,3.67394
rwa,2009,5.97289
rwa,2010,6.6769
rwa,2011,7.97247
rwa,2012,7.51859
rwa,2013,8.20021
rwa,2014,8.04236
rwa,2015,8.53042
rwa,2016,8.65849
rwa,2017,7.78859
rwa,2018,7.45429
rwa,2019,6.79928
sau,1971,2.86907
sau,1972,2.98076
sau,1973,3.33488
sau,1974,4.09486
sau,1975,5.06518
sau,1976,6.03984
sau,1977,6.81178
sau,1978,8.71602
sau,1979,8.68264
sau,1980,9.08349
sau,1981,9.90492
sau,1982,10.03162
sau,1983,10.50314
sau,1984,10.06837
sau,1985,11.00148
sau,1986,11.2946
sau,1987,10.22426
sau,1991,10.10662
sau,1992,12.13188
sau,1993,13.64683
sau,1994,15.27569
sau,1995,17.56675
sau,1996,18.45906
sau,1997,18.36496
sau,1998,16.49388
sau,1999,18.82177
sau,2000,19.46105
sau,2001,21.34188
sau,2002,20.24481
sau,2003,21.7265
sau,2004,22.83954
sau,2005,23.94916
sau,2006,24.80206
sau,2007,26.67321
sau,2008,27.04766
sau,2009,27.82643
sau,2010,34.07515
sau,2011,38.6807
sau,2012,46.33517
sau,2013,53.11246
sau,2014,58.50604
sau,2015,60.68828
sau,2016,67.14557
sau,2017,70.03419
sau,2018,66.33683
sau,2019,68.3358
sau,2020,67.93197
sdn,1999,6.14574
sdn,2000,6.05224
sdn,2001,7.79557
sdn,2002,8.74905
sdn,2003,8.27339
sdn,2004,10.18227
sdn,2005,11.48418
sdn,2006,12.66767
sdn,2007,12.5207
sdn,2008,14.55956
sdn,2009,14.61699
sdn,2010,14.66249
sdn,2011,15.16004
sdn,2012,14.79858
sdn,2013,16.72222
sdn,2014,16.38619
sdn,2015,16.78053
sen,1971,2.28688
sen,1972,2.48391
sen,1977,3.1721
sen,1978,3.34766
sen,1980,4.29065
sen,1981,4.63759
sen,1982,4.20754
sen,1984,3.67097
sen,1985,3.73239
sen,1992,4.88534
sen,2006,7.71314
sen,2007,8.2219
sen,2008,10.24146
sen,2009,10.109
sen,2010,9.61577
sen,2011,12.66348
sen,2012,12.79988
sen,2013,13.14893
sen,2014,13.54717
sen,2015,13.52624
sen,2016,13.74057
sen,2017,14.41189
sen,2018,15.23583
sen,2019,15.01335
sen,2020,15.74208
sgp,1970,8.89185
sgp,2016,77.85877
sgp,2017,78.93885
sgp,2018,82.913
sgp,2019,85.57808
sle,1971,0.83045
sle,1972,0.92681
sle,1973,0.99705
sle,1974,1.05778
sle,1975,1.12989
sle,1976,1.12654
sle,1984,0.99753
sle,1985,1.00494
sle,2000,1.71181
sle,2001,2.84287
sle,2002,2.75314
slv,1973,7.98454
slv,1974,10.03936
slv,1975,10.04447
slv,1978,10.98648
slv,1982,13.74706
slv,1983,15.35464
slv,1984,16.47561
slv,1985,18.22982
slv,1986,19.02316
