geo,time,dt_nfl_unfp_cd
rwa,2007,2049999.95232
rwa,2008,2869999.88556
rwa,2009,2990000.00954
rwa,2010,2690000.05722
rwa,2011,2779999.97139
rwa,2012,4218105.793
rwa,2013,3361546.03958
rwa,2014,2455526.59035
rwa,2015,2322877.16866
rwa,2016,2123811.7218
rwa,2017,1532213.6879
rwa,2018,1365650.05779
rwa,2019,1921577.93045
sau,1977,19999.99955
sau,2002,29999.99933
sau,2003,-9999.99978
sdn,1977,219999.99881
sdn,1980,709999.97854
sdn,1981,1110000.01431
sdn,1982,1460000.03815
sdn,1983,1440000.05722
sdn,1984,1059999.94278
sdn,1985,1309999.94278
sdn,1986,1450000.04768
sdn,1987,1500000
sdn,1988,1710000.03815
sdn,1989,2170000.07629
sdn,1990,2339999.91417
sdn,1991,1129999.99523
sdn,1992,550000.01192
sdn,1993,2210000.03815
sdn,1994,1009999.99046
sdn,1995,2470000.02861
sdn,1996,3089999.91417
sdn,1997,1750000
sdn,1998,2490000.00954
sdn,1999,2869999.88556
sdn,2000,1570000.05245
sdn,2001,2470000.02861
sdn,2002,2049999.95232
sdn,2003,1700000.04768
sdn,2004,3950000.04768
sdn,2005,4409999.84741
sdn,2006,4550000.19073
sdn,2007,5980000.01907
sdn,2008,7619999.88556
sdn,2009,8640000.34332
sdn,2010,6940000.05722
sdn,2011,4630000.11444
sdn,2012,4600934.9823
sdn,2013,4356864.9292
sdn,2014,3315370.55969
sdn,2015,3982249.9752
sdn,2016,3317848.92082
sdn,2017,3494071.96045
sdn,2018,3473949.90921
sdn,2019,4358462.81052
sen,1977,349999.99404
sen,1980,879999.99523
sen,1981,600000.02384
sen,1982,600000.02384
sen,1983,860000.01431
sen,1984,779999.97139
sen,1985,860000.01431
sen,1986,529999.97139
sen,1987,629999.99523
sen,1988,509999.99046
sen,1989,259999.99046
sen,1990,1690000.05722
sen,1991,1409999.96662
sen,1992,1169999.95708
sen,1993,1230000.01907
sen,1994,1620000.00477
sen,1995,2809999.94278
sen,1996,3480000.01907
sen,1997,3059999.94278
sen,1998,970000.02861
sen,1999,1779999.97139
sen,2000,1039999.96185
sen,2001,2190000.05722
