geo,time,ny_adj_dco2_cd
bgd,1988,145657290.48696
bgd,1989,153725807.99145
bgd,1990,171646296.33939
bgd,1991,189759434.6693
bgd,1992,207049215.39043
bgd,1993,226341026.19673
bgd,1994,258074606.8176
bgd,1995,323071659.62687
bgd,1996,345147447.13837
bgd,1997,387842802.63352
bgd,1998,403543258.07607
bgd,1999,456552073.91763
bgd,2000,512931570.88485
bgd,2001,632871722.92277
bgd,2002,677372232.93361
bgd,2003,737568399.20461
bgd,2004,830384692.08638
bgd,2005,917777709.7055
bgd,2006,1066364869.61109
bgd,2007,1144624015.35808
bgd,2008,1329384394.75626
bgd,2009,1503461526.12156
bgd,2010,1719364071.5242
bgd,2011,1884492721.66104
bgd,2012,2101658559.23882
bgd,2013,2244352166.88893
bgd,2014,2482054641.98435
bgd,2015,2818681240.23712
bgd,2016,3025866685.66032
bgd,2017,3410201357.56584
bgd,2018,3885069261.41057
bgd,2019,4416470360.02237
bgr,1970,161932072.29566
bgr,1971,182667813.12612
bgr,1972,200519249.62023
bgr,1973,224943791.21141
bgr,1974,259570628.95112
bgr,1975,297321952.65761
bgr,1976,320984651.39846
bgr,1977,362202044.95347
bgr,1978,424796056.70168
bgr,1979,457338191.64564
bgr,1980,499146305.83143
bgr,1981,579264230.28755
bgr,1982,705501956.88689
bgr,1983,751582184.95284
bgr,1984,769787096.17933
bgr,1985,832210845.55128
bgr,1986,887340484.71572
bgr,1987,930819946.82774
bgr,1988,938610217.31232
bgr,1989,991068482.48291
bgr,1990,902720850.58243
bgr,1991,737332153.42907
bgr,1992,726293664.42841
bgr,1993,951753472.11922
bgr,1994,793290726.88781
bgr,1995,886905156.53901
bgr,1996,900465870.20673
bgr,1997,854747970.85791
bgr,1998,838983198.13482
bgr,1999,781153434.31784
bgr,2000,808204231.21503
bgr,2001,901216162.99299
bgr,2002,899419092.31678
bgr,2003,992839098.30329
bgr,2004,1031354595.66937
bgr,2005,1113312414.84607
bgr,2006,1199110736.302
bgr,2007,1342902372.70317
bgr,2008,1359247163.98746
bgr,2009,1177568149.20393
bgr,2010,1259450147.98978
bgr,2011,1470852907.72651
bgr,2012,1393285510.66044
bgr,2013,1279592368.41949
bgr,2014,1424398763.66836
bgr,2015,1555380665.38029
bgr,2016,1498050303.93926
bgr,2017,1561845307.2206
bgr,2018,1630700360.71234
bgr,2019,1704254179.68587
bhr,1970,6855447.61156
bhr,1971,8635963.33513
bhr,1972,11156626.57904
bhr,1973,18049195.4587
bhr,1974,19688525.03854
bhr,1975,23413879.92972
bhr,1976,28864310.14381
bhr,1977,35613533.11629
bhr,1978,40526014.50809
bhr,1979,46994491.96525
bhr,1980,50809886.13144
bhr,1981,61469161.81737
bhr,1982,77011340.99546
bhr,1983,68439330.56179
bhr,1984,81130551.87854
bhr,1985,94747569.44191
bhr,1986,106758152.06736
bhr,1987,116105717.48618
bhr,1988,130791887.53256
bhr,1989,134117283.01462
bhr,1990,150623847.30559
bhr,1991,152174005.6682
bhr,1992,146074351.53198
bhr,1993,205357809.0442
bhr,1994,216610799.02089
bhr,1995,226576288.88444
bhr,1996,248702321.51716
bhr,1997,286798427.56194
bhr,1998,315136706.43906
bhr,1999,320042352.52942
bhr,2000,349398038.46311
bhr,2001,273537744.45122
bhr,2002,320176053.81274
bhr,2003,352622955.46281
bhr,2004,395636770.38292
bhr,2005,461870865.60653
