geo,time,se_sec_tcaq_fe_zs
mus,2018,49.23543
mus,2019,45.63972
mus,2021,48.55196
mwi,2007,66.79225
mwi,2008,61.18005
mwi,2010,75.14438
mwi,2011,73.47394
mwi,2013,77.78718
mys,2006,99.35086
mys,2007,99.96661
mys,2008,95.51524
mys,2009,93.20711
mys,2010,93.40958
mys,2011,97.93919
mys,2012,99.54644
mys,2013,98.5897
mys,2014,99.55783
mys,2015,99.67278
mys,2016,99.37448
mys,2017,98.10077
mys,2018,93.77179
mys,2019,91.01208
ner,2003,28.50356
ner,2004,30.05236
ner,2006,20.43189
ner,2010,16.64835
nga,2003,85.47567
nga,2006,77.06225
nga,2010,45.9624
nga,2018,66.70586
nic,1999,54.99914
nic,2000,49.11565
nic,2001,49.11234
nic,2004,52.05961
nic,2005,58.93051
nic,2006,59.04432
nic,2007,62.0783
nic,2008,64.86305
nic,2010,58.89871
npl,2008,59.93582
npl,2010,66.6097
npl,2011,70.27995
npl,2013,78.61703
npl,2014,79.03334
npl,2015,80.30926
npl,2016,83.59416
npl,2019,78.04125
npl,2020,78.96216
nru,2007,34.61538
omn,1999,99.96865
omn,2000,100
omn,2001,100
omn,2017,100
omn,2018,100
omn,2019,100
omn,2020,100
pak,2011,88.77571
pak,2012,96.59887
pak,2013,99.07444
pak,2014,97.68888
pak,2015,96.23335
pak,2016,88.26686
pak,2017,86.16703
pan,1999,80.2559
pan,2000,84.30934
pan,2001,95.15977
pan,2002,84.76373
pan,2004,86.80828
pan,2005,86.25013
pan,2006,91.6649
pan,2007,91.99756
pan,2008,92.10294
pan,2009,91.00191
pan,2010,89.28116
pan,2011,87.63658
pan,2014,96.03924
phl,2014,100
phl,2015,100
phl,2016,100
phl,2017,100
phl,2018,100
phl,2019,100
png,1998,100
png,2012,100
pol,2018,100
pol,2019,100
pri,2014,94.0009
pri,2015,95.10162
pri,2016,84.01457
pry,2012,82.57608
pse,2007,100
pse,2008,100
pse,2009,100
pse,2010,100
pse,2011,100
pse,2012,100
pse,2013,100
pse,2014,100
pse,2015,100
pse,2016,100
pse,2017,100
pse,2018,100
pse,2019,100
pse,2020,100
qat,2006,65.32606
qat,2008,52.82173
qat,2011,61.83013
qat,2015,100
qat,2016,100
qat,2017,100
qat,2018,100
qat,2019,100
qat,2020,100
rwa,2007,36.50794
rwa,2011,71.96704
rwa,2012,70.77668
rwa,2013,80.56853
rwa,2015,46.71393
rwa,2016,55.22883
rwa,2017,52.84284
rwa,2018,54.98724
rwa,2019,57.43187
sau,2013,100
sau,2014,100
sau,2015,100
sau,2016,100
sau,2017,100
sau,2018,100
sau,2019,100
sau,2020,100
sen,2011,48.68488
sen,2012,65.75
sen,2013,58.91543
sen,2014,69.11297
sen,2015,84.32361
sen,2020,77.79847
sgp,2007,99.26863
sgp,2008,98.82288
sgp,2009,99.18606
sgp,2016,98.9991
sgp,2017,99.00415
sgp,2018,97.74789
sgp,2019,97.23312
slb,2010,71.22302
slb,2011,67.5232
slb,2012,72.04082
slb,2013,74.44134
slb,2015,78.55153
slb,2016,86.15863
slb,2017,87.19068
slb,2018,88.72283
sle,2011,79.10448
sle,2012,80.52632
sle,2013,74.99058
sle,2015,78.55462
slv,2003,92.84951
slv,2004,92.0973
slv,2005,91.09789
slv,2007,89.2542
slv,2008,89.72937
slv,2011,93.50189
slv,2015,93.46196
slv,2016,94.06202
slv,2017,94.04207
slv,2018,94.08867
srb,2007,100
srb,2011,49.79281
stp,2010,26.62338
stp,2011,49.16667
stp,2012,37.80488
stp,2014,82.91667
stp,2015,56.94444
stp,2016,49.69697
swz,1998,98.91926
swz,2002,93.08628
swz,2003,92.97012
swz,2004,99.23706
