geo,time,sh_xpd_ghed_pc_cd
dom,2019,220.47023
dza,2000,44.31665
dza,2001,50.92126
dza,2002,50.03273
dza,2003,58.09076
dza,2004,66.00664
dza,2005,69.78549
dza,2006,79.90576
dza,2007,105.35535
dza,2008,148.94786
dza,2009,147.52385
dza,2010,159.31534
dza,2011,202.94465
dza,2012,244.72358
dza,2013,235.83874
dza,2014,258.97246
dza,2015,205.42679
dza,2016,176.50281
dza,2017,170.19951
dza,2018,168.57568
dza,2019,161.33328
ecu,2000,13.88284
ecu,2001,23.77917
ecu,2002,30.68825
ecu,2003,40.4647
ecu,2004,46.63003
ecu,2005,50.51871
ecu,2006,60.5046
ecu,2007,72.98317
ecu,2008,89.19299
ecu,2009,100.75824
ecu,2010,131.35118
ecu,2011,159.4221
ecu,2012,195.33639
ecu,2013,231.67283
ecu,2014,262.39713
ecu,2015,264.11903
ecu,2016,267.61888
ecu,2017,282.3891
ecu,2018,310.38333
ecu,2019,300.51104
egy,2000,25.91777
egy,2001,25.00749
egy,2002,23.52181
egy,2003,17.18156
egy,2004,17.53309
egy,2005,20.61919
egy,2006,25.70511
egy,2007,27.86297
egy,2008,33.43327
egy,2009,37.38306
egy,2010,37.29376
egy,2011,42.39104
egy,2012,43.27082
egy,2013,44.07867
egy,2014,49.40856
egy,2015,57.31069
egy,2016,47.3762
egy,2017,35.30042
egy,2018,36.07155
egy,2019,41.63262
eri,2000,4.89474
eri,2001,4.39367
eri,2002,4.82164
eri,2003,4.32181
eri,2004,4.92095
eri,2005,2.56525
eri,2006,2.62819
eri,2007,4.13524
eri,2008,4.46973
eri,2009,4.28775
eri,2010,5.14861
eri,2011,4.9531
eri,2012,5.50293
eri,2013,4.65341
eri,2014,4.04346
eri,2015,4.45943
eri,2016,4.72183
eri,2017,5.61973
eri,2018,3.74255
eri,2019,4.44841
esp,2000,727.29734
esp,2001,752.58607
esp,2002,845.99762
esp,2003,1166.89729
esp,2004,1373.13431
esp,2005,1474.28105
esp,2006,1616.60958
esp,2007,1884.31933
esp,2008,2194.85733
esp,2009,2205.22732
esp,2010,2076.63863
esp,2011,2137.78672
esp,2012,1868.39785
esp,2013,1867.2298
esp,2014,1882.80126
esp,2015,1675.23213
esp,2016,1700.64727
esp,2017,1782.14396
esp,2018,1925.69926
esp,2019,1914.63152
est,2000,159.51071
est,2001,168.02286
est,2002,190.89705
est,2003,265.55016
est,2004,336.59584
est,2005,388.34011
est,2006,449.03341
est,2007,625.16123
est,2008,791.95699
est,2009,743.25765
est,2010,687.51033
est,2011,761.8977
est,2012,771.52269
est,2013,863.8673
est,2014,934.0163
est,2015,838.67255
est,2016,894.72911
est,2017,992.62578
est,2018,1142.94799
est,2019,1189.7874
eth,2000,2.21983
eth,2001,2.3968
eth,2002,2.32263
eth,2003,2.71382
eth,2004,1.807
eth,2005,2.80393
eth,2006,2.17659
eth,2007,3.19383
eth,2008,1.61602
eth,2009,3.0504
eth,2010,2.88486
eth,2011,1.28889
eth,2012,4.85544
eth,2013,5.36568
eth,2014,3.94676
eth,2015,6.03922
eth,2016,6.26852
eth,2017,6.21624
eth,2018,5.66116
eth,2019,6.07132
fin,2000,1304.68168
fin,2001,1376.51886
fin,2002,1578.10044
fin,2003,2015.41609
fin,2004,2363.15188
fin,2005,2512.381
fin,2006,2683.33193
fin,2007,3075.64784
fin,2008,3532.43322
fin,2009,3435.35759
fin,2010,3337.77912
fin,2011,3733.42348
fin,2012,3649.0687
fin,2013,3887.334
fin,2014,3916.28472
fin,2015,3242.43078
fin,2016,3196.6644
fin,2017,3302.63341
fin,2018,3547.37301
fin,2019,3567.67297
fji,2000,59.18612
fji,2001,46.10028
fji,2002,53.90855
fji,2003,68.34665
fji,2004,80.10754
fji,2005,95.81319
fji,2006,100.50498
fji,2007,108.87324
fji,2008,99.81191
fji,2009,79.77254
fji,2010,86.36805
fji,2011,89.61178
fji,2012,95.19622
fji,2013,98.13696
fji,2014,115.82001
fji,2015,113.12075
fji,2016,118.44081
fji,2017,128.77714
fji,2018,146.56089
fji,2019,154.10401
fra,2000,1572.29595
fra,2001,1595.38421
fra,2002,1788.37252
fra,2003,2183.64312
fra,2004,2512.53966
fra,2005,2593.6073
fra,2006,2716.6304
fra,2007,3065.91113
fra,2008,3395.28623
fra,2009,3348.52673
fra,2010,3235.02319
fra,2011,3462.4546
fra,2012,3264.73091
fra,2013,3446.79266
fra,2014,3512.86116
fra,2015,3040.56193
fra,2016,3198.44077
fra,2017,3339.20692
fra,2018,3536.84388
fra,2019,3382.80271
fsm,2000,37.9249
fsm,2001,41.02516
fsm,2002,38.38101
