geo,time,sh_xpd_chex_gd_zs
egy,2018,4.94758
egy,2019,4.73997
eri,2000,5.7667
eri,2001,5.91932
eri,2002,6.68851
eri,2003,7.33703
eri,2004,7.00985
eri,2005,6.86418
eri,2006,6.85841
eri,2007,5.27863
eri,2008,6.4152
eri,2009,5.38879
eri,2010,4.92946
eri,2011,5.21969
eri,2012,3.78068
eri,2013,5.00735
eri,2014,4.05708
eri,2015,4.45335
eri,2016,3.51889
eri,2017,3.72768
eri,2018,4.12821
eri,2019,4.45877
esp,2000,6.79922
esp,2001,6.76896
esp,2002,6.80053
esp,2003,7.56392
esp,2004,7.65912
esp,2005,7.73195
esp,2006,7.82913
esp,2007,7.91836
esp,2008,8.38188
esp,2009,9.10707
esp,2010,9.11858
esp,2011,9.16859
esp,2012,9.15699
esp,2013,9.06738
esp,2014,9.08936
esp,2015,9.12617
esp,2016,8.95239
esp,2017,8.95694
esp,2018,8.99036
esp,2019,9.13213
est,2000,5.15698
est,2001,4.77708
est,2002,4.70044
est,2003,4.8596
est,2004,5.11956
est,2005,5.05801
est,2006,4.7653
est,2007,4.98331
est,2008,5.71032
est,2009,6.51219
est,2010,6.27124
est,2011,5.76676
est,2012,5.79035
est,2013,5.97791
est,2014,6.08078
est,2015,6.34629
est,2016,6.42957
est,2017,6.59184
est,2018,6.68643
est,2019,6.73045
eth,2000,4.36505
eth,2001,4.72317
eth,2002,4.71263
eth,2003,4.89971
eth,2004,4.31282
eth,2005,4.10098
eth,2006,4.45757
eth,2007,5.00128
eth,2008,4.28064
eth,2009,4.64983
eth,2010,5.46637
eth,2011,4.46898
eth,2012,4.5396
eth,2013,4.07507
eth,2014,4.03364
eth,2015,3.82317
eth,2016,3.60033
eth,2017,3.45336
eth,2018,3.30819
eth,2019,3.23809
fin,2000,7.09253
fin,2001,7.2509
fin,2002,7.6277
fin,2003,7.93805
fin,2004,8.05913
fin,2005,8.28796
fin,2006,8.28412
fin,2007,8.08359
fin,2008,8.34311
fin,2009,9.16122
fin,2010,9.14203
fin,2011,9.22303
fin,2012,9.5858
fin,2013,9.80535
fin,2014,9.78115
fin,2015,9.64524
fin,2016,9.37796
fin,2017,9.1267
fin,2018,9.03609
fin,2019,9.15348
fji,2000,3.42441
fji,2001,2.90547
fji,2002,2.9835
fji,2003,2.97298
fji,2004,3.25769
fji,2005,3.25657
fji,2006,3.34798
fji,2007,3.41515
fji,2008,3.18467
fji,2009,3.53588
fji,2010,3.41664
fji,2011,3.14294
fji,2012,3.26555
fji,2013,3.20041
fji,2014,3.3686
fji,2015,3.32469
fji,2016,3.2798
fji,2017,3.1869
fji,2018,3.42046
fji,2019,3.81607
fra,2000,9.58448
fra,2001,9.70563
fra,2002,10.02219
fra,2003,10.08283
fra,2004,10.16429
fra,2005,10.21484
fra,2006,10.38566
fra,2007,10.31564
fra,2008,10.50085
fra,2009,11.28756
fra,2010,11.2256
fra,2011,11.18498
fra,2012,11.2974
fra,2013,11.41635
fra,2014,11.54442
fra,2015,11.44756
fra,2016,11.47164
fra,2017,11.33276
fra,2018,11.18583
fra,2019,11.05747
fsm,2000,7.76511
fsm,2001,8.4526
fsm,2002,7.8972
fsm,2003,9.5715
fsm,2004,12.02716
fsm,2005,17.73307
fsm,2006,10.74129
fsm,2007,11.0585
fsm,2008,11.99138
fsm,2009,12.55259
fsm,2010,13.10625
fsm,2011,13.09527
fsm,2012,12.2771
fsm,2013,12.13849
fsm,2014,11.73216
fsm,2015,12.45649
fsm,2016,13.13922
fsm,2017,12.21439
fsm,2018,11.70363
fsm,2019,11.44208
gab,2000,2.90537
gab,2001,3.15246
gab,2002,3.33046
gab,2003,3.53692
gab,2004,3.3314
gab,2005,2.9341
gab,2006,3.14509
gab,2007,3.16387
gab,2008,2.79445
gab,2009,3.83981
gab,2010,2.47557
gab,2011,2.55772
gab,2012,2.42098
gab,2013,2.84087
gab,2014,2.53282
gab,2015,2.65744
gab,2016,3.1077
gab,2017,2.78069
gab,2018,2.745
gab,2019,2.76836
gbr,2000,7.19528
gbr,2001,7.56716
gbr,2002,7.94138
gbr,2003,8.11239
gbr,2004,8.39001
gbr,2005,8.44144
gbr,2006,8.60819
gbr,2007,8.78542
gbr,2008,9.0644
gbr,2009,9.88092
gbr,2010,9.83532
gbr,2011,9.84848
gbr,2012,9.9142
gbr,2013,9.97566
gbr,2014,9.95041
gbr,2015,9.90072
gbr,2016,9.87313
gbr,2017,9.80787
gbr,2018,9.90384
gbr,2019,10.15403
geo,2000,7.19459
geo,2001,7.16951
geo,2002,7.81474
geo,2003,8.02953
geo,2004,8.08911
geo,2005,8.07734
geo,2006,7.63208
geo,2007,7.43518
geo,2008,8.44467
geo,2009,9.56682
geo,2010,9.07341
geo,2011,8.01444
geo,2012,8.04716
geo,2013,7.88305
