geo,time,ic_tax_durs
kos,2016,155
kos,2017,155
kos,2018,153.5
kos,2019,153.5
kwt,2005,98
kwt,2006,98
kwt,2007,98
kwt,2008,98
kwt,2009,98
kwt,2010,98
kwt,2011,98
kwt,2012,98
kwt,2013,98
kwt,2014,98
kwt,2015,98
kwt,2016,98
kwt,2017,98
kwt,2018,98
kwt,2019,98
lao,2005,672
lao,2006,672
lao,2007,672
lao,2008,560
lao,2009,362
lao,2010,362
lao,2011,362
lao,2012,362
lao,2013,362
lao,2014,362
lao,2015,362
lao,2016,362
lao,2017,362
lao,2018,362
lao,2019,362
lbn,2005,180
lbn,2006,180
lbn,2007,180
lbn,2008,180
lbn,2009,180
lbn,2010,180
lbn,2011,180
lbn,2012,180
lbn,2013,180
lbn,2014,183
lbn,2015,183
lbn,2016,181
lbn,2017,181
lbn,2018,181
lbn,2019,181
lbr,2006,150
lbr,2007,150
lbr,2008,150
lbr,2009,150
lbr,2010,150
lbr,2011,150.5
lbr,2012,150.5
lbr,2013,143
lbr,2014,143
lbr,2015,139.5
lbr,2016,139.5
lbr,2017,139.5
lbr,2018,139.5
lbr,2019,139.5
lby,2012,889
lby,2013,889
lby,2014,889
lby,2015,889
lby,2016,889
lby,2017,889
lby,2018,889
lby,2019,889
lca,2005,71
lca,2006,71
lca,2007,71
lca,2008,61
lca,2009,92
lca,2010,92
lca,2011,92
lca,2012,92
lca,2013,96.5
lca,2014,110
lca,2015,110
lca,2016,110
lca,2017,110
lca,2018,110
lca,2019,110
lie,2018,49
lie,2019,49
lka,2005,262
lka,2006,262
lka,2007,262
lka,2008,262
lka,2009,262
lka,2010,262
lka,2011,262
lka,2012,260
lka,2013,215.5
lka,2014,173
lka,2015,173
lka,2016,168
lka,2017,162
lka,2018,129
lka,2019,129
lso,2005,564
lso,2006,564
lso,2007,342
lso,2008,324
lso,2009,324
lso,2010,324.3
lso,2011,324
lso,2012,324
lso,2013,324
lso,2014,324
lso,2015,324
lso,2016,324
lso,2017,333
lso,2018,327
lso,2019,327
ltu,2005,166
ltu,2006,166
ltu,2007,166
ltu,2008,166
ltu,2009,166
ltu,2010,175
ltu,2011,175
ltu,2012,175
ltu,2013,175
ltu,2014,171
ltu,2015,171
ltu,2016,171
ltu,2017,109.25
ltu,2018,99
ltu,2019,95
lux,2006,59
lux,2007,59
