geo,time,nv_srv_totl_kn
bwa,2014,82917000000
bwa,2015,81203500000
bwa,2016,88991200000
bwa,2017,92094000000
bwa,2018,94565100000
bwa,2019,101038600000
bwa,2020,100272600000
caf,2009,284988000000
caf,2010,310933000000
caf,2011,328240000000
caf,2012,340806000000
caf,2013,278675000000
caf,2014,292902000000
caf,2015,307389000000
caf,2016,319440000000
caf,2017,338455000000
caf,2018,353255000000
caf,2019,363852650000
caf,2020,391172070200
can,1997,821998929000
can,1998,855752310000
can,1999,896269252000
can,2000,940875250000
can,2001,966041782000
can,2002,1000594268000
can,2003,1021686760000
can,2004,1053682380000
can,2005,1088534754000
can,2006,1128160952000
can,2007,1159787157000
can,2008,1176627175000
can,2009,1168954972000
can,2010,1197940672000
can,2011,1231853557000
can,2012,1253720736000
can,2013,1280666852000
can,2014,1314584580000
can,2015,1333616000000
can,2016,1358789204000
can,2017,1398359963000
can,2018,1437758118000
can,2019,1473556743000
can,2020,1400365177000
che,1990,311822567000
che,1991,309166952000
che,1992,309817874000
che,1993,309508480000
che,1994,310545371000
che,1995,313082665000
che,1996,317375707000
che,1997,326064940000
che,1998,338084823000
che,1999,343247914000
che,2000,359284577000
che,2001,363387430000
che,2002,362806423000
che,2003,363601411000
che,2004,376261288000
che,2005,385307754000
che,2006,399985409000
che,2007,416239607000
che,2008,428515372000
che,2009,429870859000
che,2010,439338592000
che,2011,441344149000
che,2012,451683387000
che,2013,459956307000
che,2014,473868204000
che,2015,485179676000
che,2016,494857820000
che,2017,498649554000
che,2018,509464159000
che,2019,513746380000
che,2020,503609233000
chl,1960,7194361554816.23047
chl,1961,7494086181846.99023
chl,1962,7630765787805.44043
chl,1963,8045414509550.38086
chl,1964,8246309267657.34863
chl,1965,8418007967923.48926
chl,1966,9270597557280.84766
chl,1967,9696568849933.58789
chl,1968,10016916731117.80078
chl,1969,10643782781877.59961
chl,1970,10898378876290.09961
chl,1971,11986639691542.69922
chl,1972,12129384960487.40039
chl,1973,11778466137852.09961
chl,1974,11380963023481.80078
chl,1975,10677750494601
chl,1976,11033117470092.90039
chl,1977,12189879839337.69922
chl,1978,13383359688526.30078
chl,1979,14595279153193.30078
chl,1980,15966685116647.40039
chl,1981,16831001654445
chl,1982,15167715988089.09961
chl,1983,13906300713453.69922
chl,1984,14114150765118.30078
chl,1985,14787439356600
chl,1986,15925471956222.80078
chl,1987,16954429212465.40039
chl,1988,17910165804355
chl,1989,19756767336857.39844
