geo,time,nv_mnf_mtrn_zs_un
cog,2006,9.71696
cog,2007,9.90506
cog,2008,8.24205
cog,2009,7.84627
col,1963,3.63823
col,1964,3.8016
col,1965,3.54202
col,1966,3.24051
col,1967,4.22215
col,1968,3.20467
col,1969,4.41501
col,1970,5.92722
col,1971,5.53333
col,1972,5.20853
col,1973,4.96468
col,1974,6.50233
col,1975,7.81798
col,1976,6.16629
col,1977,6.80372
col,1978,6.9259
col,1979,6.73119
col,1980,5.26692
col,1981,5.3875
col,1982,5.93323
col,1983,5.09663
col,1984,5.24487
col,1985,4.98093
col,1986,4.78833
col,1987,5.86433
col,1988,6.53329
col,1989,5.88358
col,1990,5.7867
col,1991,6.05105
col,1992,5.10204
col,1993,5.97007
col,1994,5.49751
col,1995,5.35662
col,1996,4.86492
col,1997,6.07289
col,1998,4.75931
col,1999,3.39491
col,2000,4.03802
col,2001,4.60369
col,2002,4.67982
col,2003,4.23792
col,2004,5.04839
col,2005,5.93189
col,2006,5.69985
col,2007,6.03992
col,2008,4.98124
col,2009,5.02729
col,2010,6.1693
col,2011,5.28691
col,2012,5.28121
col,2013,4.42465
col,2014,4.56685
col,2015,4.31732
col,2016,4.37743
col,2017,3.97813
col,2018,3.71756
col,2019,3.71756
cpv,2016,4.57083
cpv,2017,5.5301
cri,1963,1.43114
cri,1964,1.37763
cri,1965,2.30675
cri,1966,3.06334
cri,1967,3.3374
cri,1968,3.60509
cri,1969,4.42431
cri,1970,4.36915
cri,1971,4.94142
cri,1972,4.81702
cri,1973,4.37948
cri,1974,4.27229
cri,1975,4.09809
cri,1976,4.39826
cri,1977,4.66776
cri,1978,4.99353
cri,1979,4.92256
cri,1980,4.93277
cri,1981,4.61507
cri,1982,4.45338
cri,1983,3.08607
cri,1984,3.2632
cri,1985,2.71765
cri,1986,2.98573
cri,1987,3.4454
cri,1988,3.03638
cri,1989,3.03808
cri,1990,3.08526
cri,1991,1.97585
cri,1992,2.1537
cri,1993,2.18119
cri,1994,2.41016
cri,1995,2.15944
cri,1996,2.2443
cri,1997,2.46425
cri,1998,2.64733
cri,1999,2.72296
cri,2000,2.515
cri,2001,2.38662
cri,2002,2.80858
cri,2003,2.64144
cri,2004,8.26395
cri,2005,8.85337
cri,2006,9.6347
cri,2007,8.46549
cri,2008,8.01717
cri,2009,8.67956
cri,2010,8.73916
cri,2011,9.82007
cri,2012,10.36915
cri,2013,10.20643
cri,2014,8.21859
cri,2015,4.80636
cri,2016,4.54544
cri,2017,4.60552
cri,2018,4.5399
cri,2019,4.5399
cub,1976,5.61462
cub,1977,6.11514
cub,1978,6.72885
cub,1979,7.3612
cub,1980,7.40046
cub,1981,7.99756
cub,1982,8.53062
cub,1983,10.07776
cub,1984,10.42014
cub,1985,10.08542
cub,1986,9.18471
cub,1987,7.975
cub,1988,7.02037
cub,1989,6.97602
cyp,1963,3.64148
cyp,1964,3.23081
cyp,1965,4.04102
cyp,1966,4.21535
cyp,1967,3.96848
cyp,1968,4.11009
cyp,1969,3.90363
cyp,1970,4.17638
cyp,1971,4.51524
cyp,1972,4.15928
cyp,1973,4.25142
cyp,1974,3.39557
cyp,1975,2.99408
cyp,1976,4.12841
cyp,1977,4.64891
cyp,1978,5.58058
cyp,1979,5.1761
cyp,1980,4.87461
cyp,1981,4.91985
cyp,1982,4.48811
cyp,1983,4.16118
cyp,1984,4.19639
cyp,1985,4.18181
cyp,1986,3.88145
cyp,1987,3.77307
cyp,1988,4.10441
cyp,1989,4.13791
cyp,1990,4.12719
cyp,1991,4.25246
cyp,1992,3.92704
cyp,1993,3.95298
cyp,1994,4.00775
cyp,1995,3.94601
cyp,1996,3.78344
cyp,1997,3.54554
cyp,1998,3.61941
cyp,1999,3.53784
cyp,2000,3.52398
cyp,2001,3.79668
cyp,2002,3.92768
cyp,2003,3.67934
cyp,2004,3.4864
cyp,2005,3.29816
cyp,2006,3.73507
cyp,2007,3.89962
cyp,2008,3.90782
cyp,2009,4.45085
cyp,2010,6.81019
cyp,2011,7.1744
cyp,2012,7.81526
cyp,2013,9.15679
cyp,2014,10.87854
cyp,2015,12.96704
cyp,2016,11.40581
cyp,2017,13.52606
cyp,2018,14.61234
cyp,2019,14.61234
cze,1996,20.94732
cze,1997,22.8806
cze,1998,21.69911
cze,1999,22.40387
cze,2000,23.90728
cze,2001,24.93246
cze,2002,25.17773
cze,2003,25.53178
cze,2004,26.01168
cze,2005,26.49191
cze,2006,29.26609
cze,2007,32.52222
cze,2008,29.69817
cze,2009,29.73834
cze,2010,31.85714
cze,2011,32.53127
cze,2012,33.54405
cze,2013,34.75093
cze,2014,35.43751
cze,2015,39.02294
cze,2016,39.819
cze,2017,39.28401
cze,2018,39.06788
cze,2019,39.20965
deu,1998,35.22169
deu,1999,31.92604
deu,2000,32.68262
deu,2001,34.17067
deu,2002,34.32035
deu,2003,35.4585
deu,2004,34.9832
deu,2005,35.28221
deu,2006,35.6461
deu,2007,37.0856
deu,2008,36.94256
deu,2009,37.07399
deu,2010,39.85593
deu,2011,41.32607
deu,2012,41.88577
deu,2013,42.142
deu,2014,43.38495
deu,2015,44.13459
deu,2016,44.48311
deu,2017,44.49361
deu,2018,43.62413
deu,2019,43.62415
dnk,1963,21.36007
dnk,1964,21.0728
dnk,1965,19.88344
dnk,1966,18.06931
dnk,1967,17.41898
dnk,1968,17.5882
dnk,1969,17.94291
dnk,1970,17.46939
dnk,1971,18.20268
dnk,1972,18.77099
dnk,1973,18.95425
dnk,1974,20.5379
dnk,1975,21.62445
dnk,1976,21.14912
dnk,1977,20.40816
dnk,1978,19.21866
dnk,1979,18.33031
dnk,1980,18.92454
dnk,1981,19.09443
dnk,1982,19.02007
dnk,1983,19.5316
dnk,1984,18.35199
dnk,1985,18.74661
dnk,1986,17.76834
dnk,1987,17.07817
dnk,1988,17.27551
dnk,1989,17.25818
dnk,1990,18.17441
dnk,1991,18.1879
dnk,1992,21.21574
dnk,1993,20.65892
dnk,1994,20.32266
dnk,1995,21.77709
dnk,1996,20.81631
dnk,1997,22.41315
dnk,1998,21.50066
dnk,1999,21.23451
dnk,2000,20.24587
dnk,2001,20.14804
dnk,2002,19.32748
dnk,2003,19.01431
dnk,2004,18.6476
dnk,2005,18.88316
dnk,2006,19.20994
dnk,2007,19.44748
dnk,2008,19.30879
dnk,2009,27.57044
dnk,2010,26.97322
dnk,2011,28.95581
dnk,2012,27.4067
dnk,2013,27.89735
dnk,2014,25.16587
dnk,2015,24.12249
dnk,2016,25.44896
dnk,2017,25.67442
dnk,2018,29.46632
dnk,2019,29.62677
dom,1963,0
dom,1964,0
dom,1965,0
dom,1966,0.02245
dom,1967,0.10288
dom,1968,0.16028
dom,1969,0.17636
dom,1970,0.18444
dom,1971,0.26536
dom,1972,0.2513
dom,1973,0.31515
dom,1974,0.28278
dom,1975,0.39925
dom,1976,0.38936
dom,1977,0.38813
dom,1978,0.49058
dom,1979,0.46737
dom,1980,0.53671
dom,1981,0.3819
dom,1982,0.45268
dom,1983,0.5041
dom,1984,0.44629
dza,1967,3.79747
dza,1968,4.40806
dza,1969,5.07559
dza,1970,6.00119
dza,1971,4.38419
dza,1972,4.91237
dza,1973,5.17061
dza,1974,5.08437
dza,1975,5.17787
dza,1976,5.46257
dza,1977,5.26176
dza,1978,5.76981
dza,1979,6.09576
dza,1980,6.22988
dza,1981,6.4689
dza,1982,6.56487
dza,1983,7.91473
dza,2007,2.9386
dza,2008,2.5149
dza,2011,0.28116
dza,2012,0.28862
dza,2013,0.32746
dza,2014,0.31295
dza,2015,0.60256
dza,2016,0.60256
dza,2017,0.60256
ecu,1963,0
ecu,1964,0.30312
ecu,1965,0.4451
ecu,1966,0.47855
ecu,1967,0.39134
ecu,1968,0.45575
ecu,1969,0.6228
ecu,1970,0.46767
ecu,1971,0.64373
ecu,1972,0.52419
ecu,1973,0.64777
ecu,1974,0.89129
ecu,1975,1.03996
ecu,1976,1.85298
ecu,1977,1.82072
ecu,1978,1.4814
ecu,1979,2.03298
ecu,1980,2.10699
ecu,1981,2.53708
ecu,1982,2.23559
ecu,1983,2.2196
ecu,1984,2.36626
ecu,1985,2.24897
ecu,1986,2.29852
ecu,1987,1.88209
ecu,1988,2.15185
ecu,1989,2.30795
ecu,1990,2.05943
ecu,1991,2.54966
ecu,1992,2.10297
ecu,1993,3.13037
ecu,1994,1.48592
ecu,1995,3.25949
ecu,1996,2.8821
ecu,1997,2.59815
ecu,1998,2.434
ecu,1999,2.17397
ecu,2000,1.61711
ecu,2001,2.94812
ecu,2002,4.8869
ecu,2003,2.6087
ecu,2004,1.76881
ecu,2005,2.9597
ecu,2006,3.66809
ecu,2007,2.38222
ecu,2008,2.59178
ecu,2009,2.59178
ecu,2010,0.69001
ecu,2011,6.10336
ecu,2012,1.61854
ecu,2013,2.54128
ecu,2014,2.57585
ecu,2015,3.19513
ecu,2016,3.23641
ecu,2017,4.02818
ecu,2018,4.46092
ecu,2019,3.85511
egy,1964,4.36306
egy,1965,3.9751
egy,1966,5.41435
egy,1967,4.51086
egy,1968,3.8521
egy,1969,6.02784
egy,1970,5.87554
egy,1971,6.36242
egy,1972,5.71832
egy,1973,5.95346
egy,1974,6.83484
egy,1975,7.02712
egy,1976,9.93543
egy,1977,10.78155
egy,1978,8.14157
egy,1979,10.85319
egy,1980,6.68705
egy,1981,7.81208
egy,1982,8.00447
egy,1983,10.08531
egy,1984,4.66377
egy,1985,6.50052
egy,1986,5.60838
egy,1987,14.54767
egy,1988,7.2558
egy,1989,5.87236
egy,1990,6.32629
egy,1991,7.59682
egy,1992,4.66941
egy,1993,4.65825
egy,1994,11.00553
egy,1995,7.57459
egy,1996,8.10858
egy,1997,9.09666
egy,1998,11.98643
egy,1999,11.96932
egy,2000,11.93459
egy,2001,6.83953
egy,2002,6.9039
egy,2003,6.83953
egy,2004,9.27065
egy,2005,10.16824
egy,2006,7.13557
egy,2007,7.13557
egy,2008,7.13557
egy,2009,4.8448
egy,2010,4.23171
egy,2011,3.66352
egy,2012,3.91224
egy,2013,3.18366
egy,2014,3.37061
egy,2015,5.03156
egy,2016,5.23282
egy,2017,5.4954
egy,2018,5.4954
eri,1992,1.80428
eri,1993,1.64913
eri,1994,0.9448
eri,1995,0.72002
eri,1996,0.57311
eri,1997,0.75506
eri,1998,0.72382
eri,1999,0.51512
eri,2000,0.79458
eri,2001,1.79064
eri,2002,1.69454
eri,2003,2.20288
eri,2004,1.66123
eri,2005,2.26019
eri,2006,4.23299
eri,2007,1.40094
eri,2008,1.31908
eri,2009,0.33445
eri,2010,0.31326
eri,2011,0.50513
eri,2012,1.34874
eri,2013,0.48566
eri,2014,0.83874
eri,2015,0.41948
eri,2016,0.81438
eri,2017,0.44883
eri,2018,0.16274
esp,1963,12.4054
esp,1964,13.13761
esp,1965,13.62319
esp,1966,12.19513
esp,1967,12.00954
esp,1968,10.98865
esp,1969,11.67179
esp,1970,10.90365
esp,1971,11.27851
esp,1972,11.81996
esp,1973,12.2392
esp,1974,11.7089
esp,1975,12.03997
esp,1976,11.91981
esp,1977,12.60185
esp,1978,15.02388
esp,1979,15.13242
esp,1980,16.05316
esp,1981,15.4907
esp,1982,16.29973
esp,1983,15.71496
esp,1984,14.94051
esp,1985,15.09328
esp,1986,15.58269
esp,1987,18.85187
esp,1988,18.5848
esp,1989,18.85686
esp,1990,18.32209
esp,1991,19.32743
esp,1992,19.63719
esp,1993,19.29718
esp,1994,19.83535
esp,1995,19.48198
esp,1996,20.62426
esp,1997,20.52795
esp,1998,20.35852
esp,1999,19.73313
esp,2000,18.95083
esp,2001,18.63432
esp,2002,18.22521
esp,2003,18.56339
esp,2004,18.08955
esp,2005,17.30031
esp,2006,17.40298
esp,2007,17.80508
esp,2008,18.14416
esp,2009,20.82666
esp,2010,21.23323
esp,2011,21.62197
esp,2012,22.32639
esp,2013,23.3765
esp,2014,24.40496
esp,2015,23.95956
esp,2016,23.66257
esp,2017,23.82088
esp,2018,23.47355
esp,2019,23.79023
est,1992,8.02618
est,1993,8.75569
est,1994,7.8515
est,1995,8.18586
est,1996,10.55184
est,1997,10.90797
est,1998,10.90797
est,1999,10.90797
est,2000,10.53172
est,2001,7.31462
est,2002,7.74661
est,2003,9.24642
est,2004,9.12099
est,2005,9.93942
est,2006,8.82529
est,2007,10.10313
est,2008,17.77152
est,2009,16.6166
est,2010,17.71917
est,2011,19.81799
est,2012,18.81266
est,2013,18.68847
est,2014,18.51741
est,2015,18.38061
est,2016,16.91061
est,2017,17.94116
est,2018,19.82262
est,2019,19.82322
eth,1990,1.03851
eth,1991,1.10725
eth,1992,1.29537
eth,1993,2.06949
eth,1994,2.17269
eth,1995,2.24844
eth,1996,1.97652
