geo,time,nv_ind_totl_kd
npl,2012,2845627684.81877
npl,2013,2924753929.96248
npl,2014,3143354865.66419
npl,2015,3206283756.92788
npl,2016,3073763076.76857
npl,2017,3600526282.13788
npl,2018,3973702362.48166
npl,2019,4266933761.23089
npl,2020,4109298561.27408
nru,2013,6875314.65686
nru,2014,6627406.16205
nru,2015,5495715.11773
nzl,1977,21887618682.3341
nzl,1978,21516398821.4578
nzl,1979,21854583238.8989
nzl,1980,21619886678.638
nzl,1981,23222291880.9603
nzl,1982,23500291148.7299
nzl,1983,24419689325.1277
nzl,1984,26160629020.7291
nzl,1985,25293523945.6755
nzl,1986,25566368311.8604
nzl,1987,24965617950.10369
nzl,1988,24495510730.6613
nzl,1989,24462669153.9253
nzl,1990,23411330044.1081
nzl,1991,22446115169.3718
nzl,1992,23011103401.3843
nzl,1993,24574468174.1313
nzl,1994,26160400983.2807
nzl,1995,26865086211.4053
nzl,1996,27671257169.7554
nzl,1997,27980953642.8459
nzl,1998,27418387349.8492
nzl,1999,28819633536.1495
nzl,2000,29100320437.9435
nzl,2001,29381717254.4849
nzl,2002,31739678864.6943
nzl,2003,32750266218.0303
nzl,2004,34073658187.9042
nzl,2005,34559116442.0579
nzl,2006,34574348227.8282
nzl,2007,36615957739.849
nzl,2008,34360949109.9914
nzl,2009,33965103994.1422
nzl,2010,34128257466.1343
nzl,2011,33565655607.664
nzl,2012,34262195644.9729
nzl,2013,34904566676.546
nzl,2014,36374512805.3139
nzl,2015,37645705120.3822
nzl,2016,38695007235.1331
nzl,2017,40169134050.4542
nzl,2018,41237916281.6646
nzl,2019,41726258128.62849
omn,1998,27311314981.1198
omn,1999,27355393222.14
omn,2000,29843920853.1342
omn,2001,31136841872.26229
omn,2002,30215615320.7761
omn,2003,28440206861.1901
omn,2004,27764240040.2169
omn,2005,28468023814.9948
omn,2006,29000909881.6432
omn,2007,28860888444.0531
omn,2008,31489664045.2546
omn,2009,34221887956.2363
omn,2010,36039852257.5313
omn,2011,36496020968.7362
omn,2012,38763785240.7874
omn,2013,40015495663.1328
omn,2014,39549689584.7898
omn,2015,41794278283.485
omn,2016,44291733138.9951
omn,2017,43311245763.2514
omn,2018,43510188556.3171
omn,2019,42504689918.2387
omn,2020,41286710280.8768
pak,1960,1591551246.47468
pak,1961,1875363677.09809
pak,1962,2050256209.96455
pak,1963,2304683945.96581
pak,1964,2648818584.49431
pak,1965,2945486068.27715
pak,1966,3181758259.19243
pak,1967,3295022763.29439
pak,1968,3463092675.23029
pak,1969,3877786908.06786
pak,1970,4469076338.6107
pak,1971,4754673395.14139
pak,1972,4684035317.49439
pak,1973,5168758680.7039
pak,1974,5603548231.02288
pak,1975,5713159041.90708
pak,1976,5993275558.61114
pak,1977,6169870753.92455
pak,1978,6756897541.5827
pak,1979,7272068352.26004
pak,1980,8055176700.65428
pak,1981,8810882347.5234
pak,1982,9757045945.19737
pak,1983,10238857414.6423
pak,1984,10961968931.03
pak,1985,11820673481.4913
pak,1986,12778162648.4228
pak,1987,13882885480.9842
pak,1988,15246367055.9083
pak,1989,15955478501.4591
pak,1990,16981393990.7145
pak,1991,17853311052.0616
pak,1992,19132322772.0992
pak,1993,20069362844.1138
pak,1994,20848787645.1783
pak,1995,21712525606.0548
pak,1996,22738125952.3587
pak,1997,22664194638.6406
pak,1998,24050170811.3682
pak,1999,25233701026.38729
pak,2000,25554594386.8072
pak,2001,27039014762.6165
pak,2002,27402664738.3269
pak,2003,29315428361.7775
pak,2004,34408736945.6464
pak,2005,36648515306.5435
pak,2006,37978381505.2771
pak,2007,40914088398.0426
pak,2008,44380571510.6059
pak,2009,42069731597.1047
pak,2010,43510255484.73129
pak,2011,45471450940.16511
pak,2012,46629820045.3455
pak,2013,46979746493.7011
pak,2014,49108044694.0316
pak,2015,51651855583.8942
pak,2016,54592591303.4644
pak,2017,57077231231.205
pak,2018,59708952593.3864
pak,2019,58779583101.3431
pak,2020,56564737381.7531
pan,1970,1537861472.85257
pan,1971,1728690947.01349
pan,1972,1795341013.86574
pan,1973,1997395872.65653
pan,1974,1937761579.0307
pan,1975,1997395872.65653
pan,1976,2070360061.67871
pan,1977,1911101640.7704
pan,1978,2148936869.28199
pan,1979,2309598592.30323
pan,1980,2540418047.58845
pan,1981,2683034744.7217
pan,1982,2813581362.55264
pan,1983,2405424542.91269
pan,1984,2505796183.68932
pan,1985,2686846193.4828
pan,1986,2804369943.55497
pan,1987,2848838369.60017
pan,1988,2249467480.1803
pan,1989,2164977367.46707
pan,1990,2375249565.85839
pan,1991,2719879960.31741
pan,1992,2979067292.25431
pan,1993,3433598258.47656
pan,1994,3580661722.06123
pan,1995,3630847710.81055
pan,1996,3760122131.13374
pan,1997,3976904407.99948
pan,1998,4134680705.36833
pan,1999,4575941402.58296
pan,2000,4458357468.1145
pan,2001,4016669198.99123
pan,2002,3976754742.74424
pan,2003,4254402650.25219
pan,2004,4533824966.09374
pan,2005,4684118604.18929
pan,2006,5108276123.31416
pan,2007,5457350416.03752
pan,2008,6314908189.03203
pan,2009,6517680470.33122
pan,2010,6994285854.72419
pan,2011,8210768670.28625
pan,2012,9961037446.58978
pan,2013,11600566003.7909
pan,2014,12789439200.6939
pan,2015,14088600000
pan,2016,15054484036.3671
pan,2017,16101537334.1472
pan,2018,16519151675.3944
pan,2019,17073758004.3049
pan,2020,11777539133.2284
per,1960,8770493153.49953
per,1961,9653669770.73943
per,1962,9945949113.76539
per,1963,10313235083.3751
per,1964,10993929023.2175
per,1965,11583065578.4976
per,1966,12581393214.0139
per,1967,12900435484.8351
per,1968,13130385377.6013
per,1969,13261735010.0696
per,1970,14382960827.1716
per,1971,14649533673.7627
per,1972,15308042555.0381
per,1973,16227489982.3161
per,1974,17662475913.4376
per,1975,17587117143.067
per,1976,18301969030.22689
per,1977,19089010393.6763
per,1978,20608158689.8378
per,1979,22698484208.1536
per,1980,23772170614.0405
per,1981,23797877110.4753
per,1982,23899646664.8542
per,1983,20380673803.579
per,1984,21333574890.601
per,1985,21993492347.02349
per,1986,23473200539.0658
per,1987,24997630992.0289
per,1988,22035397457.6501
per,1989,19589758858.475
per,1990,18454095146.1151
per,1991,19201344261.6586
per,1992,18904839193.1913
per,1993,20300737163.9804
per,1994,22682285593.9618
per,1995,24094030035.1559
per,1996,24685631596.94329
per,1997,26572418006.5013
per,1998,26655876083.9678
per,1999,27009428445.8931
per,2000,27520389080.5084
per,2001,28433497919.6245
per,2002,30754829762.0668
per,2003,31958105081.48809
per,2004,34022019815.7956
per,2005,36840578685.1688
per,2006,39037955914.6652
per,2007,42440721326.3036
per,2008,46456216926.9362
per,2009,45721292843.93
per,2010,49272310789.802
per,2011,51548568227.5367
per,2012,53680798856.4791
per,2013,56843402205.5348
per,2014,56618030181.9967
per,2015,57582904157.7691
per,2016,60044741371.136
per,2017,61282526781.6616
per,2018,63026342813.7876
per,2019,62953096906.1377
per,2020,54755189549.9396
phl,1960,9467236091.07702
phl,1961,9985314133.62096
phl,1962,10386799118.1529
phl,1963,11407832884.8565
phl,1964,11903325187.7521
phl,1965,12574763870.2722
phl,1966,13216830840.0664
phl,1967,14277115473.129
phl,1968,14943145539.0524
phl,1969,15652775964.7694
phl,1970,16507464272.8648
phl,1971,17706497429.079
phl,1972,18995359273.771
phl,1973,21534227455.6441
phl,1974,22859882587.5436
phl,1975,24745671259.2712
phl,1976,27553983740.0384
phl,1977,29604761565.4819
phl,1978,31239756639.3016
phl,1979,33483516211.2282
phl,1980,35128019921.6825
phl,1981,36825469965.2903
phl,1982,37632373909.4423
phl,1983,38018905327.1494
phl,1984,33822558929.983
phl,1985,28559130055.1385
phl,1986,29234069761.8497
phl,1987,30390603163.4635
phl,1988,32982894302.9394
phl,1989,35348859667.57929
