geo,time,fb_ast_nper_zs
dnk,2013,4.61814
dnk,2014,4.40079
dnk,2015,3.27824
dnk,2016,2.65748
dnk,2017,1.74231
dnk,2018,1.76026
dnk,2019,1.36888
dnk,2020,1.40573
dnk,2021,1.24617
dom,2008,3.66971
dom,2009,4.27409
dom,2010,3.12919
dom,2011,2.87064
dom,2012,3.45486
dom,2013,2.2518
dom,2014,1.53649
dom,2015,1.72595
dom,2016,1.73699
dom,2017,1.90659
dom,2018,1.61767
dza,2009,21.14155
dza,2010,18.31
dza,2011,14.39831
dza,2012,11.72638
dza,2013,10.56397
dza,2014,9.93496
dza,2015,9.76735
dza,2016,12.08916
dza,2017,12.9585
dza,2018,12.6974
ecu,2002,10.84537
ecu,2003,9.4974
ecu,2004,7.18269
ecu,2005,5.42826
ecu,2006,3.97925
ecu,2007,3.68605
ecu,2008,3.43915
ecu,2009,4.0408
ecu,2010,3.31544
ecu,2011,3.14792
ecu,2012,3.69366
ecu,2013,3.53371
ecu,2014,3.57552
ecu,2015,4.39685
ecu,2016,3.96281
ecu,2017,3.30948
esp,2012,5.71026
esp,2013,7.12374
esp,2014,6.38268
esp,2015,5.09175
esp,2016,4.71813
esp,2017,4.4612
esp,2018,3.68642
esp,2019,3.15283
esp,2020,2.85123
est,2008,1.94468
est,2009,5.20231
est,2010,5.37549
est,2011,4.04581
est,2012,2.62267
est,2013,1.47462
est,2014,1.38824
est,2015,2.76895
est,2016,2.17676
est,2017,2.37887
est,2018,1.55124
est,2019,1.97425
est,2020,1.64285
eth,2017,3.41286
eth,2018,3.56052
eth,2019,2.67174
fin,2014,1.29703
fin,2015,1.34182
fin,2016,1.51681
fin,2017,1.67162
fin,2018,1.42557
fin,2019,1.3904
fji,2000,6.83028
fji,2001,8.00084
fji,2002,6.58629
fji,2003,4.65656
fji,2004,4.22618
fji,2005,3.68506
fji,2006,2.45453
fji,2007,5.68212
fji,2008,3.13012
fji,2009,3.74101
fji,2010,4.37273
fji,2011,3.85934
fji,2012,4.18521
fji,2013,2.68786
fji,2014,2.1565
