geo,time,is_shp_gcnw_xq
fji,2006,10.70388
fji,2007,11.93972
fji,2008,13.88232
fji,2009,11.93841
fji,2010,11.5515
fji,2011,12.51189
fji,2012,12.0755
fji,2013,13.90497
fji,2014,11.93183
fji,2015,10.78725
fji,2016,11.09287
fji,2017,11.43882
fji,2018,9.65559
fji,2019,9.6563
fji,2020,9.2581
fra,2006,57.93417
fra,2007,59.25452
fra,2008,58.89045
fra,2009,58.36347
fra,2010,63.31264
fra,2011,61.22005
fra,2012,65.79708
fra,2013,67.82646
fra,2014,68.0697
fra,2015,71.89267
fra,2016,71.5453
fra,2017,75.53571
fra,2018,74.70427
fra,2019,75.54482
fra,2020,77.4494
fro,2006,4.35567
fro,2007,4.35567
fro,2008,4.55606
fro,2009,4.55195
fro,2010,4.65205
fro,2011,4.55722
fro,2012,4.55727
fro,2013,4.55523
fro,2014,4.40407
fro,2015,4.40508
fro,2016,4.40508
fro,2017,4.5143
fro,2018,4.65623
fro,2019,4.57355
fro,2020,6.04147
fsm,2006,2.75513
fsm,2007,3.8282
fsm,2008,3.97962
fsm,2009,3.81872
fsm,2010,1.77496
fsm,2011,1.61352
fsm,2012,2.46536
fsm,2013,2.22312
fsm,2014,2.39443
fsm,2015,2.39443
fsm,2016,2.39443
fsm,2017,2.77081
fsm,2018,4.03999
fsm,2019,4.03999
fsm,2020,4.41417
gab,2006,8.78848
gab,2007,10.08851
gab,2008,11.40141
gab,2009,10.41018
gab,2010,9.54507
gab,2011,10.47437
gab,2012,12.0302
gab,2013,11.68777
gab,2014,9.98535
gab,2015,10.0286
gab,2016,12.64045
gab,2017,12.4212
gab,2018,12.34187
gab,2019,13.07091
gab,2020,12.45776
gbr,2006,83.99712
gbr,2007,78.15352
gbr,2008,75.78629
gbr,2009,79.13857
gbr,2010,79.41541
gbr,2011,76.12104
gbr,2012,77.36445
gbr,2013,76.7403
gbr,2014,83.1413
gbr,2015,85.45342
gbr,2016,83.91521
gbr,2017,87.6107
gbr,2018,86.94886
gbr,2019,86.91444
gbr,2020,90.95084
geo,2006,4.47297
geo,2007,4.16378
geo,2008,5.31486
geo,2009,4.35739
geo,2010,5.90761
geo,2011,5.93327
geo,2012,5.34887
geo,2013,5.75927
geo,2014,5.55287
geo,2015,5.39499
geo,2016,4.95899
geo,2017,6.17579
geo,2018,6.83524
geo,2019,6.468
geo,2020,6.17221
gha,2006,16.66705
gha,2007,16.69958
gha,2008,18.87242
gha,2009,19.86755
gha,2010,20.34924
gha,2011,20.51448
gha,2012,19.94169
gha,2013,21.4302
gha,2014,21.71428
gha,2015,22.75464
gha,2016,20.62384
gha,2017,19.58462
gha,2018,20.08404
gha,2019,36.65098
gha,2020,39.98621
gib,2006,2.67197
gib,2007,2.67214
gib,2008,2.10698
gib,2009,2.10698
gib,2010,2.10698
gib,2011,3.15274
gib,2012,3.32335
gib,2013,2.61041
gib,2014,2.76104
gib,2015,3.34685
gib,2016,1.88977
gib,2017,1.88977
gib,2018,2.22876
gib,2019,2.67243
gib,2020,2.67248
gin,2006,10.46761
gin,2007,9.62154
gin,2008,10.94105
gin,2009,9.57845
gin,2010,8.45582
gin,2011,9.37214
gin,2012,10.32443
gin,2013,10.4111
gin,2014,7.92677
gin,2015,10.42469
gin,2016,10.9702
gin,2017,12.28002
gin,2018,11.17261
gin,2019,14.88493
gin,2020,7.88121
gmb,2006,4.06792
gmb,2007,4.98951
gmb,2008,6.04622
gmb,2009,6.37702
gmb,2010,6.0202
gmb,2011,6.20914
gmb,2012,11.09189
gmb,2013,10.57059
gmb,2014,10.03814
gmb,2015,8.03143
gmb,2016,6.66327
gmb,2017,6.34761
gmb,2018,6.80819
gmb,2019,6.50028
gmb,2020,6.16841
gnb,2006,4.97825
gnb,2007,4.01466
gnb,2008,4.09623
gnb,2009,5.62634
gnb,2010,4.09348
gnb,2011,5.05155
gnb,2012,4.7982
gnb,2013,3.95378
gnb,2014,4.26998
gnb,2015,4.82702
gnb,2016,4.59757
gnb,2017,4.37899
gnb,2018,4.36774
gnb,2019,4.28951
gnb,2020,4.05745
gnq,2006,4.95581
gnq,2007,5.21286
gnq,2008,4.97564
gnq,2009,5.59226
gnq,2010,6.95321
gnq,2011,8.28926
gnq,2012,8.60877
gnq,2013,8.27835
gnq,2014,10.12802
gnq,2015,6.29209
gnq,2016,11.14252
gnq,2017,11.16578
gnq,2018,11.61581
gnq,2019,11.68889
gnq,2020,11.6614
grc,2006,32.71586
grc,2007,31.76613
grc,2008,25.02042
grc,2009,31.42617
grc,2010,30.57817
grc,2011,38.59946
grc,2012,40.46833
grc,2013,42.21825
grc,2014,46.28433
grc,2015,41.1983
grc,2016,45.31689
grc,2017,48.49632
grc,2018,58.58983
grc,2019,60.02092
grc,2020,60.30791
grd,2006,5.40573
grd,2007,6.38085
grd,2008,6.4223
grd,2009,5.41437
grd,2010,5.01245
grd,2011,5.31487
grd,2012,7.22311
grd,2013,7.9507
grd,2014,7.11105
grd,2015,6.96054
grd,2016,6.263
grd,2017,5.96296
grd,2018,5.78418
grd,2019,6.21108
grd,2020,6.20744
grl,2006,1.89329
grl,2012,2.14601
grl,2013,1.89004
grl,2014,2.08567
grl,2015,2.08567
grl,2016,1.9855
grl,2017,1.98574
grl,2018,1.9855
grl,2019,1.9855
grl,2020,5.31007
gtm,2006,18.57864
gtm,2007,18.79152
gtm,2008,16.97842
gtm,2009,20.11806
gtm,2010,17.35533
gtm,2011,15.20744
gtm,2012,15.0763
gtm,2013,20.10763
gtm,2014,21.57669
gtm,2015,21.61114
gtm,2016,22.71312
gtm,2017,23.30202
gtm,2018,25.77032
gtm,2019,24.98669
gtm,2020,31.23459
gum,2006,8.74681
gum,2007,8.12338
gum,2008,9.36901
gum,2009,8.08496
gum,2010,8.33045
gum,2011,7.99927
