geo,time,sh_h2o_smdw_ru_zs
gtm,2003,40.35481
gtm,2004,40.65926
gtm,2005,40.96371
gtm,2006,41.26816
gtm,2007,41.57261
gtm,2008,41.87706
gtm,2009,42.18151
gtm,2010,42.48596
gtm,2011,42.79041
gtm,2012,43.09486
gtm,2013,43.39931
gtm,2014,43.70376
gtm,2015,44.00821
gtm,2016,44.31266
gtm,2017,44.61711
gtm,2018,44.92156
gtm,2019,45.22601
gtm,2020,45.53046
hnd,2000,15.85064
hnd,2001,15.99385
hnd,2002,16.13706
hnd,2003,16.28027
hnd,2004,16.42348
hnd,2005,16.56668
hnd,2006,16.70989
hnd,2007,16.8531
hnd,2008,16.99631
hnd,2009,17.13952
hnd,2010,17.28273
hnd,2011,17.42594
hnd,2012,17.56915
hnd,2013,17.71236
hnd,2014,17.85557
hnd,2015,17.99878
hnd,2016,18.14198
hnd,2017,18.28519
hnd,2018,18.4284
hnd,2019,18.57161
hnd,2020,18.71482
hrv,2000,68.4555
hrv,2001,68.4555
hrv,2002,68.4555
hrv,2003,68.4555
hrv,2004,68.4555
hrv,2005,68.4555
hrv,2006,68.4555
hrv,2007,68.4555
hun,2000,88.90964
hun,2001,88.90964
hun,2002,88.911
hun,2003,88.91101
hun,2004,88.91102
hun,2005,88.91102
hun,2006,88.91103
hun,2007,88.91103
hun,2008,88.91104
hun,2009,88.91105
hun,2010,88.91105
hun,2011,88.91106
hun,2012,88.91106
hun,2013,88.91107
hun,2014,88.91107
hun,2015,88.91108
hun,2016,88.91109
hun,2017,89
hun,2018,89
hun,2019,89
hun,2020,89
ind,2000,29.21912
ind,2001,30.52542
ind,2002,31.85015
ind,2003,33.19331
ind,2004,34.5549
ind,2005,35.93492
ind,2006,37.33338
ind,2007,38.75026
ind,2008,40.18558
ind,2009,41.63933
ind,2010,43.1115
ind,2011,44.60211
ind,2012,46.11115
ind,2013,47.63862
ind,2014,49.18452
ind,2015,50.74886
ind,2016,52.33162
ind,2017,53.93281
ind,2018,55.55244
ind,2019,57.10753
ind,2020,56.07462
irn,2000,80.9834
irn,2001,81.29301
irn,2002,81.60263
irn,2003,81.91225
irn,2004,82.22187
irn,2005,82.53148
irn,2006,82.8411
irn,2007,83.15072
irn,2008,83.46034
irn,2009,83.76995
irn,2010,84.07957
irn,2011,84.38919
irn,2012,84.69881
irn,2013,85.00842
irn,2014,85.31804
irn,2015,85.62766
irn,2016,85.93728
irn,2017,86.24689
irn,2018,86.55651
irn,2019,86.86613
irn,2020,87.17575
irq,2000,27.79327
irq,2001,28.79593
irq,2002,29.79859
irq,2003,30.80125
irq,2004,31.8039
irq,2005,32.80656
irq,2006,33.80922
irq,2007,34.81188
irq,2008,35.81453
irq,2009,36.81719
irq,2010,37.81985
irq,2011,38.82251
irq,2012,39.82516
irq,2013,40.82782
irq,2014,41.83048
irq,2015,42.83314
irq,2016,43.83579
irq,2017,44.83845
irq,2018,45.84111
irq,2019,46.84377
irq,2020,47.64346
isr,2000,99.89256
isr,2001,99.89256
isr,2002,99.89256
isr,2003,99.89256
isr,2004,99.89256
isr,2005,99.89256
isr,2006,99.89256
isr,2007,99.89256
isr,2008,99.83091
isr,2009,99.76927
isr,2010,99.70762
isr,2011,99.64598
isr,2012,99.58433
isr,2013,99.52269
isr,2014,99.46104
isr,2015,99.39939
isr,2016,99.33775
isr,2017,99.2761
isr,2018,99.21446
isr,2019,99.15281
isr,2020,99.09116
kgz,2000,27.38018
kgz,2001,27.38018
kgz,2002,27.70439
kgz,2003,28.0286
kgz,2004,28.35282
kgz,2005,30.37625
kgz,2006,32.43811
kgz,2007,34.53839
kgz,2008,36.6771
kgz,2009,38.85422
kgz,2010,41.06976
kgz,2011,43.32373
kgz,2012,45.61612
kgz,2013,47.94693
kgz,2014,50.31616
kgz,2015,52.72381
kgz,2016,55.16989
kgz,2017,55.72463
kgz,2018,56.27937
kgz,2019,56.83411
kgz,2020,57.38885
khm,2000,10.67451
khm,2001,11.05945
khm,2002,11.44439
khm,2003,11.82933
khm,2004,12.21428
khm,2005,12.59922
khm,2006,12.98416
khm,2007,13.3691
khm,2008,13.75405
khm,2009,14.13899
khm,2010,14.52393
khm,2011,14.90887
khm,2012,15.29381
khm,2013,15.67876
khm,2014,16.0637
khm,2015,16.44864
khm,2016,16.83358
khm,2017,17.21853
khm,2018,17.60347
khm,2019,17.98841
khm,2020,18.37335
kir,2000,5.16411
kir,2001,5.23853
kir,2002,5.31295
kir,2003,5.38737
kir,2004,5.46179
kir,2005,5.53621
kir,2006,5.61064
kir,2007,5.68506
kir,2008,5.75948
kir,2009,5.8339
kir,2010,5.90832
kir,2011,5.98274
