geo,time,ic_lgl_durs
jor,2013,689
jor,2014,689
jor,2015,689
jor,2016,689
jor,2017,642
jor,2018,642
jor,2019,642
jpn,2013,360
jpn,2014,360
jpn,2015,360
jpn,2016,360
jpn,2017,360
jpn,2018,360
jpn,2019,360
kaz,2003,410
kaz,2004,410
kaz,2005,390
kaz,2006,390
kaz,2007,390
kaz,2008,390
kaz,2009,390
kaz,2010,390
kaz,2011,370
kaz,2012,370
kaz,2013,370
kaz,2014,370
kaz,2015,370
kaz,2016,370
kaz,2017,370
kaz,2018,370
kaz,2019,370
ken,2003,465
ken,2004,465
ken,2005,465
ken,2006,465
ken,2007,465
ken,2008,465
ken,2009,465
ken,2010,465
ken,2011,465
ken,2012,465
ken,2013,465
ken,2014,465
ken,2015,465
ken,2016,465
ken,2017,465
ken,2018,465
ken,2019,465
kgz,2003,260
kgz,2004,260
kgz,2005,260
kgz,2006,260
kgz,2007,260
kgz,2008,260
kgz,2009,260
kgz,2010,260
kgz,2011,410
kgz,2012,410
kgz,2013,410
kgz,2014,410
kgz,2015,410
kgz,2016,410
kgz,2017,410
kgz,2018,410
kgz,2019,410
khm,2003,401
khm,2004,401
khm,2005,401
khm,2006,401
khm,2007,401
khm,2008,420
khm,2009,420
khm,2010,450
khm,2011,450
khm,2012,483
khm,2013,483
khm,2014,483
khm,2015,483
khm,2016,483
khm,2017,483
khm,2018,483
khm,2019,483
kir,2003,660
kir,2004,660
kir,2005,660
kir,2006,660
kir,2007,660
kir,2008,660
kir,2009,660
kir,2010,660
kir,2011,660
kir,2012,660
kir,2013,660
kir,2014,660
kir,2015,660
kir,2016,660
kir,2017,660
kir,2018,660
kir,2019,660
kna,2005,578
kna,2006,578
kna,2007,578
kna,2008,578
kna,2009,578
kna,2010,578
kna,2011,578
kna,2012,578
kna,2013,578
kna,2014,578
kna,2015,578
kna,2016,578
kna,2017,578
kna,2018,578
kna,2019,578
kor,2003,230
kor,2004,230
kor,2005,230
kor,2006,230
kor,2007,230
kor,2008,230
kor,2009,230
kor,2010,230
kor,2011,230
kor,2012,290
kor,2013,290
kor,2014,290
kor,2015,290
kor,2016,290
kor,2017,290
kor,2018,290
kor,2019,290
kos,2009,420
kos,2010,420
kos,2011,420
kos,2012,420
kos,2013,420
kos,2014,330
kos,2015,330
kos,2016,330
kos,2017,330
kos,2018,330
kos,2019,330
kwt,2003,566
kwt,2004,566
kwt,2005,566
kwt,2006,566
kwt,2007,566
kwt,2008,566
kwt,2009,566
kwt,2010,566
kwt,2011,566
kwt,2012,566
kwt,2013,566
kwt,2014,566
kwt,2015,566
kwt,2016,566
kwt,2017,566
kwt,2018,566
kwt,2019,566
lao,2003,828
lao,2004,828
lao,2005,828
lao,2006,828
lao,2007,828
lao,2008,828
lao,2009,828
lao,2010,828
lao,2011,828
lao,2012,828
lao,2013,828
lao,2014,828
lao,2015,828
lao,2016,828
lao,2017,828
lao,2018,828
lao,2019,828
lbn,2003,721
lbn,2004,721
lbn,2005,721
lbn,2006,721
lbn,2007,721
lbn,2008,721
lbn,2009,721
lbn,2010,721
lbn,2011,721
lbn,2012,721
lbn,2013,721
lbn,2014,721
lbn,2015,721
lbn,2016,721
lbn,2017,721
lbn,2018,721
lbn,2019,721
lbr,2006,1300
lbr,2007,1300
lbr,2008,1300
lbr,2009,1300
lbr,2010,1300
lbr,2011,1300
lbr,2012,1300
lbr,2013,1300
lbr,2014,1300
lbr,2015,1300
lbr,2016,1300
lbr,2017,1300
lbr,2018,1300
lbr,2019,1300
lby,2012,690
lby,2013,690
lby,2014,690
lby,2015,690
lby,2016,690
lby,2017,690
lby,2018,690
lby,2019,690
lca,2005,635
lca,2006,635
lca,2007,635
lca,2008,635
lca,2009,635
lca,2010,635
lca,2011,635
lca,2012,635
lca,2013,645
lca,2014,645
lca,2015,645
lca,2016,645
lca,2017,645
lca,2018,645
lca,2019,645
lie,2018,640
lie,2019,640
lka,2003,1318
lka,2004,1318
lka,2005,1318
lka,2006,1318
lka,2007,1318
lka,2008,1318
lka,2009,1318
lka,2010,1318
lka,2011,1318
lka,2012,1318
lka,2013,1318
lka,2014,1318
lka,2015,1318
lka,2016,1318
lka,2017,1318
lka,2018,1318
lka,2019,1318
lso,2003,875
lso,2004,875
lso,2005,875
lso,2006,875
lso,2007,875
lso,2008,875
lso,2009,875
lso,2010,875
lso,2011,875
lso,2012,615
lso,2013,615
lso,2014,615
lso,2015,615
lso,2016,615
lso,2017,615
lso,2018,615
lso,2019,615
ltu,2003,210
ltu,2004,210
ltu,2005,210
ltu,2006,210
ltu,2007,210
ltu,2008,210
ltu,2009,300
ltu,2010,300
ltu,2011,300
ltu,2012,370
ltu,2013,370
ltu,2014,370
ltu,2015,370
ltu,2016,370
ltu,2017,370
ltu,2018,370
ltu,2019,370
lux,2006,321
lux,2007,321
lux,2008,321
lux,2009,321
lux,2010,321
lux,2011,321
lux,2012,321
lux,2013,321
lux,2014,321
lux,2015,321
lux,2016,321
lux,2017,321
lux,2018,321
lux,2019,321
lva,2003,282
lva,2004,282
lva,2005,279
lva,2006,279
lva,2007,279
lva,2008,279
lva,2009,309
lva,2010,309
lva,2011,369
lva,2012,469
lva,2013,469
lva,2014,469
lva,2015,469
lva,2016,469
lva,2017,469
lva,2018,469
lva,2019,469
mar,2003,510
