geo,time,en_atm_meth_kt_ce
che,2018,4790
chl,1990,12220
chl,1991,12330
chl,1992,12540
chl,1993,12840
chl,1994,13070
chl,1995,13350
chl,1996,13620
chl,1997,14020
chl,1998,14280
chl,1999,14370
chl,2000,14460
chl,2001,14260
chl,2002,14060
chl,2003,13920
chl,2004,13880
chl,2005,13760
chl,2006,13530
chl,2007,13360
chl,2008,13540
chl,2009,13700
chl,2010,13790
chl,2011,13870
chl,2012,14080
chl,2013,13050
chl,2014,13220
chl,2015,12850
chl,2016,13000
chl,2017,13110
chl,2018,13480
chn,1990,730340
chn,1991,743070
chn,1992,751660
chn,1993,757560
chn,1994,773650
chn,1995,798450
chn,1996,823860
chn,1997,791730
chn,1998,813830
chn,1999,825690
chn,2000,829610
chn,2001,824170
chn,2002,819890
chn,2003,815910
chn,2004,829700
chn,2005,837670
chn,2006,883360
chn,2007,921560
chn,2008,973580
chn,2009,1018910
chn,2010,1063830
chn,2011,1106190
chn,2012,1151100
chn,2013,1178020
chn,2014,1206210
chn,2015,1237520
chn,2016,1242150
chn,2017,1239130
chn,2018,1238630
civ,1990,3960
civ,1991,9150
civ,1992,14320
civ,1993,19350
civ,1994,24580
civ,1995,24320
civ,1996,23730
civ,1997,23450
civ,1998,23110
civ,1999,22750
civ,2000,22500
civ,2001,21380
civ,2002,20300
civ,2003,18860
civ,2004,16800
civ,2005,16200
civ,2006,14670
civ,2007,13310
civ,2008,11720
civ,2009,10240
civ,2010,8780
civ,2011,7540
civ,2012,6280
civ,2013,6560
civ,2014,6160
civ,2015,6280
civ,2016,6910
civ,2017,6540
civ,2018,6560
cmr,1990,9030
cmr,1991,9040
cmr,1992,9110
cmr,1993,9160
cmr,1994,9220
cmr,1995,9460
cmr,1996,9790
cmr,1997,10240
cmr,1998,11010
cmr,1999,11480
cmr,2000,12530
cmr,2001,12170
cmr,2002,12170
cmr,2003,12960
cmr,2004,12320
cmr,2005,13190
cmr,2006,12840
cmr,2007,12940
cmr,2008,12560
cmr,2009,12490
cmr,2010,12960
cmr,2011,13080
cmr,2012,13550
cmr,2013,14040
cmr,2014,14220
cmr,2015,14620
cmr,2016,14760
cmr,2017,14800
cmr,2018,14960
cod,1990,24920
cod,1991,25310
cod,1992,25900
cod,1993,26320
cod,1994,26780
cod,1995,26870
cod,1996,24340
cod,1997,24170
cod,1998,24560
cod,1999,23710
cod,2000,23820
cod,2001,24890
cod,2002,27580
cod,2003,29040
cod,2004,30150
cod,2005,30170
cod,2006,30920
cod,2007,29840
cod,2008,31100
cod,2009,31540
cod,2010,32550
cod,2011,32700
cod,2012,33700
cod,2013,35320
cod,2014,35980
cod,2015,37360
cod,2016,37790
cod,2017,38830
cod,2018,38620
cog,1990,1750
cog,1991,1730
cog,1992,1710
cog,1993,1690
cog,1994,1660
cog,1995,1690
cog,1996,1140
cog,1997,1200
cog,1998,1250
cog,1999,1290
cog,2000,1230
cog,2001,1330
cog,2002,1610
cog,2003,2060
cog,2004,2180
cog,2005,2440
cog,2006,2610
cog,2007,2620
cog,2008,2750
cog,2009,2800
cog,2010,3140
cog,2011,3220
cog,2012,3180
cog,2013,3300
