geo,time,ag_lnd_irig_ag_zs
pak,2012,51.46549
pak,2013,49.44873
pak,2014,51.27993
pak,2015,51.73747
pak,2016,50.55444
pak,2017,49.23925
pak,2018,53.22314
pan,2007,1.43382
pan,2008,1.43549
pan,2009,1.43395
pan,2010,1.20015
pan,2011,0.89262
pan,2012,0.93404
pan,2013,1.09783
phl,2006,8.33333
phl,2007,8.22731
phl,2008,9.06744
phl,2009,9.39669
phl,2010,9.10744
phl,2011,9.26591
pol,2005,0.44637
pol,2007,0.46545
pol,2010,0.31836
pol,2013,0.52741
pol,2016,0.92319
pri,2002,7.65766
pri,2003,7.88497
pri,2007,8.34921
pri,2012,10.67073
prt,2005,11.87273
prt,2007,15.94408
prt,2010,12.75255
prt,2013,12.96371
prt,2016,13.09909
pse,2001,4.41734
pse,2002,4.37838
pse,2003,4.19619
pse,2004,4.30518
pse,2005,4.2331
pse,2006,4.6128
pse,2007,5.00707
pse,2008,4.85437
pse,2010,5.16337
pse,2011,5.54913
pse,2012,5.56679
pse,2013,5.39135
qat,2010,19.54887
qat,2011,17.83792
qat,2015,16.22419
qat,2016,16.41791
qat,2017,16.41791
qat,2018,16.41791
rou,2001,2.20976
rou,2002,3.29329
rou,2003,3.84459
rou,2004,2.31423
rou,2005,0.3244
rou,2006,0.68737
rou,2007,2.34776
rou,2008,1.88499
rou,2009,2.17312
rou,2010,0.58844
rou,2011,0.74024
rou,2012,1.20804
rou,2013,1.30097
rou,2014,1.04845
rou,2015,1.24838
rou,2016,1.13157
rou,2017,1.58469
rou,2018,1.99046
rus,2001,2.06907
rus,2002,2.05215
rus,2003,2.09962
rus,2004,2.09742
rus,2005,2.07437
rus,2006,2.05719
rus,2007,2.01937
rus,2008,1.97082
rwa,2005,0.44534
sdn,2011,2.17266
sen,2002,0.64
sen,2003,0.62558
sen,2004,0.69069
sen,2005,0.76345
sen,2006,0.74222
slv,2003,2.01896
slv,2004,1.99136
slv,2005,2.11879
slv,2006,2.28051
slv,2007,1.74872
slv,2008,1.95242
slv,2009,2.1896
slv,2010,1.178
slv,2011,1.09145
slv,2012,1.35664
slv,2013,1.40737
slv,2014,1.46463
slv,2016,1.54409
slv,2018,1.50765
srb,2006,0.73565
srb,2007,0.73218
srb,2008,0.72539
srb,2009,0.88232
srb,2010,0.7099
srb,2011,0.96366
srb,2012,1.53064
srb,2013,1.5181
srb,2014,1.28337
srb,2015,1.58001
srb,2016,1.24421
srb,2017,1.46242
srb,2018,1.35681
sur,2009,70.21144
sur,2010,71.06003
sur,2011,69.55
sur,2012,72.9918
sur,2013,72.65625
sur,2014,72.56236
sur,2015,75.86207
sur,2016,75.86207
sur,2017,75
sur,2018,73.80952
svk,2001,4.92239
svk,2002,3.3527
svk,2003,4.20394
svk,2004,2.17166
svk,2005,1.33952
svk,2006,1.28932
svk,2007,1.29534
svk,2008,1.34228
svk,2009,1.03627
svk,2010,0.76104
svk,2011,0.71514
svk,2012,1.28671
svk,2013,0.9718
svk,2014,0.95798
svk,2015,1.11723
svk,2016,1.1983
svk,2017,1.29856
svk,2018,1.15934
svn,2001,0.58824
svn,2002,0.59406
svn,2003,0.58824
svn,2004,0.60976
svn,2005,0.39293
svn,2006,0.611
svn,2007,0.80321
svn,2008,0.64666
svn,2009,0.63988
svn,2010,0.64117
svn,2011,0.64453
svn,2012,0.32691
svn,2013,0.32776
svn,2014,0.32529
svn,2015,0.48663
svn,2016,0.50204
svn,2017,0.52029
svn,2018,0.52288
swe,2003,1.68954
swe,2005,1.51897
swe,2007,1.72681
swe,2010,2.04214
swe,2013,1.70281
swz,2002,3.6634
syc,2003,5
syr,2003,9.85304
syr,2004,10.3488
syr,2005,10.31241
syr,2006,10.10305
syr,2007,10.04533
syr,2008,9.7568
syr,2009,8.90135
syr,2010,9.64193
syr,2011,10.0539
syr,2012,10.25788
syr,2013,9.41024
tjk,2006,14.94403
tjk,2007,15.03489
tjk,2008,15.03702
tjk,2009,14.74976
tjk,2014,17.23011
tjk,2015,17.24247
tjk,2016,17.28108
tjk,2017,17.34141
tls,2002,7.98619
tto,2004,9.09091
tto,2012,9.25926
tun,2001,3.64249
tun,2002,3.67715
tun,2003,3.55683
tun,2004,3.62157
tun,2005,3.62378
tun,2006,3.80379
tun,2007,3.88577
tun,2008,4.00769
tun,2009,4.12708
tun,2010,3.8952
tun,2011,3.76291
tun,2012,3.83995
tun,2013,3.94247
tur,2002,12.659
tur,2003,12.83092
tur,2004,12.6547
tur,2005,12.6507
tur,2006,12.87877
tur,2007,13.20086
tur,2008,13.3301
tur,2009,13.40238
tur,2010,13.36768
tur,2011,13.63506
tur,2012,13.57825
tur,2013,13.5726
tur,2014,13.52648
tur,2015,13.52753
tur,2016,13.60624
tur,2017,13.73706
tur,2018,13.79557
uga,2013,0.0734
ukr,2001,1.31279
ukr,2002,1.7637
ukr,2003,1.76859
ukr,2006,5.27323
ukr,2007,5.26826
ukr,2008,5.26979
ukr,2009,0.9812
ukr,2010,0.8966
ukr,2011,0.89872
ukr,2012,0.91048
ukr,2013,0.96807
ukr,2014,0.74679
ukr,2015,0.75648
ukr,2016,0.79248
ukr,2017,0.89903
ukr,2018,0.96542
ury,2006,1.15005
ury,2007,1.07904
ury,2008,1.22666
ury,2009,1.16781
ury,2010,1.23328
ury,2011,1.37684
ury,2012,1.40548
ury,2016,1.58259
ury,2017,1.58781
ury,2018,1.59105
usa,2002,5.41901
usa,2007,5.54816
usa,2008,5.4098
usa,2012,5.60433
usa,2017,5.78552
uzb,2015,14.32125
uzb,2016,14.31043
uzb,2017,14.29666
uzb,2018,14.27024
ven,2007,3.16805
yem,2002,2.88299
yem,2003,1.99617
yem,2004,2.86539
yem,2005,3.04808
yem,2006,3.26745
zaf,2010,1.58735
zaf,2011,1.66124
