geo,time,ne_con_prvt_cn_ad
bwa,1993,3431914578.90367
bwa,1994,4211816348.13973
bwa,1995,4981410621.16677
bwa,1996,5489464219.35736
bwa,1997,6259251155.86495
bwa,1998,7198581955.24994
bwa,1999,7990717855.50045
bwa,2000,9479332237.91213
bwa,2001,10642923328.6486
bwa,2002,12391248082.8316
bwa,2003,13817258779.2027
bwa,2004,16111250437.5556
bwa,2005,18630520324.75949
bwa,2006,22052905093.5933
bwa,2007,25645673352.7528
bwa,2008,31721167668.1172
bwa,2009,35858086377.1913
bwa,2010,41126009942.8885
bwa,2011,46845230179.3798
bwa,2012,55005704790.90369
bwa,2013,62721123101.7682
bwa,2014,60931500000
bwa,2015,63702600000
bwa,2016,66916100000
bwa,2017,69826500000
bwa,2018,74615400000
bwa,2019,78967000000
bwa,2020,78515700000
caf,1990,316629000000
caf,1991,307970000000
caf,1992,298861000000
caf,1993,288541000000
caf,1994,347010000000
caf,1995,428703000000
caf,1996,432856040500
caf,1997,438498000000
caf,1998,475166000000
caf,1999,460424315200
caf,2000,504984836700
caf,2001,554414090400
caf,2002,557825047400
caf,2003,549790900900
caf,2004,590471035800
caf,2005,631697800000
caf,2006,692471100000.00195
caf,2007,750909300000.00195
caf,2008,823708899999.99695
caf,2009,844394000000
caf,2010,872392999999.99805
caf,2011,958893000000.00305
caf,2012,1130405000000
caf,2013,698262000000.00195
caf,2014,769249000000.00098
caf,2015,826411999999.99902
caf,2016,908639999999.99902
caf,2017,998225999999.99902
caf,2018,1085501000000
caf,2019,1190545509500
caf,2020,1253731224000
can,1997,515810000000
can,1998,536891000000
can,1999,566932000000
can,2000,603187000000
can,2001,630572000000
can,2002,668603000000
can,2003,698585000000
can,2004,730886000000
can,2005,772000000000
can,2006,814421000000
can,2007,863424000000
can,2008,902446000000
can,2009,904663000000
can,2010,949619000000
can,2011,991750000000
can,2012,1023606000000
can,2013,1064515000000
can,2014,1113079000000
can,2015,1150654000000
can,2016,1184618999999.98999
can,2017,1241063000000
can,2018,1292802000000
can,2019,1334706999999.98999
can,2020,1261278000000
che,1990,199336366000
che,1991,213670807000
che,1992,222864671000
che,1993,227736161000
che,1994,230184417000
che,1995,235043102000
che,1996,240403141000
che,1997,247109460000
che,1998,252880677000
che,1999,258738526000
che,2000,267212908000
che,2001,274582994000
che,2002,274324777000
che,2003,278793679000
che,2004,285564854000
che,2005,292279600000
che,2006,301033585000
che,2007,312295698000
che,2008,322791259000
che,2009,325831713000
che,2010,332955178000
che,2011,336172445000
che,2012,340217310000
che,2013,346804373000
che,2014,349355363000
che,2015,353060668000
che,2016,358152569000
che,2017,365272315000
che,2018,372225358000
che,2019,375926266000
che,2020,360019629000
chl,1990,6245961791912.2998
chl,1991,8364996349000
chl,1992,10858186862000
chl,1993,13131779938700
chl,1994,15482863597800
chl,1995,18230163233400
chl,1996,20151973119244.80078
chl,1997,22479122149791.5
chl,1998,24386172141041.80078
chl,1999,24768854460123.39844
chl,2000,26905632903223.69531
chl,2001,28779303264153.60156
chl,2002,30379992389522.30078
chl,2003,32550112309950.19922
chl,2004,35913096494594.5
chl,2005,40528368498884.20312
chl,2006,44953127640882.20312
chl,2007,50041901216505.60156
chl,2008,56361662103513.79688
chl,2009,56832629424411.39844
chl,2010,65037133950973.89844
chl,2011,73356769445399.09375
chl,2012,80117515141372.1875
chl,2013,86376886549387.01562
chl,2014,93779395596357.28125
chl,2015,101220569538124
chl,2016,107485068563227
chl,2017,113983745391753
chl,2018,121614167071382
chl,2019,124127586557792
chl,2020,118427996837769
chn,1990,943503816260
chn,1991,1054447173600
chn,1992,1231222047400
chn,1993,1569485191400
chn,1994,2144319042300
chn,1995,2806555552100
chn,1996,3364414127200
chn,1997,3658582374100
chn,1998,3876849158200
chn,1999,4184582828000
chn,2000,4686327410300
chn,2001,5046468259700
chn,2002,5466696990100
chn,2003,5868990720900
chn,2004,6572475497000
chn,2005,7415370631500
chn,2006,8284236807900
chn,2007,9823129740600
chn,2008,11265465634800
chn,2009,12312189461300
chn,2010,14146546143800
chn,2011,17039080110100
chn,2012,19058478326400
chn,2013,21247729153700
chn,2014,23623849029100
chn,2015,26020243988200
chn,2016,28866815453000.10156
chn,2017,32068950408700
chn,2018,35412437816800.10156
chn,2019,38718809952500
chn,2020,38717609999999.89844
civ,1990,3144869949102.29004
civ,1991,3225232058262.18945
civ,1992,3221985078841.22949
civ,1993,3312172542215.79004
civ,1994,4328078835378.56006
civ,1995,5429063984807.9502
civ,2015,17816561000000
civ,2016,19062604000000
civ,2017,20493222000000
civ,2018,22340572780100
civ,2019,23555277632900
civ,2020,23352062098200
cmr,1990,2521024195042.16016
cmr,1991,2440826735284.33008
cmr,1992,2549940388848.37988
cmr,1993,3063609704644.89014
cmr,1994,3421958468474.06982
cmr,1995,3647967188946.68945
cmr,1996,3970313738297.06006
cmr,1997,4336684156961.18018
cmr,1998,4775340237101.00977
cmr,1999,4957797656500
cmr,2000,5270379133400
