geo,time,ny_gns_ictr_cn
chl,1983,94446325536.53999
chl,1984,135931209480.07001
chl,1985,263208882747.62
chl,1986,442264885065.25
chl,1987,872214856823.90002
chl,1988,1456276107186.52002
chl,1989,1904615968564.47998
chl,1990,2389375546357.97998
chl,1991,2994948110000
chl,1992,3635959349700
chl,1993,4233355607300
chl,1994,5154775324500
chl,1995,7062486411000
chl,1996,7661253923134.89941
chl,1997,8303923645456.40039
chl,1998,8253939376807.40039
chl,1999,8052381782781.91016
chl,2000,8849076064234.69922
chl,2001,9605794868582.40039
chl,2002,10332165778105.30078
chl,2003,10857297857005.5
chl,2004,13624968085830.80078
chl,2005,16064515235341.69922
chl,2006,20829611332150.60156
chl,2007,22879495944192.69531
chl,2008,21328462666386.69531
chl,2009,22128056726177.60156
chl,2010,27350246505270.69531
chl,2011,26801002140987.89453
chl,2012,28537701832992.80078
chl,2013,28658632143745.80078
chl,2014,31460252090912.89453
chl,2015,33984310262903.69531
chl,2016,34267705520037.60156
chl,2017,33928909357143.69531
chl,2018,34623602325462.5
chl,2019,37717145075257.79688
chl,2020,42365696662865.29688
chn,1982,181635605250
chn,1983,199593754670
chn,1984,253992906930
chn,1985,321002714700
chn,1986,365761309300
chn,1987,453305993430
chn,1988,576538827480
chn,1989,616350567450
chn,1990,692524629990
chn,1991,847242436400
chn,1992,1104248955600
chn,1993,1487831788100
chn,1994,2028022468800
chn,1995,2424770993548
chn,1996,2783433440800
chn,1997,3168054516300
chn,1998,3266999954800
chn,1999,3310844743900
chn,2000,3583966748625.6001
chn,2001,4131790972100
chn,2002,4732766071344.38965
chn,2003,5828549429267.91016
chn,2004,7391623255613.83984
chn,2005,8608199384638.55859
chn,2006,10590210637657.69922
chn,2007,13578951486705.09961
chn,2008,16532910223198.90039
chn,2009,17555898465137.59961
chn,2010,21152728262917.10156
chn,2011,24022920030126
chn,2012,26210189045582.60156
chn,2013,28093643693459.69531
chn,2014,30643783874227.69531
chn,2015,31286277735734.60156
chn,2016,33125510858286.30078
chn,2017,37362613287415.39844
chn,2018,40894913140715
chn,2019,43182757429647.60156
chn,2020,45245031239946.49219
civ,2005,-2376682975266.02979
civ,2006,-2412627060547.25977
civ,2007,-2739753749976.64941
civ,2008,-2125446693490.19995
civ,2009,-1949790470131.19995
civ,2010,-1965041448656.6001
civ,2011,-2152668697636.51001
civ,2012,-1835045459746.88965
civ,2013,-1755977826205.04004
civ,2014,-1159634798857.23999
civ,2015,6102378459304.83008
civ,2016,5772043846254.94043
civ,2017,5224657145630.36914
civ,2018,5049296314557.40039
civ,2019,6020875486657.23047
civ,2020,6715814117753.66016
cmr,1977,34209377832.4734
cmr,1978,192046983943.522
cmr,1979,196054759896.83496
cmr,1980,73725745621.15849
cmr,1981,170854558203.94299
cmr,1982,507213150263.61603
cmr,1983,559094489212.59399
cmr,1984,791190111460.66589
cmr,1985,895716833706.95813
cmr,1986,980278690055.23804
cmr,1987,742861083475.63501
