geo,time,sl_tlf_acti_1524_fe_ne_zs
nld,2001,72.44
nld,2002,72.74
nld,2003,73.08
nld,2004,71.76
nld,2005,66.44
nld,2006,66.26
nld,2007,68.52
nld,2008,69.17
nld,2009,69.58
nld,2010,68.61
nld,2011,69.23
nld,2012,70.75
nld,2013,70.02
nld,2014,67.7
nld,2015,69.42
nld,2016,69.2
nld,2017,69.69
nld,2018,69.79
nld,2019,70.32
nld,2020,69.86
nld_curacao,2018,25.62
nld_curacao,2020,27.8
nor,1960,44.76
nor,1970,40.28
nor,1980,55.15
nor,1981,53.64
nor,1982,53.1
nor,1983,55.91
nor,1984,53.27
nor,1985,56.41
nor,1986,61.51
nor,1987,63.29
nor,1988,63.82
nor,1989,59.79
nor,1990,56.94
nor,1991,55.63
nor,1992,54.12
nor,1993,52.75
nor,1994,53.01
nor,1995,55.4
nor,1996,60.46
nor,1997,61.48
nor,1998,64.61
nor,1999,62.97
nor,2000,63.79
nor,2001,64.72
nor,2002,66.01
nor,2003,63.18
nor,2004,64.41
nor,2005,60.1
nor,2006,57.96
nor,2007,60.14
nor,2008,62.24
nor,2009,58.93
nor,2010,56.85
nor,2011,56.62
nor,2012,57.82
nor,2013,58.2
nor,2014,55.82
nor,2015,56.62
nor,2016,55.17
nor,2017,53.97
nor,2018,54.52
nor,2019,55.75
nor,2020,55.69
npl,1961,73.29
npl,1971,42.68
npl,1981,49.35
npl,1991,51.43
npl,1999,80.14
npl,2003,94.2
npl,2008,75
npl,2017,20.29
nru,1966,33.98
nru,2002,68.36
nru,2013,36.35
nzl,1986,68.27
nzl,1987,67.66
nzl,1988,64.71
nzl,1989,61.78
nzl,1990,64.53
nzl,1991,63.48
nzl,1992,61.5
nzl,1993,60.64
nzl,1994,62.03
nzl,1995,62.98
nzl,1996,63.36
nzl,1997,63.74
nzl,1998,62.01
nzl,1999,59.21
nzl,2000,59.52
nzl,2001,59.73
nzl,2002,60.5
nzl,2003,59.5
nzl,2004,58.65
nzl,2005,59.17
nzl,2006,61.49
nzl,2007,61.69
nzl,2008,59.8
nzl,2009,57.99
nzl,2010,57.13
nzl,2011,55.86
nzl,2012,56.15
nzl,2013,55.99
nzl,2014,57.7
nzl,2015,59.02
nzl,2016,59.83
nzl,2017,61.05
nzl,2018,62.82
nzl,2019,63.28
nzl,2020,61.79
omn,2003,23.15
omn,2016,14.07
omn,2020,9.83
pak,1976,5.92
pak,1977,5.92
pak,1978,6.07
pak,1979,6.06
pak,1980,6.03
pak,1981,12.47
pak,1982,12.38
pak,1983,11.29
pak,1984,11.22
pak,1985,8.59
pak,1986,8.62
pak,1988,10.49
pak,1989,10.4
pak,1990,10.48
pak,1991,13.55
pak,1992,13.56
pak,1993,12.94
pak,1994,12.95
pak,1995,10.59
pak,1997,13.97
pak,1998,14.25
pak,2000,10.22
pak,2002,14.79
pak,2004,16.09
pak,2006,16.93
pak,2007,16.89
pak,2008,17.36
pak,2009,18.42
pak,2010,19.05
pak,2011,19.07
pak,2013,19.5
pak,2014,19.97
pak,2015,20.65
pak,2018,18.27
pak,2019,19.94
pan,1960,26.98
pan,1970,35.1
pan,1979,33.05
pan,1980,26.47
pan,1983,28.14
pan,1984,28.95
pan,1985,29.7
pan,1986,30.14
pan,1988,30.94
pan,1989,32.59
pan,1990,26.46
pan,1991,33.41
pan,1993,35.54
pan,1994,35.25
pan,1995,34.88
pan,1996,32.1
pan,1997,35.72
pan,1998,36.13
pan,1999,36.69
pan,2000,34.1
pan,2002,34.71
pan,2003,35.87
pan,2004,34.88
pan,2005,35.54
pan,2006,33.5
pan,2007,32.82
pan,2008,33.38
pan,2009,34.33
pan,2010,31.94
pan,2011,28.89
pan,2012,31.51
pan,2013,33.83
pan,2014,32.42
pan,2015,30.73
pan,2016,31.47
pan,2017,33.12
pan,2018,33.76
pan,2019,35.7
pan,2020,43.47
pan,2021,28.82
per,1961,27.54
per,1972,21.33
per,1979,27.87
per,1980,28.1
per,1981,23.28
per,1982,28.7
per,1984,37.43
per,1986,43.12
per,1987,43.76
per,1989,42.71
per,1990,41.1
per,1991,37.73
per,1992,37.8
per,1993,29.97
per,1994,41.16
per,1995,44.6
per,1997,46.16
per,1998,49
per,1999,52.65
per,2000,45.15
per,2001,49.64
per,2002,74.39
per,2003,60.26
per,2004,62.75
per,2005,57.36
per,2006,59.88
per,2007,62.23
per,2008,63.53
per,2009,63.14
per,2010,64.22
per,2011,62.45
per,2012,61.99
per,2013,60.98
per,2014,58.85
per,2015,55.56
per,2016,56.01
per,2017,57.86
per,2018,57.78
per,2019,57.79
per,2020,45.46
phl,1960,28.26
phl,1970,32.76
phl,1978,42.07
phl,1983,40.94
phl,1985,37.91
phl,1987,40.32
phl,1988,38.26
phl,1989,37.79
phl,1990,38.78
phl,1991,38.31
phl,1992,39.46
phl,1993,38.59
phl,1994,37.15
phl,1995,38.38
phl,1996,37.98
phl,1997,35.92
phl,1998,37.13
phl,1999,36.84
phl,2000,36.34
phl,2001,34.54
