geo,time,nv_mnf_chem_zs_un
nor,1988,8.18763
nor,1989,8.3587
nor,1990,8.91702
nor,1991,8.21487
nor,1992,8.40777
nor,1993,8.81253
nor,1994,8.87797
nor,1995,9.7156
nor,1996,8.5178
nor,1997,8.28988
nor,1998,7.74582
nor,1999,11.39109
nor,2000,12.5662
nor,2001,8.51824
nor,2002,8.66626
nor,2003,9.06683
nor,2004,9.97704
nor,2005,9.4958
nor,2006,9.92853
nor,2007,9.21706
nor,2009,9.16128
nor,2010,7.476
nor,2011,6.87119
nor,2012,5.64368
nor,2013,8.80969
nor,2014,6.54043
nor,2016,7.80341
nor,2018,8.11437
npl,1986,4.53064
npl,1987,5.8811
npl,1988,7.61004
npl,1989,6.18759
npl,1990,4.99242
npl,1991,3.58452
npl,1993,4.41329
npl,1994,4.80847
npl,1996,5.87405
npl,2001,10.40004
npl,2006,7.31877
npl,2008,1.15133
npl,2011,6.67887
npl,2012,6.85001
npl,2013,6.85001
npl,2014,6.85001
npl,2015,6.85001
npl,2016,6.85001
npl,2017,6.85001
npl,2018,6.85001
npl,2019,6.85001
nzl,1963,4.6875
nzl,1964,4.58217
nzl,1965,4.50047
nzl,1966,4.4989
nzl,1967,4.4484
nzl,1968,4.67878
nzl,1969,4.29301
nzl,1970,4.47304
nzl,1971,4.1986
nzl,1972,4.27463
nzl,1973,4.31995
nzl,1974,5.87472
nzl,1975,4.81437
nzl,1976,5.34354
nzl,1977,5.63722
nzl,1978,5.87906
nzl,1979,6.29406
nzl,1980,6.21174
nzl,1981,5.66896
nzl,1982,5.87597
nzl,1983,5.56517
nzl,1984,5.81525
nzl,1985,5.93732
nzl,1986,5.13339
nzl,1987,5.78796
nzl,1988,6.18248
nzl,1989,5.88676
nzl,1990,6.64884
nzl,1991,6.51249
nzl,1992,6.51249
nzl,1993,6.51249
nzl,1994,6.51249
nzl,1995,5.93732
nzl,1996,5.93732
nzl,1997,5.93732
nzl,1998,3.49525
nzl,1999,3.39996
nzl,2000,3.2277
nzl,2001,3.35073
nzl,2002,3.89023
nzl,2003,3.54319
nzl,2004,3.31858
nzl,2005,3.89023
nzl,2006,3.89023
nzl,2007,3.89023
nzl,2008,3.91027
nzl,2009,3.89023
nzl,2010,4.66166
nzl,2011,4.15959
nzl,2012,4.52936
nzl,2013,4.98073
nzl,2014,5.58056
nzl,2015,5.07015
nzl,2016,4.58042
nzl,2017,5.35302
nzl,2018,4.73409
nzl,2019,4.73409
omn,1993,4.76586
omn,1994,6.33646
omn,1995,5.72267
omn,1996,8.09929
omn,1997,6.13526
omn,1998,6.72401
omn,1999,6.57768
omn,2000,5.33751
omn,2001,2.72557
omn,2002,4.5814
omn,2003,4.65611
omn,2004,4.25139
omn,2005,13.1481
omn,2006,10.85848
omn,2007,12.13802
omn,2008,10.50868
omn,2009,24.25084
omn,2010,16.15006
omn,2011,33.85846
omn,2012,39.9461
omn,2013,18.93075
omn,2014,10.86314
omn,2015,12.36741
omn,2016,14.26203
omn,2017,12.99583
omn,2018,37.24193
omn,2019,37.24213
pak,1963,7.64367
pak,1964,10.90705
pak,1965,10.24637
pak,1966,9.59163
pak,1967,12.49228
pak,1968,11.17727
pak,1969,9.97534
pak,1970,8.83291
pak,1971,10.95212
