geo,time,nv_mnf_fbto_zs_un
fin,2003,7.40672
fin,2004,7.30477
fin,2005,7.06568
fin,2006,6.45701
fin,2007,6.32933
fin,2008,6.85968
fin,2009,10.24448
fin,2010,8.83981
fin,2011,9.01197
fin,2012,10.29932
fin,2013,10.29562
fin,2014,10.19353
fin,2015,9.72911
fin,2016,9.01922
fin,2017,8.46027
fin,2018,8.90056
fin,2019,8.51107
fji,1968,72.75718
fji,1970,61.1669
fji,1971,55.76912
fji,1972,55.12924
fji,1973,59.87829
fji,1974,68.62861
fji,1975,68.1985
fji,1976,61.78347
fji,1977,62.42685
fji,1978,61.32628
fji,1979,64.76891
fji,1980,64.99909
fji,1981,61.28544
fji,1982,64.5324
fji,1983,45.95765
fji,1984,53.36179
fji,1985,50.70086
fji,1986,63.33306
fji,1987,68.86193
fji,1988,63.34297
fji,1989,56.97681
fji,1990,52.1821
fji,1991,49.66686
fji,1992,48.62187
fji,1993,45.46934
fji,1994,48.63986
fji,2000,53.23927
fji,2001,62.80304
fji,2002,45.10369
fji,2003,44.97454
fji,2004,40.66747
fji,2005,48.15815
fji,2006,50.89851
fji,2007,49.66635
fji,2008,49.89052
fji,2009,46.10773
fji,2010,47.0961
fji,2011,50.58595
fji,2012,50.4276
fji,2013,51.54516
fji,2014,50.53842
fji,2015,50.50533
fji,2016,48.2259
fji,2017,47.77105
fji,2018,49.06444
fji,2019,49.06495
fra,1963,13.07421
fra,1964,13.1538
fra,1965,13.3044
fra,1966,13.26716
fra,1967,13.20819
fra,1968,13.42501
fra,1969,13.16741
fra,1970,12.4715
fra,1971,12.65117
fra,1972,12.52328
fra,1973,12.70111
fra,1974,12.5248
fra,1975,13.56431
fra,1976,13.07486
fra,1977,12.71627
fra,1978,13.23779
fra,1979,12.94891
fra,1980,13.01962
fra,1981,13.60059
fra,1982,15.00962
fra,1983,13.73442
fra,1984,14.10057
fra,1985,13.95059
fra,1986,13.14517
fra,1987,12.56912
fra,1988,12.45484
fra,1989,12.85952
fra,1996,13.40289
fra,1997,13.30518
fra,1998,13.12115
fra,1999,13.37109
fra,2000,12.85662
fra,2001,13.79684
fra,2002,14.15248
fra,2003,14.2876
fra,2004,14.54197
fra,2005,13.81883
fra,2006,13.87525
fra,2007,13.84896
fra,2008,14.80784
fra,2009,17.93424
fra,2010,17.24758
fra,2011,17.16556
fra,2012,18.34268
fra,2013,18.07897
fra,2014,18.2628
fra,2015,17.79041
fra,2016,17.57639
fra,2017,19.34343
gab,1966,23.61543
gab,1970,37.17129
gab,1972,37.04388
gab,1973,28.01987
gab,1974,25.70108
gab,1975,21.03496
gab,1976,23.85781
gab,1977,17.06591
gab,1978,17.45679
gab,1980,24.35029
gab,1981,26.90767
gab,1982,23.60468
gab,1991,44.68286
gab,1992,48.61038
gab,1993,46.00866
gab,1994,44.38465
gab,1995,45.77333
gbr,1963,12.01479
gbr,1968,12.03401
gbr,1969,12.3172
gbr,1970,12.62136
gbr,1971,13.01715
gbr,1972,13.26949
gbr,1973,12.87166
gbr,1974,12.4357
gbr,1975,12.91633
gbr,1976,13.09631
gbr,1977,12.93748
gbr,1978,12.873
gbr,1979,12.59605
gbr,1980,13.41758
gbr,1981,14.47714
gbr,1982,14.92655
gbr,1983,14.79505
gbr,1984,14.17835
gbr,1985,13.84776
gbr,1986,13.87363
gbr,1987,13.65685
gbr,1988,12.80749
gbr,1989,12.82572
gbr,1990,13.39917
gbr,1991,14.58327
gbr,1992,14.62335
gbr,1993,14.53414
gbr,1994,14.00351
gbr,1995,13.02864
gbr,1996,13.89293
gbr,1997,13.52183
gbr,1998,12.93002
gbr,1999,13.09182
gbr,2000,13.69283
gbr,2001,14.07866
gbr,2002,14.48655
gbr,2003,15.28301
gbr,2004,15.31497
gbr,2005,15.59431
gbr,2006,14.85832
gbr,2007,14.60363
gbr,2008,15.3211
gbr,2009,19.73656
gbr,2010,18.61062
gbr,2011,17.90784
gbr,2012,17.70403
gbr,2013,18.32491
gbr,2014,18.31618
gbr,2015,13.03819
gbr,2016,14.01536
gbr,2017,13.31734
gbr,2018,12.75133
gbr,2019,13.33033
geo,2000,37.17711
geo,2001,40.44098
geo,2002,32.98316
geo,2003,35.99655
geo,2004,52.98293
geo,2005,41.38663
geo,2006,36.49671
geo,2007,33.62387
geo,2008,24.803
geo,2009,34.41172
geo,2010,33.29013
geo,2011,33.08377
geo,2012,35.2415
geo,2013,44.71367
geo,2014,50.11062
geo,2015,39.69577
geo,2016,45.90886
geo,2017,42.70889
geo,2018,39.28136
geo,2019,39.27331
gha,1963,42.85714
gha,1964,40.64366
gha,1965,41.8213
gha,1966,42.16396
gha,1967,37.15126
gha,1968,40.83015
gha,1969,37.66308
gha,1970,33.88852
gha,1971,34.93193
gha,1972,38.96958
gha,1973,40.13414
gha,1974,36.46364
gha,1975,33.63329
gha,1976,36.06687
gha,1977,37.03191
gha,1978,35.48971
gha,1979,34.44686
gha,1980,37.13616
gha,1981,41.4199
gha,1982,46.68268
gha,1983,53.30417
gha,1984,63.76426
gha,1985,45.76353
gha,1986,39.53315
gha,1987,38.90662
gha,1993,35.57146
gha,2003,32.48876
gha,2013,34.58318
gha,2014,34.58318
gha,2015,34.58318
gmb,1975,95.22637
gmb,1976,91.15842
gmb,1977,83.37936
gmb,1978,77.9583
gmb,1979,47.61905
gmb,1980,35.28874
gmb,1981,43.9227
gmb,1982,60.10588
gmb,1995,65.00476
gmb,2004,32.50912
grc,1963,24.22633
grc,1964,23.99289
grc,1965,23.30621
grc,1966,23.87074
grc,1967,19.68871
grc,1968,21.32747
grc,1969,19.66528
grc,1970,19.17222
grc,1971,19.06926
grc,1972,18.96721
grc,1973,16.97989
grc,1974,17.90372
grc,1975,18.32864
grc,1976,16.93496
grc,1977,17.63806
grc,1978,18.22707
grc,1979,18.21044
grc,1980,17.97619
grc,1981,19.17856
grc,1982,19.08569
grc,1983,19.67844
grc,1984,20.24562
grc,1985,20.72117
grc,1986,19.84359
grc,1987,20.71288
grc,1988,21.10788
grc,1989,21.05798
grc,1990,22.44775
grc,1991,23.82564
grc,1992,26.47398
grc,1993,26.00183
grc,1994,26.98452
grc,1995,24.67775
grc,1996,25.12671
grc,1997,23.59476
grc,1998,24.32874
grc,1999,24.80645
grc,2000,24.80645
grc,2001,23.14245
grc,2002,23.14245
grc,2003,22.18745
grc,2004,22.52667
grc,2005,22.14856
grc,2006,22.12154
grc,2007,21.72759
grc,2008,24.43446
grc,2009,27.92287
grc,2010,26.6972
grc,2011,28.1508
grc,2012,30.91843
grc,2013,31.25298
grc,2014,34.0872
grc,2015,30.99511
grc,2016,31.37151
grc,2017,32.13207
grc,2018,30.79942
grc,2019,30.79994
gtm,1968,41.53709
gtm,1971,42.35992
gtm,1972,39.26604
gtm,1973,38.42099
gtm,1974,35.88758
gtm,1975,40.45906
gtm,1976,40.88986
gtm,1977,40.92185
gtm,1978,43.73991
gtm,1979,39.77094
gtm,1980,38.90218
gtm,1981,41.08527
gtm,1982,40.01129
gtm,1983,42.75894
gtm,1984,40.7529
gtm,1985,41.88919
gtm,1986,43.84163
gtm,1987,46.02634
gtm,1988,37.81067
hkg,1973,4.89156
hkg,1974,5.97144
hkg,1975,5.67215
hkg,1976,5.01037
hkg,1977,5.70291
hkg,1978,5.10533
hkg,1979,4.63488
hkg,1980,4.6441
hkg,1981,4.26154
hkg,1982,5.33138
hkg,1983,5.15206
hkg,1984,5.27943
hkg,1985,6.43161
hkg,1986,5.34333
hkg,1987,5.19818
hkg,1988,6.27935
hkg,1989,6.61269
hkg,1990,8.23808
hkg,1991,10.18304
hkg,1992,10.09304
hkg,1993,10.29026
hkg,1994,12.67911
hkg,1995,10.49911
hkg,1996,11.80376
hkg,1997,10.33411
hkg,1998,11.61625
hkg,1999,7.92647
hkg,2000,7.16385
hkg,2001,9.03916
hkg,2002,11.37665
hkg,2003,10.98727
hkg,2004,10.77187
hkg,2005,16.14715
hkg,2006,17.88914
hkg,2007,23.01771
hkg,2008,22.80639
hkg,2009,23.25625
hkg,2010,23.01708
hkg,2011,24.5583
hkg,2012,26.6511
hkg,2013,28.09518
hkg,2014,30.29457
hkg,2015,30.77248
hkg,2016,31.4858
hkg,2017,31.94432
hkg,2018,32.62405
hkg,2019,32.62314
hnd,1963,67.861
hnd,1964,64.1019
hnd,1965,59.51548
hnd,1966,58.63705
hnd,1968,55.89281
hnd,1969,56.61532
hnd,1970,57.9538
hnd,1971,56.09351
hnd,1972,59.31682
hnd,1973,54.8115
hnd,1974,57.60123
hnd,1975,55.85254
hnd,1981,51.10134
hnd,1982,51.16488
hnd,1983,51.01168
hnd,1984,49.41388
hnd,1985,50.04484
hnd,1986,51.31631
hnd,1987,49.38323
hnd,1988,50.80244
hnd,1989,47.9719
hnd,1990,45.43029
hnd,1991,46.16855
hnd,1992,45.93747
hnd,1993,45.37473
hnd,1994,45.21208
hnd,1995,42.09078
hnd,1996,42.02555
hrv,1986,14.04157
hrv,1987,13.94103
hrv,1988,14.34723
hrv,1989,15.60438
hrv,1990,21.9129
hrv,1991,28.03635
hrv,1992,23.62947
hrv,1993,23.62947
hrv,1994,23.62947
hrv,1995,23.62947
hrv,1996,23.62947
hrv,1997,23.62947
hrv,1998,23.62947
hrv,1999,23.62947
hrv,2000,23.62947
hrv,2001,23.62947
hrv,2002,23.62947
hrv,2003,24.42355
hrv,2004,24.42355
hrv,2005,22.96863
hrv,2006,22.96863
hrv,2007,22.96863
hrv,2008,22.96863
hrv,2009,26.9012
hrv,2010,27.36362
hrv,2011,28.22719
hrv,2012,27.45663
hrv,2013,27.62628
hrv,2014,25.4497
hrv,2015,24.60695
hrv,2016,21.78344
hrv,2017,21.29441
hrv,2018,21.77694
hrv,2019,23.79335
hun,1963,12.32759
hun,1964,12.40473
hun,1965,13.8274
hun,1966,13.88998
hun,1967,12.21746
hun,1968,11.46319
hun,1969,14.89568
hun,1970,12.3014
hun,1971,12.46892
hun,1972,14.97129
hun,1973,15.28123
hun,1974,11.84619
hun,1975,11.95788
hun,1976,13.22963
hun,1977,10.80042
hun,1978,9.46003
hun,1979,9.40759
hun,1980,11.25507
hun,1981,12.27129
hun,1982,11.5536
hun,1983,10.98906
hun,1984,9.71614
hun,1985,7.77397
hun,1986,7.80984
hun,1987,7.05021
hun,1988,8.2704
hun,1989,9.72566
hun,1990,13.53217
hun,1991,17.79908
hun,1992,22.0885
hun,1993,21.07471
hun,1994,21.15897
hun,1995,18.68492
hun,1996,18.15871
hun,1997,15.61629
hun,1998,15.27091
hun,1999,13.96464
hun,2000,14.82878
hun,2001,16.57547
hun,2002,16.67532
hun,2003,15.06411
hun,2004,12.86225
hun,2005,11.84194
hun,2006,10.95511
hun,2007,11.23344
hun,2008,10.32109
hun,2009,12.69639
hun,2010,10.79135
hun,2011,9.96009
hun,2012,9.88357
hun,2013,10.10869
hun,2014,9.93964
hun,2015,9.51923
hun,2016,9.95681
hun,2017,9.69432
hun,2018,10.35778
hun,2019,10.35774
idn,1970,65.47909
idn,1971,64.97072
idn,1972,54.25895
idn,1973,44.31026
idn,1974,46.33225
idn,1975,41.38401
idn,1976,37.75554
idn,1977,35.25358
idn,1978,33.72312
idn,1979,33.60852
idn,1980,31.75059
idn,1981,31.48913
idn,1982,30.44398
idn,1983,30.95553
idn,1984,28.36401
idn,1985,26.01229
idn,1986,26.29942
idn,1987,25.35218
idn,1988,24.64751
idn,1989,22.96723
idn,1990,27.47901
idn,1991,25.97309
idn,1992,25.09482
idn,1993,23.32664
idn,1994,20.23242
idn,1995,19.00106
idn,1996,15.98995
idn,1997,15.98995
idn,1998,21.31915
idn,1999,19.68768
idn,2000,18.0031
idn,2001,20.91774
idn,2002,19.45329
idn,2003,25.0281
idn,2004,24.77742
idn,2005,25.00077
idn,2006,25.54129
idn,2007,25.69848
idn,2008,22.68193
idn,2009,22.7836
idn,2010,23.63051
idn,2011,24.32769
idn,2012,26.57155
idn,2013,28.36884
idn,2014,27.37488
idn,2015,26.88039
idn,2016,26.21492
idn,2017,22.71307
idn,2018,22.71306
idn,2019,22.71306
ind,1963,12.68809
ind,1964,12.53897
ind,1965,13.74521
ind,1966,13.67366
ind,1967,12.43341
ind,1968,12.46078
ind,1969,14.80201
ind,1970,12.80861
ind,1971,12.19272
ind,1972,11.18136
ind,1973,10.24591
ind,1974,10.77084
ind,1975,10.84007
ind,1976,11.82654
ind,1977,12.5847
ind,1978,10.78919
ind,1979,10.14682
ind,1980,9.12157
ind,1981,9.85508
ind,1982,10.37218
ind,1983,12.33612
ind,1984,11.81519
ind,1985,11.60203
ind,1986,12.36941
ind,1987,12.00042
ind,1988,12.70919
ind,1989,13.8326
ind,1990,11.74658
ind,1991,12.91134
ind,1992,11.39216
ind,1993,12.00224
ind,1994,12.71542
ind,1995,10.10476
ind,1996,12.43171
ind,1997,12.17421
ind,1998,12.62963
ind,1999,12.64561
ind,2000,13.16832
ind,2001,13.26645
ind,2002,11.90656
ind,2003,10.23104
ind,2004,9.05657
ind,2005,9.30844
ind,2006,10.29654
ind,2007,8.76267
ind,2008,9.67145
ind,2009,9.00125
ind,2010,9.51809
ind,2011,10.03449
ind,2012,9.9213
ind,2013,9.92817
ind,2014,9.80716
ind,2015,10.27825
ind,2016,10.69018
ind,2017,10.67986
ind,2018,10.67986
ind,2019,10.67986
irl,1963,35.03784
irl,1964,33.28228
irl,1965,32.95632
