geo,time,gc_tax_gsrv_cn
eth,1999,1561200000
eth,2001,1077500000
eth,2002,1247503522
eth,2003,1397500000
eth,2004,1625800000
eth,2005,1817200000
eth,2006,2326400000
eth,2007,2657300000
eth,2008,4631600000
eth,2009,5199600000
eth,2010,5582400000
eth,2011,12048730000
eth,2012,18982385049.64
eth,2013,19245715049.7
eth,2014,43707217395.09
eth,2015,50160466884.04
eth,2016,57297645933.38
eth,2017,62648025072.38
eth,2018,68139391590.1
eth,2019,81033080879.28998
fin,1972,1276041798.06349
fin,1973,1514027714.00652
fin,1974,1752854569.58187
fin,1975,2079307334.84366
fin,1976,2460084800.35253
fin,1977,2925628980.79798
fin,1978,3357031012.17176
fin,1979,3916760431.43567
fin,1980,4462866628.6562
fin,1981,5164883033.70655
fin,1982,5854621720.1252
fin,1983,6592798529.36477
fin,1984,7291787551.73881
