geo,time,cm_mkt_trad_gd_zs
fin,1993,8.75378
fin,1994,12.87126
fin,1995,14.31293
fin,1996,3.43029
fin,1997,27.3056
fin,1998,47.44585
fin,1999,77.67446
fin,2000,167.16457
fin,2001,138.20037
fin,2002,102.40653
fin,2003,82.91388
fin,2004,95.58427
fra,1975,1.56444
fra,1976,1.0781
fra,1977,0.85015
fra,1978,1.8786
fra,1979,1.53626
fra,1980,1.34302
fra,1981,1.29076
fra,1982,1.22442
fra,1983,1.36089
fra,1984,1.32033
fra,1985,3.15214
fra,1986,7.17495
fra,1987,9.5708
fra,1988,6.31869
fra,1989,10.80931
fra,1990,9.62163
fra,1991,9.72711
fra,1992,8.3301
fra,1993,12.13955
fra,1994,14.744
fra,1995,13.19456
fra,1996,16.81089
fra,1997,27.08038
fra,1998,40.18179
fra,1999,48.46167
fra,2000,79.10589
fra,2001,71.19974
fra,2002,68.77172
fra,2003,59.79914
fra,2004,62.45115
fra,2005,57.87377
fra,2006,86.85826
fra,2007,108.83905
fra,2008,82.10672
fra,2009,47.54399
fra,2010,51.04268
fra,2011,46.41827
fra,2012,40.03758
fra,2013,39.31598
fra,2014,40.91851
fra,2015,54.45926
gbr,1975,14.64282
gbr,1976,10.34974
gbr,1977,7.35974
gbr,1978,5.84549
gbr,1979,5.82504
gbr,1980,6.34122
gbr,1981,6.07272
gbr,1982,6.35757
gbr,1983,8.69572
gbr,1984,10.4625
gbr,1985,15.60554
gbr,1986,18.78838
gbr,1987,57.30979
gbr,1988,32.36899
gbr,1989,34.25447
gbr,1990,27.83157
gbr,1991,29.20572
gbr,1992,27.84131
gbr,1993,39.3068
gbr,1994,41.57046
gbr,1995,37.26417
gbr,1996,41.41182
gbr,1997,53.66163
gbr,1998,63.18505
gbr,1999,84.45943
gbr,2000,110.30344
gbr,2001,115.20949
gbr,2002,58.71804
gbr,2003,60.5566
gbr,2004,66.94465
gbr,2005,67.97715
gbr,2006,101.70168
gbr,2007,127.0917
gbr,2008,93.08174
gbr,2009,115.73385
gbr,2010,128.98511
gbr,2011,113.46128
gbr,2012,90.85069
gbr,2013,59.75308
gbr,2014,76.3489
gha,1993,0.06872
gha,1994,1.26732
gha,1995,0.29156
gha,1996,0.23288
gha,1997,0.59945
gha,1998,0.76554
gha,1999,0.25766
gha,2000,0.13967
gha,2001,0.23519
gha,2002,0.16217
gha,2003,0.57636
gha,2004,0.82059
gha,2005,0.47465
gha,2006,0.25244
gha,2007,0.58563
gha,2008,1.00005
gha,2009,0.19886
gha,2010,0.31618
gha,2011,0.64595
gha,2012,0.12357
gha,2013,0.30705
gha,2020,0.04766
grc,1980,0.51206
grc,1981,0.36106
grc,1982,0.24168
grc,1983,0.12948
grc,1984,0.09996
grc,1985,0.14847
grc,1986,0.18978
grc,1987,1.83084
grc,1988,1.09099
grc,1989,1.805
grc,1990,8.14885
grc,1991,4.55093
grc,1992,2.37041
grc,1993,4.62921
grc,1994,4.29539
grc,1995,4.347
grc,1996,5.64535
grc,1997,14.76457
grc,1998,34.63279
grc,1999,128.96848
grc,2000,70.22948
grc,2001,27.23971
grc,2002,13.23007
grc,2003,16.74038
grc,2004,16.55535
grc,2005,19.83323
grc,2006,31.63824
grc,2007,38.10681
grc,2008,22.98382
grc,2009,17.90269
grc,2010,13.67875
grc,2011,8.11989
grc,2012,6.22961
grc,2013,10.05024
grc,2014,14.03663
grc,2015,9.16932
grc,2016,6.32882
grc,2017,7.61189
grc,2018,5.60501
grc,2019,7.51962
grc,2020,8.72866
hkg,1975,4.81687
hkg,1976,5.01694
hkg,1977,2.08576
hkg,1978,2.23008
hkg,1979,4.76755
hkg,1980,2.69232
hkg,1986,37.28883
hkg,1987,89.69933
hkg,1988,39.22915
hkg,1989,50.27205
hkg,1990,44.95585
hkg,1991,43.30668
hkg,1992,75.23826
hkg,1993,109.77131
hkg,1994,92.58802
hkg,1995,66.08156
hkg,1996,104.08639
hkg,1997,255.44257
hkg,1998,121.94357
hkg,1999,137.34187
hkg,2000,217.27736
hkg,2001,140.60611
hkg,2002,107.56748
hkg,2003,169.06822
hkg,2004,238.75131
hkg,2005,231.97357
hkg,2006,390.3895
hkg,2007,952.66732
hkg,2008,715.16559
hkg,2009,660.26365
hkg,2010,650.63357
hkg,2011,578.21946
hkg,2012,409.97977
hkg,2013,459.56437
hkg,2014,497.8177
hkg,2015,668.64255
hkg,2016,421.11555
hkg,2017,572.35605
hkg,2018,626.71338
hkg,2019,501.97199
hkg,2020,885.5983
hrv,1995,1.35581
hrv,1996,0.74234
hrv,1997,1.00601
hrv,1998,0.38786
hrv,1999,0.29062
hrv,2000,0.86645
hrv,2001,0.49799
hrv,2002,0.59159
hrv,2003,0.70466
hrv,2004,1.10818
hrv,2005,1.65338
hrv,2006,3.68883
hrv,2007,7.24464
hrv,2008,4.54548
hrv,2009,2.31737
hrv,2010,1.73741
hrv,2011,1.46714
hrv,2012,0.9489
hrv,2013,0.94041
hrv,2014,0.84022
hrv,2015,0.8448
hrv,2016,0.60765
hrv,2017,0.76904
hrv,2018,0.39701
hrv,2019,0.52776
hun,2002,9.82447
hun,2003,10.38966
hun,2004,13.70218
hun,2005,19.57323
hun,2006,26.76998
hun,2007,33.72119
hun,2008,17.40418
hun,2009,20.74977
hun,2010,20.0153
hun,2011,11.02247
hun,2012,8.50814
hun,2013,7.97352
hun,2014,5.04236
hun,2015,5.94243
hun,2016,6.07327
hun,2017,7.25374
hun,2018,6.15861
hun,2019,5.30068
hun,2020,7.25403
idn,1993,5.75191
idn,1994,6.66367
idn,1995,7.11149
idn,1996,14.26694
idn,1997,10.19459
idn,1998,13.54786
idn,1999,15.1153
idn,2000,7.81826
idn,2001,6.00706
idn,2002,6.33123
idn,2003,5.43523
idn,2004,8.51854
idn,2005,9.74535
idn,2006,11.06043
idn,2007,21.95988
idn,2008,14.86576
idn,2009,15.95192
idn,2010,13.833
idn,2011,11.81177
idn,2012,10.01551
idn,2013,10.83344
idn,2014,10.1841
idn,2015,8.71754
idn,2016,9.70156
idn,2017,9.10904
idn,2018,10.0408
idn,2019,10.53435
idn,2020,12.39057
ind,2000,109.4895
ind,2001,51.11712
ind,2002,38.24013
ind,2003,46.53352
ind,2004,53.16761
ind,2005,57.74375
ind,2006,67.74825
ind,2007,89.61796
ind,2008,86.5176
ind,2009,78.30265
ind,2010,63.31338
ind,2011,40.62758
ind,2012,34.87778
ind,2013,30.75278
ind,2014,37.34121
ind,2015,38.13434
ind,2016,35.22511
ind,2017,45.4392
ind,2018,47.96955
ind,2019,44.78637
ind,2020,73.12548
irl,1995,19.27601
irl,1996,15.56179
irl,1997,19.31459
irl,1998,47.78274
irl,1999,45.58488
irl,2000,14.68363
irl,2001,20.56231
irl,2002,2.44143
irl,2003,3.70658
irl,2004,3.07504
irl,2005,3.68431
irl,2006,5.20275
irl,2007,9.13106
irl,2008,6.37595
irl,2009,4.17898
irl,2010,3.99753
irl,2011,3.41932
irl,2012,4.15709
irl,2013,6.25364
irl,2014,6.39991
irl,2015,7.17795
irl,2016,7.47521
irl,2017,8.62301
irl,2018,8.33244
irn,1975,0.2955
irn,1976,0.44082
irn,1977,0.25062
irn,1978,0.57568
irn,1993,0.33252
irn,1994,0.60202
irn,1995,0.57516
irn,1996,1.54904
irn,1997,0.84463
irn,1998,0.79038
irn,1999,1.55911
irn,2000,4.07017
irn,2001,1.23527
irn,2002,1.3536
irn,2003,2.54844
irn,2004,5.92375
irn,2005,3.17854
irn,2006,1.77018
irn,2007,2.32848
irn,2008,3.54519
irn,2009,4.07986
irn,2010,3.48949
irn,2011,2.4811
irn,2012,2.51497
irn,2013,9.62557
irn,2014,5.4002
irn,2015,2.19373
irn,2016,4.47128
irn,2017,2.63653
irn,2018,8.90589
irn,2019,25.54313
irn,2020,227.28528
isl,1993,0.21227
isl,1994,0.30519
isl,1995,0.61485
isl,1996,1.14327
isl,1997,2.3898
isl,1998,6.08677
isl,1999,17.49935
isl,2000,24.43478
isl,2001,15.56799
isl,2002,42.53522
isl,2003,68.32157
isl,2004,84.88205
isr,1995,8.73634
isr,1996,7.35156
isr,1997,12.10951
isr,1998,11.91397
isr,1999,17.86645
isr,2000,21.67127
isr,2001,11.45866
isr,2002,9.38534
isr,2003,14.0149
