geo,time,ic_wrh_durs
lbn,2017,276
lbn,2018,276
lbn,2019,276
lbr,2006,153
lbr,2007,153
lbr,2008,91
lbr,2009,87
lbr,2010,87
lbr,2011,87
lbr,2012,87
lbr,2013,87
lbr,2014,87
lbr,2015,87
lbr,2016,87
lbr,2017,87
lbr,2018,87
lbr,2019,87
lca,2005,149
lca,2006,149
lca,2007,149
lca,2008,116
lca,2009,116
lca,2010,116
lca,2011,116
lca,2012,116
lca,2013,116
lca,2014,116
lca,2015,116
lca,2016,116
lca,2017,116
lca,2018,116
lca,2019,116
lie,2018,138
lie,2019,138
lka,2005,176
lka,2006,176
lka,2007,176
lka,2008,176
lka,2009,177
lka,2010,177
lka,2011,177
lka,2012,176
lka,2013,168
lka,2014,168
lka,2015,115
lka,2016,115
lka,2017,115
lka,2018,86
lka,2019,86
lso,2005,423
lso,2006,423
lso,2007,423
lso,2008,423
lso,2009,183
lso,2010,183
lso,2011,183
lso,2012,183
lso,2013,183
lso,2014,183
lso,2015,183
lso,2016,183
lso,2017,183
lso,2018,183
lso,2019,183
ltu,2005,161.5
ltu,2006,161.5
ltu,2007,161.5
ltu,2008,160.5
ltu,2009,160.5
ltu,2010,160.5
ltu,2011,138.5
ltu,2012,124
ltu,2013,124
ltu,2014,104
ltu,2015,104
ltu,2016,104
ltu,2017,75
ltu,2018,74
ltu,2019,74
lux,2006,153
lux,2007,153
lux,2008,153
lux,2009,153
lux,2010,153
lux,2011,155
lux,2012,155
lux,2013,155
lux,2014,155
lux,2015,155
lux,2016,155
lux,2017,155
lux,2018,155
lux,2019,155
lva,2005,220
lva,2006,220
lva,2007,220
lva,2008,219
lva,2009,219
lva,2010,218
lva,2011,218
lva,2012,218
lva,2013,176
lva,2014,176
lva,2015,192
lva,2016,192
lva,2017,192
lva,2018,192
lva,2019,192
mar,2005,115
mar,2006,115
mar,2007,105
mar,2008,105
mar,2009,105
mar,2010,105
mar,2011,68
mar,2012,68
mar,2013,68
mar,2014,59
mar,2015,56
mar,2016,53.5
mar,2017,53.5
mar,2018,53
mar,2019,58
mda,2005,341
mda,2006,341
mda,2007,341
mda,2008,341
mda,2009,341
mda,2010,341
mda,2011,310
mda,2012,310
mda,2013,310
mda,2014,310
mda,2015,310
mda,2016,310
mda,2017,310
mda,2018,310
mda,2019,278
mdg,2005,143
mdg,2006,143
mdg,2007,143
mdg,2008,174
mdg,2009,174
mdg,2010,174
mdg,2011,174
mdg,2012,174
mdg,2013,176
mdg,2014,194
mdg,2015,194
mdg,2016,194
mdg,2017,194
mdg,2018,194
mdg,2019,194
mdv,2005,140
mdv,2006,140
mdv,2007,140
mdv,2008,140
mdv,2009,140
mdv,2010,140
mdv,2011,140
mdv,2012,140
mdv,2013,140
mdv,2014,140
mdv,2015,140
mdv,2016,140
mdv,2017,140
mdv,2018,140
mdv,2019,140
mex,2013,99.55
mex,2014,99.55
mex,2015,99.55
mex,2016,82.12
mex,2017,82.12
mex,2018,82.12
mex,2019,82.12
mhl,2005,53
mhl,2006,53
mhl,2007,53
mhl,2008,53
mhl,2009,53
mhl,2010,53
mhl,2011,53
mhl,2012,38
mhl,2013,38
mhl,2014,38
mhl,2015,38
mhl,2016,38
mhl,2017,38
mhl,2018,38
mhl,2019,38
mkd,2005,183
mkd,2006,183
mkd,2007,183
mkd,2008,183
mkd,2009,131
mkd,2010,131
mkd,2011,105
mkd,2012,106
mkd,2013,91
mkd,2014,91
mkd,2015,91
mkd,2016,91
mkd,2017,91
mkd,2018,91
mkd,2019,91
mli,2005,260
mli,2006,218
mli,2007,218
mli,2008,218
mli,2009,187
mli,2010,164
mli,2011,164
mli,2012,164
mli,2013,164
mli,2014,124
mli,2015,124
mli,2016,124
mli,2017,124
mli,2018,124
mli,2019,124
mlt,2011,167
mlt,2012,167
mlt,2013,167
mlt,2014,176
mlt,2015,176
mlt,2016,176
mlt,2017,176
mlt,2018,179
mlt,2019,179
mmr,2012,93
mmr,2013,93
mmr,2014,93
mmr,2015,93
mmr,2016,93
mmr,2017,93
mmr,2018,93
mmr,2019,88
mne,2006,195
mne,2007,195
mne,2008,226
mne,2009,229
mne,2010,229
mne,2011,229
mne,2012,227
mne,2013,167
mne,2014,167
mne,2015,152
mne,2016,152
mne,2017,152
mne,2018,107
mne,2019,102
mng,2005,218
mng,2006,218
mng,2007,218
mng,2008,218
mng,2009,218
mng,2010,204
mng,2011,204
mng,2012,183
mng,2013,137
mng,2014,137
mng,2015,137
mng,2016,137
mng,2017,137
mng,2018,137
mng,2019,137
moz,2005,242
moz,2006,242
moz,2007,242
moz,2008,242
moz,2009,242
moz,2010,242
moz,2011,242
moz,2012,242
moz,2013,137
moz,2014,137
moz,2015,118
moz,2016,118
moz,2017,118
moz,2018,118
moz,2019,118
mrt,2005,153
mrt,2006,153
mrt,2007,153
mrt,2008,153
mrt,2009,153
mrt,2010,153
mrt,2011,104
mrt,2012,104
mrt,2013,104
mrt,2014,104
mrt,2015,104
mrt,2016,104
mrt,2017,104
mrt,2018,104
mrt,2019,104
mus,2005,282
mus,2006,282
mus,2007,248
mus,2008,248
mus,2009,248
mus,2010,248
mus,2011,248
mus,2012,248
mus,2013,248
mus,2014,246
mus,2015,156
mus,2016,156
mus,2017,98
mus,2018,98
mus,2019,95.5
mwi,2005,153
mwi,2006,153
mwi,2007,153
mwi,2008,153
mwi,2009,153
mwi,2010,153
mwi,2011,153
mwi,2012,153
mwi,2013,153
mwi,2014,153
mwi,2015,153
mwi,2016,153
mwi,2017,153
mwi,2018,153
mwi,2019,153
mys,2005,285
mys,2006,285
mys,2007,285
mys,2008,261
mys,2009,261
mys,2010,261
mys,2011,172
mys,2012,127
mys,2013,109
mys,2014,78
mys,2015,78
mys,2016,77
mys,2017,77
mys,2018,42
mys,2019,41
nam,2005,145
nam,2006,145
nam,2007,145
nam,2008,145
nam,2009,145
nam,2010,145
nam,2011,145
nam,2012,145
nam,2013,145
nam,2014,145
nam,2015,160
nam,2016,160
nam,2017,160
nam,2018,160
nam,2019,160
ner,2005,325
ner,2006,315
ner,2007,315
ner,2008,315
ner,2009,315
ner,2010,315
ner,2011,315
ner,2012,159
ner,2013,159
ner,2014,159
ner,2015,119
ner,2016,119
ner,2017,98
ner,2018,98
ner,2019,98
nga,2013,104.79
nga,2014,104.79
nga,2015,104.79
nga,2016,104.79
nga,2017,104.79
nga,2018,104.79
nga,2019,104.79
nic,2005,235
nic,2006,235
nic,2007,225
nic,2008,225
nic,2009,225
nic,2010,225
nic,2011,225
nic,2012,225
nic,2013,225
nic,2014,225
nic,2015,225
nic,2016,225
nic,2017,225
nic,2018,225
nic,2019,225
nld,2005,179.5
nld,2006,179.5
nld,2007,179.5
nld,2008,179.5
nld,2009,179.5
nld,2010,179.5
nld,2011,179.5
nld,2012,161
nld,2013,161
nld,2014,161
nld,2015,161
nld,2016,161
nld,2017,161
nld,2018,161
nld,2019,161
nor,2005,235.5
nor,2006,235.5
nor,2007,235.5
nor,2008,235.5
nor,2009,235.5
