geo,time,sh_xpd_chex_pp_cd
khm,2002,89.55247
khm,2003,93.45411
khm,2004,106.34913
khm,2005,118.11627
khm,2006,118.51708
khm,2007,105.87947
khm,2008,152.77985
khm,2009,174.36955
khm,2010,167.76376
khm,2011,195.94016
khm,2012,208.30345
khm,2013,216.35474
khm,2014,213.46783
khm,2015,209.90909
khm,2016,224.78316
khm,2017,224.80983
khm,2018,261.77072
khm,2019,316.04703
kir,2000,136.85793
kir,2001,193.20589
kir,2002,193.51166
kir,2003,176.82651
kir,2004,204.01646
kir,2005,201.02586
kir,2006,203.02309
kir,2007,205.00952
kir,2008,247.04463
kir,2009,234.94193
kir,2010,157.81335
kir,2011,150.01616
kir,2012,158.26456
kir,2013,182.03128
kir,2014,190.14232
kir,2015,168.61041
kir,2016,205.90599
kir,2017,238.74908
kir,2018,275.12048
kir,2019,246.99055
kna,2000,784.14539
kna,2001,759.43231
kna,2002,782.18304
kna,2003,805.99884
kna,2004,803.81592
kna,2005,946.16345
kna,2006,1049.10278
kna,2007,1033.89563
kna,2008,1269.98767
kna,2009,1213.31262
kna,2010,1180.30261
kna,2011,1201.61047
kna,2012,1111.28687
kna,2013,1165.02917
kna,2014,1183.40613
kna,2015,1271.22327
kna,2016,1403.8634
kna,2017,1419.11511
kna,2018,1382.91431
kna,2019,1506.50574
kor,2000,716.92938
kor,2001,866.69208
kor,2002,884.57166
kor,2003,969.53479
kor,2004,1034.13574
kor,2005,1150.74939
kor,2006,1316.67578
kor,2007,1475.25842
kor,2008,1612.57959
kor,2009,1706.13232
kor,2010,1878.97656
kor,2011,1961.46411
kor,2012,2063.65405
kor,2013,2143.08325
kor,2014,2293.31299
kor,2015,2531.05811
kor,2016,2748.9541
kor,2017,2925.94727
kor,2018,3232.41504
kor,2019,3521.32617
kwt,2000,1237.95166
kwt,2001,1783.01685
kwt,2002,1800.20728
kwt,2003,1879.02466
kwt,2004,1784.31958
kwt,2005,1684.90784
kwt,2006,1614.80261
kwt,2007,1762.47412
kwt,2008,1733.46741
kwt,2009,2149.51465
kwt,2010,1981.38782
kwt,2011,1823.45886
kwt,2012,1929.01587
kwt,2013,1942.00806
kwt,2014,2043.60706
kwt,2015,1990.74402
kwt,2016,2114.06665
kwt,2017,2366.4751
kwt,2018,2636.88672
kwt,2019,2861.19287
lao,2000,81.15499
lao,2001,88.75579
lao,2002,85.01832
lao,2003,109.38628
lao,2004,93.72944
lao,2005,95.55003
lao,2006,93.87895
lao,2007,109.10416
lao,2008,100.3214
lao,2009,135.16489
lao,2010,117.21553
lao,2011,82.67457
lao,2012,100.5307
lao,2013,126.93949
lao,2014,135.00566
lao,2015,151.35321
lao,2016,161.56805
lao,2017,183.27042
lao,2018,174.71257
lao,2019,212.37024
lbn,2000,955.87604
lbn,2001,950.32343
lbn,2002,837.22253
lbn,2003,773.10712
lbn,2004,773.35474
lbn,2005,751.46661
lbn,2006,890.4519
lbn,2007,986.30756
lbn,2008,1002.13464
lbn,2009,987.72919
lbn,2010,1112.94727
lbn,2011,1199.57959
lbn,2012,1037.53796
lbn,2013,1057.89539
lbn,2014,1129.73132
lbn,2015,1117.18945
lbn,2016,1225.22131
lbn,2017,1245.01538
lbn,2018,1385.15588
lbn,2019,1288.80823
lbr,2000,42.15079
lbr,2001,35.32715
lbr,2002,30.63373
lbr,2003,25.30917
lbr,2004,68.63971
lbr,2005,76.68573
lbr,2006,71.90926
lbr,2007,97.76767
lbr,2008,84.76637
lbr,2009,92.90081
lbr,2010,90.29366
lbr,2011,100.64721
lbr,2012,101.11375
lbr,2013,110.13617
lbr,2014,125.04707
lbr,2015,133.59741
lbr,2016,135.06245
lbr,2017,139.8954
lbr,2018,138.60764
lbr,2019,126.02078
lby,2000,618.0683
lby,2001,722.41461
lby,2002,863.28369
lby,2003,819.97534
lby,2004,737.33142
lby,2005,623.1358
lby,2006,651.93921
lby,2007,680.08765
lby,2008,643.02655
lby,2009,982.77429
lby,2010,988.71802
lby,2011,640.58411
lca,2000,450.46051
lca,2001,463.73141
lca,2002,493.94873
lca,2003,506.57449
lca,2004,503.63882
lca,2005,522.11841
lca,2006,595.38446
lca,2007,660.77197
lca,2008,637.9884
lca,2009,639.31189
lca,2010,625.34479
lca,2011,681.44128
lca,2012,654.3562
lca,2013,693.88068
lca,2014,654.4054
lca,2015,620.80396
lca,2016,702.05035
lca,2017,696.12921
lca,2018,690.31213
lca,2019,697.71027
lka,2000,176.31602
lka,2001,188.01573
lka,2002,196.04616
lka,2003,183.19942
lka,2004,217.888
lka,2005,227.38979
lka,2006,248.43785
lka,2007,268.50574
lka,2008,290.38492
lka,2009,316.61349
lka,2010,316.90973
lka,2011,334.8118
lka,2012,349.27286
lka,2013,413.73877
lka,2014,405.77106
lka,2015,450.90964
lka,2016,476.46014
lka,2017,459.24738
lka,2018,523.52087
lka,2019,569.573
lso,2000,67.33602
lso,2001,90.87582
lso,2002,83.88767
lso,2003,80.18383
lso,2004,82.44701
lso,2005,79.59045
lso,2006,95.13765
lso,2007,144.25583
lso,2008,161.31342
lso,2009,193.88687
lso,2010,186.72517
lso,2011,223.70334
lso,2012,220.18289
lso,2013,254.47119
lso,2014,266.04831
lso,2015,279.68271
lso,2016,262.78925
lso,2017,268.29391
lso,2018,287.31412
lso,2019,313.6058
ltu,2000,521.96112
ltu,2001,565.03979
ltu,2002,641.82709
ltu,2003,742.23108
ltu,2004,712.96002
ltu,2005,811.57001
ltu,2006,956.22992
ltu,2007,1093.01746
ltu,2008,1298.45618
ltu,2009,1326.65381
ltu,2010,1351.06763
ltu,2011,1472.82202
ltu,2012,1542.19666
ltu,2013,1629.1167
ltu,2014,1738.97083
ltu,2015,1861.00525
ltu,2016,2038.20203
ltu,2017,2178.09497
ltu,2018,2443.35181
ltu,2019,2796.82251
lux,2000,3287.65161
lux,2001,3604.03589
lux,2002,3979.25366
lux,2003,4217.79346
lux,2004,4737.71094
lux,2005,4941.68311
lux,2006,5267.2832
lux,2007,5276.57471
lux,2008,5725.23193
lux,2009,6094.69531
lux,2010,6083.71338
lux,2011,5694.8833
lux,2012,5175.36523
lux,2013,5346.19629
lux,2014,5573.94482
lux,2015,5545.19727
lux,2016,5806.30469
lux,2017,5980.6377
lux,2018,6423.08252
lux,2019,6756.88135
lva,2000,434.40894
lva,2001,518.50549
lva,2002,578.26343
lva,2003,602.4325
lva,2004,756.43353
lva,2005,807.57831
lva,2006,899.60742
lva,2007,1000.38214
lva,2008,1085.89233
lva,2009,1028.63708
lva,2010,1068.79932
lva,2011,1093.86829
lva,2012,1146.0061
lva,2013,1217.72644
lva,2014,1296.15466
lva,2015,1405.3999
lva,2016,1631.07031
lva,2017,1703.59729
lva,2018,1899.69885
lva,2019,2098.44531
mar,2000,143.94247
mar,2001,162.01759
mar,2002,180.01529
mar,2003,197.52126
mar,2004,218.32683
mar,2005,231.66565
mar,2006,263.25061
mar,2007,303.61469
mar,2008,316.78012
mar,2009,362.04361
mar,2010,376.83514
mar,2011,390.54156
mar,2012,391.09747
mar,2013,399.23367
mar,2014,354.12332
mar,2015,361.25082
mar,2016,378.42758
mar,2017,388.70901
mar,2018,413.17123
mar,2019,424.50296
mco,2000,1642.677
mco,2001,1755.93591
mco,2002,1841.27979
mco,2003,2107.82373
mco,2004,2212.66797
mco,2005,2306.07495
mco,2006,2409.54858
mco,2007,2495.61133
mco,2008,2766.44092
