geo,time,gc_tax_gsrv_va_zs
dnk,1975,15.48684
dnk,1976,16.32598
dnk,1977,17.95323
dnk,1978,19.15977
dnk,1979,20.09159
dnk,1980,19.52483
dnk,1981,19.28675
dnk,1982,18.44656
dnk,1983,18.79336
dnk,1984,19.18005
dnk,1985,19.38005
dnk,1986,21.2952
dnk,1987,20.45139
dnk,1988,20.28712
dnk,1989,19.17235
dnk,1990,18.54012
dnk,1991,17.65901
dnk,1992,17.61443
dnk,1993,17.65249
dnk,1994,18.35906
dnk,1995,17.71481
dnk,1996,18.30023
dnk,1997,18.39016
dnk,1998,19.38505
dnk,1999,19.31634
dnk,2000,18.20514
dnk,2001,18.22004
dnk,2002,18.38628
dnk,2003,18.09989
dnk,2004,18.38073
dnk,2005,18.76688
dnk,2006,18.67184
dnk,2007,19.10527
dnk,2008,17.57961
dnk,2009,17.35887
dnk,2010,17.16054
dnk,2011,17.23195
dnk,2012,17.35651
dnk,2013,17.02092
dnk,2014,16.64724
dnk,2015,16.55502
dnk,2016,16.58215
dnk,2017,16.39565
dnk,2018,16.4714
dnk,2019,15.79661
dom,1972,4.96798
dom,1973,4.5087
dom,1974,4.52196
dom,1975,4.69849
dom,1976,4.89827
dom,1977,5.01187
dom,1978,4.73588
dom,1979,4.65527
dom,1980,4.42364
dom,1981,4.84257
dom,1982,4.55728
dom,1983,4.80417
dom,1984,5.70449
dom,1985,4.90271
dom,1986,6.58223
dom,1987,4.44461
dom,1988,4.07456
dom,1989,3.75474
dom,1990,3.57499
dom,1991,2.31326
dom,1992,4.17974
dom,1993,4.50848
dom,1994,5.03862
dom,1995,5.09848
dom,1996,4.83194
dom,1997,5.47538
dom,1998,5.54575
dom,1999,4.70865
dom,2000,4.25886
dom,2001,6.27738
dom,2002,6.16686
dom,2003,6.45006
dom,2004,6.73135
dom,2005,8.45813
dom,2006,9.68305
dom,2007,11.02492
dom,2008,10.44768
dom,2009,9.40436
dom,2010,9.45114
dom,2011,9.3458
dom,2012,9.17363
dom,2013,9.48713
dom,2014,9.01991
dom,2015,8.60976
dom,2016,8.57323
dom,2017,8.53854
dom,2018,9.06892
dom,2019,9.18903
egy,1975,6.95759
egy,1976,6.44796
egy,1977,6.65759
egy,1978,6.8823
egy,1979,7.29736
egy,1981,5.99038
egy,1982,4.96194
egy,1983,6.69911
egy,1984,6.1253
egy,1985,5.46517
egy,1986,5.03791
egy,1987,4.94595
egy,1988,4.60285
egy,1989,4.47299
egy,1990,4.2168
egy,1991,3.99116
egy,1992,6.01406
egy,1993,6.18731
egy,1994,6.23621
egy,1995,6.12607
egy,1996,6.15122
egy,1997,5.78222
egy,2002,7.1821
egy,2003,7.17356
egy,2004,6.93259
egy,2005,7.36121
egy,2006,7.01403
egy,2007,6.5358
egy,2008,6.77465
egy,2009,7.36044
egy,2010,7.42805
egy,2011,7.44725
egy,2012,6.24321
egy,2013,6.22888
egy,2014,5.43348
egy,2015,6.40465
esp,2017,9.23293
esp,2018,9.30043
esp,2019,9.14783
est,1995,14.45951
est,1996,15.19119
est,1997,15.45518
est,1998,14.15539
est,1999,13.05746
est,2000,13.96962
est,2001,13.9983
est,2002,14.18754
est,2003,13.71247
est,2004,14.53701
est,2005,14.30624
est,2006,15.31181
est,2007,15.3987
est,2008,13.54439
est,2009,16.75371
est,2010,15.70428
est,2011,15.43384
est,2012,15.87433
est,2013,15.36906
est,2014,15.91195
est,2015,16.55502
est,2016,16.99478
est,2017,16.31839
est,2018,16.03032
est,2019,16.54984
eth,1990,6.6804
eth,1991,7.14129
eth,1992,5.37114
eth,1993,5.19814
eth,1994,4.58849
eth,1995,4.2261
eth,1996,4.52806
eth,1997,6.73598
eth,1998,6.63942
eth,1999,5.61701
eth,2001,3.11711
eth,2002,3.43294
eth,2003,3.39378
eth,2004,3.5288
eth,2005,3.32536
eth,2006,3.496
eth,2007,3.024
eth,2008,3.8479
eth,2009,3.17516
eth,2010,2.82609
eth,2011,4.57817
eth,2012,5.2854
eth,2013,4.3861
eth,2014,7.72095
eth,2015,6.92034
eth,2016,6.22935
eth,2017,5.67658
eth,2018,4.86079
eth,2019,4.85968
fin,1975,14.05256
fin,1976,14.59496
fin,1977,15.91028
fin,1978,16.52205
fin,1979,16.5194
fin,1980,16.41001
fin,1981,16.66199
fin,1982,16.8522
fin,1983,16.93327
fin,1984,16.81026
fin,1985,17.02073
fin,1986,17.03375
fin,1987,17.03584
fin,1988,17.96531
fin,1989,18.75066
fin,1990,17.91858
fin,1991,17.79231
fin,1992,17.29586
fin,1993,16.92228
fin,1994,16.50098
fin,1995,15.98731
fin,1996,16.12293
fin,1997,17.19515
fin,1998,16.7608
fin,1999,16.67962
fin,2000,16.0328
fin,2001,15.25011
fin,2002,15.68396
fin,2003,16.24966
fin,2004,15.90625
fin,2005,15.93006
fin,2006,15.82303
fin,2007,15.11
fin,2008,14.75194
fin,2009,15.43008
fin,2010,15.48354
fin,2011,16.64142
fin,2012,17.02464
fin,2013,17.5433
fin,2014,17.46056
fin,2015,17.11755
fin,2016,17.54365
fin,2017,17.08809
fin,2018,17.38615
fin,2019,17.16539
fji,1990,5.59493
fji,1991,5.72427
fji,1992,8.85551
fji,1993,11.73049
fji,1994,12.07765
fji,1995,11.73379
fji,1996,11.55768
fji,2004,14.60954
fji,2005,13.74271
fji,2006,14.91915
fji,2010,13.35658
fji,2011,15.00221
fji,2012,14.83163
fji,2013,17.01785
fji,2014,16.46593
fji,2015,17.05738
fji,2016,15.76052
fji,2017,16.89223
fji,2018,17.68655
fji,2019,16.91366
fra,1972,15.4932
fra,1973,14.60099
fra,1974,14.17964
fra,1975,13.62573
fra,1976,14.15285
fra,1977,13.03804
fra,1978,13.38512
fra,1979,14.10165
fra,1980,13.95512
fra,1981,13.69018
fra,1982,14.0151
fra,1983,13.77368
fra,1984,13.55817
fra,1985,13.84062
fra,1986,13.51671
fra,1987,13.67581
fra,1988,13.38391
fra,1989,12.98369
fra,1990,12.70761
fra,1991,12.17063
fra,1992,11.9272
fra,1993,11.86152
fra,1994,12.46078
fra,1995,12.87604
fra,1996,13.37184
fra,1997,13.34234
fra,1998,13.2033
