geo,time,bn_trf_curr_cd
btn,2009,73623519.17304
btn,2010,93751064.46254
btn,2011,136957560.81504
btn,2012,215249873.19181
btn,2013,126546499.41496
btn,2014,97001329.00115
btn,2015,81629427.36194
btn,2016,143937048.47277
btn,2017,177413787.50477
btn,2018,200843524.14806
btn,2019,172463393.654
btn,2020,169174166.77827
bwa,1975,-5138553.65858
bwa,1976,14260003.5814
bwa,1977,32424356.07457
bwa,1978,17025757.21394
bwa,1979,30429198.98049
bwa,1980,54939046.0355
bwa,1981,40514457.97334
bwa,1982,16413171.66447
bwa,1983,39656281.86626
bwa,1984,27958060.35114
bwa,1985,33743889.83747
bwa,1986,48692379.02615
bwa,1987,167605668.05759
bwa,1988,167068844.12149
bwa,1989,213610117.69484
bwa,1990,68584973.56621
bwa,1991,145531413.9104
bwa,1992,68871535.38968
bwa,1993,825397.48047
bwa,1994,61758619.52723
bwa,1995,-38813845.04763
bwa,1996,178848924.90316
bwa,1997,201345563.34794
bwa,1998,240161102.53959
bwa,1999,251795086.07098
bwa,2000,217081054.2425
bwa,2001,210387043.25996
bwa,2002,218973482.85013
bwa,2003,435061433.14701
bwa,2004,474899398.51933
bwa,2005,630633429.42297
bwa,2006,791628435.02086
bwa,2007,1112537199.4157
bwa,2008,1190440607.04191
bwa,2009,852606105.7832
bwa,2010,1195961793.11972
bwa,2011,1222986225.81882
bwa,2012,1788143810.19587
bwa,2013,1728699293.67936
bwa,2014,1710253549.98775
bwa,2015,1664158628.70336
bwa,2016,1185016135.6478
bwa,2017,1642988947.98146
bwa,2018,1481107759.68426
bwa,2019,1188188694.22757
bwa,2020,1291755101.52043
caf,1977,27979521.2053
caf,1978,38496673.61173
caf,1979,78454639.90216
caf,1980,80788697.07245
caf,1981,59750168.21799
caf,1982,54767673.62819
caf,1983,63498180.66293
caf,1984,53442370.44167
caf,1985,56715113.67465
caf,1986,82964222.39732
caf,1987,101089197.7909
caf,1988,120688987.64105
caf,1989,104113278.72446
caf,1990,122994237.52736
caf,1991,90898163.77868
caf,1992,113414922.24116
caf,1993,114107591.67773
caf,1994,63400040.15713
can,1960,-45198954.16729
can,1961,-16123712.33031
can,1962,7864504.3533
can,1963,-33282622.6847
can,1964,-19141609.55534
can,1965,-32986895.17911
can,1966,-75206352.22916
can,1967,-101533760.94158
can,1968,-38591847.11014
can,1969,-78492188.33578
can,1970,-112298766.72527
can,1971,-68152058.25229
can,1972,-117657143.33149
can,1973,-100210959.45299
can,1974,-102278418.95194
can,1975,-255422307.99892
can,1976,-183767646.71373
can,1977,-220501156.37966
can,1978,-304608529.3825
can,1979,-193530075.72884
can,1980,-41945650.25669
can,1981,-93914960.63002
can,1982,-206617839.60692
can,1983,-442137171.5474
can,1984,-777683589.86497
can,1985,-860121588.25173
can,1986,-377819148.33253
can,1987,-1082844270.60092
can,1988,-1078890193.64996
can,1989,-1113367230.10322
can,1990,-1084832131.21894
can,1991,-1509185193.29911
can,1992,-1255930424.82782
can,1993,-1048211931.11193
can,1994,-989655110.33536
can,1995,-730246375.96294
can,1996,-196424649.22349
can,1997,165514188.46551
can,1998,366159224.8155
can,1999,199252322.91205
can,2000,288441522.06125
can,2001,399079699.29663
can,2002,340510875.51903
can,2003,-224260729.07225
can,2004,-501128817.50076
can,2005,-1440390438.01321
can,2006,-1656586491.48758
can,2007,-2130911525.31376
can,2008,-1593935186.93691
can,2009,-3032745577.3557
can,2010,-3838768976.28775
can,2011,-3684315394.6479
can,2012,-4191812136.39967
can,2013,-3958313963.62697
can,2014,-3120496670.5411
can,2015,-3297789053.85822
can,2016,-1520987666.44386
can,2017,-3355157028.66684
can,2018,-2563593084.8429
can,2019,-2078516100.80653
can,2020,-3174653198.99802
can,2021,-3141926672.56735
che,1977,-665688936.2265
che,1978,-922805889.56648
che,1979,-1061510472.85213
che,1980,-1139816496.022
che,1981,-1002931581.27294
che,1982,-1019566315.36841
che,1983,-914183178.44421
che,1984,-834580546.49235
che,1985,-806226789.43888
che,1986,-1090100523.56419
che,1987,-1504836735.72031
che,1988,-1713250871.31825
che,1989,-1872518605.6818
che,1990,-2398286732.37393
che,1991,-2579233956.49672
che,1992,-3037508400.18917
che,1993,-3010997439.57047
che,1994,-3461011886.80935
che,1995,-4408825318.20772
che,1996,-4270191988.73796
che,1997,-4049713621.29107
che,1998,-4574864889.06961
che,1999,-5326331692.47832
che,2000,-2649887357.18892
che,2001,-3773044259.82889
che,2002,-4269295497.6403
che,2003,-3557583840.16207
che,2004,-3839830507.70218
che,2005,-8258271411.35374
