geo,time,nv_ind_totl_cd
ton,1990,13296805.06251
ton,1991,13208391.17692
ton,1992,14976616.43531
ton,1993,13923410.40462
ton,1994,34787910.92259
ton,1995,39089936.26564
ton,1996,41978244.98742
ton,1997,35921487.93035
ton,1998,31405630.02681
ton,1999,34083022.68276
ton,2000,37089866.39009
ton,2001,33358011.44492
ton,2002,32327323.60767
ton,2003,34520154.86222
ton,2004,38181844.84529
ton,2005,43612185.93613
ton,2006,44781123.99821
ton,2007,46871323.71299
ton,2008,53425610.26936
ton,2009,52391954.73942
ton,2010,66170770.9057
ton,2011,79469406.69177
ton,2012,88970676.73609
ton,2013,71523589.80275
ton,2014,70843072.33902
ton,2015,67702537.18285
ton,2016,66986742.42424
ton,2017,75269667.49604
ton,2018,75240131.27906
ton,2019,77424182.40239
ton,2020,72118090.12597
tto,1966,285772618.56151
tto,1967,315516943.7892
tto,1968,331050000
tto,1969,325950000
tto,1970,333050000
tto,1971,365486860.09418
tto,1972,444698901.78525
tto,1973,598764801.95998
tto,1974,1184443795.05163
tto,1975,1416075214.30547
tto,1976,1458617292.0601
tto,1977,1804208333.33333
tto,1978,1975833333.33333
tto,1979,2652625000
tto,1980,3731333333.33333
tto,1981,3883916666.66667
tto,1982,3809333333.33333
tto,1983,3597041666.66667
tto,1984,3751250000
tto,1985,3404897959.18367
tto,1986,1994416666.66667
tto,1987,2105222222.22222
tto,1988,1972475154.79473
tto,1989,2036023529.41176
tto,1990,2406517647.05882
tto,1991,2376211764.70588
tto,1992,2322564705.88235
tto,1993,1933097867.72813
tto,1994,2305625411.39935
tto,1995,2395810215.54188
tto,1996,2600056618.54091
tto,1997,2452580897.99575
tto,1998,2327262912.21441
tto,1999,2766213148.32749
tto,2000,3876250039.6838
tto,2001,3989459667.58647
tto,2002,3865412005.69718
tto,2003,5821909103.90621
tto,2004,7220257183.67995
tto,2005,9532954473.29989
tto,2006,11172142834.5109
tto,2007,12909689959.2301
tto,2008,17831756531.1412
tto,2009,10187293507.6432
tto,2010,11924068700.4941
tto,2011,14509790460.7367
tto,2012,13016284061.2169
tto,2013,13155837705.2743
tto,2014,13147337379.6633
tto,2015,9767585536.4255
tto,2016,8357969710.60129
tto,2017,8884608009.44023
tto,2018,9999660306.01997
tto,2019,10595461394.9632
tun,1965,190476190.47619
tun,1966,200571428.57143
tun,1967,219238095.23809
tun,1968,246095238.09524
tun,1969,276952380.95238
tun,1970,296190476.19048
tun,1971,345572767.25951
tun,1972,448752881.99539
tun,1973,582305502.8463
tun,1974,960824742.26804
tun,1975,1122296793.43773
tun,1976,1134328358.20896
tun,1977,1315617715.61772
tun,1978,1573762614.12782
tun,1979,2076998769.9877
tun,1980,2720424796.24599
tun,1981,2698460915.35034
tun,1982,2525478246.14864
tun,1983,2713906894.51974
tun,1984,2765576725.02575
tun,1985,2753505092.86998
tun,1986,2748992443.32494
tun,1987,2857728973.09038
tun,1988,3089531359.29121
tun,1989,3145686295.16486
tun,1990,3661136363.63636
tun,1991,3788695652.17391
tun,1992,4410221619.17684
tun,1993,4103516987.14755
tun,1994,4567516805.06129
tun,1995,5300200909.3793
tun,1996,5580131497.84261
tun,1997,5497965457.99801
tun,1998,5619917449.72337
tun,1999,5975889394.70578
tun,2000,5756255927.62822
tun,2001,5833530270.38299
tun,2002,6150313005.55673
tun,2003,7017384555.68491
tun,2004,7976555600.16058
tun,2005,8530907969.78572
tun,2006,9345379413.97445
tun,2007,11249414702.669
tun,2008,14108513919.3247
tun,2009,12185292157.2984
tun,2010,13641835795.5642
tun,2011,14700738695.0198
tun,2012,14250785012.4433
tun,2013,14185330218.6983
tun,2014,13638164332.0426
tun,2015,11397742914.8716
tun,2016,10649887722.444
tun,2017,9960779724.62822
tun,2018,10110686035.3507
tun,2019,9654381772.05067
tun,2020,9026744363.60585
tur,1960,2424989724.61981
tur,1961,1377777777.77778
tur,1962,1522222222.22222
tur,1963,1755555555.55556
tur,1964,2000000000
tur,1965,2311111111.11111
tur,1966,2766666666.66667
tur,1967,3200000000
tur,1968,3755555555.55556
tur,1969,4300000000
tur,1970,3747826086.95652
tur,1971,3693772206.20768
tur,1972,4848056537.10247
tur,1973,6098939929.32862
tur,1974,8027572341.49494
tur,1975,10067857637.4463
tur,1976,12259390768.0807
tur,1977,13720697700.2555
tur,1978,14928753809.4061
tur,1979,22923705634.392
tur,1980,16161656014.0982
tur,1981,18963486454.6525
tur,1982,17932612747.8422
tur,1983,16424417959.9658
tur,1984,15371441038.5077
tur,1985,17727205675.2806
tur,1986,23466516434.1522
tur,1987,27366800051.3317
tur,1988,29818399128.2033
tur,1989,35330210022.2465
tur,1990,46801666768.8911
tur,1991,47320047619.0476
tur,1992,49406072463.7681
tur,1993,53731990909.0909
tur,1994,41926831081.0811
tur,1995,54269624454.1485
tur,1996,55564270270.2703
tur,1997,58430831468.0711
tur,1998,85647622171.07788
tur,1999,72521488777.4594
tur,2000,73506094529.7505
tur,2001,51453852480.4178
tur,2002,59082397890.1274
tur,2003,77999063695.1163
tur,2004,102656332865.661
tur,2005,127778462935.397
tur,2006,145023575848.79199
tur,2007,179695556143.987
tur,2008,201458764733
tur,2009,155980244709.677
tur,2010,190286667354.272
tur,2011,225103096477.612
tur,2012,234662527227.17096
tur,2013,265114265258.95599
tur,2014,264002129312.314
tur,2015,240576920992.647
tur,2016,244235524187.94101
tur,2017,250240397001.17896
tur,2018,228906722102.56
tur,2019,207266801438.19
tur,2020,201722473038.51599
tuv,1990,1283272.18796
tuv,1991,1378719.4267
tuv,1992,1993977.67333
tuv,1993,1521147.83082
tuv,1994,1560900.71648
tuv,1995,1541141.58636
tuv,1996,1386806.47938
tuv,1997,1684503.4882
tuv,1998,1747581.35444
tuv,1999,1960320.02065
tuv,2000,941268.55288
tuv,2001,1035533.25747
tuv,2002,1237965.88069
tuv,2003,1856410.92159
tuv,2004,2050889.83674
tuv,2005,1699350.89729
tuv,2006,1301957.83133
tuv,2007,2116977.65877
tuv,2008,3907901.35883
tuv,2009,3099360.47418
tuv,2010,1773986.42451
tuv,2011,3485301.70191
tuv,2012,3004038.10313
tuv,2013,2892739.91118
tuv,2014,2865693.16748
tuv,2015,2582525.7306
tza,1990,687731055.55894
tza,1991,762721222.28134
tza,1992,694364714.96745
tza,1993,617754901.62211
tza,1994,631260781.08686
tza,1995,705494120.43287
tza,1996,846387449.70272
tza,1997,998997749.63345
tza,1998,2463282556.99961
