geo,time,sh_sta_stnt_me_zs
dom,2014,7.6
dom,2015,7.4
dom,2016,7.1
dom,2017,6.9
dom,2018,6.6
dom,2019,6.2
dom,2020,5.9
dza,2000,22.1
dza,2001,21.3
dza,2002,20.5
dza,2003,19.7
dza,2004,18.8
dza,2005,17.9
dza,2006,17
dza,2007,16.1
dza,2008,15.2
dza,2009,14.4
dza,2010,13.7
dza,2011,13.1
dza,2012,12.6
dza,2013,12
dza,2014,11.6
dza,2015,11.1
dza,2016,10.7
dza,2017,10.2
dza,2018,9.9
dza,2019,9.5
dza,2020,9.3
ecu,2000,28.2
ecu,2001,27.9
ecu,2002,27.9
ecu,2003,28
ecu,2004,28
ecu,2005,27.9
ecu,2006,27.7
ecu,2007,27.3
ecu,2008,26.7
ecu,2009,26.1
ecu,2010,25.4
ecu,2011,24.7
ecu,2012,24.1
ecu,2013,23.5
ecu,2014,23.3
ecu,2015,23.3
ecu,2016,23.3
ecu,2017,23.4
ecu,2018,23.5
ecu,2019,23.4
ecu,2020,23.1
egy,2000,26.9
egy,2001,26.4
egy,2002,26
egy,2003,25.5
egy,2004,25.2
egy,2005,25.1
egy,2006,25
egy,2007,25
egy,2008,24.7
egy,2009,24.3
egy,2010,23.7
egy,2011,23.1
egy,2012,22.5
egy,2013,22.1
egy,2014,21.9
egy,2015,21.9
egy,2016,22
egy,2017,22.1
egy,2018,22.2
egy,2019,22.3
egy,2020,22.3
eri,2000,47.7
eri,2001,47.1
eri,2002,46.7
eri,2003,46.7
eri,2004,46.7
eri,2005,47
eri,2006,47.5
eri,2007,48
eri,2008,48.5
eri,2009,49
eri,2010,49.4
eri,2011,49.8
eri,2012,50.1
eri,2013,50.3
eri,2014,50.3
eri,2015,50.4
eri,2016,50.3
eri,2017,50.2
eri,2018,49.9
eri,2019,49.5
eri,2020,49.1
est,2000,2.1
est,2001,1.9
est,2002,1.8
est,2003,1.8
est,2004,1.7
est,2005,1.6
est,2006,1.6
est,2007,1.5
est,2008,1.4
est,2009,1.4
est,2010,1.4
est,2011,1.3
est,2012,1.3
est,2013,1.3
est,2014,1.3
est,2015,1.3
est,2016,1.3
est,2017,1.2
est,2018,1.2
est,2019,1.2
est,2020,1.2
eth,2000,57.5
eth,2001,56.1
eth,2002,54.7
eth,2003,53.4
eth,2004,52
eth,2005,50.7
eth,2006,49.4
eth,2007,48.1
eth,2008,46.9
eth,2009,45.8
eth,2010,44.7
eth,2011,43.7
eth,2012,42.8
eth,2013,41.8
eth,2014,41
eth,2015,40.1
eth,2016,39.2
eth,2017,38.2
eth,2018,37.3
eth,2019,36.3
eth,2020,35.3
fji,2000,5.9
fji,2001,6.2
fji,2002,6.5
fji,2003,6.7
fji,2004,7.1
fji,2005,7.8
fji,2006,8.1
fji,2007,8.5
fji,2008,8.7
fji,2009,8.8
fji,2010,8.5
fji,2011,8.6
fji,2012,8.5
fji,2013,8.4
fji,2014,8.2
fji,2015,8
fji,2016,7.7
fji,2017,7.6
fji,2018,7.5
fji,2019,7.5
fji,2020,7.5
gab,2000,25.8
gab,2001,25.8
gab,2002,25.6
gab,2003,25.3
gab,2004,24.7
gab,2005,23.8
gab,2006,23.1
gab,2007,21.9
gab,2008,20.7
gab,2009,19.6
gab,2010,18.8
gab,2011,17.8
gab,2012,17.2
gab,2013,16.8
gab,2014,16.4
gab,2015,15.9
gab,2016,15.6
gab,2017,15.4
gab,2018,15.1
gab,2019,14.8
gab,2020,14.4
geo,2000,16.2
geo,2001,15.9
geo,2002,15.6
geo,2003,15.2
geo,2004,14.8
geo,2005,14.3
geo,2006,13.5
geo,2007,12.5
geo,2008,11.7
geo,2009,11
geo,2010,10.3
geo,2011,9.7
geo,2012,9.2
geo,2013,8.6
geo,2014,8.1
geo,2015,7.6
geo,2016,7
geo,2017,6.6
geo,2018,6.3
geo,2019,5.9
geo,2020,5.7
gha,2000,33.3
gha,2001,32.7
gha,2002,32.1
gha,2003,31.5
gha,2004,30.8
gha,2005,30
gha,2006,29.2
gha,2007,28.2
gha,2008,27.1
gha,2009,26
gha,2010,24.8
gha,2011,23.5
gha,2012,22.2
gha,2013,21
gha,2014,19.8
gha,2015,18.9
gha,2016,17.9
gha,2017,17
gha,2018,16.1
gha,2019,15.1
gha,2020,14.2
gin,2000,34.2
gin,2001,34.4
gin,2002,34.7
gin,2003,35
gin,2004,35.3
gin,2005,35.5
gin,2006,35.6
gin,2007,35.6
gin,2008,35.4
gin,2009,35.1
gin,2010,34.7
gin,2011,34.3
gin,2012,33.8
gin,2013,33.4
gin,2014,33.1
gin,2015,32.7
gin,2016,32.2
gin,2017,31.5
gin,2018,30.9
gin,2019,30.2
gin,2020,29.4
gmb,2000,29.8
gmb,2001,29.2
gmb,2002,28.5
gmb,2003,27.8
gmb,2004,27.2
gmb,2005,26.6
gmb,2006,26.1
gmb,2007,25.6
gmb,2008,25
gmb,2009,24.4
gmb,2010,23.7
gmb,2011,23.1
gmb,2012,22.4
gmb,2013,21.8
gmb,2014,21.1
gmb,2015,20.4
gmb,2016,19.6
gmb,2017,18.8
gmb,2018,17.9
gmb,2019,16.9
gmb,2020,16.1
gnb,2000,33.9
gnb,2001,33.5
gnb,2002,33.2
gnb,2003,32.7
gnb,2004,32.3
gnb,2005,31.9
gnb,2006,31.7
gnb,2007,31.4
gnb,2008,31.2
gnb,2009,30.9
gnb,2010,30.5
gnb,2011,30
gnb,2012,29.7
gnb,2013,29.3
gnb,2014,29.1
gnb,2015,28.9
gnb,2016,28.9
gnb,2017,28.8
gnb,2018,28.7
gnb,2019,28.4
gnb,2020,28
gnq,2000,39.3
gnq,2001,38.1
gnq,2002,37.1
gnq,2003,36.1
gnq,2004,35
gnq,2005,33.9
gnq,2006,32.8
gnq,2007,31.7
gnq,2008,30.3
gnq,2009,29
gnq,2010,27.8
gnq,2011,26.7
gnq,2012,25.5
gnq,2013,24.8
gnq,2014,24
gnq,2015,23.4
gnq,2016,22.8
gnq,2017,22
gnq,2018,21.2
gnq,2019,20.5
gnq,2020,19.7
grc,2000,2.7
grc,2001,2.6
grc,2002,2.5
grc,2003,2.4
grc,2004,2.3
grc,2005,2.3
grc,2006,2.2
grc,2007,2.2
grc,2008,2.1
grc,2009,2.1
grc,2010,2.1
grc,2011,2.1
grc,2012,2.1
grc,2013,2.1
grc,2014,2.1
grc,2015,2.1
grc,2016,2.1
grc,2017,2.2
grc,2018,2.2
grc,2019,2.2
grc,2020,2.2
gtm,2000,53.8
gtm,2001,53.9
gtm,2002,53.9
gtm,2003,53.7
gtm,2004,53.5
gtm,2005,53
gtm,2006,52.4
gtm,2007,51.7
gtm,2008,50.8
gtm,2009,50
gtm,2010,49.1
gtm,2011,48.3
gtm,2012,47.5
gtm,2013,46.8
gtm,2014,46.7
gtm,2015,46.2
gtm,2016,45.7
gtm,2017,45.2
gtm,2018,44.7
gtm,2019,43.6
gtm,2020,42.8
guy,2000,15
guy,2001,15.4
guy,2002,15.8
guy,2003,16.2
guy,2004,16.6
guy,2005,16.9
guy,2006,17.1
guy,2007,17.2
guy,2008,17.1
guy,2009,16.6
guy,2010,16
guy,2011,15.3
guy,2012,14.4
guy,2013,13.5
guy,2014,12.7
guy,2015,11.9
guy,2016,11.2
guy,2017,10.6
guy,2018,10
guy,2019,9.5
guy,2020,9
hnd,2000,37.5
hnd,2001,36.1
hnd,2002,34.6
hnd,2003,33.1
hnd,2004,31.7
hnd,2005,30.4
hnd,2006,29.1
hnd,2007,27.8
hnd,2008,26.5
hnd,2009,25.2
hnd,2010,24.1
hnd,2011,23.3
