geo,time,se_adt_1524_lt_fe_zs
phl,1990,96.87774
phl,1994,96.28194
phl,2000,95.72028
phl,2003,96.58059
phl,2008,98.49152
phl,2013,98.81543
phl,2015,99.26673
phl,2019,98.89291
plw,1980,94.35773
plw,2013,99.8295
plw,2015,99.17051
png,2000,64.05813
png,2010,71.4
pol,1978,99.81581
pol,1988,99.81581
pol,1998,99.81581
pol,2008,99.81581
pri,1980,94.39736
pri,1990,94.11213
pri,2010,98.85419
pri,2017,92.3897
prk,2008,99.99979
prt,1981,98.22211
prt,1991,99.25787
prt,2011,99.47964
prt,2018,99.70156
pry,1982,89.0012
pry,1992,95.36143
pry,2007,98.77916
pry,2008,98.23231
pry,2009,98.98827
pry,2010,98.72882
pry,2012,98.10377
pry,2013,99.2046
pry,2014,98.46341
pry,2015,98.9689
pry,2016,98.70381
pry,2018,98.86784
pry,2019,98.6842
pry,2020,98.65762
pse,1997,97.1861
pse,2004,98.88114
pse,2006,99.14674
pse,2007,98.99184
pse,2008,99.04133
pse,2009,99.22568
pse,2010,99.24448
pse,2011,99.36161
pse,2012,99.22757
pse,2013,99.27466
pse,2014,99.31944
pse,2015,99.27189
pse,2016,99.30505
pse,2017,99.37062
pse,2018,99.38239
pse,2019,99.29688
pse,2020,99.24502
qat,1986,91.23052
qat,1997,95.80931
qat,2004,96.92502
qat,2007,98.96525
qat,2008,95.32598
qat,2009,96.04019
qat,2010,96.29046
qat,2011,97.24247
qat,2012,97.82755
qat,2013,95.79881
qat,2014,96.34852
qat,2016,97.26477
qat,2017,96.11466
rou,1992,99.03209
rou,2002,97.77952
rou,2011,98.97622
rou,2018,99.43968
rus,1989,99.74946
rus,2002,99.77128
rus,2010,99.75802
rus,2018,99.74909
rwa,1978,44.69159
rwa,2000,76.86258
rwa,2010,77.97246
rwa,2012,83.48739
rwa,2014,86.26225
rwa,2018,88.50182
sau,1992,81.07383
sau,2000,93.71306
sau,2004,94.67571
sau,2013,99.13699
sau,2017,99.28044
sau,2020,99.44731
sdn,2000,72.33138
sdn,2008,62.71716
sdn,2018,73.49
sen,1988,28.03475
sen,2002,40.96837
sen,2006,44.54016
sen,2009,54.61546
sen,2011,58.74371
sen,2013,51.15308
sen,2017,63.50271
sgp,1980,96.15954
sgp,1990,99.08436
sgp,2000,99.60451
sgp,2010,99.76667
sgp,2011,99.88059
sgp,2012,99.89296
sgp,2013,99.90101
sgp,2014,99.90389
sgp,2015,99.83812
sgp,2016,99.94051
sgp,2017,99.94014
sgp,2018,99.94237
sgp,2019,99.9429
sle,2004,37.35752
sle,2013,50.85709
sle,2018,62.69922
slv,1992,84.94789
slv,2006,95.45334
slv,2007,93.88949
slv,2008,96.48331
slv,2009,95.32356
slv,2010,96.38574
slv,2011,96.94589
slv,2013,97.50019
slv,2015,98.43374
slv,2016,98.27872
slv,2017,98.14964
slv,2018,98.21068
slv,2019,98.68684
som,1972,10.46
srb,2003,99.31772
srb,2011,99.26991
srb,2016,99.72468
srb,2019,99.99942
ssd,2008,29.57762
ssd,2018,47.3692
stp,1981,74.05767
stp,1991,91.85258
stp,2001,94.85257
stp,2008,77.33728
stp,2012,96.35088
stp,2018,97.85418
sur,2004,94.13904
sur,2008,99.45978
sur,2010,98.80215
sur,2012,97.25966
sur,2018,98.39996
svn,1991,99.77901
svn,2004,99.9
svn,2014,99.9
swz,1976,74.97966
swz,1986,84.2976
swz,2000,92.94364
swz,2010,94.74849
swz,2018,96.69525
syc,1987,98.46447
syc,1994,99.13843
syc,2002,99.37438
syc,2010,99.38308
syc,2018,99.6
syr,1981,59.01689
syr,2002,92.96355
syr,2004,90.21858
tcd,1993,8.94584
tcd,2000,23.2354
tcd,2004,30.77491
tcd,2015,25.99362
tcd,2016,22.38715
tgo,2000,63.55485
tgo,2006,67.9237
tgo,2009,74.55535
tgo,2011,72.70812
tgo,2015,78.37085
tgo,2019,84.00565
tha,1980,96.1722
tha,2000,97.84793
tha,2005,97.87893
tha,2010,96.55204
tha,2013,98.65491
tha,2015,98.29299
tha,2018,98.59393
tjk,1989,99.67125
tjk,2000,99.84972
tjk,2014,99.9
tkm,1995,99.81293
tkm,2014,99.9
tls,2010,78.56844
tls,2018,84.65051
ton,1976,99.79629
ton,1996,99.3545
ton,2006,99.55504
ton,2011,99.51043
ton,2018,99.53978
tto,1980,99.24356
tto,1990,99.3
tto,2000,99.4
tto,2010,99.6
tun,1984,62.52323
tun,2004,92.2407
tun,2007,94.72457
tun,2008,95.49061
tun,2010,96.09356
tun,2011,96.31759
tun,2012,95.71758
tun,2014,95.80119
tur,1975,68.25335
tur,1980,75.23798
tur,1985,85.96097
tur,1990,88.38579
tur,2004,93.29502
tur,2005,93.96016
tur,2006,94.11954
tur,2007,94.28914
tur,2009,96.57019
tur,2010,97.19733
tur,2011,97.9363
tur,2012,98.41265
tur,2013,98.74206
tur,2014,98.95092
tur,2015,99.16708
